backbone_fraction,label,coordinate,proper,radius,demanded_rho,demanded_pr,demanded_pt,backbone_rho,backbone_pr,backbone_pt,matter_rho,matter_pr,matter_pt,quantum_rho,quantum_pr,quantum_pt,host_rho,host_pr,host_pt,radial_weight,radial_null_only_lower_bound,radial_ideal_em_gap,angular_weight,angular_null_only_lower_bound,angular_ideal_em_gap,backbone_radial_divergence
0.5,coordinate,-0.9999999999992134,-123.94263333328803,2.3130599395013007,0.007434246375348146,-0.007437803891949079,-2.438522041996122e-05,0.0037184022625278176,-0.0037184022625278176,0.0,5.8499758662214373e-05,-5.8498377539110944e-05,-5.8499758662214373e-05,-8.897244310091153e-07,-2.669173293027346e-06,8.897244310091153e-07,0.003658234078589123,-0.003658234078589123,3.322481381124404e-05,8.897244310091153e-07,8.897244310091153e-07,0.7808324160545022,0.0,0.0,,-0.0
0.5,coordinate,0.5000000000465697,35.74976646293122,2.1145354733919226,0.007765974673844488,-0.00961034994400203,0.018890932245783122,0.0044493871286875155,-0.0044493871286875155,0.0,5.853018627849569e-05,-5.846795008579605e-05,-5.853018543690322e-05,-0.01151112896028795,-0.019871681184395147,0.0041802761120535974,0.014769186319166428,0.01476918631916643,0.014769186319166428,0.007845702536170774,0.0004611093765875603,0.08057749356217503,0.0018327132120585883,0.0,0.11590390971405438,0.0
0.5,coordinate,1.0000000000197873,38.64373977080269,2.311896165650238,0.008607933410291145,-0.0061905970240927555,0.014909106328390744,0.0037221467806027152,-0.0037221467806027152,0.0,5.851415902550098e-05,-5.848397872335249e-05,-5.8514156288129854e-05,-0.006521728646301135,-0.013758967381730753,0.0036186193677148087,0.011349001116964064,0.011349001116964064,0.011349001116964064,0.005070174007007972,0.0,0.08987025988048403,0.0007257773196465815,0.0,0.14610694685374992,6.616137067059836e-25
0.5,coordinate,1.9999999999779305,67.56666858423638,2.8807355400324797,0.0026178180089279626,-0.006474944003046699,0.003100753249203066,0.001198652699481445,-0.001198652699481445,0.0,7.295874270676134e-05,-4.859309815122334e-05,-5.865869264924223e-05,-0.0009703729096685685,-0.0029111187290057055,0.0009703729096685685,0.002316579476408325,-0.002316579476408325,0.00218903903218374,0.0009703729096685685,0.0009703729096685685,0.1358742149226378,0.0,0.0,,0.00037204238646211253
0.5,coordinate,2.499999999997065,68.95436235926277,3.197682610222836,-0.00945893046860238,-0.009964917254523867,0.054758949587833075,0.0002014027253257391,-0.0002014027253257391,0.0,6.17513841435738e-05,-4.68488272429182e-06,-3.034704878531139e-05,-0.064493008680489,-0.06452975374889115,1.8372534201074875e-05,0.05477092410241731,0.054770924102417316,0.05477092410241731,0.03225569060734504,0.0048702285561363825,0.05658745048417579,0.016118659036571982,0.0,0.06730378468211932,0.0007546871770256536
0.5,coordinate,2.9999999999999747,69.51588747613069,3.5348729988250542,-0.006071036523891258,-0.0035122283872047137,0.023050739039891792,0.0,-0.0,0.0,2.720254579592613e-05,5.927016650316154e-07,-1.0190648776856733e-05,-0.030451877748764553,-0.027866459767947112,-0.0012927089904087186,0.024353638679077368,0.024353638679077368,0.024353638679077368,0.014579584379177916,0.0024027650396392323,0.0690137184463422,0.007936146684793317,0.0,0.08034693087997505,3.745491778424189e-30
0.5,coordinate,4.0000000000000036,70.51925901624072,4.367011987004212,-0.001068006431277821,-0.000405117177084994,0.0008440314763480523,0.0,-0.0,0.0,2.70128782200702e-06,-2.622750118279586e-07,-1.4075704030990723e-07,-0.0022478063610015214,-0.0015819535439748592,-0.0003329264085133311,0.0011770986419016934,0.0011770986419016932,0.0011770986419016934,0.0009574399762440951,0.0003688906552932485,0.13633075017952628,0.0006451831923787131,5.663387142786644e-05,0.15047035735825556,0.0
0.5,coordinate,6.999999999999994,73.51926129650374,7.2116100727773516,-4.5053047415658446e-05,-4.4443515902003234e-05,4.4748281656218685e-05,0.0,-0.0,0.0,4.427356938284062e-08,-1.7778511452272133e-08,4.331287350446072e-08,-9.013808156500068e-05,-8.946649797051035e-05,-3.3579179724516355e-07,4.5040760579959395e-05,4.5040760579959395e-05,4.504076057995939e-05,4.490114488387776e-05,2.238076459389806e-05,0.29295934771545984,2.261846834056146e-05,9.808805058176554e-08,0.34774101351978803,0.0
0.95,throat,-1.599758090333156e-06,-0.00021118374296260736,2.0395751057921525,0.009563542625752259,-0.009564906638261055,3.264183276220582e-05,0.009086661306342636,-0.009086661306342636,0.0,5.850001052663276e-05,-5.8498125674692564e-05,-5.850001052663276e-05,-3.4147434018437506e-07,-1.0244230205531252e-06,3.4147434018437506e-07,0.00041872278322317366,-0.00041872278322317366,9.08003689486542e-05,3.4147434018437506e-07,3.4147434018437506e-07,0.9920468787442515,0.0,0.0,,-0.0
0.95,coordinate,-7.000000000000035,-177.10805123327017,7.210505038851204,6.197665809862589e-05,-5.571449062614403e-05,-4.636664327456982e-05,0.0,-0.0,0.0,6.623634810344777e-05,-5.646199636261835e-05,-5.0762073410567324e-05,-1.1158718011467479e-05,-6.151522270171286e-06,-2.5035978706480964e-06,6.899028006645603e-06,6.899028006645603e-06,6.899028006645603e-06,4.327560070409691e-06,8.780460670868897e-07,0.525788323725562,3.415578970528894e-06,0.0,0.5578348348058246,-0.0
