x,lower_free_pressure,upper_free_pressure,required_drop_density,optimistic_temporal_allowance,positive_acceleration
-1.9078125,0.0010948085429355145,0.002507605456673544,0.05762760883694848,9.051069704381088e-39,True
-1.9046875,0.0011126626143414418,0.002595190570359163,0.05857833018634326,7.457876674318944e-39,True
-1.9015625000000003,0.0010685221115641498,0.002681306996314901,0.05978144295483551,3.290022622456965e-39,True
-1.8984375,0.0009516157480700237,0.002726259026400476,0.0607634277778169,4.1192009560593017e-39,True
-1.8953125000000002,0.0009227339323010842,0.002730956177480176,0.060829316770130634,1.3908280109962705e-38,True
-1.8921875,0.0009674255569035487,0.00273541433499322,0.06056592865351952,2.4169989745077216e-38,True
-1.8890625,0.0009380020399947604,0.0027396377567117146,0.06062196932856041,3.295454223408077e-38,True
-1.8859375000000003,0.0008200578660292903,0.002728536011821029,0.060862806330037066,3.8062102263626995e-38,True
-1.8828125,0.0007729466039214463,0.002702453740594719,0.060590497374638466,3.7474057060996225e-38,True
-1.8796875000000002,0.000785481377454271,0.0026765993004625377,0.06005416590509975,2.9544511118593753e-38,True
-1.8765625,0.000738847715015692,0.0026509720764716542,0.05977857443262677,1.2491655825711797e-38,True
-1.8734375,0.0006224002579523747,0.0026247217525577713,0.059800567976686515,1.522670452873597e-38,True
-1.8703125000000003,0.0005715569454382285,0.0025978670380921434,0.0595211070785461,5.078856685518555e-38,True
-1.8671875,0.0005750922337584103,0.0025712634371528762,0.05900055910758626,8.719731565942315e-38,True
-1.8640625000000002,0.000524741735474581,0.0025449102950125127,0.058719179204506526,1.1746540494852605e-37,True
-1.8609375,0.00041104150028774484,0.0025183888949712797,0.05871416785911513,1.3477605432305808e-37,True
-1.8578125,0.0003610498554586336,0.0024917079404825635,0.05842117785568786,1.3252789194987448e-37,True
-1.8546875000000003,0.000363728309842611,0.0024652876917913083,0.057894389693307825,1.0435397038294445e-37,True
-1.8515625,0.0003142543621278554,0.0024391271777979132,0.05760030219482262,4.406632365389905e-38,True
-1.8484375000000002,0.00020331304394395839,0.0024132479806875592,0.05758123371438892,5.366499756671778e-38,True
-1.8453125,0.00015404437731544266,0.0023876488398016393,0.05728871437078941,1.7889343972555613e-37,True
-1.8421875,0.00015588649223514852,0.0023623064942775132,0.05676923782402366,3.069555899505696e-37,True
-1.8390625000000003,0.00010712053097952732,0.0023372203869601814,0.05647648554914274,4.13263655559713e-37,True
-1.8359375,0.0,0.002312858225139982,0.056458244851290536,4.74062653378998e-37,True
-1.8328125000000002,0.0,0.0022892087866786667,0.056180509964096424,4.662282276265727e-37,True
-1.8296875,0.0,0.0022657996503521265,0.05568187426251363,3.671737189035484e-37,True
-1.8265625,0.0,0.002242630211529457,0.05540433714292703,1.5507577717393699e-37,True
-1.8234375000000003,0.0,0.00222071798209194,0.05540285782677959,1.8897363817457867e-37,True
-1.8203125,0.0,0.0022000395554296,0.055156595569210695,6.306339745284539e-37,True
-1.8171875000000002,0.0,0.002179568994912095,0.05469483352529939,1.0832698213174003e-36,True
-1.8140625,0.0,0.0021593061557280717,0.054449232026468675,1.4600638675169774e-36,True
-1.8109375,0.0,0.002140632950903416,0.05447964850240808,1.677497778692711e-36,True
-1.8078125000000003,0.0,0.002123518333110585,0.05427633937294468,1.6531212402967425e-36,True
-1.8046875,0.0,0.002106570108008387,0.05386176354585361,1.3045587449856097e-36,True
-1.8015625000000002,0.0,0.0020897885086033565,0.05365895289495524,5.521130222273479e-37,True
-1.7984375,0.0,0.0020744396599190413,0.05372534767265237,6.742940268587576e-37,True
