case,s,node,fraction,l,velocity,heat,required_negative_null_plus,required_negative_null_minus,required_before_plus,required_before_minus,fd_error,spline_error,geometry_rho,geometry_p_l,geometry_j_l,geometry_p_omega,reservoir_rho,reservoir_p_l,reservoir_j_l,reservoir_p_omega,endpoint_rho,endpoint_p_l,endpoint_j_l,endpoint_p_omega,remainder_rho,remainder_p_l,remainder_j_l,remainder_p_omega
prior_thermal_n64,0.0,20,0.3125,-1.6,-4.829945728577626e-08,1.8072537300907876,0.0017114581359929453,0.001730337998529072,0.0,0.0,5.165639393664434e-09,2.522775919828511e-08,0.005668025999929248,-0.0056892206065655634,-1.8630772254780341e-06,2.239958923204094e-05,0.004605214302881524,-0.002853850443512737,-8.458992391743483e-11,0.0,-2.2482866122002697e-05,-2.9177532622091023e-05,2.856972998477517e-06,0.00018192930832734705,0.0010852945631697267,-0.0028061926304307353,-4.7199656340316335e-06,-0.0001595297190953061
prior_thermal_n64,0.0,21,0.328125,-1.5750000000000002,-8.269296265603834e-08,1.9473993322962337,0.0016714653747589518,0.001695356639190529,0.0,2.2740682065512592e-05,4.025411136365786e-09,1.559900398429145e-08,0.0057332183408597085,-0.005749848221951768,-1.5213822930576427e-06,1.8437364686122283e-05,0.004558166450098968,-0.002885550216346768,-1.3831359175555323e-10,0.0,2.0868674843494202e-06,-7.921975353868457e-06,4.451572128428446e-06,7.352078042102379e-05,0.001172965023276391,-0.0028563760302511313,-5.972816107894333e-06,-5.50834157349015e-05
prior_thermal_n64,0.0,22,0.34375,-1.55,-1.4029600998943245e-07,1.9965167835065798,0.0015861466645677904,0.0016142913013273846,3.400543891085689e-05,6.215094670709043e-05,3.1415206087556657e-09,8.202386458016291e-09,0.005798788807692475,-0.005811936655247801,-1.2496068763662672e-06,1.538033377607451e-05,0.004469839196148656,-0.0029176984060100422,-2.1775915979828845e-10,0.0,2.3855213551660938e-05,1.107513170198641e-05,5.786770072692117e-06,-2.5345207271489975e-05,0.0013050943979921572,-0.0029053133809397447,-7.036159189898586e-06,4.0725541047564485e-05
prior_thermal_n64,0.0,23,0.359375,-1.525,-2.358641810865195e-07,1.9989264047414397,0.0014887544551268487,0.0015203102921695346,6.506914150372582e-05,9.66263217312609e-05,2.45540524544674e-09,2.701214604791213e-09,0.005864872084651621,-0.00587534914883722,-1.032463347413848e-06,1.2945621858225028e-05,0.004373981805504907,-0.0029502971634742083,-3.3579621221800684e-10,0.0,4.269971648840282e-05,2.767095094349192e-05,6.8568317094699185e-06,-0.00011321182329739201,0.0014481905626583117,-0.0029527229363065033,-7.888959260671548e-06,0.00012615744515561704
prior_thermal_n64,0.0,24,0.375,-1.5,-3.9291706232740045e-07,2.003457032678502,0.0014044772655776583,0.0014385318306726165,9.160832281793142e-05,0.00012566495130570082,1.9213978342397242e-09,1.2231055849223546e-09,0.0059315646955091905,-0.005939980767099294,-8.581352049791041e-07,1.0942799462765372e-05,0.0042962144986572895,-0.0029833465875939683,-5.158482028388314e-10,0.0,5.849792070304611e-05,4.172264476866646e-05,7.656021916963242e-06,-0.00018862223620388054,0.0015768522761488548,-0.002998356824273992,-8.513641273739507e-06,0.0001995650356666459
prior_thermal_n64,0.0,25,0.390625,-1.475,-6.485545429992166e-07,2.050787539012613,0.0013474645058403564,0.0013830726203188923,0.0001133359012517299,0.00014894721732496574,1.5043265053776844e-09,3.856596866179038e-09,0.0059989343625654005,-0.006005749504539806,-7.174851496148463e-07,9.244464489874601e-06,0.004250971901545456,-0.003016844897754179,-8.003986749465078e-10,0.0,7.118456586028849e-05,5.3141851453653526e-05,8.185343868694116e-06,-0.00025053328219811914,0.0016767778951596564,-0.003042046458239281,-8.902028619634015e-06,0.00025977774668799376
prior_thermal_n64,0.0,26,0.40625,-1.4500000000000002,-1.060700401291713e-06,2.149276868699028,0.0013153198602462736,0.0013516196030351527,0.00013039166243726131,0.00016669643263073474,1.3492871830786044e-09,5.4486266641187015e-09,0.006067026852495764,-0.006072589614592934,-6.034386289013574e-07,7.766023974663346e-06,0.004235714232178403,-0.003050788548071688,-1.256851148631436e-09,0.0,8.092317264973259e-05,6.205811278709571e-05,8.472753919466998e-06,-0.0002995564681271253,0.0017503894476676284,-0.0030838591793083416,-9.074935697219723e-06,0.00030732249210178864
prior_thermal_n64,0.0,27,0.421875,-1.425,-1.7188923758129752e-06,2.281722739773093,0.0012968774991263194,0.0013331233807768166,0.00014303865402307128,0.00017929246894547068,1.243530108308644e-09,6.213268399095981e-09,0.00613587108227764,-0.0061404467403089425,-5.10507011192885e-07,6.451917143996881e-06,0.00423900717691372,-0.003085172298446423,-1.9833179755386674e-09,0.0,8.793445701720743e-05,6.865544643576054e-05,8.552946719406968e-06,-0.00033671696849788116,0.001808929448346712,-0.00312392988829828,-9.061470412624313e-06,0.00034316888564187806
prior_thermal_n64,0.0,28,0.4375,-1.4,-2.7602181240663984e-06,2.42230339656426,0.0012807669901376058,0.0013163346722720587,0.00015155838038081367,0.000187138529894723,1.1631054113280721e-09,6.33321945708498e-09,0.006205482670639434,-0.006209274120802246,-4.344204598382522e-07,5.266294462625102e-06,0.004249191629951744,-0.0031199892538846803,-3.1168448641354054e-09,0.0,9.243913490854188e-05,7.311787006641532e-05,8.460616918639084e-06,-0.0003630399578173675,0.0018638519057791484,-0.0031624027369839807,-8.891920533613201e-06,0.0003683062522799926
prior_thermal_n64,0.0,29,0.453125,-1.375,-4.392678189789354e-06,2.5236615520872094,0.0012511386907429589,0.0012854439486317626,0.00015596197358419225,0.0001902864743394577,1.0916118369439767e-09,5.9643940682816945e-09,0.006275866643209608,-0.006279029893782159,-3.718461966201704e-07,4.186740662739062e-06,0.004250397976319136,-0.003155230880593601,-4.81071661547568e-09,0.0,9.449538306414832e-05,7.546559032512615e-05,8.20927899219619e-06,-0.0003781313764197107,0.0019309732838263234,-0.003199264603513684,-8.576314472200884e-06,0.0003823181170824498
prior_thermal_n64,0.0,30,0.46875,-1.35,-6.9292274759329554e-06,2.5993595807100274,0.0012128809186860011,0.0012450431995373764,0.0001551346813174173,0.00018732627921966416,1.0176680454058394e-09,5.240300461718125e-09,0.006347019317410008,-0.006349675006500622,-3.2017276081955583e-07,3.2000463586626725e-06,0.004248618584009205,-0.003190887005166057,-7.329262717929974e-09,0.0,9.351122140277288e-05,7.506356977515373e-05,7.727726714742159e-06,-0.00037592022794761566,0.00200488951199803,-0.003233851571109719,-8.040570212843786e-06,0.0003791202743062783
prior_thermal_n64,0.0,31,0.484375,-1.3250000000000002,-1.08371298710402e-05,2.7322273961047996,0.001189128893332502,0.0012178874241537737,0.0001476852405161332,0.00017648891539941115,9.338309247155753e-10,4.275687637869709e-09,0.006418929689045147,-0.006421171676406116,-2.7734503497086553e-07,2.299331965436792e-06,0.004268366882351647,-0.003226945801566281,-1.1286015501584586e-08,0.0,8.873213063774524e-05,7.111295995905744e-05,6.923573685848625e-06,-0.0003489162818709321,0.0020618306760557545,-0.0032653388347988923,-7.189632705317905e-06,0.0003512156138363689
prior_thermal_n64,0.0,32,0.5,-1.3,-1.6809229994191197e-05,2.9144760200130957,0.0011735028427103168,0.0011972175197165987,0.00013222796098466647,0.00015601264775320478,8.359570503533008e-10,3.169310587698438e-09,0.006491580448431787,-0.006493482248898931,-2.417381870473773e-07,1.4820414580663278e-06,0.004304633646299448,-0.0032633937694549263,-1.750244056405757e-08,0.0,7.940359148239477e-05,6.281491241939641e-05,5.704433505087204e-06,-0.00028962930765950813,0.0021075432106499436,-0.0032929033918634013,-5.928669251570523e-06,0.00029111134911757446
prior_thermal_n64,0.0,33,0.515625,-1.275,-2.5866537915829822e-05,3.100890609505897,0.00115186448335986,0.0011688030055769679,0.00010839825724084214,0.00012544473730769312,7.228407468349859e-10,2.0058376476094582e-09,0.006564948566677467,-0.006566568187047633,-2.120613763814402e-07,7.484773694964448e-07,0.004343627953730442,-0.0033002157065362956,-2.6989462435830516e-08,0.0,6.533961675763977e-05,4.996226014646207e-05,4.049558640331307e-06,-0.00019588829898789414,0.0021559809961893854,-0.0033163147406577993,-4.234630554276916e-06,0.0001966367763573906
prior_thermal_n64,0.0,34,0.53125,-1.25,-3.950545030071012e-05,3.291136301549228,0.0011277338483172614,0.0011372164460220666,7.990241785293453e-05,8.955058268587228e-05,5.959568766056071e-10,8.569901366820762e-10,0.006639005998029432,-0.006640389588662607,-1.8728417557297956e-07,1.006610854052384e-07,0.004385143323877145,-0.003337394676976884,-4.1391782033155246e-08,0.0,4.86283477147534e-05,3.471456192147427e-05,2.2247570326614606e-06,-8.679914634944441e-05,0.0022052343264375336,-0.0033377094736071976,-2.370649426201285e-06,8.689980743484965e-05
prior_thermal_n64,0.0,35,0.546875,-1.225,-5.99083952074732e-05,3.602588700147518,0.0011339662478920506,0.0011366430986865207,5.146602666664503e-05,5.440224978728618e-05,4.5916945539111284e-10,2.1790300889908817e-10,0.006713719777018893,-0.006714904399559877,-1.6658028870036838e-07,-4.586131861094479e-07,0.004457282512456181,-0.003374911977393861,-6.484308154271478e-08,0.0,3.1926457712597234e-05,1.9823057973384566e-05,5.674754914599177e-07,1.3213035557788278e-05,0.0022245108068501152,-0.003359815480139401,-6.692126986175713e-07,-1.3671648743897725e-05
prior_thermal_n64,0.0,36,0.5625,-1.2000000000000002,-9.024417761336168e-05,4.317706717258822,0.001237691533780285,0.0012355126567385724,2.7816450672241692e-05,2.6074231542864778e-05,3.1827431556162613e-10,1.1717996297130567e-09,0.0067890525065175044,-0.006790068238983879,-1.4928439154681887e-07,-9.265984989164109e-07,0.004622403855289654,-0.003412747101137778,-1.091644780838477e-07,0.0,1.7890620110032974e-05,8.038988531144702e-06,-5.848391738910465e-07,7.972313203575014e-05,0.0021487580311178173,-0.003385360126377246,5.447192604280753e-07,-8.064973053466655e-05
prior_thermal_n64,0.0,37,0.578125,-1.175,-0.00013509438068479555,5.185102408354649,0.001377207355837913,0.0013730177938919425,1.2505311330366214e-05,9.053004482986332e-06,1.8032668917587404e-10,1.9699736601054466e-09,0.006864962323016542,-0.0068658338651023075,-1.3485886631948145e-07,-1.301309132712997e-06,0.004815211119623061,-0.0034508777026648093,-1.8431377464772905e-07,0.0,8.528426065390453e-06,1.3791897555201357e-06,-9.97935578164452e-07,9.577102260556366e-05,0.0020412227773280904,-0.003416335352193018,1.0473904864926997e-06,-9.707233173827665e-05
