case,s,node,fraction,l,velocity,heat,required_negative_null_plus,required_negative_null_minus,required_before_plus,required_before_minus,fd_error,spline_error,geometry_rho,geometry_p_l,geometry_j_l,geometry_p_omega,reservoir_rho,reservoir_p_l,reservoir_j_l,reservoir_p_omega,endpoint_rho,endpoint_p_l,endpoint_j_l,endpoint_p_omega,remainder_rho,remainder_p_l,remainder_j_l,remainder_p_omega,magnetic,string,buffer,rest_mass,sigma,fast_speed2,extra_enthalpy_at_speed_half,gas_pressure
equilibrated_n64,0.0,20,0.3125,-1.6,-4.8299457285776255e-08,1.8072537300907876,0.08524365347755364,0.08526251720185252,0.0,0.0,5.165639393664434e-09,2.522775919828511e-08,0.005668025999929248,-0.0056892206065655634,-1.8630772254780341e-06,2.239958923204094e-05,0.04357796564307568,0.04170558548873518,-4.119149235070205e-09,0.0,-2.2482866122002697e-05,-2.9177532622091023e-05,2.856972998477517e-06,0.00018192930832734705,-0.037887456777024424,-0.047365628562678654,-4.715931074720481e-06,-0.0001595297190953061,0.041734127655728405,2.8542166993425224e-05,0.00181529582035362,0.0006466447264440585,45.98052525411377,0.9787145845094093,0.24858947011401683,0.0005283160061105894
equilibrated_n64,0.0,21,0.328125,-1.5750000000000002,-8.269296265603833e-08,1.9473993322962337,0.06722733651287462,0.06725120609327297,0.0,2.2740682065512592e-05,4.025411136365786e-09,1.559900398429145e-08,0.0057332183408597085,-0.005749848221951768,-1.5213822930576427e-06,1.8437364686122283e-05,0.03450846661475802,0.03272000991509324,-5.559321899105301e-09,0.0,2.0868674843494202e-06,-7.921975353868457e-06,4.451572128428446e-06,7.352078042102379e-05,-0.028777335141382657,-0.038461936161691135,-5.967395099586983e-06,-5.50834157349015e-05,0.03274886840437149,2.8858489278702013e-05,0.0017307397211073507,0.0005872091040201808,37.84378206033004,0.9742558539112681,0.19476247070512157,0.0005105033834277996
equilibrated_n64,0.0,22,0.34375,-1.55,-1.4029600998943245e-07,1.9965167835065798,0.05328966616384167,0.05331778178541945,3.400543891085689e-05,6.215094670709043e-05,3.1415206087556657e-09,8.202386458016291e-09,0.005798788807692475,-0.005811936655247801,-1.2496068763662672e-06,1.538033377607451e-05,0.02745961160438715,0.025796034177434434,-7.47155461259997e-09,0.0,2.3855213551660938e-05,1.107513170198641e-05,5.786770072692117e-06,-2.5345207271489975e-05,-0.021684678010246337,-0.031619045964384224,-7.028905394445784e-06,4.0725541047564485e-05,0.02582521362015034,2.9179442716962516e-05,0.0016052185415187763,0.000535694827525818,32.17657029517717,0.9698582466149199,0.1533460631793833,0.0004754820104082316
equilibrated_n64,0.0,23,0.359375,-1.525,-2.3586418108651946e-07,1.9989264047414397,0.04247044761629855,0.042501964788905486,6.506914150372582e-05,9.66263217312609e-05,2.45540524544674e-09,2.701214604791213e-09,0.005864872084651621,-0.00587534914883722,-1.032463347413848e-06,1.2945621858225028e-05,0.021968370659096792,0.020436987811887734,-1.000190514943851e-08,0.0,4.269971648840282e-05,2.767095094349192e-05,6.8568317094699185e-06,-0.00011321182329739201,-0.016146198290933576,-0.026340007911668444,-7.879293151734328e-06,0.00012615744515561704,0.020466492825954672,2.950501406929776e-05,0.001472372819070453,0.0004909666395089137,27.80069362985891,0.9652786140204882,0.12132658413665759,0.0004362195616649269
equilibrated_n64,0.0,24,0.375,-1.5,-3.929170623274005e-07,2.003457032678502,0.034046274575620435,0.03408027783867928,9.160832281793142e-05,0.00012566495130570082,1.9213978342397242e-09,1.2231055849223546e-09,0.0059315646955091905,-0.005939980767099294,-8.581352049791041e-07,1.0942799462765372e-05,0.017686020487020733,0.016268619083067305,-1.334135723226264e-08,0.0,5.849792070304611e-05,4.172264476866646e-05,7.656021916963242e-06,-0.00018862223620388054,-0.011812953712214589,-0.022250322494935266,-8.500815764710084e-06,0.0001995650356666459,0.016298454261301745,2.9835178239684844e-05,0.001357731047474051,0.0004520560915976274,24.008369391896434,0.9600133865455444,0.09643299452033641,0.0004024063750509438
equilibrated_n64,0.0,25,0.390625,-1.475,-6.485545429992164e-07,2.050787539012613,0.027466590955846356,0.027502131311700307,0.0001133359012517299,0.00014894721732496574,1.5043265053776844e-09,3.856596866179038e-09,0.0059989343625654005,-0.006005749504539806,-7.174851496148463e-07,9.244464489874601e-06,0.014344605222031757,0.013008614352453228,-1.7740054820679866e-08,0.0,7.118456586028849e-05,5.3141851453653526e-05,8.185343868694116e-06,-0.00025053328219811914,-0.008416855425326645,-0.01906750570844669,-8.885088963488283e-06,0.00025977774668799376,0.01303878425021127,3.016989776955129e-05,0.0012756510740394137,0.0004181382865003697,20.442555986604233,0.9533637687305223,0.07695705442722821,0.0003795306479488419
equilibrated_n64,0.0,26,0.40625,-1.4500000000000002,-1.0607004012917128e-06,2.149276868699028,0.022303517098525835,0.02233972779274669,0.00013039166243726131,0.00016669643263073474,1.3492871830786044e-09,5.4486266641187015e-09,0.006067026852495764,-0.006072589614592934,-6.034386289013574e-07,7.766023974663346e-06,0.011728813039930336,0.010444265358171929,-2.351899315471322e-08,0.0,8.092317264973259e-05,6.205811278709571e-05,8.472753919466998e-06,-0.0002995564681271253,-0.005742709360084306,-0.01657891308555196,-9.052673555213643e-06,0.00030732249210178864,0.010474774480478911,3.0509122331924883e-05,0.0012235294370945549,0.0003885112322944147,17.1222271616983,0.9448191444088329,0.06162511744577891,0.00036672140585203533
equilibrated_n64,0.0,27,0.421875,-1.425,-1.7188923758129752e-06,2.281722739773093,0.018226324726862767,0.018262454209322355,0.00014303865402307128,0.00017929246894547068,1.243530108308644e-09,6.213268399095981e-09,0.00613587108227764,-0.0061404467403089425,-5.10507011192885e-07,6.451917143996881e-06,0.009667404543506083,0.008415819363102206,-3.108311570309608e-08,0.0,8.793445701720743e-05,6.865544643576054e-05,8.552946719406968e-06,-0.00033671696849788116,-0.00361946791824565,-0.01462492154984691,-9.032370614896756e-06,0.00034316888564187806,0.008446672151274238,3.0852788225460476e-05,0.0011898796039529502,0.0003625777368490373,14.197524057414189,0.9341998080593829,0.04949015330369248,0.00035979854667028563
equilibrated_n64,0.0,28,0.4375,-1.4,-2.760218124066398e-06,2.42230339656426,0.014983727887038903,0.01501914427736447,0.00015155838038081367,0.000187138529894723,1.1631054113280721e-09,6.33321945708498e-09,0.006205482670639434,-0.006209274120802246,-4.344204598382522e-07,5.266294462625102e-06,0.008028744770573467,0.006803342856490449,-4.0939797085650886e-08,0.0,9.243913490854188e-05,7.311787006641532e-05,8.460616918639084e-06,-0.0003630399578173675,-0.0019157012348425756,-0.01308573484735911,-8.854097581391686e-06,0.0003683062522799926,0.006834543674246394,3.120081786895082e-05,0.0011630002783451167,0.00033982968298856353,11.753296712828929,0.9215889018724022,0.03984426176713325,0.00035456725076369244
equilibrated_n64,0.0,29,0.453125,-1.375,-4.392678189789354e-06,2.5236615520872094,0.012380181406486045,0.01241429112087993,0.00015596197358419225,0.0001902864743394577,1.0916118369439767e-09,5.9643940682816945e-09,0.006275866643209608,-0.006279029893782159,-3.718461966201704e-07,4.186740662739062e-06,0.006707103361672217,0.005517008678048945,-5.369659034538849e-08,0.0,9.449538306414832e-05,7.546559032512615e-05,8.20927899219619e-06,-0.0003781313764197107,-0.0005257321015267576,-0.01187150416215623,-8.52742859847097e-06,0.0003823181170824498,0.005548561797110339,3.155311929726611e-05,0.0011269884450287393,0.00031983447569224624,9.84670574323208,0.9078061096454136,0.032164382337633295,0.0003454069319398039
