scenario,path_kind,control,u,angular_time_demand,rate_radial_pressure,rate_angular_pressure,density_change,comoving_entropy_rate_per_entropy,scaled_angular_demand,scaled_rate_angular_pressure,scaled_entropy_rate
direct_fast,direct,negative_tensor_kinetic,0.0078125,7.655596930748244e-08,-1.9138992327480193e-08,7.655596930687287e-08,-6.095775671553127e-19,2.2788396463419838e-20,9.799164071357753e-06,9.799164071279727e-06,4.779073122005384e-14
direct_fast,direct,negative_tensor_kinetic,0.015625,1.3944839792445338e-07,-3.4862099490051785e-08,1.3944839791551496e-07,-8.938433697749e-18,1.5895143729655637e-19,8.924697467165016e-06,8.924697466592957e-06,4.166816557866847e-14
direct_fast,direct,negative_tensor_kinetic,0.03125,2.323589647292389e-07,-5.808974130286957e-08,2.3235896460867907e-07,-1.2055983378685207e-16,9.727046028082635e-19,7.435486871335645e-06,7.43548686747773e-06,3.187358442482118e-14
direct_fast,direct,negative_tensor_kinetic,0.0625,3.2721014536844544e-07,-8.180253773021765e-08,3.2721014398033917e-07,-1.3881062829691546e-15,4.647916668417334e-18,5.235362325895127e-06,5.235362303685427e-06,1.90378666738374e-14
direct_fast,direct,negative_tensor_kinetic,0.125,3.360498338470772e-07,-8.40124703950618e-08,3.360498219137847e-07,-1.1933292498931073e-14,1.399600231173788e-17,2.6883986707766174e-06,2.6883985753102775e-06,7.165953183609795e-15
direct_slow,direct,zero_rate,0.000244140625,9.319258901378508e-12,0.0,0.0,0.0,-0.0,3.817168446004637e-08,0.0,-0.0
direct_slow,direct,zero_rate,0.00048828125,1.8633825905055518e-11,0.0,0.0,0.0,-0.0,3.81620754535537e-08,0.0,-0.0
direct_slow,direct,zero_rate,0.0009765625,3.724887458388772e-11,0.0,0.0,0.0,-0.0,3.8142847573901026e-08,0.0,-0.0
direct_slow,direct,zero_rate,0.001953125,7.442256309181106e-11,0.0,0.0,0.0,-0.0,3.8104352303007264e-08,0.0,-0.0
direct_slow,direct,zero_rate,0.00390625,1.485437631042598e-10,0.0,0.0,0.0,-0.0,3.802720335469051e-08,0.0,-0.0
direct_slow,direct,zero_rate,0.0078125,2.9587710107486033e-10,0.0,0.0,0.0,-0.0,3.787226893758212e-08,0.0,-0.0
direct_slow,direct,zero_rate,0.015625,5.868723540219707e-10,0.0,0.0,0.0,-0.0,3.7559830657406125e-08,0.0,-0.0
direct_slow,direct,zero_rate,0.03125,1.1538901874965609e-09,0.0,0.0,0.0,-0.0,3.692448599988995e-08,0.0,-0.0
direct_slow,direct,zero_rate,0.0625,2.225646601556182e-09,0.0,0.0,0.0,-0.0,3.5610345624898914e-08,0.0,-0.0
direct_slow,direct,zero_rate,0.125,4.099334338148041e-09,0.0,0.0,0.0,-0.0,3.279467470518433e-08,0.0,-0.0
direct_slow,direct,exact_tensor_match,0.000244140625,9.319258901378508e-12,0.0,9.319258901378508e-12,0.0,-0.0,3.817168446004637e-08,3.817168446004637e-08,-0.0
direct_slow,direct,exact_tensor_match,0.00048828125,1.8633825905055518e-11,0.0,1.8633825905055518e-11,0.0,-0.0,3.81620754535537e-08,3.81620754535537e-08,-0.0
direct_slow,direct,exact_tensor_match,0.0009765625,3.724887458388772e-11,0.0,3.724887458388772e-11,0.0,-0.0,3.8142847573901026e-08,3.8142847573901026e-08,-0.0
direct_slow,direct,exact_tensor_match,0.001953125,7.442256309181106e-11,0.0,7.442256309181108e-11,0.0,-0.0,3.8104352303007264e-08,3.810435230300727e-08,-0.0
direct_slow,direct,exact_tensor_match,0.00390625,1.485437631042598e-10,0.0,1.4854376310425978e-10,0.0,-0.0,3.802720335469051e-08,3.80272033546905e-08,-0.0
direct_slow,direct,exact_tensor_match,0.0078125,2.9587710107486033e-10,0.0,2.958771010748604e-10,0.0,-0.0,3.787226893758212e-08,3.787226893758213e-08,-0.0
direct_slow,direct,exact_tensor_match,0.015625,5.868723540219707e-10,0.0,5.868723540219707e-10,0.0,-0.0,3.7559830657406125e-08,3.7559830657406125e-08,-0.0
direct_slow,direct,exact_tensor_match,0.03125,1.1538901874965609e-09,0.0,1.153890187496561e-09,0.0,-0.0,3.692448599988995e-08,3.6924485999889955e-08,-0.0
direct_slow,direct,exact_tensor_match,0.0625,2.225646601556182e-09,0.0,2.225646601556182e-09,0.0,-0.0,3.5610345624898914e-08,3.5610345624898914e-08,-0.0
direct_slow,direct,exact_tensor_match,0.125,4.099334338148041e-09,0.0,4.099334338148041e-09,0.0,-0.0,3.279467470518433e-08,3.279467470518433e-08,-0.0
direct_slow,direct,positive_bulk,0.000244140625,9.319258901378508e-12,9.319258901378518e-12,9.319258901378518e-12,8.996146848380198e-27,-1.4023234450595575e-27,3.817168446004637e-08,3.817168446004641e-08,-9.636693335911763e-17
direct_slow,direct,positive_bulk,0.00048828125,1.8633825905055518e-11,1.8633825905055663e-11,1.8633825905055663e-11,1.4385314850183313e-25,-1.121244354024025e-26,3.81620754535537e-08,3.8162075453554e-08,-9.631415662715666e-17
direct_slow,direct,positive_bulk,0.0009765625,3.724887458388772e-11,3.724887458389002e-11,3.724887458389002e-11,2.2989252266386123e-24,-8.960126239126152e-26,3.8142847573901026e-08,3.814284757390338e-08,-9.620862291269574e-17
direct_slow,direct,positive_bulk,0.001953125,7.442256309181106e-11,7.442256309184777e-11,7.442256309184777e-11,3.669568107723358e-23,-7.152381134949209e-25,3.8104352303007264e-08,3.810435230302606e-08,-9.599763457229442e-17
direct_slow,direct,positive_bulk,0.00390625,1.485437631042598e-10,1.4854376310484413e-10,1.4854376310484413e-10,5.843482380424306e-22,-5.696772037301797e-24,3.802720335469051e-08,3.8027203354840097e-08,-9.557597497257231e-17
direct_slow,direct,positive_bulk,0.0078125,2.9587710107486033e-10,2.9587710108412123e-10,2.9587710108412123e-10,9.260863449448372e-21,-4.517265793854717e-23,3.787226893758212e-08,3.787226893876752e-08,-9.473392994114008e-17
direct_slow,direct,positive_bulk,0.015625,5.868723540219707e-10,5.868723541673274e-10,5.868723541673274e-10,1.4535669135843766e-19,-3.54976592043728e-22,3.7559830657406125e-08,3.7559830666708956e-08,-9.305498374471104e-17
direct_slow,direct,positive_bulk,0.03125,1.1538901874965609e-09,1.153890189733498e-09,1.153890189733498e-09,2.23693692876605e-18,-2.7379776495602193e-21,3.692448599988995e-08,3.6924486071471935e-08,-8.971805162078926e-17
direct_slow,direct,positive_bulk,0.0625,2.225646601556182e-09,2.2256466345945807e-09,2.2256466345945807e-09,3.30383986490874e-17,-2.0295709753614922e-20,3.5610345624898914e-08,3.561034615351329e-08,-8.313122715080672e-17
direct_slow,direct,positive_bulk,0.125,4.099334338148041e-09,4.099334784296716e-09,4.099334784296716e-09,4.461486746274385e-16,-1.3736991928008446e-19,3.279467470518433e-08,3.2794678274373725e-08,-7.033339867140324e-17
direct_slow,direct,positive_squared_rate,0.000244140625,9.319258901378508e-12,9.319258901378518e-12,8.996146848380198e-27,8.996146848380198e-27,-1.4023234450595575e-27,3.817168446004637e-08,3.684821749096529e-23,-9.636693335911763e-17
direct_slow,direct,positive_squared_rate,0.00048828125,1.8633825905055518e-11,1.8633825905055663e-11,1.4385314850183313e-25,1.4385314850183313e-25,-1.121244354024025e-26,3.81620754535537e-08,2.9461124813175426e-22,-9.631415662715666e-17
direct_slow,direct,positive_squared_rate,0.0009765625,3.724887458388772e-11,3.724887458389002e-11,2.2989252266386123e-24,2.2989252266386123e-24,-8.960126239126152e-26,3.8142847573901026e-08,2.354099432077939e-21,-9.620862291269574e-17
direct_slow,direct,positive_squared_rate,0.001953125,7.442256309181106e-11,7.442256309184777e-11,3.669568107723358e-23,3.669568107723358e-23,-7.152381134949209e-25,3.8104352303007264e-08,1.8788188711543594e-20,-9.599763457229442e-17
direct_slow,direct,positive_squared_rate,0.00390625,1.485437631042598e-10,1.4854376310484413e-10,5.843482380424306e-22,5.843482380424306e-22,-5.696772037301797e-24,3.802720335469051e-08,1.4959314893886224e-19,-9.557597497257231e-17
