variant,zone,axial_zone,coord_volume,proper_volume,proper_volume_ordinary,proper_volume_nec_respecting,proper_volume_nec_violating,proper_volume_negative_rest_energy,proper_volume_nec_respecting_negative_energy,proper_volume_without_static_frame,proper_volume_violating_z,proper_volume_violating_r,proper_volume_violating_phi,type_iv,unresolved,eulerian_positive,eulerian_negative,rest_negative,killing_energy,komar_density,komar_abs,nec_content_coord,nec_content_proper,min_null,min_rest_energy,max_abs_component,max_source_speed,max_static_frame_speed,max_source_speed_vs_static,max_alpha
single_layer,conformal_rise,track,87.65043503515523,89.15420349425966,0.9307869314618273,21.352666649563773,43.07589899996268,33.01787234435204,0.0,0.0,37.873792521495226,18.875248497998392,0.0,0,0,0.2561330176290906,-0.2561330240768546,-0.25613302196147986,0.03561631255939168,1.2870157258962325,1.2870157258962325,0.3542049170219028,0.3731559073300061,-0.1141555449328454,-0.0964545662119766,0.18735302164985534,0.0,0.0,0.0,1.2843780467453014
single_layer,service_region,support,47.14352475793183,14305.113696202316,0.0,4581.9006791507145,9723.213017051601,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-1.837936159696405,8.511332116662182,6.719922580574512e-05,0.010382159123255649,-1.6732764465645753e-05,-0.0,0.05739153695574326,,0.0,,452.46101891619827
single_layer,conformal_rise,support,69.27211801165494,4927.551529368095,46.97988443433239,20.39696401896233,4859.814485937808,1196.1466499559053,0.0,0.0,1958.2844757062162,211.75901771050317,2850.462044707796,0,0,2546.850463226722,-2546.8483679971805,-2546.8483679971805,715824.4054918988,-2.854416732866069,2605913.1551925093,41.89607622993389,1906.838330692806,-1.63906349313669,-5.752961275846263,16.74890131419276,0.0,0.0,0.0,452.46101891619827
staged_no_sheaths,service_region,beyond,28.863382504856226,28.863382504856226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,1.0
staged_no_sheaths,conformal_rise,beyond,111.32138177752552,111.32138177752552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,1.0
staged_no_sheaths,sheath_rise,beyond,586.0834560480337,586.0834560480337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,1.0
staged_no_sheaths,sheath_plateau,beyond,80.13934393791459,80.13934393791459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,1.0
staged_no_sheaths,outer_falls,beyond,848.2300164692442,848.2300164692442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,1.0
staged_no_sheaths,service_region,sheath_end,19.242255003237485,19.242255003237485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,1.0
staged_no_sheaths,conformal_rise,sheath_end,74.21425451835034,74.21425451835034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,1.0
staged_no_sheaths,sheath_rise,sheath_end,390.7223040320224,390.7223040320224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,1.0
