s,eulerian_negative,nec_content_coord,nec_content_proper
-1.2,-229.04022920547834,-17.47899923961047,-446051.79533243534
-1.1,-378.1446581477237,-22.40301078656576,-533866.7793036023
-1.0,-498.87733524437294,-26.401858382899572,-615632.915472102
-0.9,-630.084161615846,-27.686788469103192,-682256.1286710788
-0.8,-738.0052871663192,-28.899422407459067,-728798.8120238031
-0.7,-796.7838985641132,-32.64492305208827,-753146.4312493344
-0.6,-806.5373857664474,-33.763684653802756,-753760.424713478
-0.5,-768.6092097565565,-29.789840317252686,-730493.9479751035
-0.4,-675.8847262590945,-28.215976858257655,-684918.9751904495
-0.3,-545.4147489512642,-26.68883189737132,-619092.5709558936
-0.2,-413.8423096583304,-22.51928836815246,-537751.4933676389
-0.1,-305.90481661397706,-17.461586958216447,-447923.1226962167
-0.0,-219.99141330561747,-12.220674962896078,-355290.6623674595
0.1,-140.8644449862664,-6.334133597315249,-265791.98956582655
0.2,-411.18139063579923,0.20740779791982356,-184817.64762845592
0.3,-47.913531034554694,4.637891270011323,-112024.17040500522
0.4,-5.79128297155468,10.907836122270451,-63576.52638377008
0.5,-1.4667047928027146,12.469227156777098,-38407.509558084195
0.6,-0.9791246185744993,13.248278517215997,-23558.658626815908
0.7,-0.9802880070789746,12.09230129132563,-12785.89120774744
0.8,-1.1215167249305051,9.480009614117549,-5836.67579125419
0.9,-1.117613237373685,5.904465947555534,-2140.330899793949
1.0,-0.7581166453577175,2.829368220961994,-599.3138458109364
1.1,-0.33593622763281056,1.124592989915789,-101.19100790699895
1.2,-0.10877246887978585,0.5761014245996592,10.785719782175853
1.3,-0.029325275007281174,0.28525465191265115,20.818773856858456
1.4,-0.0072006007613250175,0.10906140766433828,11.87788900671723
1.5,-0.001691890059300553,0.0475175495387552,5.575230419247507
1.6,-0.0003898033891119875,0.022437548293666287,2.54445333093434
1.7,-8.906020459944583e-05,0.009547051760810766,1.1701751577716624
1.8,-2.0277822056762356e-05,0.005013443514238241,0.5417996847335951
1.9,-4.609126109633024e-06,0.0029787940335892237,0.25058873942693655
2.0,-1.045345149233253e-06,0.0017384138082552467,0.11516541276209756
2.1,-2.3584123818225755e-07,0.0008765029521049224,0.05237276877609725
2.2,-5.263836317624926e-08,0.00023251422523362251,0.02340040134400945
2.3,-1.1545606960922693e-08,4.659959275678153e-05,0.010389305144165042
2.4,-2.473587485625668e-09,9.883768807168638e-06,0.004597694961223939
2.5,-5.145944883775375e-10,-5.61355604906518e-07,0.0020221190657549264
2.6,-1.0431205356909624e-10,-1.6025211570135243e-06,0.0008841977225592305
2.7,-2.0292597535449677e-11,-8.812258608159596e-07,0.0003840034975382878
2.8,-3.3698436120047496e-12,-3.4465307197084627e-07,0.00016531525175196294
2.9,-6.807515024227425e-13,-1.3784516461612384e-07,7.034095469862223e-05
3.0,2.510055933439448e-13,-5.8853244255807625e-08,2.9491475925169655e-05
3.1,-1.9890618970995773e-13,-2.3503632218258022e-08,1.2135296947235476e-05
3.2,1.7961593566533362e-13,-8.912129256799517e-09,4.870252178079682e-06
3.3,-1.8216571708254992e-13,-2.9193789385928427e-09,1.8891471427195938e-06
3.4,9.092309905373911e-14,-4.211594850644929e-10,6.996341198828305e-07
3.5,-2.1236799173852955e-18,-1.465141119538771e-10,2.4324490368599075e-07
3.6,-9.094960385786896e-14,-5.199238817255037e-11,7.819849088264164e-08
3.7,9.094946954106707e-13,1.3314216396054235e-11,2.279680302308407e-08
3.8,2.7284841030599075e-13,3.15304671261174e-11,5.841411621076987e-09
3.9,1.818989403485531e-13,4.274360865252902e-11,1.276202965527773e-09
4.0,5.456968210636337e-13,1.6620971265979278e-11,2.1941559680271894e-10
4.1,1.818989403545837e-13,3.4352432010109625e-11,6.093614501878619e-11
4.2,-2.1926293856417719e-29,1.145470385210956e-11,1.446096575818956e-11
4.3,2.728484105318785e-13,1.7214185632496993e-11,1.8917489796876908e-11
4.4,-1.8664460415677027e-33,1.1476153360945318e-11,1.2505552149377763e-11
4.5,-1.1475475833652756e-35,0.0,0.0
4.6,-5.574829256293821e-38,0.0,0.0
4.7,-2.1361815357039635e-40,0.0,0.0
4.8,-6.441988846972202e-43,0.0,0.0
4.9,-1.527135945071737e-45,0.0,0.0
5.0,-2.836811065958397e-48,0.0,0.0
5.1,-4.1002544292411314e-51,0.0,0.0
5.2,-4.632184149760865e-54,0.0,0.0
5.3,-4.053653416843902e-57,0.0,0.0
5.4,-2.784817564751675e-60,0.0,0.0
5.5,-1.3093807544490334e-63,0.0,0.0
5.6,-1.3128341304891918e-68,0.0,0.0
5.7,0.0,0.0,0.0
5.8,0.0,0.0,0.0
5.9,0.0,0.0,0.0
6.0,0.0,0.0,0.0
6.1,0.0,0.0,0.0
6.2,0.0,0.0,0.0
6.3,0.0,0.0,0.0
6.4,0.0,0.0,0.0
6.5,0.0,0.0,0.0
6.6,0.0,0.0,0.0
6.7,0.0,0.0,0.0
6.8,0.0,0.0,0.0
6.9,0.0,0.0,0.0
7.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0
7.2,0.0,0.0,0.0
7.3,0.0,0.0,0.0
7.4,0.0,0.0,0.0
7.5,0.0,0.0,0.0
7.6,0.0,0.0,0.0
7.7,0.0,0.0,0.0
7.8,0.0,0.0,0.0
7.9,0.0,0.0,0.0
8.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0
8.2,0.0,0.0,0.0
8.3,0.0,0.0,0.0
8.4,0.0,0.0,0.0
8.5,0.0,0.0,0.0
8.6,0.0,0.0,0.0
8.7,0.0,0.0,0.0
8.8,0.0,0.0,0.0
8.9,0.0,0.0,0.0
9.0,0.0,0.0,0.0
9.1,0.0,0.0,0.0
9.2,0.0,0.0,0.0
9.3,0.0,0.0,0.0
9.4,0.0,0.0,0.0
9.5,0.0,0.0,0.0
9.6,0.0,0.0,0.0
9.7,0.0,0.0,0.0
9.8,0.0,0.0,0.0
9.9,0.0,0.0,0.0
