s,variant,type_iv,samples_with_type_iv,unresolved,min_null
-6.9,sheath_conformal_e2,0,0,0,-1.4803671868219517
-6.9,sheath_conformal_e4,0,0,0,-1.8655436525854452
-6.9,sheath_conformal_e6,0,0,0,-2.253804757668254
-6.9,wide_stack,0,0,0,-2.652774535810175
-6.8,lapse_sheath_only,0,0,0,-1.3263096939763412
-6.8,sheath_conformal_e2,0,0,0,-1.4803671868219517
-6.8,sheath_conformal_e4,0,0,0,-1.8655436525854452
-6.8,sheath_conformal_e6,0,0,0,-2.253804757668254
-6.8,wide_stack,0,0,0,-2.652774535810175
-6.7,lapse_sheath_only,0,0,0,-1.3263096939763412
-6.7,sheath_conformal_e2,0,0,0,-1.4803671868219517
-6.7,sheath_conformal_e4,0,0,0,-1.8655436525854452
-6.7,sheath_conformal_e6,0,0,0,-2.253804757668254
-6.7,wide_stack,0,0,0,-2.652774535810175
-6.6,lapse_sheath_only,0,0,0,-1.3263096939763412
-6.6,sheath_conformal_e2,0,0,0,-1.4803671868219517
-6.6,sheath_conformal_e4,0,0,0,-1.8655436525854452
-6.6,sheath_conformal_e6,0,0,0,-2.253804757668254
-6.6,wide_stack,0,0,0,-2.652774535810175
-6.5,lapse_sheath_only,0,0,0,-1.3263096939763412
-6.5,sheath_conformal_e2,0,0,0,-1.4803671868219517
-6.5,sheath_conformal_e4,0,0,0,-1.8655436525854452
-6.5,sheath_conformal_e6,0,0,0,-2.253804757668254
-6.5,wide_stack,0,0,0,-2.652774535810175
-6.4,lapse_sheath_only,0,0,0,-1.3263096939763412
-6.4,sheath_conformal_e2,0,0,0,-1.4803671868219517
-6.4,sheath_conformal_e4,0,0,0,-1.8655436525854452
-6.4,sheath_conformal_e6,0,0,0,-2.253804757668254
-6.4,wide_stack,0,0,0,-2.652774535810175
-6.3,lapse_sheath_only,0,0,0,-1.3263096939763412
-6.3,sheath_conformal_e2,0,0,0,-1.4803671868219517
-6.3,sheath_conformal_e4,0,0,0,-1.8655436525854452
-6.3,sheath_conformal_e6,0,0,0,-2.253804757668254
-6.3,wide_stack,0,0,0,-2.652774535810175
-6.2,lapse_sheath_only,0,0,0,-1.3263096939763412
-6.2,sheath_conformal_e2,0,0,0,-1.4803671868219517
-6.2,sheath_conformal_e4,0,0,0,-1.8655436525854452
-6.2,sheath_conformal_e6,0,0,0,-2.253804757668254
-6.2,wide_stack,0,0,0,-2.652774535810175
-6.1,lapse_sheath_only,0,0,0,-1.3263096939763412
-6.1,sheath_conformal_e2,0,0,0,-1.4803671868219517
-6.1,sheath_conformal_e4,0,0,0,-1.8655436525854452
-6.1,sheath_conformal_e6,0,0,0,-2.253804757668254
-6.1,wide_stack,0,0,0,-2.652774535810175
-6.0,lapse_sheath_only,0,0,0,-3.087586697958884
-6.0,sheath_conformal_e2,0,0,0,-3.0643309967528287
-6.0,sheath_conformal_e4,0,0,0,-3.1480342268264145
-6.0,sheath_conformal_e6,0,0,0,-3.2317867199797146
-6.0,wide_stack,0,0,0,-3.315588275529414
-5.9,lapse_sheath_only,0,0,0,-2.6352152916694243
-5.9,sheath_conformal_e2,0,0,0,-2.607347315744527
-5.9,sheath_conformal_e4,0,0,0,-2.692912163076868
-5.9,sheath_conformal_e6,0,0,0,-2.7785186898071372
-5.9,wide_stack,0,0,0,-2.8641667261457116
-5.8,lapse_sheath_only,0,0,0,-3.304581248079926
-5.8,sheath_conformal_e2,0,0,0,-3.2680314403440383
-5.8,sheath_conformal_e4,0,0,0,-3.350904854655783
-5.8,sheath_conformal_e6,0,0,0,-3.433830912472864
-5.8,wide_stack,0,0,0,-3.5168093993411023
-5.7,lapse_sheath_only,0,0,0,-3.035037062088399
-5.7,sheath_conformal_e2,0,0,0,-2.994387770552847
-5.7,sheath_conformal_e4,0,0,0,-3.0783759287812855
-5.7,sheath_conformal_e6,0,0,0,-3.1624121893758423
-5.7,wide_stack,0,0,0,-3.246496356381613
-5.6,lapse_sheath_only,1,1,0,-2.6662813081239323
-5.6,sheath_conformal_e2,0,0,0,-2.6231412352484407
-5.6,sheath_conformal_e4,0,0,0,-2.7086417427928335
-5.6,sheath_conformal_e6,0,0,0,-2.7941841918365484
-5.6,wide_stack,0,0,0,-2.879768411522239
-5.5,lapse_sheath_only,0,0,0,-2.21628400454612
-5.5,sheath_conformal_e2,0,0,0,-2.13994711945992
-5.5,sheath_conformal_e4,0,0,0,-2.2274160178739746
-5.5,sheath_conformal_e6,0,0,0,-2.3149188391412427
-5.5,wide_stack,0,0,0,-2.652774535810175
-5.4,lapse_sheath_only,1,1,0,-1.7988058565518505
-5.4,sheath_conformal_e2,2,2,0,-1.7519217457400884
-5.4,sheath_conformal_e4,0,0,0,-1.8655436525854452
-5.4,sheath_conformal_e6,0,0,0,-2.253804757668254
-5.4,wide_stack,0,0,0,-2.652774535810175
-5.3,lapse_sheath_only,2,2,0,-1.7797539819545591
-5.3,sheath_conformal_e2,3,2,0,-1.7316544181712514
-5.3,sheath_conformal_e4,0,0,0,-1.8655436525854452
-5.3,sheath_conformal_e6,0,0,0,-2.253804757668254
-5.3,wide_stack,0,0,0,-2.652774535810175
-5.2,lapse_sheath_only,5,2,0,-1.4106716875035326
-5.2,sheath_conformal_e2,4,4,0,-1.4803671868219517
-5.2,sheath_conformal_e4,1,1,0,-1.8655436525854452
-5.2,sheath_conformal_e6,0,0,0,-2.253804757668254
-5.2,wide_stack,0,0,0,-2.652774535810175
-5.1,lapse_sheath_only,4,2,0,-1.4380269873437799
-5.1,sheath_conformal_e2,4,3,0,-1.4803671868219517
-5.1,sheath_conformal_e4,0,0,0,-1.8655436525854452
-5.1,sheath_conformal_e6,0,0,0,-2.253804757668254
-5.1,wide_stack,0,0,0,-2.652774535810175
-5.0,lapse_sheath_only,4,2,0,-1.488959570641685
-5.0,sheath_conformal_e2,10,4,0,-1.4803671868219517
-5.0,sheath_conformal_e4,0,0,0,-1.8655436525854452
-5.0,sheath_conformal_e6,0,0,0,-2.253804757668254
-5.0,wide_stack,0,0,0,-2.652774535810175
-4.9,lapse_sheath_only,4,2,0,-1.5185790902177576
-4.9,sheath_conformal_e2,6,4,0,-1.4803671868219517
-4.9,sheath_conformal_e4,0,0,0,-1.8655436525854452
-4.9,sheath_conformal_e6,0,0,0,-2.253804757668254
-4.9,wide_stack,0,0,0,-2.652774535810175
-4.8,lapse_sheath_only,4,2,0,-1.54080590027343
-4.8,sheath_conformal_e2,9,4,0,-1.4803671868219517
-4.8,sheath_conformal_e4,0,0,0,-1.8655436525854452
-4.8,sheath_conformal_e6,0,0,0,-2.253804757668254
-4.8,wide_stack,0,0,0,-2.652774535810175
-4.7,lapse_sheath_only,4,2,0,-1.5649726531713115
-4.7,sheath_conformal_e2,9,5,0,-1.4803671868219517
-4.7,sheath_conformal_e4,0,0,0,-1.8655436525854452
-4.7,sheath_conformal_e6,0,0,0,-2.253804757668254
-4.7,wide_stack,0,0,0,-2.652774535810175
-4.6,lapse_sheath_only,13,3,0,-1.5609009325557428
-4.6,sheath_conformal_e2,9,5,0,-1.4803671868219517
-4.6,sheath_conformal_e4,0,0,0,-1.8655436525854452
-4.6,sheath_conformal_e6,0,0,0,-2.253804757668254
-4.6,wide_stack,0,0,0,-2.652774535810175
-4.5,lapse_sheath_only,20,4,0,-1.5255522169294746
-4.5,sheath_conformal_e2,9,3,0,-1.4803671868219517
-4.5,sheath_conformal_e4,0,0,0,-1.8655436525854452
-4.5,sheath_conformal_e6,0,0,0,-2.253804757668254
-4.5,wide_stack,0,0,0,-2.652774535810175
-4.4,lapse_sheath_only,20,4,0,-1.4578602979084976
-4.4,sheath_conformal_e2,14,5,0,-1.4803671868219517
-4.4,sheath_conformal_e4,0,0,0,-1.8655436525854452
-4.4,sheath_conformal_e6,0,0,0,-2.253804757668254
-4.4,wide_stack,0,0,0,-2.652774535810175
-4.3,lapse_sheath_only,21,4,0,-1.3592032828612348
-4.3,sheath_conformal_e2,12,6,0,-1.4803671868219517
-4.3,sheath_conformal_e4,0,0,0,-1.8655436525854452
-4.3,sheath_conformal_e6,0,0,0,-2.253804757668254
-4.3,wide_stack,0,0,0,-2.652774535810175
-4.2,lapse_sheath_only,22,4,0,-1.3378860311829177
-4.2,sheath_conformal_e2,20,7,0,-1.4803671868219517
-4.2,sheath_conformal_e4,0,0,0,-1.8655436525854452
-4.2,sheath_conformal_e6,0,0,0,-2.253804757668254
-4.2,wide_stack,0,0,0,-2.652774535810175
-4.1,lapse_sheath_only,24,4,0,-1.3868512120404002
-4.1,sheath_conformal_e2,20,6,0,-1.4803671868219517
-4.1,sheath_conformal_e4,0,0,0,-1.8655436525854452
-4.1,sheath_conformal_e6,0,0,0,-2.253804757668254
-4.1,wide_stack,0,0,0,-2.652774535810175
-4.0,lapse_sheath_only,32,7,0,-1.3955646517291542
-4.0,sheath_conformal_e2,14,7,0,-1.4803671868219517
-4.0,sheath_conformal_e4,0,0,0,-1.8655436525854452
-4.0,sheath_conformal_e6,0,0,0,-2.253804757668254
-4.0,wide_stack,0,0,0,-2.652774535810175
-3.9,lapse_sheath_only,32,4,0,-1.4225657858174288
-3.9,sheath_conformal_e2,7,4,0,-1.4803671868219517
-3.9,sheath_conformal_e4,1,1,0,-1.8655436525854452
-3.9,sheath_conformal_e6,0,0,0,-2.253804757668254
-3.9,wide_stack,0,0,0,-2.652774535810175
-3.8,lapse_sheath_only,25,6,0,-1.450927000429356
-3.8,sheath_conformal_e2,11,5,0,-1.4803671868219517
-3.8,sheath_conformal_e4,0,0,0,-1.8655436525854452
-3.8,sheath_conformal_e6,0,0,0,-2.253804757668254
-3.8,wide_stack,0,0,0,-2.652774535810175
-3.7,lapse_sheath_only,18,3,0,-1.6201874543560029
-3.7,sheath_conformal_e2,4,4,0,-1.5726096530333062
-3.7,sheath_conformal_e4,0,0,0,-1.8655436525854452
-3.7,sheath_conformal_e6,0,0,0,-2.253804757668254
-3.7,wide_stack,0,0,0,-2.652774535810175
-3.6,lapse_sheath_only,9,4,0,-1.4586471869369508
-3.6,sheath_conformal_e2,8,6,0,-1.4803671868219517
-3.6,sheath_conformal_e4,0,0,0,-1.8655436525854452
-3.6,sheath_conformal_e6,0,0,0,-2.253804757668254
-3.6,wide_stack,0,0,0,-2.652774535810175
-3.5,lapse_sheath_only,4,2,0,-1.4440382588391851
-3.5,sheath_conformal_e2,8,6,0,-1.4803671868219517
-3.5,sheath_conformal_e4,0,0,0,-1.8655436525854452
-3.5,sheath_conformal_e6,0,0,0,-2.253804757668254
-3.5,wide_stack,0,0,0,-2.652774535810175
-3.4,lapse_sheath_only,20,2,0,-1.4593801366738004
-3.4,sheath_conformal_e2,8,3,0,-1.4803671868219517
-3.4,sheath_conformal_e4,0,0,0,-1.8655436525854452
-3.4,sheath_conformal_e6,0,0,0,-2.253804757668254
-3.4,wide_stack,0,0,0,-2.652774535810175
-3.3,lapse_sheath_only,6,1,0,-1.5268085562600435
-3.3,sheath_conformal_e2,4,1,0,-1.4803671868219517
-3.3,sheath_conformal_e4,0,0,0,-1.8655436525854452
-3.3,sheath_conformal_e6,0,0,0,-2.253804757668254
-3.3,wide_stack,0,0,0,-2.652774535810175
-3.2,lapse_sheath_only,6,1,0,-1.5616995688606181
-3.2,sheath_conformal_e2,5,3,0,-1.4803671868219517
-3.2,sheath_conformal_e4,0,0,0,-1.8655436525854452
-3.2,sheath_conformal_e6,0,0,0,-2.253804757668254
-3.2,wide_stack,0,0,0,-2.652774535810175
-3.1,lapse_sheath_only,6,1,0,-1.565115145828601
-3.1,sheath_conformal_e2,7,2,0,-1.4803671868219517
-3.1,sheath_conformal_e4,0,0,0,-1.8655436525854452
-3.1,sheath_conformal_e6,0,0,0,-2.253804757668254
-3.1,wide_stack,0,0,0,-2.652774535810175
-3.0,lapse_sheath_only,3,1,0,-1.5399675182285724
-3.0,sheath_conformal_e2,6,2,0,-1.4803671868219517
-3.0,sheath_conformal_e4,0,0,0,-1.8655436525854452
-3.0,sheath_conformal_e6,0,0,0,-2.253804757668254
-3.0,wide_stack,0,0,0,-2.652774535810175
-2.9,lapse_sheath_only,8,1,0,-1.5149372319163519
-2.9,sheath_conformal_e2,5,2,0,-1.4803671868219517
-2.9,sheath_conformal_e4,0,0,0,-1.8655436525854452
-2.9,sheath_conformal_e6,0,0,0,-2.253804757668254
-2.9,wide_stack,0,0,0,-2.652774535810175
-2.8,lapse_sheath_only,1,1,0,-1.4806118355259426
-2.8,sheath_conformal_e2,4,3,0,-1.4984992216225328
-2.8,sheath_conformal_e4,0,0,0,-1.8655436525854452
-2.8,sheath_conformal_e6,0,0,0,-2.253804757668254
-2.8,wide_stack,0,0,0,-2.652774535810175
-2.7,lapse_sheath_only,10,2,0,-1.6381485848081563
-2.7,sheath_conformal_e2,4,3,0,-1.709382303776984
-2.7,sheath_conformal_e4,0,0,0,-1.8655436525854452
-2.7,sheath_conformal_e6,0,0,0,-2.253804757668254
-2.7,wide_stack,0,0,0,-2.652774535810175
-2.6,lapse_sheath_only,1,1,0,-1.8076640080722592
-2.6,sheath_conformal_e2,4,2,0,-1.8772631799708508
-2.6,sheath_conformal_e4,0,0,0,-1.9469124225570333
-2.6,sheath_conformal_e6,0,0,0,-2.253804757668254
-2.6,wide_stack,0,0,0,-2.652774535810175
-2.5,lapse_sheath_only,0,0,0,-1.9058231558205785
-2.5,sheath_conformal_e2,11,2,0,-1.9734984021693136
-2.5,sheath_conformal_e4,0,0,0,-2.041287690055452
-2.5,sheath_conformal_e6,0,0,0,-2.253804757668254
-2.5,wide_stack,0,0,0,-2.652774535810175
-2.4,lapse_sheath_only,0,0,0,-1.9322971282278005
-2.4,sheath_conformal_e2,8,2,0,-1.997668864662756
-2.4,sheath_conformal_e4,0,0,0,-2.063259741489695
-2.4,sheath_conformal_e6,0,0,0,-2.253804757668254
-2.4,wide_stack,0,0,0,-2.652774535810175
-2.3,lapse_sheath_only,4,1,0,-1.9078437958525891
-2.3,sheath_conformal_e2,10,2,0,-1.9704336534473517
-2.3,sheath_conformal_e4,0,0,0,-2.0333847439176265
-2.3,sheath_conformal_e6,0,0,0,-2.253804757668254
-2.3,wide_stack,0,0,0,-2.652774535810175
-2.2,lapse_sheath_only,0,0,0,-1.8474951583870758
-2.2,sheath_conformal_e2,6,2,0,-1.9065804442324017
-2.2,sheath_conformal_e4,0,0,0,-1.966209225679337
-2.2,sheath_conformal_e6,0,0,0,-2.2538047576682545
-2.2,wide_stack,0,0,0,-2.6527745358101735
-2.1,lapse_sheath_only,0,0,0,-1.7396284260621786
-2.1,sheath_conformal_e2,5,2,0,-1.793993277206771
-2.1,sheath_conformal_e4,0,0,0,-1.8655436525854412
-2.1,sheath_conformal_e6,0,0,0,-2.253804757668251
-2.1,wide_stack,0,0,0,-2.652774535810168
-2.0,lapse_sheath_only,4,2,0,-1.5590324495406729
-2.0,sheath_conformal_e2,10,1,0,-1.606879862729108
-2.0,sheath_conformal_e4,0,0,0,-1.865543652585303
-2.0,sheath_conformal_e6,0,0,0,-2.2538047576680937
-2.0,wide_stack,0,0,0,-2.6527745358099764
-1.9,lapse_sheath_only,20,1,0,-1.6626072488147683
-1.9,sheath_conformal_e2,10,1,0,-1.7274773825502803
-1.9,sheath_conformal_e4,0,0,0,-1.8655436525817615
-1.9,sheath_conformal_e6,0,0,0,-2.2538047576641276
-1.9,wide_stack,0,0,0,-2.6527745358050705
-1.8,lapse_sheath_only,18,2,0,-1.7249403708357167
-1.8,sheath_conformal_e2,11,3,0,-1.7867539064717157
-1.8,sheath_conformal_e4,0,0,0,-1.8655436525041489
-1.8,sheath_conformal_e6,0,0,0,-2.2538047575771873
-1.8,wide_stack,0,0,0,-2.652774535697554
-1.7,lapse_sheath_only,17,1,0,-1.7231772292681444
-1.7,sheath_conformal_e2,13,3,0,-1.78169343274642
-1.7,sheath_conformal_e4,0,0,0,-1.865543651047659
-1.7,sheath_conformal_e6,0,0,0,-2.253804755945645
-1.7,wide_stack,0,0,0,-2.6527745336798634
-1.6,lapse_sheath_only,12,1,0,-1.6989749217849837
-1.6,sheath_conformal_e2,2,1,0,-1.7545316814435956
-1.6,sheath_conformal_e4,0,0,0,-1.8655436276557895
-1.6,sheath_conformal_e6,0,0,0,-2.2538047297423502
-1.6,wide_stack,0,0,0,-2.652774501274855
-1.5,lapse_sheath_only,33,2,0,-1.6854596905901487
-1.5,sheath_conformal_e2,0,0,0,-1.738655716296968
-1.5,sheath_conformal_e4,0,0,0,-1.865543306222969
-1.5,sheath_conformal_e6,0,0,0,-2.253804369677135
-1.5,wide_stack,0,0,0,-2.652774055990549
-1.4,lapse_sheath_only,4,2,0,-1.6816056993292505
-1.4,sheath_conformal_e2,0,0,0,-1.7327617377310247
-1.4,sheath_conformal_e4,0,0,0,-1.865539528420925
-1.4,sheath_conformal_e6,0,0,0,-2.2538001378289274
-1.4,wide_stack,0,0,0,-2.6527688225624484
-1.3,lapse_sheath_only,35,2,0,-1.682712330823894
-1.3,sheath_conformal_e2,0,0,0,-1.7329262420167029
-1.3,sheath_conformal_e4,0,0,0,-1.8654964861630225
-1.3,sheath_conformal_e6,0,0,0,-2.2537519224950384
-1.3,wide_stack,0,0,0,-2.652709195845751
-1.2,lapse_sheath_only,6,2,0,-1.4856847138787947
-1.2,sheath_conformal_e2,1,1,0,-1.5462787612159719
-1.2,sheath_conformal_e4,0,0,0,-1.8640392277928841
-1.2,sheath_conformal_e6,0,0,0,-2.2520978121326274
-1.2,wide_stack,0,0,0,-2.65079725700524
-1.1,lapse_sheath_only,0,0,0,-1.4497581508434532
-1.1,sheath_conformal_e2,0,0,0,-1.5110517789039537
-1.1,sheath_conformal_e4,0,0,0,-1.8582891720231565
-1.1,sheath_conformal_e6,0,0,0,-2.245589957109057
-1.1,wide_stack,0,0,0,-2.6431570665317867
-1.0,lapse_sheath_only,0,0,0,-1.38807703268589
-1.0,sheath_conformal_e2,0,0,0,-1.4590790105909088
-1.0,sheath_conformal_e4,0,0,0,-1.8393247897620972
-1.0,sheath_conformal_e6,0,0,0,-2.2240539921154867
-1.0,wide_stack,0,0,0,-2.618263630611165
-0.9,lapse_sheath_only,0,0,0,-1.5481197874557908
-0.9,sheath_conformal_e2,0,0,0,-1.5943426233740758
-0.9,sheath_conformal_e4,0,0,0,-1.8046493438502351
-0.9,sheath_conformal_e6,0,0,0,-2.1849707651738512
-0.9,wide_stack,0,0,0,-2.5713610857117652
-0.8,lapse_sheath_only,0,0,0,-1.7557656243554032
-0.8,sheath_conformal_e2,0,0,0,-1.8059203247375948
-0.8,sheath_conformal_e4,0,0,0,-1.8569527937532873
-0.8,sheath_conformal_e6,0,0,0,-2.1168825815812062
-0.8,wide_stack,0,0,0,-2.4915087536596503
-0.7,lapse_sheath_only,0,0,0,-1.7975324128744201
-0.7,sheath_conformal_e2,0,0,0,-1.8507406655727612
-0.7,sheath_conformal_e4,0,0,0,-1.9046857615285453
-0.7,sheath_conformal_e6,0,0,0,-2.005113380872539
-0.7,wide_stack,0,0,0,-2.3604738393270943
-0.6,lapse_sheath_only,0,0,0,-1.7984153041168809
-0.6,sheath_conformal_e2,0,0,0,-1.8493177011105617
-0.6,sheath_conformal_e4,0,0,0,-1.9010544067990234
-0.6,sheath_conformal_e6,0,0,0,-1.998828660642493
-0.6,wide_stack,0,0,0,-2.35271203780232
-0.5,lapse_sheath_only,0,0,0,-1.7791095634821503
-0.5,sheath_conformal_e2,0,0,0,-1.8269885795994767
-0.5,sheath_conformal_e4,0,0,0,-1.8758208474068152
-0.5,sheath_conformal_e6,0,0,0,-2.111488556474229
-0.5,wide_stack,0,0,0,-2.484844961212745
-0.4,lapse_sheath_only,0,0,0,-1.601846878464144
-0.4,sheath_conformal_e2,0,0,0,-1.6469976890084062
-0.4,sheath_conformal_e4,0,0,0,-1.8005394047272774
-0.4,sheath_conformal_e6,0,0,0,-2.1803727269293605
-0.4,wide_stack,0,0,0,-2.565679171993041
-0.3,lapse_sheath_only,0,0,0,-1.4958778735359677
-0.3,sheath_conformal_e2,0,0,0,-1.5377849318167438
-0.3,sheath_conformal_e4,0,0,0,-1.8387967724496153
-0.3,sheath_conformal_e6,0,0,0,-2.22346242495142
-0.3,wide_stack,0,0,0,-2.617531994457598
-0.2,lapse_sheath_only,0,0,0,-1.3509371743599004
-0.2,sheath_conformal_e2,0,0,0,-1.4742843627245787
-0.2,sheath_conformal_e4,0,0,0,-1.8578595777831957
-0.2,sheath_conformal_e6,0,0,0,-2.2451087560718204
-0.2,wide_stack,0,0,0,-2.642561997523073
-0.1,lapse_sheath_only,2,1,0,-1.4332942576632504
-0.1,sheath_conformal_e2,0,0,0,-1.4947220277640016
-0.1,sheath_conformal_e4,0,0,0,-1.864017406893581
-0.1,sheath_conformal_e6,0,0,0,-2.2520733683177703
-0.1,wide_stack,0,0,0,-2.650767027720013
-0.0,lapse_sheath_only,26,2,0,-1.4959062312985076
-0.0,sheath_conformal_e2,0,0,0,-1.5552988745343699
-0.0,sheath_conformal_e4,0,0,0,-1.865531878614623
-0.0,sheath_conformal_e6,0,0,0,-2.253791568611928
-0.0,wide_stack,0,0,0,-2.6527582252141557
0.1,lapse_sheath_only,39,3,0,-1.6348568719256062
0.1,sheath_conformal_e2,4,2,0,-1.6924220901810982
0.1,sheath_conformal_e4,0,0,0,-1.8655436191013306
0.1,sheath_conformal_e6,0,0,0,-2.2538047201597475
0.1,wide_stack,0,0,0,-2.6527744894242717
0.2,lapse_sheath_only,47,4,0,-1.8679689309597456
0.2,sheath_conformal_e2,5,2,0,-1.9270650815224024
0.2,sheath_conformal_e4,1,1,0,-1.9866038320784631
0.2,sheath_conformal_e6,0,0,0,-2.2538047576223366
0.2,wide_stack,0,0,0,-2.6527745357533883
0.3,lapse_sheath_only,27,5,0,-1.9501910042373398
0.3,sheath_conformal_e2,16,3,0,-2.012533406858224
0.3,sheath_conformal_e4,0,0,0,-2.0751620010899416
0.3,sheath_conformal_e6,0,0,0,-2.2538047576682296
0.3,wide_stack,0,0,0,-2.6527745358101464
0.4,lapse_sheath_only,0,0,0,-1.745239150322429
0.4,sheath_conformal_e2,9,2,0,-1.8129330630857996
0.4,sheath_conformal_e4,0,0,0,-1.8806963492197386
0.4,sheath_conformal_e6,0,0,0,-2.253804757668254
0.4,wide_stack,0,0,0,-2.652774535810175
0.5,lapse_sheath_only,0,0,0,-1.8285882031036778
0.5,sheath_conformal_e2,6,1,0,-1.8958340510171041
0.5,sheath_conformal_e4,0,0,0,-1.9632298549688036
0.5,sheath_conformal_e6,0,0,0,-2.253804757668254
0.5,wide_stack,0,0,0,-2.652774535810175
0.6,lapse_sheath_only,25,1,0,-1.6842474187597127
0.6,sheath_conformal_e2,5,2,0,-1.7542720153701747
0.6,sheath_conformal_e4,0,0,0,-1.8655436525854452
0.6,sheath_conformal_e6,0,0,0,-2.253804757668254
0.6,wide_stack,0,0,0,-2.652774535810175
0.7,lapse_sheath_only,0,0,0,-1.406368788707398
0.7,sheath_conformal_e2,5,1,0,-1.4803671868219517
0.7,sheath_conformal_e4,0,0,0,-1.8655436525854452
0.7,sheath_conformal_e6,0,0,0,-2.253804757668254
0.7,wide_stack,0,0,0,-2.652774535810175
0.8,lapse_sheath_only,13,1,0,-1.3263096939763412
0.8,sheath_conformal_e2,8,2,0,-1.4803671868219517
0.8,sheath_conformal_e4,0,0,0,-1.8655436525854452
0.8,sheath_conformal_e6,0,0,0,-2.253804757668254
0.8,wide_stack,0,0,0,-2.652774535810175
0.9,lapse_sheath_only,27,3,0,-1.3263096939763412
0.9,sheath_conformal_e2,5,3,0,-1.4803671868219517
0.9,sheath_conformal_e4,0,0,0,-1.8655436525854452
0.9,sheath_conformal_e6,0,0,0,-2.253804757668254
0.9,wide_stack,0,0,0,-2.652774535810175
1.0,lapse_sheath_only,42,4,0,-1.3263096939763412
1.0,sheath_conformal_e2,4,1,0,-1.4803671868219517
1.0,sheath_conformal_e4,0,0,0,-1.8655436525854452
1.0,sheath_conformal_e6,0,0,0,-2.253804757668254
1.0,wide_stack,0,0,0,-2.652774535810175
1.1,lapse_sheath_only,37,5,0,-1.3263096939763412
1.1,sheath_conformal_e2,4,3,0,-1.4803671868219517
1.1,sheath_conformal_e4,0,0,0,-1.8655436525854452
1.1,sheath_conformal_e6,0,0,0,-2.253804757668254
1.1,wide_stack,0,0,0,-2.652774535810175
