speed,packet,t,norm_total,norm_in_flat,windowed_norm,positive_part,negative_part,mixing_share
2.1,axis_wavelength_1,1,0.9998484183325304,0.9998484183325304,0.9998484171133524,87608.30731597722,6.859353368820582e-05,7.829569562062588e-10
2.1,axis_wavelength_1,2,0.999645334907364,0.9996453349090171,0.9996453162664437,87607.32964684509,7.697703865185963e-05,8.786597981530315e-10
2.1,axis_wavelength_1,3,0.9995312929782053,0.9995312911235974,0.9995185154900861,87604.2957426604,0.019463397094794423,2.2217395397719637e-07
2.1,axis_wavelength_1,4,0.9994706225104838,0.999468428334758,0.9981115899877253,87411.096466893,2.0319591873867915,2.3245469232977833e-05
2.1,axis_wavelength_1,5,0.9994331740290732,0.9991028684461043,0.9704969090230569,83910.21923002409,33.0050382240865,0.00039318287463697976
2.1,axis_wavelength_1,6,0.9994063980368022,0.9914341914755462,0.8396927627862283,69530.94518495849,101.1335620036388,0.0014523990066582781
2.1,axis_wavelength_1,7,0.9993847042303895,0.9554668382841491,0.6713635382032108,53691.80069352815,84.62737347717905,0.0015736890031396932
2.1,axis_wavelength_1,8,0.9993639937979205,0.9008327646543733,0.5878281243768456,46890.466487391874,53.338151466914624,0.00113621279479258
2.1,axis_wavelength_1,9,0.9993418202609534,0.8495506609702574,0.5491402528876759,43997.46451681214,44.463995398955895,0.001009583297121691
2.1,axis_wavelength_1,10,0.9993194071350037,0.8064332577188695,0.524455214517006,42238.2274901723,39.77810796049573,0.0009408700197119168
2.1,axis_wavelength_1,11,0.9992915214779743,0.7779627396699665,0.5062036545407786,40978.506585030285,36.410820685139115,0.000887745800508799
2.1,axis_wavelength_1,12,0.9992468081435658,0.7859696540295673,0.491683460089288,40011.44889036151,33.17490477347946,0.0008284484065376554
2.1,axis_wavelength_1,13,0.9991864166280112,0.8287202014851164,0.48024358977934267,39282.50276811102,29.638040175256553,0.0007539157004904041
2.1,axis_wavelength_1,14,0.9991209644179297,0.8652055945840115,0.4725720688111528,38770.730233456445,26.279703618950983,0.000677364148978848
2.1,axis_wavelength_1,15,0.9990440154342086,0.8896162506944519,0.4710599452517492,38583.11141804716,25.620615983765884,0.0006635964102934818
2.1,axis_wavelength_2,1,0.9999891058706936,0.9999891055098371,0.9999888240653465,262915.94173300336,0.0035125902625056725,1.3360126405511505e-08
2.1,axis_wavelength_2,2,0.9999643997734073,0.9999642695650668,0.9999348148558196,262903.8636339063,0.3691580111212673,1.4041539278427947e-06
2.1,axis_wavelength_2,3,0.9999377985396977,0.9999249789320726,0.9989369134005829,262531.9210607956,11.83745029121426,4.5087532677774107e-05
2.1,axis_wavelength_2,4,0.999916372371602,0.9995428992799289,0.9876787526399251,258532.30314647395,120.16740037359848,0.00046459018976133677
2.1,axis_wavelength_2,5,0.9999010660699575,0.9958500044707451,0.9345845018976734,240968.9669132657,450.2386606428241,0.0018649662091816766
2.1,axis_wavelength_2,6,0.9998903623429312,0.9795726498690875,0.8196948325711916,205696.37346111928,742.7776202012285,0.003598046282939003
2.1,axis_wavelength_2,7,0.9998822817435375,0.9434005236195264,0.6941616274601903,170108.23949637753,684.025683629387,0.004005015583747054
2.1,axis_wavelength_2,8,0.9998750125168251,0.8956745533040203,0.6121660837260031,148767.76776662955,517.6919984134822,0.0034677992031391792
2.1,axis_wavelength_2,9,0.9998679661437183,0.8504459014017769,0.5671970008433789,137944.0834811524,431.93049837745974,0.003121426076352769
2.1,axis_wavelength_2,10,0.9998622439361385,0.8167728206117812,0.538726325381516,131425.23150079732,390.1759534198636,0.0029600178078983794
2.1,axis_wavelength_2,11,0.9998586536292262,0.8027897181267742,0.5176456187728615,126721.3857342568,361.50308195385287,0.002844624365414486
2.1,axis_wavelength_2,12,0.999855564207011,0.8154054326737444,0.5010231155143497,122978.51840341627,341.91894761000344,0.002772605700681599
2.1,axis_wavelength_2,13,0.9998463418300082,0.8488223566094849,0.48904826987174144,119935.91418090275,342.10785812310206,0.00284430897950833
2.1,axis_wavelength_2,14,0.9998049446891131,0.8843176060944636,0.485011115711967,117967.998480654,381.08366463710894,0.003219996790252011
2.1,axis_wavelength_2,15,0.9996481835492337,0.9103238181776114,0.4940320084249568,118331.57220429787,464.84892369121053,0.003912987607517156
2.1,ring_wavelength_1,1,0.9999876199601779,0.9999876199601779,0.9999876111380828,1213406.4451397317,0.0004126529468916593,3.4007809040754305e-10
2.1,ring_wavelength_1,2,0.999976682665842,0.9999766826658492,0.9999766733903391,1213391.417555594,0.00042246396759993766,3.4816792120049197e-10
2.1,ring_wavelength_1,3,0.9999790270701621,0.9999790261547526,0.9999764944983704,1213370.9291094334,0.022559555421201555,1.8592463739280176e-08
2.1,ring_wavelength_1,4,1.0000013756610429,0.9999948721099876,0.9990050555628478,1211488.7705053051,11.229155717265153,9.268803731248097e-06
2.1,ring_wavelength_1,5,1.0000183246746357,0.998688588662622,0.9706015120651675,1165112.252478288,247.2448414758455,0.00021216186253640137
2.1,ring_wavelength_1,6,1.000016948249149,0.9719016894148792,0.8378750602538185,979427.7601409779,597.9169839332304,0.0006101033859514088
2.1,ring_wavelength_1,7,1.0000008715712772,0.870824966175015,0.6712450750056003,775026.2420020076,355.96657675360245,0.0004590853037575782
2.1,ring_wavelength_1,8,0.9999684430165041,0.7492703864353527,0.5715198266562181,656834.541603962,215.5251394414781,0.00032801935552598726
2.1,ring_wavelength_1,9,0.9999181784599932,0.6611501423255151,0.509565054898953,581860.1215830077,233.4780990911998,0.00040110061202993833
2.1,ring_wavelength_1,10,0.9998582584291664,0.6061875495551318,0.463098496308205,525901.1571293611,257.932489597273,0.0004902176826101519
2.1,ring_wavelength_1,11,0.9997524416444954,0.5870863357056354,0.4262858439038723,481848.50967079564,277.1060670851235,0.0005747590628658464
2.1,ring_wavelength_1,12,0.9995341922593826,0.627022655877184,0.3974719339660427,446253.15385855717,301.9376481209641,0.0006761487078833333
2.1,ring_wavelength_1,13,0.9992186915938489,0.7162421074775673,0.38163040833869327,419486.3798438588,387.56960251646314,0.0009230617975406498
2.1,ring_wavelength_1,14,0.9988394107115559,0.78689327477029,0.3963129994787421,414011.1070218595,636.4732928796058,0.0015349740914838799
2.1,ring_wavelength_1,15,0.9983273493167549,0.8284781505732186,0.4583530840564758,461402.3927421043,972.0376875504325,0.0021022738793042266
