design,s,max_abs_component,z
wide_edge_cutoff_in,-2.3,10.471758258065105,-4.8
wide_edge_cutoff_in,-2.2,8.088422829112377,-4.8
wide_edge_cutoff_in,-2.1,6.836657724001112,-4.75
wide_edge_cutoff_in,-2.0,5.28997045000008,-4.7
wide_edge_cutoff_in,-1.9,4.212854514324094,-4.7
wide_edge_cutoff_in,-1.8,3.5146605805333326,-4.6
wide_edge_cutoff_in,-1.7,3.0482871496840054,-4.55
wide_edge_cutoff_in,-1.6,2.7031971056515767,-4.45
wide_edge_cutoff_in,-1.5,2.4479294327639245,-4.4
wide_edge_cutoff_in,-1.4,2.1638721563207053,-4.35
wide_edge_cutoff_in,-1.3,1.831068252096959,-4.3
wide_edge_cutoff_in,-1.2,1.5314100965014805,1.75
wide_edge_cutoff_in,-1.1,1.531483194393303,-3.85
wide_edge_cutoff_in,-1.0,1.5307923221580404,-3.65
wide_edge_cutoff_in,-0.9,1.5276880611899668,-3.45
wide_edge_cutoff_in,-0.8,1.5276880611899668,2.6
wide_edge_cutoff_in,-0.7,1.5307923221580404,2.8
wide_edge_cutoff_in,-0.6,1.531483194393303,-2.8
wide_edge_cutoff_in,-0.5,1.5307923222033157,-2.6
wide_edge_cutoff_in,-0.4,1.5276880611997212,-2.4
wide_edge_cutoff_in,-0.3,1.5276880611997212,3.65
wide_edge_cutoff_in,-0.2,1.5307923221580404,3.85
wide_edge_cutoff_in,-0.1,1.5314831944159202,-1.75
wide_edge_cutoff_in,-0.0,2.0304930192124524,4.35
wide_edge_cutoff_in,0.1,2.684773644730052,4.45
wide_edge_cutoff_in,0.2,3.64554710720013,4.65
wide_edge_cutoff_in,0.3,6.103542061865803,4.75
wide_edge_cutoff_in,0.4,9.500766902249566,4.8
wide_edge_cutoff_in,0.5,12.114592274409102,4.8
wide_edge_cutoff_in,0.6,12.900154667995354,4.8
wide_edge_cutoff_in,0.7,14.237795006972398,4.85
wide_edge_cutoff_in,0.8,15.769936873581976,4.85
wide_edge_cutoff_in,0.9,16.46840945711063,4.85
wide_edge_cutoff_in,1.0,16.532009805900856,4.85
wide_edge_cutoff_in,1.1,16.20409231106995,4.85
wide_edge_cutoff_in,1.2,15.689062490618937,4.85
wide_edge_cutoff_in,1.3,15.13363979930243,4.85
wide_edge_cutoff_in,1.4,14.586454055105172,4.85
wide_edge_cutoff_in,1.5,14.100962486908191,4.85
wide_edge_cutoff_in,1.6,13.654629620344808,4.85
wide_edge_cutoff_in,1.7,13.245324684341472,4.85
wide_edge_cutoff_in,1.8,12.871238566154922,4.85
wide_edge_cutoff_in,1.9,12.002846128803021,4.85
wide_edge_cutoff_in,2.0,9.802862867816831,4.85
wide_edge_cutoff_in,2.1,6.697454839139424,4.8
wide_edge_cutoff_in,2.2,4.45126773199523,4.8
wide_edge_cutoff_in,2.3,2.444678769278334,4.8
wide_edge_cutoff_in,2.4,1.1509055106064696,4.8
wide_edge_cutoff_in,2.5,0.481881381075467,4.8
wide_edge_cutoff_in,2.6,0.27017860639256275,-6.2
wide_edge_cutoff_in,2.7,0.27017860639256275,-6.2
wide_edge_cutoff_in,2.8,0.27017860639256275,-6.2
wide_edge_cutoff_in,2.9,0.27017860639256275,-6.2
wide_edge_cutoff_in,3.0,0.27017860639256275,-6.2
