design,s,type_iv,samples_with_type_iv,unresolved,worst_envelope_ratio
convexity_0p05,-6.8,0,0,0,1.741956100249286e-54
convexity_0p05,-6.6,0,0,0,7.167580013230499e-51
convexity_0p05,-6.4,0,0,0,2.208366843571107e-47
convexity_0p05,-6.2,0,0,0,5.207949161819445e-44
convexity_0p05,-6.0,0,0,0,9.619245623978398e-41
convexity_0p05,-5.8,0,0,0,1.4119349433414829e-37
convexity_0p05,-5.6,0,0,0,1.5892693032689628e-34
convexity_0p05,-5.4,0,0,0,1.3706629956464514e-31
convexity_0p05,-5.2,0,0,0,9.048109181075217e-29
convexity_0p05,-5.0,0,0,0,4.6759450547990124e-26
convexity_0p05,-4.8,0,0,0,1.9184101410646493e-23
convexity_0p05,-4.6,0,0,0,6.033588982374094e-21
convexity_0p05,-4.4,0,0,0,1.45331197723589e-18
convexity_0p05,-4.2,0,0,0,2.6774948944925233e-16
convexity_0p05,-4.0,0,0,0,3.765652471179298e-14
convexity_0p05,-3.8,0,0,0,3.965876460224123e-12
convexity_0p05,-3.6,0,0,0,1.7735737409702073e-10
convexity_0p05,-3.4,0,0,0,3.2684558775262675e-09
convexity_0p05,-3.2,0,0,0,4.5970775330180814e-08
convexity_0p05,-3.0,0,0,0,9.076208104033752e-07
convexity_0p05,-2.8,0,0,0,0.0025463984608592493
convexity_0p05,-2.6,0,0,0,0.025672153733958203
convexity_0p05,-2.4,0,0,0,0.06698390005362835
convexity_0p05,-2.2,0,0,0,0.1048584084255252
convexity_0p05,-2.0,0,0,0,0.12334445059062614
convexity_0p05,-1.8,0,0,0,0.14586220904575933
convexity_0p05,-1.6,0,0,0,0.1720314151436025
convexity_0p05,-1.4,0,0,0,0.1937676955428305
convexity_0p05,-1.2,44,4,0,0.44767136984633027
convexity_0p05,-1.0,81,6,0,0.5425768812585223
convexity_0p05,-0.8,84,6,0,0.5551867234089232
convexity_0p05,-0.6,85,7,0,0.5450197767708305
convexity_0p05,-0.4,73,7,0,0.5031613459797926
convexity_0p05,-0.2,45,5,0,0.40070779304596715
convexity_0p05,0.0,0,0,0,0.29241470655922996
convexity_0p05,0.2,0,0,0,0.29233982271828984
convexity_0p05,0.4,0,0,0,0.21367465121145152
convexity_0p05,0.6,0,0,0,0.11300703770444809
convexity_0p05,0.8,0,0,0,0.07417052050304639
convexity_0p05,1.0,0,0,0,0.030006266607987418
convexity_0p05,1.2,0,0,0,0.003580162833737817
convexity_0p05,1.4,0,0,0,0.0
convexity_0p05,1.6,0,0,0,0.0
convexity_0p05,1.8,0,0,0,0.0
convexity_0p05,2.0,0,0,0,0.0
convexity_0p05,2.2,0,0,0,0.0
convexity_0p05,2.4,0,0,0,0.0
convexity_0p05,2.6,0,0,0,0.0
convexity_0p05,2.8,0,0,0,0.0
convexity_0p05,3.0,0,0,0,0.0
packet_lapse_e3,-8.0,0,0,0,3.320792352117615e-79
packet_lapse_e3,-7.8,0,0,0,1.9968887443065326e-73
packet_lapse_e3,-7.6,0,0,0,2.101192489234334e-68
packet_lapse_e3,-7.4,0,0,0,7.929840743520302e-65
packet_lapse_e3,-7.2,0,0,0,3.265780278918206e-61
packet_lapse_e3,-7.0,0,0,0,5.7302602136811615e-58
packet_lapse_e3,-6.8,0,0,0,1.741956100249286e-54
packet_lapse_e3,-6.6,0,0,0,7.167580013230499e-51
packet_lapse_e3,-6.4,0,0,0,2.208366843571107e-47
packet_lapse_e3,-6.2,0,0,0,5.207949161819445e-44
packet_lapse_e3,-6.0,0,0,0,9.619245623978398e-41
packet_lapse_e3,-5.8,0,0,0,1.4119349433414829e-37
packet_lapse_e3,-5.6,0,0,0,1.5892693032689628e-34
packet_lapse_e3,-5.4,0,0,0,1.3706629956464514e-31
packet_lapse_e3,-5.2,0,0,0,9.048109181075217e-29
packet_lapse_e3,-5.0,0,0,0,4.6759450547990124e-26
packet_lapse_e3,-4.8,0,0,0,1.9184101410646493e-23
packet_lapse_e3,-4.6,0,0,0,6.033588982374094e-21
packet_lapse_e3,-4.4,0,0,0,1.45331197723589e-18
packet_lapse_e3,-4.2,0,0,0,2.6774948944925233e-16
packet_lapse_e3,-4.0,0,0,0,3.765652471179298e-14
packet_lapse_e3,-3.8,0,0,0,4.036049251185753e-12
packet_lapse_e3,-3.6,0,0,0,2.125220687113091e-10
packet_lapse_e3,-3.4,0,0,0,5.354394709168237e-09
packet_lapse_e3,-3.2,0,0,0,1.0218364390215346e-07
packet_lapse_e3,-3.0,0,0,0,2.3765738660973437e-06
packet_lapse_e3,-2.8,0,0,0,0.006655742344762258
packet_lapse_e3,-2.6,0,0,0,0.06710153313189451
packet_lapse_e3,-2.4,0,0,0,0.17508162483487297
packet_lapse_e3,-2.2,0,0,0,0.27329750095775107
packet_lapse_e3,-2.0,0,0,0,0.3214785596079973
packet_lapse_e3,-1.8,0,0,0,0.38940206751555495
packet_lapse_e3,-1.6,0,0,0,0.4592648717772395
packet_lapse_e3,-1.4,0,0,0,0.5172932849140641
packet_lapse_e3,-1.2,16,2,0,1.1951290065253344
packet_lapse_e3,-1.0,51,4,0,1.4511763639444002
packet_lapse_e3,-0.8,56,4,0,1.4849026532755754
packet_lapse_e3,-0.6,55,4,0,1.4577101333501745
packet_lapse_e3,-0.4,42,4,0,1.3457555560470296
packet_lapse_e3,-0.2,12,2,0,1.071733238555671
packet_lapse_e3,0.0,0,0,0,0.7621344796844925
packet_lapse_e3,0.2,0,0,0,0.7619393063369438
packet_lapse_e3,0.4,0,0,0,0.5569104955082315
packet_lapse_e3,0.6,0,0,0,0.2945356644174715
packet_lapse_e3,0.8,0,0,0,0.1938659175438905
packet_lapse_e3,1.0,0,0,0,0.07842997957369267
packet_lapse_e3,1.2,0,0,0,0.00935778187899611
packet_lapse_e3,1.4,0,0,0,0.0
packet_lapse_e3,1.6,0,0,0,0.0
packet_lapse_e3,1.8,0,0,0,0.0
packet_lapse_e3,2.0,0,0,0,0.0
packet_lapse_e3,2.2,0,0,0,0.0
packet_lapse_e3,2.4,0,0,0,0.0
