x,time,required_endpoint_completion,closed_cell_force_lower_bound,witness_applies,acceleration,pressure_to_electric,dec_skin_force_per_energy_min,dec_skin_force_per_energy_max
-2.0783203125,1.282490234375,-0.009224343755140047,0.05614619782936185,False,0.7508362684709058,4.123229786016477,0.5760289658066661,0.9256435711351455
-2.0779296875,1.282490234375,-0.009200142402621467,0.05573915552978928,False,0.7506477658266101,4.165340057496586,0.5760121899874795,0.9252833416657407
-2.0775390625,1.282490234375,-0.009176459305512148,0.055332709645167365,False,0.7504581576565953,4.209208878520565,0.5759942708916235,0.9249220444215671
-2.0771484375,1.282490234375,-0.009153287501806034,0.05492686174876677,False,0.750267446875901,4.254943357253785,0.5759752110713898,0.9245596826804121
-2.0767578125000004,1.282490234375,-0.009130620048366608,0.05452161340104387,False,0.750075636397963,4.302659487021627,0.5759550130783684,0.9241962597175577
-2.0763671875,1.282490234375,-0.009108450021366045,0.0541169661496714,False,0.7498827291345997,4.352483087176783,0.5759336794634328,0.9238317788057667
-2.0759765625,1.282490234375,-0.009086770516719064,0.053712921529575706,False,0.7496887279960004,4.404550866108653,0.5759112127767275,0.9234662432152733
-2.0755859375,1.282490234375,-0.009064779497387128,0.05330868590983941,False,0.7494936358907076,4.45901162530553,0.5758876155676523,0.9230996562137629
-2.0751953125,1.282490234375,-0.009042472672253674,0.05290426337219081,False,0.7492974557256069,4.51602762679616,0.5758628903848502,0.9227320210663637
-2.0748046875000004,1.282490234375,-0.009011253554506517,0.052527691337053414,False,0.7491001765116954,4.563851467488631,0.5758370296049337,0.9223633234184571
-2.0744140625,1.282490234375,-0.00897112518337264,0.052178893462513296,False,0.7489017179364112,4.601401515119266,0.5758099748576551,0.9219934610151674
-2.0740234375,1.282490234375,-0.008930678041334383,0.05182981363917493,False,0.748702069388466,4.640262374573982,0.5757817187995737,0.9216224199773582
-2.0736328125,1.282490234375,-0.00888990799981721,0.05148045589649047,False,0.7485012341652556,4.680499719042554,0.5757522642696941,0.9212502040608171
-2.0732421875,1.282490234375,-0.008849600954646101,0.051131614254347896,False,0.7482992155620477,4.722183688299985,0.5757216141059438,0.9208768170181516
-2.0728515625000004,1.282490234375,-0.00880975024525498,0.05078329014191857,False,0.7480960168719584,4.765389275019495,0.5756897711451529,0.9205022625987639
-2.0724609375,1.282490234375,-0.008770349233899395,0.050435484976513734,False,0.7478916413859416,4.810196751885636,0.5756567382230429,0.9201265445488402
-2.0720703125,1.282490234375,-0.008731391306038238,0.05008820016362025,False,0.7476860923927731,4.856692144624033,0.5756225181742093,0.9197496666113368
-2.0716796875,1.282490234375,-0.008692869870709066,0.049741437096925877,False,0.7474793731790306,4.904967756814002,0.5755871138321047,0.9193716325259564
-2.0712890625,1.282490234375,-0.008654778360899664,0.04939519715835612,False,0.7472714870290831,4.955122753217507,0.5755505280290255,0.9189924460291407
-2.0708984375000004,1.282490234375,-0.00861711023391352,0.04904948171810339,False,0.747062437225073,5.007263809383021,0.575512763596096,0.91861211085405
-2.0705078125,1.282490234375,-0.008579858971730475,0.04870429213465757,False,0.7468522270468995,5.061505836477701,0.5754738233632513,0.9182306307305477
-2.0701171875,1.282490234375,-0.008543018081362812,0.04835962975484181,False,0.7466408597722065,5.117972791710748,0.5754337101592242,0.9178480093851888
-2.0697265625,1.282490234375,-0.008506581095205294,0.04801549591383865,False,0.7464283386763633,5.176798586379011,0.5753924268115287,0.9174642505411978
-2.0693359375,1.282490234375,-0.00847054157138128,0.04767189193522613,False,0.7462146670324522,5.238128105531553,0.5753499761464452,0.9170793579184592
-2.0689453125000004,1.282490234375,-0.00843489309408329,0.04732881913100832,False,0.7459998481112524,5.302118355598131,0.5753063609890051,0.9166933352334997
-2.0685546875,1.282490234375,-0.008399629273908528,0.046986278801645194,False,0.7457838851812242,5.368939759116267,0.575261584162976,0.9163061861994724
-2.0681640625,1.282490234375,-0.008364743748190243,0.04664427223608915,False,0.745566781508495,5.438777619032646,0.5752156484908462,0.9159179145261438
-2.0677734375,1.282490234375,-0.008330230181323067,0.04630280071181108,False,0.7453485403568422,5.511833779071873,0.5751685567938096,0.9155285239198747
-2.0673828125,1.282490234375,-0.008296082265084683,0.04596186549483718,False,0.7451291649876812,5.588328511495791,0.5751203118917521,0.9151380180836104
-2.0669921875000004,1.282490234375,-0.00826229371895192,0.045621467839778974,False,0.7449086586600489,5.668502669437554,0.5750709166032352,0.9147464007168625
-2.0666015625,1.282490234375,-0.008228858290412172,0.045281608989864074,False,0.7446870246305876,5.75262014810478,0.575020373745482,0.9143536755156931
-2.0662109375,1.282490234375,-0.00819576975527057,0.04494229017697225,False,0.744464266153533,5.840970707828627,0.5749686861343619,0.9139598461727041
-2.0658203125,1.282490234375,-0.008163021917951574,0.044603512621662664,False,0.7442403864806968,5.933873222587207,0.5749158565843763,0.9135649163770173
-2.0654296875,1.282490234375,-0.008130608611796673,0.044265277533209704,False,0.744015388861454,6.031679430737831,0.5748618879086441,0.9131688898142639
-2.0650390625000004,1.282490234375,-0.00809852369935701,0.04392758610963413,False,0.7437892765427276,6.134778280938037,0.5748067829188868,0.9127717701665685
-2.0646484375,1.282490234375,-0.008066761072681224,0.04359043953773345,False,0.7435620527689725,6.24360098643627,0.5747505444254131,0.9123735611125319
-2.0642578125,1.282490234375,-0.008035314653599402,0.04325383899311889,False,0.7433337207821651,6.358626926197274,0.5746931752371068,0.9119742663272233
-2.0638671875,1.282490234375,-0.008004178394001327,0.04291778564024167,False,0.7431042838217842,6.4803905631558125,0.57463467816141,0.9115738894821583
-2.0634765625,1.282490234375,-0.007973346276111305,0.04258228063243023,False,0.7428737451247993,6.60948959017349,0.5745750560043095,0.9111724342452892
-2.0630859375000004,1.282490234375,-0.007953045477771318,0.04225755827693422,False,0.7426421079256567,6.746594565629553,0.5745143115703231,0.9107699042809903
-2.0626953125,1.282490234375,-0.007943234903357925,0.04194358456560747,False,0.742409375456263,6.892460366440666,0.5744524476624847,0.9103663032500412
-2.0623046875,1.282490234375,-0.007922353622668216,0.041679339571813655,False,0.7421755509459739,6.972577402863386,0.5743894670823302,0.9099616348096176
