reference_fraction,l,heat,velocity,effective_n,endpoint_heat_rate,electrical_heat_rate,relaxation_heat_rate,net_heat_rate,thermal_inventory,field_slice_inventory,endpoint_power,endpoint_force
0.71875,-1.027640221195594,4.883274228741301,-0.43391860379682634,0.0025807833614490813,0.402269558106982,0.0,0.0,0.402269558106982,1.2273006753982385,0.27436395936737196,-2.665332090261988e-07,-5.45935068794978e-07
0.75,-0.9401300679485284,5.111819616227472,-0.21730882643130475,0.0030603398900634115,-0.04622756584436833,0.0,0.0,-0.04622756584436833,1.284740396225309,0.2600828935471982,4.289720592827065e-08,1.1017818871421687e-07
0.78125,-0.8685815057200174,5.32435890221939,-0.07393802651777084,0.003256637344317304,-0.011159327634871515,0.0,0.0,-0.011159327634871515,1.3381573449830233,0.2570667450243486,1.6377860396639203e-08,1.3489053295806826e-08
0.8125,-0.7953817822142126,5.431065999953879,0.044082960267001606,0.004747531930782057,0.005620623671891877,0.0,0.0,0.005620623671891877,1.364975763729308,0.18175560134747856,-1.4125106259264103e-08,-2.205927953038084e-08
0.84375,-0.7735321632125847,5.354720680208201,-0.8533203909775068,0.003373308789742846,0.006512964200602612,0.0,0.0,0.006512964200602612,1.3457880920773893,0.13460306899618305,-5.730651839838976e-09,-6.113682944421059e-09
0.875,-0.7263998295322714,5.054044507976123,-0.0017607111443637127,0.008136223975054863,-0.001083420976406117,0.0,0.0,-0.001083420976406117,1.270219927773886,0.108899618997767,4.483771681625425e-09,9.041582439491216e-09
0.90625,-0.7199646156691855,4.540144836090355,-0.3187869071369866,0.006551668020201887,-0.0023159769579717535,0.0,0.0,-0.0023159769579717535,1.1410628530636036,0.12847763915146382,4.851245927873184e-09,9.158472608538403e-09
0.9375,-0.6635381784629797,2.625278179105879,0.0688928956776943,0.004772036230721167,-0.0002787168792724275,0.0,0.0,-0.0002787168792724275,0.6598043712886872,0.11820148120173511,7.136390801592826e-10,1.980863546842339e-10
0.96875,-0.6313422796958825,0.6760856172677073,0.2315866915327956,0.0024896389230517485,0.0003576067890768048,0.0,0.0,0.0003576067890768048,0.16991884867247542,0.015755607675075434,-9.88114680227509e-10,-2.2151105146168265e-09
1.0,-0.5,0.5522373438762713,-0.0006237113275382494,0.001520716021723193,-0.00034330863850590756,0.0,0.0,-0.00034330863850590756,0.06939619130238511,0.0,2.8991382405812916e-10,4.2948787600273137e-10
