s,steps,minimum_heat,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_stretch,maximum_stretch,minimum_relative_cell_width,minimum_packet_gap,minimum_rest_dec_margin,maximum_relaxation_strain,canonical_energy,slice_energy,field_slice_energy,thermal_inventory,canonical_balance_residual,momentum_balance_residual,thermal_balance_residual,canonical_geometry_integral,canonical_endpoint_integral,heat_endpoint_integral,heat_electrical_integral,heat_relaxation_integral,entropy_relaxation_integral,momentum_free_integral,anchor_left_integral,anchor_right_integral
0.06,470,0.250060495075205,-2.1,0.19396746037631202,0.11074411879889978,0.002153095970201858,0.18578046953193195,0.8752841464929637,0.21000000000000008,0.0052849147590470075,0.11504141184360672,33932.744731423685,122.92910167130836,0.0,26.306400493393635,1.4045281087255593e-09,-3.481659405224491e-13,-3.5376830261173976e-15,-59.888730580459004,0.05665527556666163,0.0002720195950469549,0.0,2.125860223286061e-05,1.883126757634164e-05,-89.09740040981207,-0.020132473611354357,63.811118568556566
0.065,508,0.25008831736232706,-2.1,0.2096585350125136,0.11264659496580211,0.002155342549534462,0.18974432523368218,0.8592124901508921,0.21499999999999997,0.005200615320220182,0.13392602552834587,33812.226745132386,122.92948584046343,0.0,26.318042935591613,3.957370127738724e-09,-1.9468870959826745e-12,3.4061215800865545e-19,-69.60607585813491,0.18348392816860795,0.0011965291811265617,0.0,2.322512888774765e-05,2.1098332221065237e-05,-97.95577626282082,-0.021694754340259147,70.47629163045298
0.07,546,0.250125601200881,-2.1,0.22521231804363254,0.11473490326360751,0.002158044236706921,0.1941530833288711,0.8416649420612229,0.22000000000000008,0.005077837764445668,0.15431949158180847,33683.348286446926,122.91954133160414,0.0,26.33142125388118,3.941024232022807e-09,-1.9610979506978765e-12,1.2635008001331074e-15,-80.0055780717902,0.32716426289749995,0.00225908144787718,0.0,2.5285605157749825e-05,2.3729389655939275e-05,-107.00866699565,-0.02322932111926412,77.32386414926037
0.075,584,0.2501746366422282,-2.1,0.24061689406449352,0.1170206887637511,0.0021611866890710574,0.19904583023914887,0.8227708808193042,0.22499999999999998,0.004957790778340999,0.17625650398952852,33546.17767085737,122.89915309660118,0.0,26.34653707326933,3.884291958181597e-09,-1.9042545318370685e-12,3.295592934812746e-15,-91.08135627535191,0.4872517074451092,0.0034597792854513974,0.0,2.746645483758685e-05,2.6814294092565016e-05,-116.25541367495327,-0.024733233279659626,84.35221254603361
0.08,621,0.25023809524667634,-2.1,0.25586100615618734,0.11951709344835652,0.002164488265079135,0.20446738654362034,0.8027649762068185,0.22999999999999998,0.004841065429365965,0.19977658074365023,33400.78789451254,122.8682075674094,0.0,26.363392676096076,3.939394002286837e-09,-1.8900436771218665e-12,-2.2005248468149185e-15,-102.82715025600108,0.6632948979380631,0.004798775276409774,0.0,2.9796718214787364e-05,3.045365377368217e-05,-125.69516989492602,-0.026203188864954766,91.56021542938961
0.085,658,0.25031907755525845,-2.1,0.27093490927847824,0.12223886143762096,0.002167096680653964,0.21046908808233983,0.7819286248079554,0.235,0.00472797537064501,0.22492383746438405,33247.26058361281,122.8265965722933,0.0,26.381964458396972,3.957823899430315e-09,-1.8900436771218665e-12,-6.285997376049737e-16,-115.23573984632715,0.8545692736138635,0.006274158733578253,0.0,3.2308738653310964e-05,3.476091824028694e-05,-135.32663441781622,-0.02763545338376297,98.94692059921402
0.09,695,0.25042116708308837,-2.1,0.2858326603150379,0.1252606748576784,0.002170226653747936,0.2171096655630923,0.7605398044183014,0.24,0.004618749970608939,0.2517465562106771,33085.67333103123,122.7741355853555,0.0,26.402136111642204,6.263106865683333e-09,-1.6484591469634324e-12,-3.679633142967505e-15,-128.299297506745,1.0594219393487956,0.007876637757920902,0.0,3.503887646791117e-05,3.986496639045928e-05,-145.14781857439635,-0.029025774156402007,106.51114708679954
0.095,732,0.25054849166236504,-2.1,0.30055012747237814,0.1288298391951538,0.00217386223888703,0.22445621304344562,0.7388338119066633,0.245,0.004513634409110977,0.2802964385146669,32916.12624801582,122.71067142948614,0.0,26.423771231044093,6.227675702333163e-09,-1.6626700016786344e-12,-6.833446267009148e-15,-142.00803655234566,1.2760328105954453,0.009595316330354799,0.0,3.802840263146096e-05,4.59133434503918e-05,-155.15580270716413,-0.030369277102263073,114.25116632313794
0.1,769,0.2507057928231979,-2.1,0.315084323160609,0.13274003478308655,0.002177987952782936,0.23258522351530123,0.7169923566783324,0.25,0.0044129278538044825,0.3106274081873339,32738.748021051844,122.63610962549487,0.0,26.446733702121605,6.170776010804049e-09,-1.6626700016786344e-12,-2.7025871677196766e-15,-156.349940626747,1.5026260759051566,0.011419315348449813,0.0,4.13247733313422e-05,5.3076152638906836e-05,-165.34664824122495,-0.03166034225816711,122.16417330135124
0.105,805,0.250898503583014,-2.1,0.3294333302127811,0.137022407955978,0.0021825906047026186,0.2415836421606908,0.6951565313244215,0.255,0.004316967453071807,0.34279376666791084,32553.680778774036,122.55038322656134,0.0,26.47088758547974,6.200994903470796e-09,-1.6200374375330284e-12,-1.7670107227094023e-15,-171.31196918514934,1.7374714278557217,0.013337762492027045,0.0,4.498259541018203e-05,6.154965767055388e-05,-175.7153687725648,-0.032892453711014395,130.24609983364707
