s,steps,minimum_heat,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_stretch,maximum_stretch,minimum_relative_cell_width,minimum_packet_gap,minimum_rest_dec_margin,maximum_relaxation_strain,canonical_energy,slice_energy,field_slice_energy,thermal_inventory,canonical_balance_residual,momentum_balance_residual,thermal_balance_residual,canonical_geometry_integral,canonical_endpoint_integral,heat_endpoint_integral,heat_electrical_integral,heat_relaxation_integral,entropy_relaxation_integral,momentum_free_integral,anchor_left_integral,anchor_right_integral
0.39,2534,0.3287444785686112,-2.1,0.8835621967579744,0.4871125035614699,0.0020323147405076915,1.342074671739092,0.12818934848890892,0.54,0.0033260171007930203,1.3638798076879703,16213.209385296543,108.28393693054555,0.0,26.584510490550247,5.275614281760654e-08,-1.1027623258996755e-11,-1.3635385909402495e-14,-1469.903995036079,3.4707733342961817,0.022628491361571645,0.0,0.004874275817808269,0.011819882601123318,-810.1360009315447,0.097042783301365,633.4653154569576
0.395,2558,0.3294000625976159,-2.1,0.8887881816862548,0.43666957304979576,0.002012650582904019,1.1231786595042836,0.15406980137575937,0.545,0.003436236917185559,1.275724368037893,15941.764215995943,108.14063940041399,0.0,26.562835640410896,5.280469394709882e-08,-1.1141310096718371e-11,-1.15971627558787e-14,-1491.4130569903218,3.378915052231634,0.02069309048734744,0.0,0.0050848469218052784,0.012302104751697176,-818.386364362873,0.09825003732476983,640.1559970571615
0.4,2581,0.33029285664800423,-2.1,0.893807395104096,0.3829308087356242,0.0019936847452785046,0.9195233422429998,0.1883234599625262,0.55,0.0035557314630583897,1.1791182064218293,15673.661233276045,108.01121109701808,0.0,26.541719318939332,5.279464888582455e-08,-1.1254996934439987e-11,-1.1706158646441471e-14,-1512.663112452588,3.294013035722092,0.018846894330883858,0.0,0.005250659607210504,0.012676726807679123,-826.4667318367585,0.09990224991972889,646.71192914234
0.405,2604,0.33154890679402566,-2.1,0.8986217390917866,0.3346232614297043,0.00197549797970574,0.8724493464762627,0.2215218515982461,0.555,0.003685307807632883,1.0915067343157046,15408.95539304677,107.89602072569173,0.0,26.521557592189087,5.28190918682586e-08,-1.1709744285326451e-11,-8.926763437090842e-15,-1533.6501061579252,3.2163852721660278,0.01710547857396873,0.0,0.005387656127340628,0.012985820952553278,-834.3771965031607,0.10233502246327426,653.1313719114155
0.41000000000000003,2627,0.33336003326357205,-2.1,0.9032336168597528,0.29416104537711285,0.0019581730465658446,1.0428263304007,0.18589782392662246,0.56,0.00382591749122662,1.071911928606724,15147.686383755521,107.79542415630631,0.0,26.50274138536945,5.285003623757293e-08,-1.1937117960769683e-11,-1.0463605494025895e-14,-1554.3711595664527,3.146311527978755,0.01548501848718858,0.0,0.00551077005132861,0.013267510382278642,-842.1185130642119,0.10611310785343275,659.4137164393
0.41500000000000004,2649,0.3360403483759443,-2.1,0.9076459018230495,0.3035993881149884,0.0019417946111690435,1.2936380853728233,0.15031906010247784,0.5650000000000001,0.003978638429299561,1.2690555781585522,14889.884151395274,107.70975518241393,0.0,26.485653873815934,5.318326440357788e-08,-1.1482370609883219e-11,-1.7962522764744453e-14,-1574.8241322241922,3.08403437556254,0.014002405245771609,0.0,0.005633602328305174,0.013556843495004562,-849.6921585134527,0.1123131294909838,665.5591559194821
0.42,2671,0.3401345090868576,-2.1,0.9118619034153872,0.36799787693715275,0.0019264492429469503,1.6775881993413353,0.11627679828101242,0.57,0.004144693596287337,1.5072099376346677,14635.569308819055,107.6392871754749,0.0,26.470711388274854,5.3217579449008686e-08,-1.1709744285326451e-11,-6.474355899428523e-15,-1595.007586066038,3.0297560685841343,0.012674871192280654,0.0,0.005772051163824206,0.013895973427120354,-857.100240386795,0.1232478507968712,671.5684639194214
0.425,2692,0.346583841792683,-2.1,0.9158853321277718,0.4538844468708999,0.0019122251342867421,2.266741895798679,0.08632547008598865,0.5750000000000001,0.004325488899275441,1.782462861543998,14384.754772098699,107.58416373908332,0.0,26.458442200438956,5.349592251632897e-08,-1.2050804798491299e-11,-1.8409405916051808e-14,-1614.9206561125832,2.983639455933191,0.011519964968118399,0.0,0.005950606442084319,0.014350659146556075,-864.3453170115698,0.14429989760133638,677.4428215436913
0.43,2713,0.35658576642842355,-2.1,0.9197202640299946,0.5394837692974613,0.0018992116412991917,3.003119393353891,0.06536451087491481,0.58,0.004522658235316765,2.033837658035329,14137.448736233546,107.54429208314848,0.0,26.449525438841054,5.3827643923142774e-08,-1.2278178473934531e-11,-1.9041582081315873e-14,-1634.5628294375178,2.9458237486410574,0.010556195090475454,0.0,0.006204802977388304,0.015013335279176997,-871.4301980021089,0.18617587726209245,683.1837119422886
0.435,2734,0.36492421329616903,-2.096985559026621,0.9233714748624511,0.5606803344063126,0.0018874958677816563,3.266347590593774,0.06028881946758013,0.5850000000000001,0.004738133073366284,2.085377896914226,13893.653635042556,107.51940745937151,0.0,26.444127501327184,5.262436835545697e-08,-1.2050804798491299e-11,-1.541201892557564e-14,-1653.9339665395769,2.9163631227284528,0.009800969435485793,0.0,0.006530474413460682,0.01585793309853781,-878.357720324362,0.25089974249814245,688.7928270024786
0.44,2755,0.3709712304187738,-2.096329533421603,0.9268463758881667,0.49180257567246166,0.0018771440728709934,2.6911842102452437,0.07340933156793765,0.59,0.004974216953446874,1.8607542553490095,13653.365068632318,107.50968315908084,0.0,26.440964702105394,5.399104358653748e-08,-1.2050804798491299e-11,-1.7777229750787743e-14,-1673.034058414891,2.894898441606511,0.009259675885543927,0.0,0.006820080398325418,0.016583092052041826,-885.1306447465059,0.30563568871081803,694.272002434151
0.445,2775,0.37437562718924944,-2.095041282764198,0.9301531534461267,0.39484536213750515,0.0018682114382576926,1.9984891936832538,0.09917434471604238,0.5950000000000001,0.005233666792425817,1.5368176738855983,13416.575551800828,107.51598698142885,0.0,26.439397844525047,5.3235091339163486e-08,-1.2278178473934531e-11,-1.8725493998683842e-14,-1691.863189333204,2.880918321943112,0.008932472302005471,0.0,0.0070225974173471414,0.01706075151946368,-891.7517443779439,0.33455913264275194,699.6231906791251
0.45,2795,0.3762227253356578,-2.093432516828982,0.9332996647426144,0.3155119526649587,0.0018607499259016356,1.5138733241684497,0.13134966342036639,0.6,0.005519789155560818,1.2377109746111645,13183.276306537853,107.53918151350368,0.0,26.43987511468984,5.3094973895566686e-08,-1.2278178473934531e-11,-1.8322209203601593e-14,-1710.4215615985004,2.87392653564519,0.008819022181168683,0.0,0.007174027491142519,0.017393134066173092,-898.2238660761838,0.3485898016704793,704.848428161966
0.455,2815,0.37735800113009993,-2.0916761878080203,0.9362934364467769,0.25869484385991415,0.00185480692667315,1.1983797852871083,0.1664762438395956,0.6050000000000001,0.005836566203387357,1.1930081198900169,12953.457614532315,107.57985147385702,0.0,26.44281555540711,5.3117179061572406e-08,-1.2050804798491299e-11,-1.60005967346146e-14,-1728.709500326852,2.873474840197505,0.00891909334073059,0.0,0.0073079491690914485,0.017668448660784833,-904.5497838761956,0.3558840160835314,709.949816659298
0.46,2834,0.3781622567929059,-2.0898575242556547,0.9391416663476396,0.2628779799848558,0.001850394785087393,0.9867607660661839,0.20284951488690767,0.61,0.006188825870817434,1.3021409671583433,12727.108090926247,107.6384158761497,0.0,26.448447633824337,5.312499188700795e-08,-1.2164491636212915e-11,-2.0338633179012834e-14,-1746.727466310539,2.879118049683263,0.00923069744626746,0.0,0.007444531623546384,0.017935933672723406,-910.7323163801444,0.359943951330581,714.9294929271051
0.465,2853,0.3788139944237643,-2.0880242047380335,0.9418512283018762,0.295679301087349,0.0018474871433922346,0.8384968385165527,0.2303953645779452,0.6150000000000001,0.0065824683672760995,1.4275068878387798,12504.214360239639,107.715218766207,0.0,26.456903464425274,5.2902627713933304e-08,-1.2505552149377763e-11,-1.3787980156190373e-14,-1764.4760461493338,2.8903783770119507,0.009749239324163314,0.0,0.007598883364693444,0.018228677372064725,-916.7744053316444,0.36228440592043976,719.789598160404
