s,steps,minimum_heat,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_stretch,maximum_stretch,minimum_relative_cell_width,minimum_packet_gap,minimum_rest_dec_margin,maximum_relaxation_strain,canonical_energy,slice_energy,field_slice_energy,thermal_inventory,canonical_balance_residual,momentum_balance_residual,thermal_balance_residual,canonical_geometry_integral,canonical_endpoint_integral,heat_endpoint_integral,heat_electrical_integral,heat_relaxation_integral,entropy_relaxation_integral,momentum_free_integral,anchor_left_integral,anchor_right_integral
0.05,394,0.25000819472068264,-2.1,0.26360205422446786,0.10394428957232515,0.0021452739569605937,0.17219284835800525,0.9149178956345364,0.20000000000000007,0.004499050591167966,0.04481854334948787,34115.22409104421,122.78461312560835,5.142105397555555,21.067864675009815,2.6991749314701295e-08,-2.2737367544323206e-13,5.468953962026474e-16,-42.15193437969872,0.0,0.0,0.0,2.7715339214041457e-05,3.682913262952881e-05,-75.4674609302421,-0.013930818941587219,50.6828463771366
0.055,432,0.25001248858414205,-2.1,0.26392698637485457,0.10471828148955648,0.0021407568275947165,0.17375645696860198,0.9083648318785645,0.20500000000000007,0.004344741457178815,0.05298142944432871,34008.149430565914,122.78393396347269,5.131792598760887,21.067898522696797,2.7022822037576353e-08,-2.2026824808563106e-13,4.483307529788927e-16,-50.67266512720507,0.0,0.0,0.0,3.0408852561745042e-05,4.062502319275499e-05,-84.4373689528982,-0.015264535712315272,57.06970700309287
0.06,470,0.2500183979784263,-2.1,0.26693134700424326,0.10556170245712945,0.0021365324214609434,0.1754768708681802,0.9025174404198358,0.21000000000000008,0.0041950570961849995,0.061805996897447146,33891.79775161939,122.76954580750267,5.120250975322115,21.06793306035587,2.7067734622651513e-08,-2.0605739337042905e-13,1.6776000312321302e-15,-59.93163754789869,0.0,0.0,0.0,3.3157272143568844e-05,4.459125113884481e-05,-93.64066191787494,-0.016583578165379052,63.644892051202234
0.065,508,0.2500263359501572,-2.1,0.27281245814543775,0.10647631254168943,0.002132592315321567,0.17736095443372904,0.8971253212380407,0.21499999999999997,0.004048691789322052,0.07129481973473561,33766.46887553341,122.7416680162531,5.1074690653371055,21.067968768865807,3.766853333132548e-08,-3.467448550509289e-12,5.50855012539498e-16,-69.90499261936053,0.0,0.0,0.0,3.599886507705876e-05,4.880927474481791e-05,-103.06511507746603,-0.017886918513177096,70.39618007090893
0.07,546,0.2500367807086681,-2.1,0.2815416540565977,0.10746414320453428,0.0021289325482190757,0.17941640189226502,0.8919292699380758,0.22000000000000008,0.0039046947052240807,0.08145198756961025,33632.3833433693,122.70037813592707,5.0934382284410775,21.068006058560876,3.7658532914767985e-08,-3.453237695794087e-12,-7.188619594772673e-16,-80.57518023987176,0.0,0.0,0.0,3.896628472560729e-05,5.33537010062217e-05,-112.69883507210011,-0.019173497948710122,77.31376702555465
0.075,584,0.2500502812224729,-2.1,0.2929628459316254,0.10852751527739699,0.0021255537410017505,0.18165181721100218,0.8866795800749242,0.22499999999999998,0.0037624045982410023,0.09228317696208332,33489.66296266599,122.64559735647717,5.078153944877384,21.068045256442545,3.761978130060771e-08,-3.481659405224491e-12,-4.199492449128215e-15,-91.93250727431322,0.0,0.0,0.0,4.208555303908513e-05,5.828926767095428e-05,-122.53166043384874,-0.02044222031466963,84.39020968632455
0.08,621,0.25006746326890167,-2.1,0.30681232395714836,0.10966906002509381,0.0021224628705825816,0.18407680629985465,0.8811480450111256,0.22999999999999998,0.003621463325985709,0.10379573474890691,33338.429138534666,122.57724659867563,5.061616688713047,21.06808665021258,3.765960438797058e-08,-3.467448550509289e-12,-5.968376538706665e-16,-103.96731261091152,0.0,0.0,0.0,4.537956459609613e-05,6.367656933603501e-05,-132.55571671224402,-0.02169194487552184,91.6206249018264
0.085,658,0.25008903603285654,-2.1,0.32270781755803307,0.11089174293907018,0.0021196705778883523,0.18670208203198954,0.8751390881634605,0.235,0.0034818258627062823,0.11599876727167224,33178.7868379065,122.49524175990948,5.043831089309164,21.068130503882404,3.767192632980034e-08,-3.524291969370097e-12,2.912233950974004e-17,-116.6712432466808,0.0,0.0,0.0,4.8869328758580535e-05,6.957426762512296e-05,-142.76493611495164,-0.022921478059229863,99.00246306617396
0.09,695,0.2501157993645796,-2.1,0.34014899283463385,0.11219889171222772,0.0021171943314095905,0.18953958622012204,0.868500220023202,0.24,0.003343814456961143,0.12890324766217187,33010.84804409968,122.39950717519181,5.024807674292314,21.068177046834304,4.064312152057756e-08,-3.197442310920451e-12,-2.6298664719848286e-15,-130.03538783253964,0.0,0.0,0.0,5.2573099189144324e-05,7.603814464778444e-05,-153.15435595783006,-0.02412956398861272,106.53518935640388
0.095,732,0.25014865182187185,-2.1,0.35854320107729165,0.11359422774445482,0.0020602448726915637,0.1926026290200138,0.8611302399429658,0.245,0.003208081644283628,0.14252213112573564,32834.763285685665,122.29002928901139,5.004563767197193,21.06822646068815,4.0595619541929485e-08,-3.240074875066057e-12,4.536102414280269e-16,-144.04776768490225,0.0,0.0,0.0,5.650532873754109e-05,8.312027899698555e-05,-163.71954385972063,-0.025314873590193562,114.21994636720474
