s,x_maximum_difference,x_rms_difference,x_relative_rms_difference,velocity_maximum_difference,velocity_rms_difference,velocity_relative_rms_difference,heat_maximum_difference,heat_rms_difference,heat_relative_rms_difference,charge_maximum_difference,charge_rms_difference,charge_relative_rms_difference,density_maximum_difference,density_rms_difference,density_relative_rms_difference,radial_maximum_difference,radial_rms_difference,radial_relative_rms_difference,current_maximum_difference,current_rms_difference,current_relative_rms_difference,angular_maximum_difference,angular_rms_difference,angular_relative_rms_difference
0.055,0.002198822376791698,0.00037549201177396267,0.0002717997810055489,0.06816210384442195,0.009488565452318399,0.07746266288207004,0.5087827073123314,0.09296925265591613,0.02310055713853749,0.0,0.0,0.0,0.0004863501188616462,6.034516284919508e-05,0.010595206669554484,0.00010092327402440966,1.2930476591690303e-05,0.0038713544310051257,0.0006535970671917662,7.086929644949242e-05,0.19881427482321326,0.0,0.0,0.0
0.06,0.0022922132094732595,0.0003956855328889706,0.00028634232233846086,0.07339374551581154,0.01022004626142463,0.07699541599042817,0.5087806238746886,0.09295642485099123,0.023092601067772715,0.0,0.0,0.0,0.0005922345892497797,6.875659966842486e-05,0.012034703704870852,0.00012031196723233818,1.5469822759149138e-05,0.0046399707997160635,0.0007173874918254586,7.770082520128795e-05,0.19880615143997726,0.0,0.0,0.0
0.065,0.002391838756778508,0.0004164193837764596,0.0003012614745726894,0.07835641933930411,0.011002725868884216,0.07692378793264774,0.5087777498113839,0.09294318430157883,0.023083696652383027,0.0,0.0,0.0,0.0007126650751903326,7.874597685029475e-05,0.013736442768387936,0.0001413354461564831,1.825868125898284e-05,0.005487260613467561,0.0007820727670559603,8.462037700394777e-05,0.1987512584356383,0.0,0.0,0.0
0.07,0.002505199574188488,0.0004391318996931244,0.00031759621144703877,0.08301909250863809,0.0117839869319806,0.0768411981925278,0.5087742726517073,0.09292956702322329,0.02307385147176527,0.0,0.0,0.0,0.0008492628630311378,9.03910011083486e-05,0.015709483042224397,0.0001639562476779383,2.1303449301318345e-05,0.006416050702890065,0.0008476218861357838,9.162308304705856e-05,0.19864065538829323,0.0,0.0,0.0
0.075,0.0026350382086636204,0.00046471574972476977,0.0003359895916098271,0.08734770192489245,0.012535068480024949,0.07658686875720173,0.5087703763435352,0.09291561765120217,0.023063074624926717,0.0,0.0,0.0,0.001003914293741956,0.00010379013875687351,0.01796568534167796,0.00018812195422579004,2.4612352708968258e-05,0.007429826750929627,0.000913965172115536,9.870135162463189e-05,0.19846196388184248,0.0,0.0,0.0
0.08,0.0027806803340929553,0.0004935993491931398,0.0003567480635779009,0.09130448024574474,0.013239093370937045,0.07610466672251728,0.5087662275598896,0.09290139127588923,0.02305137721922592,0.0,0.0,0.0,0.0011788121909795096,0.00011906911904578123,0.020520669365107224,0.00021376088193098388,2.819537636188762e-05,0.008532724553386892,0.0009809831642130905,0.00010584328237961466,0.19819818022737073,0.0,0.0,0.0
0.085,0.0029395545014939684,0.0005258733766258137,0.0003799333590898062,0.09484713804050565,0.013886157588444905,0.07538676685603903,0.50876196917618,0.09288695135085287,0.02303878494466543,0.0,0.0,0.0,0.0013765040512568032,0.0001363855863430821,0.023394397095079546,0.0002407767081376291,3.2064403977025175e-05,0.009729587117335124,0.0010484923892122343,0.0001130310559653482,0.19782683172732346,0.0,0.0,0.0
0.09,0.003108566465892637,0.0005614229341754817,0.00040545835717154677,0.09792786766081527,0.014471370216643787,0.07445027667863738,0.5087577189448211,0.09287235964632914,0.02302536869619668,0.0,0.0,0.0,0.0015999475247017916,0.00015593300135017786,0.026611579129190266,0.0002690418082791381,3.623358381172127e-05,0.011026094502251142,0.0011162271326362828,0.00012023903048324444,0.19731895432576357,0.0,0.0,0.0
0.095,0.0032852229033611957,0.0006000414373216912,0.0004331696010351232,0.10049216737126032,0.014993121666549137,0.07332300023067088,0.5087535710934548,0.09285767756415413,0.023011209359671336,0.0,0.0,0.0,0.0018525733361555805,0.00017794464078777533,0.030201994906552697,0.00029838911013043215,4.071992244005119e-05,0.012428965658166452,0.0011838161328372118,0.00012743135093708547,0.19663805217155358,0.0,0.0,0.0
0.1,0.0035194150579265226,0.0006414840815389909,0.0004628860476595977,0.1024774184893194,0.015450156428961196,0.07202756884994092,0.5087495987819901,0.092842967133298,0.022996388098368428,0.0,0.0,0.0,0.0021383550659922253,0.00020269798863109125,0.03420079704839474,0.0003286021818670495,4.554417120710498e-05,0.013946255655203663,0.001250752723705486,0.00013455887852434825,0.1957384992721435,0.0,0.0,0.0
0.105,0.003829413977828544,0.0006854706617870009,0.0004944012022674895,0.10381117089619253,0.01584015325321938,0.070576586381625,0.508745855390492,0.09282829073257594,0.02298098640079564,0.0,0.0,0.0,0.0024618837911616585,0.00023051952931779732,0.03864877975942686,0.000359403311786166,5.0732052337072645e-05,0.015587765369802864,0.0013163565669468307,0.0001415553737560357,0.19456358725155204,0.0,0.0,0.0
0.11,0.004142757101737171,0.0007316791089367092,0.0005274785625137457,0.10440909087109261,0.016159417495857174,0.06897370070839934,0.5087423760880947,0.09281371112067012,0.022965086191950698,0.0,0.0,0.0,0.0028284431171023867,0.0002617897533240957,0.0435925537835713,0.00039043940880535526,5.6315907281715975e-05,0.01736559250926044,0.0013797246312437057,0.00014833269096220305,0.19304309966514344,0.0,0.0,0.0
