path_kind,moving,duration,time_skew,u,radius,mass_onset_order,predicted_angular_coefficient,angular_residual,scaled_angular_residual,angular_coefficient_ratio,material_density,material_onset_order,predicted_material_coefficient,scaled_material_density,predicted_current_coefficient,current,initial_boundary_enthalpy,roundoff_floor,log_f_onset_coefficient
direct,False,14.255,0.65,0.125,6.25,3,3.818129017975631e-08,4.556940970903045e-09,3.645552776722436e-08,0.9548008355818488,-1.8304265309821853e-09,2,-1.3793965595536179e-07,-1.1714729798285986e-07,1.3793965595536179e-07,1.8304265309821853e-09,-0.00016020795655557235,9.106784363817454e-18,0.00017695854395385902
direct,True,14.255,0.65,0.000244140625,6.25,3,3.818129017975631e-08,9.319258906237415e-12,3.8171684479948453e-08,0.9997484186688655,4.216939093823216e-25,4,1.1876656499568697e-10,1.1869628332241445e-10,1.3793965595536179e-07,8.219411141562527e-15,-0.00016020795655557235,9.106769023112883e-18,0.00017695854395385902
direct,True,14.255,0.65,0.00048828125,6.25,3,3.818129017975631e-08,1.8633825900468345e-11,3.816207544415917e-08,0.9994967499655807,6.743108754367115e-24,4,1.1876656499568697e-10,1.1862602372455652e-10,1.3793965595536179e-07,3.28679125343439e-14,-0.00016020795655557235,9.10677008202804e-18,0.00017695854395385902
direct,True,14.255,0.65,0.0009765625,6.25,3,3.818129017975631e-08,3.724887458482658e-11,3.8142847574862415e-08,0.9989931559485573,1.0776199883852304e-22,4,1.1876656499568697e-10,1.1848557075533988e-10,1.3793965595536179e-07,1.3139379600182766e-13,-0.00016020795655557235,9.106772198086152e-18,0.00017695854395385902
direct,True,14.255,0.65,0.001953125,6.25,3,3.818129017975631e-08,7.442256308291297e-11,3.810435229845144e-08,0.9979849323859239,1.7201081168701663e-21,4,1.1876656499568697e-10,1.1820492972066416e-10,1.3793965595536179e-07,5.249523848840528e-13,-0.00016020795655557235,9.10677642242486e-18,0.00017695854395385902
direct,True,14.255,0.65,0.00390625,6.25,3,3.818129017975631e-08,1.4854376307823786e-10,3.802720334802889e-08,0.995964336694701,2.739129250688416e-20,4,1.1876656499568697e-10,1.1764470551223732e-10,1.3793965595536179e-07,2.0948276913992532e-12,-0.00016020795655557235,9.106784834512368e-18,0.00017695854395385902
direct,True,14.255,0.65,0.0078125,6.25,3,3.818129017975631e-08,2.9587710096378155e-10,3.787226892336404e-08,0.9919064742197707,4.3410247950951315e-19,4,1.1876656499568697e-10,1.1652849703786682e-10,1.3793965595536179e-07,8.339464745441117e-12,-0.00016020795655557235,9.106801468965177e-18,0.00017695854395385902
direct,True,14.255,0.65,0.015625,6.25,3,3.818129017975631e-08,5.868723523236351e-10,3.755983054871265e-08,0.9837234512475128,6.813587243435812e-18,4,1.1876656499568697e-10,1.143130249179672e-10,1.3793965595536179e-07,3.30392325924054e-11,-0.00016020795655557235,9.106833639653009e-18,0.00017695854395385902
direct,True,14.255,0.65,0.03125,6.25,3,3.818129017975631e-08,1.1538901613041995e-09,3.692448516173438e-08,0.967083222905645,1.048563473316368e-16,4,1.1876656499568697e-10,1.0994984925961839e-10,1.3793965595536179e-07,1.2961023780543986e-10,-0.00016020795655557235,9.106890993168705e-18,0.00017695854395385902
direct,True,14.255,0.65,0.0625,6.25,3,3.818129017975631e-08,2.225646214391473e-09,3.5610339430263566e-08,0.9326646444531134,1.5486811144332284e-15,4,1.1876656499568697e-10,1.0149436551549606e-10,1.3793965595536179e-07,4.981061912366434e-10,-0.00016020795655557235,9.106958854978792e-18,0.00017695854395385902
