s,l,rest_energy_residual,rest_force_residual,energy_term_scale,force_term_scale,endpoint_rest_power,endpoint_rest_force
1.3050000000000002,-2.0875000000000004,0.0006874750899485967,0.0003540350418753097,0.005996394058653931,0.08413307830523686,-0.0008133505175236553,-0.00038040255076595027
1.3050000000000002,-2.0125,-8.655325250512061e-05,-0.00011881621177561429,0.033210270248958465,0.08420279023218616,-0.014196539608434786,-0.007588790299779084
1.3050000000000002,-1.9125,0.0003284928737363338,0.00014194211942954432,0.014826550148281522,0.05064218603319606,-0.005486000567728855,-0.004032868321365489
1.3050000000000002,-1.8125,-9.969867941550959e-05,-2.393258650180215e-05,0.005792511479179357,0.029270086641451473,-0.0028198477402311206,-0.0019447136513391493
1.3050000000000002,-1.6125,-0.0011714462323148076,-0.00015295185667446001,0.01678127743444914,0.03659712922212738,0.006437983129521325,0.000465296880857827
1.3050000000000002,-1.5125,-0.00021934529181423415,0.00012222300273102664,0.009250122806243285,0.02102563096330374,0.000601519682750767,0.002703277061724794
1.3050000000000002,-1.4125,7.357396715954793e-05,-9.708876041828124e-05,0.0032960814152101763,0.008034137697567193,1.0435649529352223e-05,-0.0007638917732275563
1.3050000000000002,-1.2125000000000001,-0.0003658483742143264,-7.215810985623187e-05,0.004625262794522479,0.009452163294772848,0.002129707207218663,-0.0009193037131159801
1.3050000000000002,-1.1125,-6.660720647412143e-05,4.4728612281739804e-05,0.0033901319763094944,0.0063733454575721545,0.000662449802363926,0.000899812712037923
1.3050000000000002,-1.0125000000000002,1.242067926348451e-05,-2.3567091289389615e-05,0.002094768150829605,0.0019468841404922967,-0.0003397993190350283,-5.9370882476150744e-05
1.3050000000000002,-0.8125,-1.0931114129262977e-05,-5.1906492724838345e-06,0.0032533848654094514,0.0002194806662553906,-0.00011618518141204946,8.771970506704829e-05
1.3050000000000002,-0.7125,-5.13092639012174e-06,-1.488268119633477e-06,0.002302824224973507,0.0003972775664473491,-8.859369289572742e-05,9.535942268174672e-05
1.3050000000000002,-0.6125,2.2501661839974985e-06,1.564637604303412e-06,0.0013637994646610945,0.00016794412042331358,-8.596484151560054e-05,8.475437890112526e-05
1.3050000000000002,-0.5125,1.0760698662967492e-05,1.2866625289433707e-07,0.00030043321204350034,0.0001860150209218761,-7.772302854027953e-05,7.922220560732778e-05
1.495,-2.0875000000000004,0.0007690939787754556,0.0005437733447588445,0.18279116046077146,0.10928215566751615,-0.0016655120386682971,-0.0007138464173044791
1.495,-2.0125,-0.002097376419714858,-0.00027202911861381497,0.19358308330007354,0.12811174339793507,-0.022540459457021236,-0.009526927479255468
1.495,-1.9125,-0.00030341160594177935,0.0006173312738477262,0.08128412303512912,0.0994525722783213,0.00907328016760392,0.0077917001648282035
1.495,-1.8125,-0.0009164687263706634,0.0003038041961687223,0.028183416749000413,0.06381394334853645,0.011193605433597277,0.0062026423841085076
1.495,-1.6125,-0.0013245380935562948,0.0006732255236286365,0.10791297157039012,0.12618283842103656,-0.011122760500766465,0.02364719578583174
1.495,-1.5125,-0.00034440668171761314,-0.00023810212939432383,0.06871835066768911,0.050986816903257584,-0.010975250250105009,0.004616903847494283
1.495,-1.4125,-0.00013728669692270913,0.0001990543042359079,0.03292831462807273,0.0388923258091332,-0.008897880916075327,0.0083928315361293
1.495,-1.2125000000000001,-0.0006524091594939064,0.00021857584147714788,0.056134742719279415,0.04025131169046513,-0.00836720518132341,0.006684152985509396
1.495,-1.1125,-0.00012510010185573127,-6.081614882393516e-05,0.030353788925924864,0.017875630632388385,-0.003732057677880212,0.0018632230424909131
1.495,-1.0125000000000002,-0.00016026601555134239,0.0001825494780780734,0.019892124090750533,0.01742292073303542,-0.005720671275118917,0.005714594536127232
1.495,-0.8125,-0.00023610383360491696,7.850184145085249e-05,0.03215319277696876,0.00776340477746398,-0.0039022191733918336,0.003920953309171597
1.495,-0.7125,-0.00016588279705734933,7.084593630963859e-05,0.023520214825096798,0.0069716852270782954,-0.003455742449539783,0.0035212655816662837
1.495,-0.6125,-9.939491631873891e-05,7.841546846800861e-05,0.015225453025019268,0.00647895844435727,-0.003189905489490285,0.003278686956059479
1.495,-0.5125,-2.644342760599166e-05,6.826811036266781e-05,0.0068213891635773025,0.006062259478508272,-0.0029286503293093685,0.003012810868266448
