s,steps,minimum_heat,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_stretch,maximum_stretch,minimum_relative_cell_width,minimum_packet_gap,canonical_energy,slice_energy,field_slice_energy,thermal_inventory,canonical_balance_residual,momentum_balance_residual,thermal_balance_residual,maximum_anchor_force,canonical_geometry_integral,canonical_endpoint_integral,heat_endpoint_integral,heat_electrical_integral,momentum_free_integral,anchor_left_integral,anchor_right_integral
0.055,110,0.25,-2.1,0.9052614050881117,0.015640808932314194,0.0009295056306757842,0.18272730559514344,0.4167107972092114,0.20500000000000007,34015.41358456096,122.75059467620805,20.03390553704223,5.5646809053923745,-1.4106748316976275e-08,-2.5579538487363607e-13,0.0,0.020042416767537954,-54.522734455846795,0.0,0.0,0.0,-101.82298773160373,-0.018841687603636942,57.359949030995054
0.06,120,0.25,-2.1,0.9173928890723577,0.015955091579261085,0.0008326655516733023,0.1864585158577459,0.33756944769273944,0.21000000000000008,33888.47549140573,122.68522534379429,19.90873469811404,5.5646809053923745,-1.3258409408827026e-08,-2.6290081223123707e-13,0.0,0.020062916814440165,-64.62414695207184,0.0,0.0,0.0,-112.90762807183786,-0.02051523245173188,63.85525111770491
0.065,130,0.25,-2.1,0.9273726340984958,0.01630829983460571,0.0007512457318702276,0.19065470214543076,0.25752771589719536,0.21499999999999997,33751.75469438577,122.60053750912805,19.77669474192587,5.5646809053923745,-1.3353234787256086e-08,-2.4158453015843406e-13,0.0,0.020067347688823976,-75.5040422866597,0.0,0.0,0.0,-124.23407985417153,-0.02218029981659611,70.53747369825187
0.07,140,0.25,-2.1,0.9356898973719633,0.016704487064359144,0.0006824861234696089,0.1953650746016408,0.17689515843666356,0.22000000000000008,33605.44604664704,122.49678959959971,19.638177246787038,5.5646809053923745,-2.0372991474013018e-08,-2.4158453015843406e-13,0.0,0.02005708844137393,-87.14691453845529,0.0,0.0,0.0,-135.7940752271116,-0.023836340777788775,77.40271285757478
0.075,150,0.25,-2.1,0.9427045441006494,0.01714846982140812,0.00062406131384458,0.20064821276755732,0.09592341695142483,0.22499999999999998,33449.72620569149,122.3742270051096,19.49353865135034,5.5646809053923745,-1.4188626727540726e-08,-2.4158453015843406e-13,0.0,0.02003678754210539,-99.53870575172736,0.0,0.0,0.0,-147.58005921057278,-0.025482750943701237,84.44766279739653
0.08,162,0.25,-2.1,0.9486846037994011,0.017645992724907522,0.0005740410915012471,0.20657412178663764,0.014930305503013717,0.22999999999999998,33284.78592404872,122.23310201294905,19.343116085531445,5.5646809053923745,-1.0955230079306064e-05,-2.4158453015843406e-13,0.0,0.02001144873663348,-112.66423545027492,0.0,0.0,0.0,-159.583234408362,-0.02711885572420606,91.66967001368778
0.085,213,0.25,-2.1,0.9538311387782011,0.018203939964022788,0.0005308492107192928,0.21322687888825986,0.06075946752518679,0.235,33110.85105847769,122.07398044564482,19.19460020516572,5.5646809053923745,0.002089393087858736,-1.7053025658242404e-13,0.0,0.019985493765244226,-126.50569940651069,0.0,0.0,0.0,-171.79259836347507,-0.028743891365174766,99.06663593949398
0.09,223,0.25,-2.1,0.9583004891747952,0.01883060936538908,0.0004932195256813325,0.22070807525080932,0.12498580623844502,0.24,32928.15072583095,121.89689745847379,19.04136430913729,5.5646809053923745,0.0020894716705963084,-2.4158453015843406e-13,0.0,0.019963162678963586,-141.0445299353952,0.0,0.0,0.0,-184.19734672692834,-0.030356980274856615,106.63682639044715
0.095,233,0.25,-2.1,0.9622153315364087,0.01953607096606177,0.00046014208118375874,0.22914133754117305,0.17797877036682294,0.245,32736.8919343236,121.70218887969291,18.88192864795048,5.5646809053923745,0.002089478576241099,-2.2737367544323206e-13,0.0,0.01994635482850085,-156.26442097503318,0.0,0.0,0.0,-196.79060007106483,-0.031957098563670114,114.37865326978255
0.1,243,0.25,-2.1,0.965670015691309,0.020332641738020713,0.0004308072576793407,0.23867834118926456,0.09653550133209736,0.25,32537.27521468279,121.49031021893423,18.716777063632,5.5646809053923745,0.0020893820357912305,-1.8474111129762605e-13,0.0,0.019934490225338972,-172.1494147946627,0.0,0.0,0.0,-209.56669707883583,-0.033543032828274005,122.28979705170252
0.105,297,0.25,-2.1,0.9687376018340423,0.021235522114387118,0.0004045783037395968,0.24950691390333865,0.03941398329333247,0.255,32329.508416582812,121.2616904029361,18.547588456642305,5.5646809053923745,0.013298766232350715,-3.694822225952521e-13,0.0,0.019926746934554204,-188.68386327310824,0.0,0.0,0.0,-222.51987019291218,-0.035113321799241794,130.366823630233
0.11,307,0.25,-2.1,0.9714754726675365,0.022263661356380176,0.00038095738550037155,0.26186211504990864,0.10926229815283722,0.26,32113.778267740752,121.01668990673217,18.37649276858132,5.5646809053923745,0.013306886277368897,-3.126388037344441e-13,0.0,0.019922109944201048,-205.85112370036296,0.0,0.0,0.0,-235.6425537669837,-0.03666617635413986,138.60516826081266
0.115,349,0.25,-2.1,0.9739293096633984,0.14189243502881907,0.00035955389852788917,2.448860344784538,0.0009125937182696863,0.265,31890.285664952742,120.75620462713665,18.201070683386597,5.5646809053923745,0.013333889097144728,-3.410605131648481e-13,0.0,0.01991948750622054,-223.63610208827197,0.0,0.0,0.0,-248.92793762251495,-0.03819936797402765,146.99914188518056
0.12,364,0.25,-2.1,0.9761169571889745,0.024797912080809194,0.0003400598920597661,0.2924275824078594,0.044037869642137455,0.27,31659.24117717944,120.48094033721222,18.034503332773944,5.5646809053923745,0.019343969569334575,-2.5579538487363607e-13,0.0,0.019918377451437527,-242.02251650690764,0.0,0.0,0.0,-262.3678798101069,-0.03971007018073713,155.5420368152659
0.125,441,0.25,-2.1,0.9773214447176983,0.026374081696320273,0.000322206511454794,0.3115179390829255,0.07544467048574281,0.275,31420.870165279302,120.19168694891975,17.871390540007134,5.5646809053923745,0.026855104587185628,-3.410605131648481e-13,0.0,0.019918895296001504,-260.9920766409026,0.0,0.0,0.0,-275.95383584405556,-0.04119462824946596,164.22660449899308
0.13,451,0.25,-2.1,0.9783176257319357,0.028221544189513705,0.0003057322973302757,0.33397299172343453,0.08121847810454803,0.28,31175.411229588724,119.8890384570314,17.703740443476995,5.5646809053923745,0.02685522711086066,-3.126388037344441e-13,0.0,0.01992116418151189,-280.5250781212683,0.0,0.0,0.0,-289.6767292691795,-0.04264821651059618,173.04524315902128
0.135,461,0.25,-2.1,0.9792801186617099,0.030410182712240663,0.00029051256156647614,0.36068561669617555,0.04808811356697546,0.28500000000000003,30923.133207165793,119.5737970260479,17.527435130676402,5.5646809053923745,0.026855060664641793,-1.7053025658242404e-13,0.0,0.01992525071446159,-300.6007252590519,0.0,0.0,0.0,-303.52880307175946,-0.04406431415133826,181.99011036816725
0.14,515,0.25,-2.1,0.9801772169845892,0.033035762490923395,0.00027645294370242973,0.3928907129226203,0.015463263904007596,0.29000000000000004,30664.34108116544,119.2465722223823,17.344430952931187,5.5646809053923745,0.04218879167680089,-5.115907697472721e-13,0.0,0.01993119802207016,-321.19596852170355,0.0,0.0,0.0,-317.49997423369325,-0.04543387777135078,191.05324316442346
0.145,601,0.25,-2.1,0.9806019989145449,0.03623271274849525,0.0002634722976923691,0.4323410870231784,0.015922283355100986,0.29500000000000004,30399.294603529273,118.90806162862964,17.158273583844654,5.5646809053923745,0.04261492074107257,-5.968558980384842e-13,0.0,0.019938748002071374,-342.28773096442285,0.0,0.0,0.0,-331.57953258932855,-0.04674398718288796,200.22659954108153
0.15,614,0.25,-2.1,0.9808421143952494,0.04019500232845641,0.00025149876932369585,0.4816004583208405,0.023552261886008327,0.30000000000000004,30128.330938027244,118.55974312783134,16.969528225800953,5.5646809053923745,0.042608114981871094,-5.400124791776761e-13,0.0,0.01994734234787999,-363.85033380431105,0.0,0.0,0.0,-345.75446328423953,-0.04797553433467703,209.50208870997244
0.155,725,0.25,-2.1,0.981095769495274,0.04521144330404768,0.00024046713474719673,0.5445515599765592,0.0690671273234807,0.30500000000000005,29851.814916416315,118.20235201769171,16.789760457659774,5.5646809053923745,0.07096665217020205,-1.1652900866465643e-12,0.0,0.019956365268938424,-385.8570363467396,0.0,0.0,0.0,-360.010459079681,-0.04909908152562526,218.87160204240638
0.16,735,0.25,-2.1,0.9825296700833711,0.05172759159090484,0.0002303167576892721,0.627316895461935,0.09307910530920122,0.31000000000000005,29569.985432761456,117.83636492255539,16.61441013525069,5.5646809053923745,0.07096714747583352,-1.0231815394945443e-12,0.0,0.019965107895320633,-408.2843141025085,0.0,0.0,0.0,-374.3343891706409,-0.05006699981384078,228.3270858798386
0.165,791,0.25,-2.1,0.9838401533951723,0.060457884757605856,0.0002209902072521245,0.8173993513369856,0.0027849698209703277,0.31500000000000006,29283.23125295315,117.46258176156107,16.435068728052567,5.5646809053923745,0.07176814828430376,-1.2505552149377763e-12,0.0,0.01997283979227451,-431.1035504285047,0.0,0.0,0.0,-388.71074071993945,-0.05079750369268211,237.86062057333658
0.17,803,0.25,-2.1,0.9850379325237247,0.07259161696958083,0.00021071853284890957,0.9001466995827208,0.07743730588110467,0.32000000000000006,28991.91200596966,117.08155318820891,16.26262583053456,5.5646809053923745,0.07599638717313953,-1.2505552149377763e-12,0.0,0.01997909490397987,-454.28633598867975,0.0,0.0,0.0,-403.1232424923142,-0.05113958588456806,247.4644675747692
0.17500000000000002,857,0.25,-2.1,0.9861307386815975,0.09014830222144139,0.00019488257185332525,1.1394224773968509,0.06896257370566836,0.32500000000000007,28696.404195657393,116.69393342483042,16.08281915420665,5.5646809053923745,0.09009849196383715,-1.3073986337985843e-12,0.0,0.019983702955058965,-477.8032225652523,0.0,0.0,0.0,-417.5548595995418,-0.05078915794745008,257.1311531030587
0.18,868,0.25,-2.1,0.9871240400736144,0.11633957010833937,0.00017971762569384038,1.5140488483907033,0.04777452246425912,0.32999999999999996,28397.068516871816,116.30038824803115,15.897456864082443,5.5646809053923745,0.09009704511571297,-1.3642420526593924e-12,0.0,0.02792488772781224,-501.6235989113621,0.0,0.0,0.0,-431.9887337828229,-0.049074642682917204,266.8535296316278
0.185,942,0.25,-2.1,0.9880244718576983,0.15387577991232312,0.00016525010623272745,2.091384960955674,0.08285129766791884,0.3350000000000001,28094.344201378386,115.90176455410172,15.708230634765862,5.5646809053923745,0.10646082725935051,-1.5347723092418164e-12,0.0,0.06933960147791378,-525.7149367022149,0.0,0.0,0.0,-446.40556149031966,-0.0444545617797746,276.62481942938194
0.19,995,0.25,-2.1,0.988839164192138,0.19077376358175027,0.00015152156622880172,2.7111062178367242,0.06189355521898998,0.33999999999999997,27788.617029626934,115.49856075720456,15.518124927966294,5.5646809053923745,0.11866211671345966,-1.5916157281026244e-12,0.0,0.13052030337846623,-550.0449029608535,0.0,0.0,0.0,-460.78663642484713,-0.03441816216045926,286.4386616331011
0.195,1007,0.25,-2.1,0.9895753154513546,0.1862949427838485,0.00013858114246486692,2.6328850030056477,0.027997390568970205,0.3450000000000001,27480.266490507922,115.09127897523481,15.328694409854709,5.5646809053923745,0.11865772501195625,-1.5916157281026244e-12,0.0,0.12177828399262568,-574.5826588642936,0.0,0.0,0.0,-475.1147844768829,-0.02096261344133813,296.2891170349539
