s,x_maximum_difference,x_rms_difference,x_relative_rms_difference,velocity_maximum_difference,velocity_rms_difference,velocity_relative_rms_difference,heat_maximum_difference,heat_rms_difference,heat_relative_rms_difference,charge_maximum_difference,charge_rms_difference,charge_relative_rms_difference,density_maximum_difference,density_rms_difference,density_relative_rms_difference,radial_maximum_difference,radial_rms_difference,radial_relative_rms_difference,current_maximum_difference,current_rms_difference,current_relative_rms_difference,angular_maximum_difference,angular_rms_difference,angular_relative_rms_difference
0.14,0.00438529914056085,0.0005197225684234915,0.000373410251014173,0.23515322984854936,0.02184796155598748,0.07417943262133214,0.12817386874265946,0.028320875250112874,0.00697137754568436,0.0,0.0,0.0,0.05643223000691022,0.0030501590824072245,0.39121689224254536,0.004015131923370864,0.0002062726727650366,0.06526358866985918,0.0038203649787521216,0.0002960240675104063,0.2851194307607041,0.0,0.0,0.0
0.145,0.004478953047201251,0.0004932478690257181,0.00035417098861398983,0.3099779609222266,0.025912744697416074,0.08528493201406795,0.12817357432768173,0.028320683007799115,0.006967065940591384,0.0,0.0,0.0,0.03922754402794151,0.002222368757156287,0.2973330442097912,0.002467717368886764,0.00013616372747175858,0.04331336908119395,0.005939594554715509,0.00044818627850952734,0.4042567028991271,0.0,0.0,0.0
0.15,0.0037394537752970525,0.0004305666580356209,0.00030896813905304784,0.35053204917164005,0.03198465338277527,0.10217776627211758,0.1281732844189385,0.02832084358650817,0.0069628496313958585,0.0,0.0,0.0,0.022802153941194322,0.0014822589266212226,0.2038806700194118,0.0012669481700693897,9.168681883484124e-05,0.029314540368977352,0.0075954071279295335,0.0005660343722769604,0.476843481998702,0.0,0.0,0.0
0.155,0.0027575695412278556,0.0003688571936350313,0.00026451440495023045,0.36633973481214144,0.03296292870557326,0.10230557241646739,0.12817300130649034,0.028321283011348793,0.0069587323870121285,0.0,0.0,0.0,0.010082138962375344,0.0010305247379792989,0.1422558392106102,0.0008369953689577712,7.898213518094526e-05,0.025383531450682346,0.00892192920547188,0.0006591905744969414,0.5203889178244001,0.0,0.0,0.0
0.16,0.0018429817837503082,0.00033276627270947747,0.00023847359489101582,0.3587063310398323,0.03256987683096177,0.09834522248980702,0.12817272724591078,0.02832190666226704,0.006954713211467234,0.0,0.0,0.0,0.012708492478073222,0.0009533122826497044,0.12930123552992268,0.0010101131618989736,8.14442712239893e-05,0.026313352221436142,0.00981615765930382,0.0007213818193878328,0.5386177110754264,0.0,0.0,0.0
0.165,0.0019044627943397563,0.00032863828252991734,0.0002353538039800397,0.2888297141926689,0.029443059736200084,0.08667470931171818,0.12817246443279284,0.0283226167444907,0.006950790658487676,0.0,0.0,0.0,0.01642306850082987,0.0012102607577381098,0.15817092376077715,0.0010201770488358825,7.437768393567025e-05,0.024160129190364577,0.008185203821075846,0.0006112957541077963,0.4548469724415481,0.0,0.0,0.0
0.17,0.0019694278977026025,0.00034054967795081056,0.00024371249845524137,0.3620030811220468,0.03228733378743349,0.09282516482466549,0.128172214968159,0.028323424554759533,0.0069469902794313,0.0,0.0,0.0,0.019343038293500203,0.001380642381669443,0.1735261838741873,0.003197496817065764,0.0002207263894440985,0.07197169453181529,0.008280765909561089,0.0006895426724149569,0.4530573641509166,0.0,0.0,0.0
0.17500000000000002,0.0020383593667171462,0.0003666390726018315,0.00026219396965196026,0.4750842316451097,0.03920328550392064,0.10980229494536295,0.12817198063837587,0.0283244051112783,0.006943349468590538,0.0,0.0,0.0,0.023649251187965334,0.0011848631455441407,0.14695751815339322,0.00463412459543344,0.0003137682797023487,0.1025241958841728,0.013598674494060449,0.001071630274774227,0.5992416334043036,0.0,0.0,0.0
0.18,0.002689575895375551,0.0004256538080076655,0.0003041722927540821,0.46274886683814487,0.03849950257560632,0.10524516805617998,0.1281717628932828,0.02832565617873222,0.0069399071539452606,0.0,0.0,0.0,0.023993310385063638,0.001478129803835658,0.17555282195881564,0.003143270501906891,0.00021633090063917162,0.07115119491973561,0.012452390682030027,0.0010020108559332603,0.5641692773436112,0.0,0.0,0.0
0.185,0.00398448209587432,0.0005042293159154968,0.0003600504921113555,0.3971752055698572,0.03410462059281983,0.09114654778292135,0.12817156305186916,0.028327298192370145,0.006936707723651672,0.0,0.0,0.0,0.027388550329711187,0.0020438426846445617,0.20300552268585095,0.0008744504547136193,0.00010534120663663377,0.03468476679210653,0.008387046408078434,0.0007436529591464489,0.44950748859054446,0.0,0.0,0.0
0.19,0.004984887634511548,0.000586504522932885,0.0004184790870350484,0.2671198499554416,0.03112687985421946,0.08137214069523734,0.12817138231794178,0.028329515654312545,0.006933811229955812,0.0,0.0,0.0,0.051605214271556024,0.00358170926114335,0.2884782230019995,0.006038296656703193,0.00043452148133820925,0.13913773908981728,0.005799511644925058,0.0005931676110728199,0.37480346363000866,0.0,0.0,0.0
0.195,0.005448425803462609,0.0006610347618731482,0.000471292180975602,0.2777833095489598,0.03381642482544176,0.08632681179113248,0.12817122175588924,0.028332531698647776,0.006931287160385929,0.0,0.0,0.0,0.07582456674610348,0.006996074228979787,0.7275204618962364,0.011726600204242337,0.0007772021293543721,0.2612061589575435,0.010307101464142973,0.0008994191171735738,0.48270437620271284,0.0,0.0,0.0
0.2,0.005385894020972115,0.0007147306361592168,0.000509172699764544,0.2595055924572272,0.04075853924004848,0.10180033456845825,0.12817108228880691,0.028336592941938174,0.006929210784305443,0.0,0.0,0.0,0.07279148971566309,0.005371529731515471,0.6322844157263329,0.008262828969191319,0.0004515746623592672,0.15282239167935882,0.009509747351714974,0.0008823331907564264,0.4573796245517431,0.0,0.0,0.0
0.20500000000000002,0.0062381972868243984,0.0007476528719730436,0.0005321969514493369,0.5549656061607364,0.04975074016641131,0.12209517468560653,0.12817096471166778,0.028341849208725456,0.0069276338770398235,0.0,0.0,0.0,0.05290578476499303,0.003954493611077735,0.44310524075201296,0.004630661164105982,0.0004293334814757059,0.14461331069481134,0.022595261293191483,0.0017031667714886346,0.8065913430132428,0.0,0.0,0.0
0.21,0.007085535504199547,0.0007643725919404033,0.0005436510004056382,0.6967505221758827,0.05772802857232435,0.1388617040478216,0.12817086965258007,0.02834815695859017,0.006926536931819502,0.0,0.0,0.0,0.04120571588031997,0.0037052754476640725,0.3811710559733142,0.010518747590658233,0.0008537939824388097,0.27872542200145095,0.03619292590529968,0.0026438770437094174,0.9829784988572455,0.0,0.0,0.0
0.215,0.00792942305320532,0.0008027452125034006,0.0005704643357171881,0.47920987026855894,0.0501855417506597,0.11850903318602617,0.12817079761810213,0.028355314406143424,0.006925886426294074,0.0,0.0,0.0,0.0380516275942768,0.003268188970139779,0.328785400231573,0.005189960734145873,0.0005462375462485092,0.18457781478209084,0.019685153922425737,0.0014254789332628782,0.6352789713499714,0.0,0.0,0.0
0.22,0.008771150830032548,0.0008492273519345434,0.0006029808270274798,0.6287562766460238,0.05729391059704776,0.1324590117035445,0.12817074896438907,0.028363101029262514,0.006925644508124934,0.0,0.0,0.0,0.014940657212338303,0.0013819830488105245,0.15184423644952533,0.007090437885942538,0.0005878225852824264,0.19980215600545825,0.02399159303701564,0.0017421879296860786,0.7096578667577573,0.0,0.0,0.0
0.225,0.009611358886077559,0.0009265527088174202,0.0006573121670831252,0.6312820082597653,0.05824618376443711,0.1322115522225282,0.12817072390370754,0.028371272934598245,0.006925767892738401,0.0,0.0,0.0,0.015094821944216456,0.001093463662624059,0.11963545782548975,0.006059047445698425,0.0004976941304648062,0.17191277261291835,0.022523539206010086,0.0017092169721282977,0.7187939348831538,0.0,0.0,0.0
0.23,0.010448777710714618,0.0010289880899707199,0.0007293357480365124,0.5609394528467114,0.055392986219127055,0.12361602229092404,0.128170722542845,0.028379557786386903,0.006926206632754894,0.0,0.0,0.0,0.08895386154744435,0.004812045953367705,0.42985461095826427,0.009091312877489948,0.0006484020786107449,0.224109677744111,0.01937133285921068,0.0016359213961799426,0.694564176045926,0.0,0.0,0.0
0.23500000000000001,0.011274656250465087,0.001132705498983588,0.0008021326877775087,0.2443190449239732,0.034731903734807425,0.07630630107694816,0.1281707448273135,0.02838769832337541,0.006926914641287683,0.0,0.0,0.0,0.20927120032073768,0.011291378339003878,0.6854291824161624,0.033038564638301154,0.0017413739184925139,0.5307587964579091,0.011542462232586852,0.000955921545445171,0.3955148907530986,0.0,0.0,0.0
0.24,0.012002416691569096,0.0012035147265659202,0.0008515142630588987,0.5572444800098819,0.05353440401526956,0.11574851133397528,0.12817079062148196,0.028395857659880473,0.006927948869871602,0.0,0.0,0.0,0.08462211067111092,0.008049164528160926,0.6068590198072381,0.022332845682279945,0.0016729408032646609,0.4971068454288846,0.050487842632955984,0.003909061973149212,0.8966795029614802,0.0,0.0,0.0
0.245,0.011971001018674654,0.0012061156183612708,0.0008525801051369088,0.6649902563844812,0.057706524053315465,0.12275027405353345,0.12817085966978325,0.02840433039046318,0.006929398721870232,0.0,0.0,0.0,0.038072159184717555,0.003260248930916428,0.2989697805774522,0.0028484819271777824,0.0002551076905353856,0.0887949880070787,0.02514542025561802,0.0020285232572944895,0.7625845820977806,0.0,0.0,0.0
0.25,0.011701048898946298,0.0012029038062816258,0.0008495258889360702,0.7165569754855277,0.0642101299477026,0.13426140767470723,0.1281709516183307,0.028413483034529046,0.00693137124187331,0.0,0.0,0.0,0.008865029676133694,0.0011441473581841517,0.11162793243133437,0.0061329379466168645,0.0004911897638737516,0.16295359896384784,0.029723949838264013,0.0023695345174748936,0.7537505697909835,0.0,0.0,0.0
0.255,0.01141609557317258,0.0012273562322491066,0.0008659832451364277,0.42448463975442713,0.05725698272356482,0.11830872927289661,0.12817106607820694,0.028423752728473972,0.0069339908662073,0.0,0.0,0.0,0.021533712529945695,0.0019746404028923147,0.18188611896872955,0.007115682633501958,0.0006124644312971939,0.2131510692899305,0.01734267896218395,0.0021634119217565344,0.8756579792358293,0.0,0.0,0.0
0.26,0.01098556255646832,0.001257249041397791,0.0008862309910964927,0.9474768834034295,0.08202285763119162,0.1662553236760945,0.12817120230208712,0.028435638937076606,0.006937392888478005,0.0,0.0,0.0,0.024826342273113845,0.0019367824094334483,0.19073654968726125,0.006782595342520671,0.0006897927318629251,0.23452343815706544,0.0446589206652508,0.0035907417439590096,1.1156027674258384,0.0,0.0,0.0
0.265,0.010023808534204925,0.0013023792987547254,0.0009171569723444848,0.8982387643419414,0.07830329724733007,0.15660785783823314,0.12817135840652316,0.028449662977581863,0.006941695670389806,0.0,0.0,0.0,0.03596240639333979,0.003796649241068636,0.3683471115102461,0.006125424761682241,0.0007052866301615217,0.24887763696997353,0.03613610201042192,0.002987431477581004,0.9877405938613191,0.0,0.0,0.0
0.27,0.009047627265710845,0.0013434438798920112,0.0009451489932123236,0.781874181620058,0.08278581776731389,0.16347802999103525,0.12817153215568222,0.028465706090150172,0.006946855313574585,0.0,0.0,0.0,0.07045305861967112,0.007437256178028008,0.5952049347587276,0.014786167147401372,0.0014037216167761641,0.4677875839570752,0.03202130091434488,0.0031967031773725,0.9262664583963385,0.0,0.0,0.0
0.275,0.0089747370196811,0.001379346001416808,0.0009694527060492477,0.7751045652055075,0.06776716866848115,0.1320100884668255,0.128171721339025,0.028483358137695747,0.006952756863495176,0.0,0.0,0.0,0.19550402440391082,0.020408141250413167,1.126870212539904,0.053294246567370224,0.004927895322752575,1.3591065883470677,0.03283434288192122,0.0029753268119693385,0.7581345957065827,0.0,0.0,0.0
0.28,0.008053156124330219,0.001317702133461108,0.0009252189054565897,0.8480420766897977,0.089139920909204,0.17084193663281522,0.128171923841653,0.028502356023323745,0.006959320728497104,0.0,0.0,0.0,0.10426951198525515,0.011220180247883965,0.7996391712496902,0.031083609690577288,0.002606605620056144,0.6781215495709623,0.07295641802712753,0.005884159928997045,1.0724356555510342,0.0,0.0,0.0
0.28500000000000003,0.007292629466212119,0.0012033436916891488,0.0008440834916881373,0.9786267457132523,0.09738647430883417,0.1841334880989115,0.1281721374955529,0.028522283054004477,0.006966429058424654,0.0,0.0,0.0,0.0482219811801129,0.0044810606975226154,0.3954203227189118,0.0038725834610249575,0.00042030447593992623,0.14336527339519306,0.04052319354317889,0.003776271637380997,1.0178982054512904,0.0,0.0,0.0
0.29,0.007508372996891666,0.0011210137775496988,0.0007855421014781341,1.104808164470071,0.09972376895238566,0.18605929302304758,0.1281723602532132,0.028542690997861084,0.0069739558753824475,0.0,0.0,0.0,0.03776577986793653,0.0034437872688607,0.29250331959540565,0.01585988324918613,0.0013533765196886757,0.39684180114589035,0.060082525488875174,0.004797417600082236,1.0665512116391849,0.0,0.0,0.0
0.295,0.00680499971913362,0.0010831072351723883,0.0007582054745503036,0.8485172276328355,0.07615109112039316,0.14064566097929235,0.12817259046707097,0.028563882035058382,0.0069819589092943906,0.0,0.0,0.0,0.045908111417457084,0.0045542320865468895,0.35298304108393824,0.014052746493681195,0.0014530506843114348,0.42477527432290907,0.03412737226424934,0.0027471630291854934,0.61391539231124,0.0,0.0,0.0
0.3,0.00602024675320878,0.0010642148606378383,0.0007442108052328419,0.887611609759249,0.083966079162032,0.15328770377832038,0.12817282686449705,0.02858643895237145,0.006990565121986763,0.0,0.0,0.0,0.0625198075962424,0.004755829152064335,0.35936149754244623,0.0291005385031844,0.0022578648145235463,0.5920744588315094,0.047824241763465926,0.004011841219105316,0.7362763920406373,0.0,0.0,0.0
0.305,0.006279319578750497,0.0010754890258114897,0.0007513086239522899,0.8891006522071335,0.09909615510432818,0.17855344364175718,0.12817306843389442,0.028610979231986387,0.006999909809883984,0.0,0.0,0.0,0.032760194854178505,0.0029323333845193127,0.2402918869670187,0.008718848909124043,0.0013274150497421756,0.4261277994378513,0.036031042900237266,0.004608723978532956,1.097069127239213,0.0,0.0,0.0
