s,x_maximum_difference,x_rms_difference,x_relative_rms_difference,velocity_maximum_difference,velocity_rms_difference,velocity_relative_rms_difference,heat_maximum_difference,heat_rms_difference,heat_relative_rms_difference,charge_maximum_difference,charge_rms_difference,charge_relative_rms_difference,density_maximum_difference,density_rms_difference,density_relative_rms_difference,radial_maximum_difference,radial_rms_difference,radial_relative_rms_difference,current_maximum_difference,current_rms_difference,current_relative_rms_difference,angular_maximum_difference,angular_rms_difference,angular_relative_rms_difference
0.105,0.0077483509972736675,0.001063887672804922,0.0007670650546156078,0.17742406492522264,0.018703938558290372,0.0764403838777718,0.12436779277404808,0.026071061388072237,0.008149727578079432,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.011139883876737162,0.0006475347685750178,0.1058191394962286,0.00041634219484127104,4.07835120006092e-05,0.011891627118900868,0.0017420750637465354,0.0001297638462812082,0.17497097697346572,8.29180840643132e-06,1.1894730895367325e-06,0.00634265274921245
0.11,0.006953106864429626,0.0010724813990897338,0.000772868060890287,0.17426533742945277,0.01859148829228821,0.07298016586698136,0.1242740143176948,0.02606898210538017,0.008143428692527698,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.014736374702554459,0.0008341518639797766,0.13401404707718734,0.00048792195027180666,4.850343099480403e-05,0.014191545918505587,0.0018286100851245223,0.00013614090548215527,0.17373918287390802,8.313507412598023e-06,1.1887707451976645e-06,0.0063413944677724755
0.115,0.006185040815840037,0.001086582123832473,0.0007826150669703754,0.17159998872331933,0.018364160034505563,0.06937825338345746,0.12419295143171594,0.026067547319391735,0.008137120225183444,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.01993343098739512,0.001106304146583839,0.17357959275785081,0.0007569380001601937,6.009497225976981e-05,0.01764781313208633,0.001855599290448291,0.0001387554771770659,0.1681638476154769,8.33600996765399e-06,1.1880442011995964e-06,0.0063401122468642705
0.12,0.006382472874495004,0.0011050598203211925,0.0007954860447294334,0.169472341450139,0.017988501140381894,0.06552787852336188,0.12412640657937324,0.026066822164141298,0.008130853223209028,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.027622421919638814,0.0015079627638744251,0.22857922824986726,0.0012337241148174722,8.019605874304785e-05,0.023642735612641887,0.001750861617961286,0.00013277239197117928,0.15357371764786745,8.359330032075554e-06,1.1872956221928356e-06,0.006338816297098204
0.125,0.006699173272908809,0.0011264536595354492,0.0008104244721743477,0.16780270943980596,0.017530650328501537,0.06168736771471105,0.1240760286838114,0.026066837465233136,0.008124668324912569,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.03889064196246243,0.0020945530478064323,0.30160031658687675,0.0020927131296846293,0.00011802571282735335,0.03493720225269892,0.0013619915434823929,0.00010933988686005063,0.12163340838388441,8.383483254209318e-06,1.1865271538070842e-06,0.006337516775842904
0.13,0.007005795808439741,0.0011488034176528664,0.0008260170866894345,0.16646908119908815,0.01758502037629685,0.05987586816486279,0.12404329452206087,0.02606760593832485,0.008118600841186811,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.05328562495453971,0.0028437809054463656,0.3822216427423368,0.003458496049850166,0.0001811502799269288,0.05383853143198804,0.0005084701694182962,6.761006133165194e-05,0.07306630933166956,8.408486295737678e-06,1.18574083632421e-06,0.006336223328477167
0.135,0.007302307273911235,0.0011698808359707166,0.0008406614925584619,0.16533898090502613,0.019821897573222783,0.06539503844565757,0.12402949058886659,0.026069118526417096,0.008112679614817972,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.06310844568992793,0.003364852993460348,0.42791153070620136,0.0046065977373138875,0.00023542865746867484,0.07024697427180582,0.0014243755637110864,0.00013371025133894173,0.14065567103218465,8.434356209439259e-06,1.1849385204831457e-06,0.006334944637508432
0.14,0.007589408797667563,0.0011890564602778206,0.000853907288549776,0.2344007683303228,0.024436836963294534,0.07817340399092522,0.12403569570287054,0.026071351561137584,0.00810692930973868,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.05653118797901566,0.0030596487931340653,0.3918976649130759,0.0040193762022795445,0.00020792128409370862,0.06234525510937847,0.0037889251915737563,0.00029757922316285844,0.298362415227402,8.46110982815197e-06,1.184121809798865e-06,0.006333688112456416
0.145,0.007868242130409153,0.0012091125803108248,0.0008677530919131459,0.3093064623867967,0.02857623080752647,0.08870973581440642,0.12406276436177288,0.026074271660130172,0.008101371970207912,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.039369540506159255,0.0022380798475826096,0.2987538513887218,0.0024744847590888134,0.00013974444238993918,0.042128870765685784,0.005901812388426932,0.0004497040691528148,0.4209684109755594,8.48876310383112e-06,1.1832920907722235e-06,0.006332460048046519
0.15,0.008140174454063787,0.0012338268171064452,0.0008849057489050928,0.34996265860025066,0.030999100574781818,0.09348602148184346,0.12411131101946271,0.026077825793741873,0.008096023958915281,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.022974343824243352,0.0015111355173444312,0.20707948663646006,0.001274620975172681,9.972030384299451e-05,0.030224684826849712,0.0075510520245358256,0.0005690022068911074,0.49545620095136045,8.517330321550969e-06,1.1824506233307848e-06,0.0063312661045507495
0.155,0.008406598613764693,0.0012652916263552097,0.0009068570190899277,0.36591103411470016,0.0319467740089832,0.09370813484689496,0.1241816953284216,0.02608193849261492,0.008090895119511828,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.010165889291406657,0.0010917962556922657,0.14981766202176833,0.0008483469666040178,9.453179354562962e-05,0.028815083283647687,0.00887105903268288,0.0006659535701721914,0.5405496299795943,8.546822900981578e-06,1.1815987220947803e-06,0.006330112277503798
0.16,0.008661120258190658,0.001299497180532806,0.0009307237760657627,0.3586320041338597,0.031682093645577204,0.09052231712856468,0.12427400827839685,0.026086510812729075,0.008085988493516084,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.012782448009448388,0.001076291069569887,0.1445649209117944,0.001023977256170911,0.00011034902836191976,0.03384595899810127,0.00976619616307238,0.0007389406142273169,0.5623747884872923,8.577247267624192e-06,1.1807384294988488e-06,0.006329008507934767
