s,steps,minimum_heat,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_stretch,maximum_stretch,minimum_relative_cell_width,minimum_packet_gap,canonical_energy,slice_energy,field_slice_energy,thermal_inventory,canonical_balance_residual,momentum_balance_residual,thermal_balance_residual,maximum_anchor_force,canonical_geometry_integral,canonical_endpoint_integral,heat_endpoint_integral,heat_electrical_integral,momentum_free_integral,anchor_left_integral,anchor_right_integral
0.07,140,0.25,-2.1,0.3900486146002124,0.02001659009732251,0.00207572411151107,0.23489253368286017,0.22641470676752898,0.22000000000000008,33684.45466486313,122.89796707020551,5.09700718759072,21.168051510548942,4.787420397418664e-10,6.536993168992922e-13,-4.561478020051914e-15,0.019970258238851107,-81.22338132228896,0.3271180886975338,0.0022271981047200817,0.0,-113.5878262989814,-0.02643159883035288,77.62037878851959
0.075,150,0.25,-2.1,0.40726111889367506,0.021265618435212137,0.001961646111187984,0.2498682141051884,0.15820472079949133,0.22499999999999998,33544.105856174516,122.86102444838835,5.078947238646696,21.183085633394626,4.105081707416239e-11,4.476419235288631e-12,-2.910190278025952e-15,0.01996533174760518,-92.55205505060768,0.48718848712498364,0.0034235755876905844,0.0,-123.37244954532748,-0.028233454528611295,84.63747328415492
0.08,161,0.25,-2.1,0.4240880800206056,0.02276451027758075,0.0018542830020408646,0.2678902587405414,0.09216764810704914,0.22999999999999998,33395.28986107008,122.81189991257429,5.059496163779907,21.19985522685563,-2.715606977537948e-09,3.240074875066057e-11,-8.883165080865734e-15,0.019944831798665637,-104.5704776612696,0.6632104820009739,0.0047580574341712775,0.0,-133.3573105409639,-0.030013131120603408,91.8354940680918
0.085,183,0.25,-2.1,0.44044518960683204,0.02458209572766997,0.0017536334366546056,0.2898184456426365,0.03026947112481981,0.235,33238.100174043735,122.75064826288386,5.038680806764138,21.21833639848096,-1.015642193966928e-08,1.1435474789323052e-10,-1.5150428788224994e-15,0.019680020187930216,-117.27048395940922,0.8544589340776638,0.006228742343321279,0.0,-143.5399638233582,-0.03176560782430382,99.1874395962188
0.09,264,0.25,-2.1,0.4562881496586516,0.026814681043281583,0.0016596461502780184,0.3168654787438821,0.024609915345008646,0.24,33072.63720617093,122.6797308148134,5.016527843423105,21.23841240334917,-1.420179133839961e-09,9.9333874459262e-11,-1.8747293176796395e-15,0.019573671512058497,-130.6424300973039,1.0592804534714257,0.007826340049477503,0.0,-153.91722512879107,-0.033483784423630786,106.20715155450962
0.095,279,0.25,-2.1,0.47161112307663916,0.029600220160350528,0.0015722271347678356,0.35078587085034146,0.07918772044702954,0.245,32899.015664254664,122.5931297120236,4.993067602527523,21.25994626667295,6.654478078579563e-08,-6.232028226804687e-10,1.7439342490043159e-15,0.019946333168856335,-144.67536744536974,1.2758544845228066,0.009539950445399764,0.0,-164.4856379217207,-0.03515726950043764,113.91108412998436
0.1,289,0.25,-2.1,0.4864344478888515,0.033141389769439235,0.0014912150989823882,0.39418998632867985,0.13316655793785206,0.25,32717.371317183824,122.49370016225959,4.968334847438173,21.282801164649772,7.254220694195386e-08,-6.899369964230573e-10,-4.904815075324638e-15,0.01997301559720137,-159.35671559157552,1.5024047697394076,0.011358685438836282,0.0,-175.24020009199396,-0.03677025081873778,121.83135335471566
0.105,299,0.25,-2.1,0.5007967338829566,0.037743607782982525,0.001416351646458321,0.451076753571108,0.18399439482923508,0.255,32527.853722936106,122.38162166668975,4.94236313929462,21.30684028882712,7.307806073562951e-08,-6.945413133507827e-10,-5.122806856450178e-15,0.01998109271085932,-174.67284236939304,1.7372005838100777,0.013271658159048813,0.0,-186.17547257042426,-0.03829757232068341,129.92756045613066
0.11,309,0.25,-2.1,0.5147476404913092,0.04387666475663065,0.0013472710092906474,0.5277369834016419,0.23153370633323872,0.26,32330.630481403037,122.25693844081066,4.9151865354346835,21.331926731913885,7.331058437206516e-08,-6.952802777959732e-10,-3.793056991584387e-15,0.019985198824268618,-190.60872651705088,1.9785578401521182,0.015267973869974662,0.0,-197.28531618562073,-0.03969713941495612,138.19035074667244
0.115,319,0.25,-2.1,0.5283406762446115,0.05226428907925676,0.0012835305999939523,0.6341845279076079,0.26664872320967326,0.265,32125.882006056836,122.11971080833732,4.886840019691585,21.357923373504175,7.334550491146722e-08,-6.954792297619861e-10,-9.286449875947982e-15,0.01998784301919165,-207.14837481876293,2.224840170923049,0.01733672087641643,0.0,-208.562888150341,-0.04089453454654521,146.61210954497716
0.12,329,0.25,-2.1,0.5416320996531813,0.06395195719629064,0.0012246488456733534,0.7856941888949247,0.21556937778203583,0.27,31913.799562646207,121.97003306426039,4.857359451497143,21.38469281618823,7.33979289701397e-08,-6.955076514714165e-10,-5.362597815688271e-15,0.01998972830131239,-224.27497914029686,2.4744598865483556,0.01946696543990754,0.0,-220.0006697293592,-0.041751313198503705,155.1850417099145
0.125,339,0.25,-2.1,0.5546810790413809,0.07999250748292273,0.0011701381364553737,0.9998982003252935,0.16966057961752526,0.275,31694.584480300764,121.80803439610666,4.8267815500855455,21.412097233890307,7.208599374241432e-08,-6.955929165997077e-10,-6.321761652640645e-15,0.019991138242721775,-241.9709797461045,2.7258785146733437,0.021647739709827866,0.0,-231.5906289425684,-0.04200603398989868,163.90098951161127
0.13,350,0.25,-2.1,0.5675530326725954,0.09920991860208435,0.0011195262419250091,1.2665704113364695,0.13415727186071344,0.28,31468.446426362454,121.63386569793114,4.795143855065348,21.439998363931554,7.231499323651959e-08,-6.955360731808469e-10,-3.8366553478094945e-15,0.019992220795784013,-260.2182038931482,2.9776081089668325,0.023868041091784725,0.0,-243.3243109531694,-0.04123059005447765,172.75142328414807
0.135,363,0.25,-2.1,0.5803114430839602,0.11234165087233046,0.001072371418157748,1.45543495005868,0.11694140606625159,0.28500000000000003,31235.602471663926,121.44771093741994,4.762484411158877,21.468257561742224,7.222500064868136e-08,-6.955360731808469e-10,-2.136319455030287e-15,0.024369765768630553,-278.9979415419187,3.2282125780765347,0.026116836601474517,0.0,-255.19287722759722,-0.03917007184510919,181.72754306105608
