s,steps,minimum_heat,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_stretch,maximum_stretch,minimum_relative_cell_width,minimum_packet_gap,canonical_energy,slice_energy,field_slice_energy,thermal_inventory,canonical_balance_residual,momentum_balance_residual,thermal_balance_residual,maximum_anchor_force,canonical_geometry_integral,canonical_endpoint_integral,heat_endpoint_integral,heat_electrical_integral,momentum_free_integral,anchor_left_integral,anchor_right_integral
0.05,30,0.25,-2.1,0.2988369957320281,0.015342590990481901,0.0021488228048893703,0.1791890202380393,0.9197502712199445,0.20000000000000007,34148.712167010446,122.88632796695838,5.152389881860942,21.103404090415133,-5.02465650428266e-05,-4.3144865458089043e-10,-2.1853676057835332e-15,0.019985659842471255,-42.818534411535026,-0.14470379960825708,-0.0011779394816811488,0.0,-76.40277158650659,-0.01715889812398324,51.04467098097555
0.055,33,0.25,-2.1,0.3160396228782253,0.015616657737251073,0.0021498423475453713,0.1824406775977841,0.9031954014404452,0.20500000000000007,34043.09835122014,122.8965005948579,5.140776444808267,21.11151447948459,-5.025213532803912e-05,-4.324860469751002e-10,3.869354114978326e-16,0.02001359914344358,-51.31483681607741,-0.05288181553417247,-0.0005325352262801927,0.0,-85.37787998263877,-0.018840488360360133,57.34025243981109
0.06,36,0.25,-2.1,0.3336802459311933,0.015925496617236072,0.0021513218136579386,0.1861070584276481,0.8851811091510107,0.21000000000000008,33928.625909373965,122.89480095619292,5.1277418527858885,21.121355707941134,-5.027778508088508e-05,-4.333671199674427e-10,-6.226390248398222e-16,0.020029380428260978,-60.53380543540931,0.05665932202920533,0.0002506048511979271,0.0,-94.5609623254562,-0.02051416871204544,63.825380753169625
0.065,39,0.25,-2.1,0.35162196908342847,0.016272424805284992,0.0021532468248625235,0.1902283619768787,0.8657504147168535,0.21499999999999997,33805.42430035089,122.88119981195184,5.113296223563379,21.132927648032847,-6.218110830215279e-05,6.547310249516158e-09,-5.0219856576796155e-15,0.02003237465906451,-70.46470770272433,0.18349000013205302,0.0011714705845779605,0.0,-103.94769205043744,-0.02217944339485105,70.4960891584338
0.07,42,0.25,-2.1,0.3696772134516095,0.01666137018762642,0.0021556039502159488,0.1948522628407909,0.8449526467722442,0.22000000000000008,33673.607172867334,122.85563788750171,5.0974535838021815,21.14623092800415,-6.217231091770976e-05,6.549470299432869e-09,-4.888465691740223e-15,0.02002459983739577,-81.09806439004218,0.32717297515841426,0.0022301119679621344,0.0,-113.53562950778317,-0.023835774277914376,77.34967715701289
0.075,45,0.25,-2.1,0.3876278702770868,0.017096994967497576,0.0021053132266194833,0.20003544715963145,0.822839658690498,0.22499999999999998,33533.263742387804,122.81801179376741,5.08023177619106,21.161266851427246,-6.215559943338393e-05,6.551843512170308e-09,-2.730347058597382e-15,0.02001040590912513,-92.42633053816029,0.4872637763011377,0.003426632736330366,0.0,-123.32283313641939,-0.02548256986944878,84.3841923340928
0.08,48,0.25,-2.1,0.4052525717309531,0.01758485276384388,0.002007941494105761,0.20584557083950672,0.79946188686656,0.22999999999999998,33384.4884936493,122.76821949341993,5.061652158113057,21.17803731128813,-6.213047532045752e-05,6.554486731147335e-09,-4.632325348917714e-15,0.019993920121309884,-104.44153600872492,0.6633111216374358,0.004761183528722381,0.0,-133.30730656148444,-0.02711917127097,91.59822125379324
0.085,51,0.25,-2.1,0.4223594124361251,0.018131589731887297,0.0019161660817984135,0.2123637747544668,0.7748653630996999,0.235,33227.3808124549,122.70616114347041,5.041738669670665,21.196518234296768,-6.21074356247126e-05,6.557471010637528e-09,-3.346173840277031e-15,0.0199784075125302,-117.13504752513884,0.8545906063207293,0.0062318486535851035,0.0,-143.4867419861957,-0.02874483412725211,98.99061518106087
0.09,54,0.25,-2.1,0.43882013060218034,0.018745204629113783,0.0018302401468007312,0.21968794878941642,0.7490899873434591,0.24,33062.03255545915,122.63165997303416,5.02051787973273,21.216592719041348,-5.52850705264581e-05,7.0124031026352895e-09,-2.986487401419891e-15,0.01996661074669163,-130.4979030774856,1.0594493995090917,0.00782932539214644,0.0,-153.858202643168,-0.030358705196161722,106.56014578958666
0.095,57,0.25,-2.1,0.4545806262520891,0.019435388269803417,0.0017502115848689079,0.22793700938111916,0.7221688394708384,0.245,32888.555481927215,122.54457343780837,4.9980184309193625,21.238123656600553,-5.5284487485989084e-05,7.015202641014184e-09,3.9238520602597107e-16,0.019959364170219044,-144.5193880568502,1.2760674959653802,0.009542702963121399,0.0,-164.41778718164036,-0.03195979159916337,114.3052100591327
0.1,60,0.25,-2.1,0.4696479578494988,0.020213971774128616,0.0016759402924217696,0.23725657307381975,0.6941283301973813,0.25,32707.08854020243,122.4448239982659,4.974270761518146,21.260974105131282,-5.528723705085432e-05,7.018073233666655e-09,-2.005524386354963e-15,0.019955781470264593,-159.18667010793007,1.5026691556300171,0.011361083880887683,0.0,-175.1606529946051,-0.03354691999332542,122.22320947146716
0.105,63,0.25,-2.1,0.48407861495001014,0.021095525893720917,0.001607123649122701,0.24782657980931014,0.664988546011538,0.255,32517.782330746904,122.33236745753003,4.949306945811675,21.285007166658744,-5.528214777636561e-05,7.020616976660676e-09,-4.272638910060574e-15,0.019954919735107116,-174.48603458186804,1.7375241327446005,0.013273574150751595,0.0,-186.08109449122531,-0.03511868160687524,130.31031120068388
0.11,66,0.25,-2.1,0.49796166577340245,0.02209817326319315,0.0015433400064460367,0.25987168198134236,0.6347638105567666,0.26,32320.80461644998,122.20721853921054,4.923159950574941,21.31008587785851,-5.527127061848922e-05,7.023118087090552e-09,-1.9619260301298554e-16,0.019955823053587896,-190.4024476874439,1.978948782805542,0.01526927457765949,0.0,-197.1727482437823,-0.03667335714640594,138.56149740352134
0.115,69,0.25,-2.1,0.5114002871808073,0.02324470634673289,0.001484096383073201,0.2736756327038864,0.6034633222260876,0.265,32116.334691835425,122.06942760687168,4.895863914562659,21.336073118087626,-5.52941971984733e-05,7.0498913373739924e-09,6.103769871515106e-16,0.019957603059135957,-206.92000567461372,2.2253071637832456,0.017337273447549824,0.0,-208.4289080288443,-0.03820881246644589,146.97064298923704
0.12,72,0.25,-2.1,0.5245048755997876,0.02456415182388989,0.0014288685477466,0.2896015627300709,0.5710918093557036,0.27,31904.559874461218,121.919084479863,4.867453838475511,21.362831529630796,-5.527386348876946e-05,7.051681905068108e-09,-4.795819184761869e-15,0.019959847814150576,-224.0222150171653,2.475012000972217,0.01946664018074145,0.0,-219.84273633127492,-0.03972235087706317,155.53064580636428
0.125,75,0.25,-2.1,0.5373896001330559,0.02609400090666437,0.0013742815607403372,0.30812112329732305,0.5376503657645567,0.275,31685.673424981338,121.75631706435837,4.837965312874351,21.390223451789257,-5.525082334378708e-05,7.05321667737735e-09,3.4878684980086318e-15,0.01996256053522874,-241.69215883320174,2.7265256098965946,0.021646420086894602,0.0,-231.40729371938923,-0.04121049965049424,164.23381908279313
0.13,78,0.25,-2.1,0.5501691074548258,0.027883455183675954,0.00130535207424145,0.3298572957349063,0.5031374094672287,0.28,31459.872793495986,121.58128326263652,4.807434306875529,21.418110865349295,-5.5113146470599835e-05,7.054012485241401e-09,1.1335572618528054e-15,0.019965742299139833,-259.9126373072751,2.9783607459313033,0.023865629945958665,0.0,-243.11553999598019,-0.04266869400208731,173.07203992004125
0.135,81,0.25,-2.1,0.5629582721333298,0.029998259531234275,0.00124134683478615,0.3556488305293949,0.46754970623612724,0.28500000000000003,31227.35901807705,121.39418521209151,4.7758966457457275,21.446355345220717,-5.510101498313183e-05,7.054552497720579e-09,2.7466964421817977e-15,0.019969391062990588,-278.66621624454524,3.229081334795167,0.026113254239256815,0.0,-254.96028746999542,-0.044090796627679375,182.03687457903078
0.14,84,0.25,-2.1,0.5758612193721355,0.032528084203652635,0.0011821531573849144,0.3866499504888445,0.4308834509356634,0.29000000000000004,30988.337141886477,121.1952562839732,4.743388338950359,21.474818022312608,-5.446148141318804e-05,6.394685669874889e-09,2.2235161674805027e-15,0.019973490597201247,-297.9351947005345,3.4773031884772663,0.02837824211565825,0.0,-266.9339052780376,-0.04546834456165353,191.11971500590354
0.145,87,0.25,-2.1,0.5889634386733346,0.03559812444301356,0.0011275622229616918,0.42448945970601826,0.3931353902519477,0.29500000000000004,30743.018089735633,120.98476720763168,4.709945807638962,21.503359552544055,-5.445742358233274e-05,6.394117235686281e-09,3.1826800044328763e-15,0.01997786549197646,-317.7014560074477,3.7216946028548987,0.03064950492552906,0.0,-279.02822100844713,-0.04678932646831261,200.3118473895887
0.15,90,0.25,-2.1,0.6023281576584051,0.03938790838734477,0.001077287174279429,0.4715336715094264,0.3543039374730363,0.30000000000000004,30491.620318918,120.76302794059986,4.675606020281794,21.531840088283808,-5.445352727606273e-05,6.393264584403369e-09,7.847704120519421e-16,0.019982230882767717,-337.94633725187197,3.9609768930144864,0.03291591394797282,0.0,-291.2348065643657,-0.048036115462371416,209.60457950897333
0.155,93,0.25,-2.1,0.6159943020667505,0.04416285420366084,0.0010309810154348527,0.5313382364094819,0.3143904618631732,0.30500000000000005,30234.36772740496,120.53037720063669,4.640406513105307,21.56011924425152,-5.4454784934476036e-05,6.3918434989318484e-09,-1.5695408241038843e-15,0.019986331926577592,-358.65079598098134,4.193924840973599,0.035166297677336936,0.0,-303.5450454541061,-0.04918180503161685,218.98933808494252
0.16,96,0.25,-2.1,0.629975692130735,0.05032915410146795,0.000988255513502843,0.6094588189861333,0.2734006068920945,0.31000000000000005,29971.488516168298,120.28718509841241,4.604385250887653,21.588055971658104,-5.445674235976066e-05,6.390195039784885e-09,-1.6567375365541e-15,0.01998991927747004,-379.7955009872085,4.419366895149814,0.03738943180762124,0.0,-315.95033991967625,-0.0501833441864646,228.45779352297555
