regulator,coordinate,pressure_derivative,lapse_term,angular_term,material_exchange,active,absolute_residual,relative_residual
4.0,3.750215873082978,-0.00021902307474359377,-7.910422305130202e-07,0.00018866525534292188,3.116986366108853e-05,True,2.1002029903621463e-08,4.776996793113227e-05
4.0,3.812709031022995,-0.0001976941017667721,-4.918835976301991e-07,0.00017269463201707413,2.5447120562268236e-05,True,4.423278505993029e-08,0.00011160658421089052
4.0,3.875204682983212,-0.0001782854712361278,-3.0361893067015907e-07,0.00015801182522434605,2.069287939048449e-05,True,1.1561444803258631e-07,0.00032358369980438025
4.0,3.937701900682843,-0.00016080570702089713,-1.855491177753962e-07,0.0001442490989449817,1.6759985163455747e-05,True,1.7827969764920077e-08,5.5366307225757934e-05
4.0,4.000200093381721,-0.0001447497241098701,-1.1220833242893348e-07,0.00013132833519008508,1.3522539288181191e-05,True,1.1057964032782895e-08,3.816870973127127e-05
4.0,4.062698888313755,-0.00012994846738006202,-6.709689575206259e-08,0.00011917655333240619,1.0871561563644483e-05,True,3.255062023660461e-08,0.0001251640380550539
4.0,4.125198052230056,-0.00011645625766015151,-3.9656584661616325e-08,0.00010774943464682701,8.711767198004648e-06,True,3.4712399981474485e-08,0.00014900768246167988
4.0,4.187697440400842,-0.00010399617620648422,-2.3195058983982232e-08,9.716303253512252e-05,6.960714422188073e-06,True,1.043756918424033e-07,0.0005014611712057104
4.0,4.250196963769187,-9.264942891598678e-05,-1.336570317973674e-08,8.704145582212832e-05,5.546761053082009e-06,True,7.457774395619129e-08,0.0004025767166105597
4.0,4.31269656799035,-8.232275296690595e-05,-7.654810434451668e-09,7.805294167938492e-05,4.409775907322628e-06,True,1.3230980936714886e-07,0.000802884277331718
4.0,4.375196220176749,-7.308307926474264e-05,-4.317417932980914e-09,6.950349615202867e-05,3.498012460844977e-06,True,8.588806980197897e-08,0.0005879164446350029
4.0,4.437695900589353,-6.469885118426886e-05,-2.4178239601081573e-09,6.189453767337297e-05,2.769764083906464e-06,True,3.6967250949532215e-08,0.0002857580323016552
4.0,4.500195597479445,-5.7047626307449945e-05,-1.3377745660381166e-09,5.48856331666768e-05,2.1886188022074925e-06,True,2.5287886868308606e-08,0.0002215840715269531
4.0,4.562695303911884,-5.03411637433514e-05,-7.334869783484516e-10,4.858920152386449e-05,1.726817846319538e-06,True,2.5877860145724167e-08,0.0002570871822077041
4.0,4.6251950158259145,-4.4317184165702094e-05,-3.986209832141141e-10,4.29525777141145e-05,1.3596627671543531e-06,True,5.3423054164532946e-09,6.027661140993056e-05
4.0,4.687694730864025,-3.8938213592297236e-05,-2.141695876065308e-10,3.7827272529580035e-05,1.0690451139814148e-06,True,4.211011832339575e-08,0.0005410195421600133
4.0,4.750194447668217,-3.4146846290070474e-05,-1.144067568469486e-10,3.335509235353695e-05,8.387112918414777e-07,True,4.684294855110543e-08,0.000685432025848389
4.0,4.812694165462441,-2.991087156342366e-05,-6.029189463801524e-11,2.9245752603388954e-05,6.569631641548092e-07,True,8.216087774535288e-09,0.00013736142337179453
4.0,4.875193883807647,-2.6201408770480513e-05,-3.166094160211679e-11,2.572649065538868e-05,5.13355738721278e-07,True,3.840596268784343e-08,0.0007323611797631314
4.0,4.937693602457052,-2.289627087571554e-05,-1.6376323942183455e-11,2.246999760889765e-05,4.003512772594786e-07,True,2.593836588235478e-08,0.000566752727992319
