run,regulator,first_harmonic,terms,tail_rho,tail_pr,tail_pt,tail_polarization,fit_residual_rho,fit_residual_pr,fit_residual_pt,fit_residual_polarization
annulus_192,16.0,96,5,-0.00026975991863652905,0.00011768716617879185,-3.292621990180948e-05,-2.8707700408586403e-07,1.0972813433366552e-07,1.6063852576020835e-09,4.831512766734545e-09,1.0117236931557379e-10
annulus_192,16.0,128,3,-0.0002472031167983187,0.00011655423028660337,-3.592667791582149e-05,-2.949672654949776e-07,2.0059855916864955e-07,5.701028805776224e-09,1.890518742929685e-08,1.1492297065948344e-10
annulus_192,16.0,128,4,-0.0002801864316721821,0.00011734287516024015,-3.3094309363240556e-05,-2.7451168978423173e-07,2.3900169553690588e-08,3.3317017114603944e-10,3.7313986312413876e-10,2.4306538560891214e-11
annulus_192,16.0,128,5,-0.00029293784680793926,0.00011714814890593715,-3.301377701044225e-05,-2.6106524821738266e-07,2.406987401867379e-09,1.1506484551571794e-10,2.535501866248426e-10,3.4345117488743525e-12
annulus_192,16.0,144,3,-0.0002658233444444198,0.0001169535015514022,-3.441595353343208e-05,-2.8292755607401515e-07,4.7485928987033686e-08,6.6420923547e-10,3.0177386994971556e-09,3.5060799790699655e-11
annulus_192,16.0,144,4,-0.00028841415532694436,0.00011720736590067854,-3.3115385680680695e-05,-2.6554412375417856e-07,3.649852409696551e-09,1.1395542783180783e-10,1.5808749836138193e-10,4.287738854346224e-12
annulus_192,16.0,144,5,-0.0002963842872755572,0.00011703447123963949,-3.335727022895528e-05,-2.5594619319943446e-07,2.2324856158545235e-10,7.405307309768427e-11,7.105299224301269e-11,3.8363954980202465e-13
annulus_384,8.0,192,3,-6.877921551717742e-07,1.403673975244495e-07,-1.6951161948407325e-08,-1.4901115205905075e-10,1.1297011270160214e-09,1.1383461141533493e-09,1.1393849370359186e-09,1.1095421967482858e-13
annulus_384,8.0,192,4,-6.884245159809297e-07,1.413515610727702e-07,-1.7984957702335184e-08,-1.4353619485387258e-10,1.1329835158125805e-09,1.133237626470022e-09,1.134018823969622e-09,9.349343142398258e-15
annulus_384,8.0,192,5,-6.893931209566008e-07,1.4076831920825515e-07,-1.7400000598514454e-08,-1.4315353831784214e-10,1.1357648068876952e-09,1.1349123704917264e-09,1.1356984931980848e-09,9.652858802743082e-15
annulus_384,8.0,256,3,-6.891549703911598e-07,1.4102335644535182e-07,-1.768644870492442e-08,-1.441352332868272e-10,1.1357579814834842e-09,1.1341584979477625e-09,1.1347821413613709e-09,1.043862364990767e-14
annulus_384,8.0,256,4,-6.88838345997554e-07,1.3979724105670972e-07,-1.800807407335522e-08,-1.4293169149317502e-10,1.135354467312046e-09,1.1357210905499746e-09,1.134372253820566e-09,9.503254724930953e-15
annulus_384,8.0,256,5,-6.942943796126386e-07,1.2357489953350955e-07,-5.5960574844762165e-09,-1.407964147860324e-10,1.1368459540341468e-09,1.1401557052701492e-09,1.1377652603969204e-09,9.657340288769823e-15
annulus_384,8.0,288,3,-6.884230982215353e-07,1.3967918880061621e-07,-1.7202492620341274e-08,-1.432649017314011e-10,1.135221279246132e-09,1.1370235273695364e-09,1.1358051266125954e-09,9.308111395698745e-15
annulus_384,8.0,288,4,-6.889725055210093e-07,1.3451044099214463e-07,-1.6674963955545425e-08,-1.419325201223027e-10,1.1353879550971766e-09,1.1385915907001142e-09,1.1359651650562857e-09,9.635219935621856e-15
annulus_384,8.0,288,5,-7.16948450984853e-07,1.2150403777536822e-07,2.8762320005781882e-08,-1.4403978109674464e-10,1.135487004595294e-09,1.1386376401790322e-09,1.1361260368372915e-09,9.728031649271029e-15
annulus_384,16.0,192,3,-3.5355283955133274e-05,8.735992936354893e-06,-1.0887909959303665e-06,-9.644996146002373e-09,2.2266718145457533e-08,1.3073429720321366e-09,1.5039579853122845e-09,2.8814644157115714e-11
annulus_384,16.0,192,4,-3.653587252431746e-05,8.7084802750169e-06,-1.1743850248553796e-06,-8.067139179588223e-09,2.086228722514832e-09,1.1662643533130629e-09,1.064109487886968e-09,3.733076421669626e-12
annulus_384,16.0,192,5,-3.6756141328856534e-05,8.7076211273988e-06,-1.2207131577966726e-06,-7.677056888878742e-09,1.207777087108741e-09,1.1640939850894076e-09,1.1467531549429933e-09,3.8623244126082336e-13
annulus_384,16.0,256,3,-3.6502971647200216e-05,8.71384016520976e-06,-1.1916147015056929e-06,-8.053842513700048e-09,1.3796625185704262e-09,1.172591713300135e-09,1.1337970498027615e-09,1.4306917866739722e-12
annulus_384,16.0,256,4,-3.677146917047095e-05,8.7125513749241e-06,-1.2262113939007405e-06,-7.65318448827454e-09,1.1615339065721049e-09,1.1715446941963264e-09,1.1619035604325861e-09,7.849186228522977e-14
annulus_384,16.0,256,5,-3.679310784842337e-05,8.737329431389387e-06,-1.2516577913315642e-06,-7.585136068364602e-09,1.1611019498782207e-09,1.1720393199475992e-09,1.1624115277730502e-09,8.286682208047675e-15
annulus_384,16.0,288,3,-3.6648826510429466e-05,8.7133873952497e-06,-1.2101228872224552e-06,-7.835682361676978e-09,1.1578480965040195e-09,1.1719717598896744e-09,1.1627823121379063e-09,2.677608848257846e-13
annulus_384,16.0,288,4,-3.67817842160602e-05,8.734039017671757e-06,-1.245214682804494e-06,-7.612161893057755e-09,1.1597535312240144e-09,1.171675798717663e-09,1.1622794069069189e-09,1.1419732374192183e-14
annulus_384,16.0,288,5,-3.687870668664035e-05,8.641362282983351e-06,-1.1831159457120914e-06,-7.575179774867837e-09,1.16721587410355e-09,1.1788112500434406e-09,1.1670605692709575e-09,5.715400059722067e-15
throat_control,2.0,64,3,-2.7332538213733517e-08,2.87769132211447e-09,6.072948433930937e-09,-8.047262422131224e-12,2.354554200971115e-10,2.6071992579811647e-10,2.4743834892102956e-10,1.5227190820883095e-14
throat_control,2.0,64,4,-2.7577824476577503e-08,2.6855046440356193e-09,6.091191988388093e-09,-8.073079444244836e-12,2.3929738223551413e-10,2.637301797443554e-10,2.4772410094269443e-10,1.565211511830275e-14
throat_control,2.0,64,5,-2.704768124741379e-08,3.321645968300338e-09,6.057042602261264e-09,-8.066001442727373e-12,2.3472524013983144e-10,2.5824387270981856e-10,2.474295845983123e-10,1.5620952534485467e-14
throat_control,2.0,85,3,-2.6994637253771837e-08,3.4193588902817244e-09,5.9496081035348905e-09,-8.112238735603162e-12,2.3229782723591132e-10,2.5530531093799584e-10,2.4658943210344835e-10,1.538439033123243e-14
throat_control,2.0,85,4,-2.733350042270042e-08,3.955866530809252e-09,5.1572814920290004e-09,-8.327995490774629e-12,2.336353718503147e-10,2.5318763344757115e-10,2.434619981146227e-10,1.5935496386213055e-14
throat_control,2.0,85,5,-2.3633903228385018e-08,1.1759912482780442e-08,2.141161343124688e-09,-9.272847123956137e-12,2.3055038943982603e-10,2.466800751302867e-10,2.409469465783137e-10,1.5987609523065278e-14
throat_control,2.0,96,3,-2.6866599286687783e-08,4.31618390075143e-09,5.346709781288335e-09,-8.328154324421152e-12,2.3263576396661576e-10,2.5176682013051426e-10,2.4384019154774925e-10,1.599568776289507e-14
throat_control,2.0,96,4,-2.3632315990582338e-08,1.1918444805015873e-08,-1.2884791385256462e-10,-9.38500526237635e-12,2.297942535733031e-10,2.4508778140866264e-10,2.3902958818512627e-10,1.5911576105207083e-14
throat_control,2.0,96,5,-2.9441216236414557e-08,3.2521450838326205e-08,-8.004248999657033e-09,-1.635300666948006e-11,2.297283570493161e-10,2.453215031845277e-10,2.3911892722257306e-10,1.4169114370013756e-14
throat_control,4.0,64,3,-1.711066428601654e-06,1.9395634325355213e-07,3.8706788399430734e-07,-5.086941777419115e-10,1.8575165999705033e-10,1.9944845084013725e-10,1.775478247744876e-10,2.8091416587103427e-13
throat_control,4.0,64,4,-1.7111565702360848e-06,1.9324491864594976e-07,3.8748252645481675e-07,-5.02723120534309e-10,1.871635578459689e-10,2.1059156888411222e-10,1.840424130050962e-10,8.462445228245005e-15
throat_control,4.0,64,5,-1.7105901328580556e-06,1.930081780500691e-07,3.88118095755916e-07,-5.024901822463598e-10,1.8195860283385918e-10,2.1276696231483019e-10,1.898826166137317e-10,9.730279069465634e-15
throat_control,4.0,85,3,-1.7106721185752144e-06,1.9340104042315785e-07,3.878291988153504e-07,-5.035124805880436e-10,1.806241444987578e-10,2.0940835771684806e-10,1.890686099414946e-10,1.0419517731684317e-14
throat_control,4.0,85,4,-1.711652227885853e-06,1.9151587953481548e-07,3.89044838823132e-07,-5.025817361160692e-10,1.8532409578959485e-10,2.1844833341589943e-10,1.948980095418675e-10,8.94397323474208e-15
throat_control,4.0,85,5,-1.7102561014028563e-06,1.9248415429354027e-07,3.9067596277169404e-07,-5.025948117672567e-10,1.8337321680563882e-10,2.1709531354235051e-10,1.9717726251085974e-10,8.925701958138847e-15
throat_control,4.0,96,3,-1.7102172229248195e-06,1.9319364297049287e-07,3.877904225272884e-07,-5.029603113800691e-10,1.7965442630421904e-10,2.1299172566198545e-10,1.9063607935931386e-10,8.515294162516302e-15
throat_control,4.0,96,4,-1.715571603603532e-06,1.8765967345921055e-07,3.9422321376172196e-07,-5.027257644574112e-10,1.880525075806669e-10,2.2167148314027797e-10,2.0072559425623632e-10,8.883169410463602e-15
throat_control,4.0,96,5,-1.7120932102838825e-06,2.0521682362045616e-07,3.8591854923565334e-07,-5.074960130134664e-10,1.8722819369785342e-10,2.1751076832412042e-10,1.987575447482372e-10,7.983881941226685e-15
throat_control,8.0,64,3,-0.00010144808513008803,1.228531929169444e-05,2.4344372527463578e-05,-3.2800363395771945e-08,1.9432092057881283e-08,9.7499137420485e-10,3.786651814322901e-09,1.4655027358064716e-10
throat_control,8.0,64,4,-0.00010186066315326074,1.2263302038891078e-05,2.4262392537007774e-05,-2.9581484134481883e-08,3.962283697623919e-10,2.484665236130698e-10,2.1795720364666407e-10,8.147664326749074e-12
throat_control,8.0,64,5,-0.00010187337472513621,1.225783663651197e-05,2.425825471489226e-05,-2.918776436349118e-08,3.1613018340347413e-10,1.9824530833015872e-10,2.5597937307884034e-10,3.4788671916864625e-13
throat_control,8.0,85,3,-0.00010180607127129435,1.2262633467254564e-05,2.4273522299353957e-05,-2.981417752891643e-08,4.3333335162680704e-10,2.1372302385983833e-10,1.7375878643780606e-10,5.713504271014592e-12
throat_control,8.0,85,4,-0.0001018490861515903,1.2256427363100514e-05,2.4268776408198105e-05,-2.9198162276237978e-08,1.6616768394924693e-10,1.839626829333547e-10,1.9651691863971264e-10,1.4111882286903515e-13
throat_control,8.0,85,5,-0.00010182656673416797,1.2252215829638965e-05,2.427852112647338e-05,-2.914946353149796e-08,1.6822365093936077e-10,1.780776916945739e-10,1.8290012509070273e-10,1.5569355077551388e-14
throat_control,8.0,96,3,-0.00010182741686382117,1.225845301033289e-05,2.427215114685673e-05,-2.9475802040888082e-08,1.765628661927414e-10,1.8404560671302546e-10,1.8746143856354244e-10,9.281606472874291e-13
throat_control,8.0,96,4,-0.00010183056383045632,1.2256522226379383e-05,2.427577929621009e-05,-2.9169388933049996e-08,1.7162700467446385e-10,1.810172675745074e-10,1.817708657456594e-10,1.3874276847976282e-14
throat_control,8.0,96,5,-0.0001017959639567553,1.2281615047405755e-05,2.4269943704022615e-05,-2.9155391035170874e-08,1.798265248579271e-10,1.8696379484502233e-10,1.831537914848391e-10,1.305218649522262e-14
ward_left,4.0,96,3,-1.702990985928843e-07,3.438140139802718e-08,-2.606585433314525e-09,-1.4670308968145467e-10,8.48137830603922e-11,7.957780891303981e-11,8.28826982697652e-11,1.9445534649962015e-13
ward_left,4.0,96,4,-1.7059221546656638e-07,3.44174526286468e-08,-2.63391940903011e-09,-1.4119415656345287e-10,8.191194870661417e-11,7.99347133047723e-11,8.315330251291382e-11,5.837533636368702e-15
ward_left,4.0,96,5,-1.707177904306007e-07,3.442849823564247e-08,-2.6061370273083953e-09,-1.408697290542546e-10,8.140980019082971e-11,7.997888242081721e-11,8.304220646877488e-11,4.513185863558635e-15
ward_left,4.0,128,3,-1.7074268814254348e-07,3.434625493184061e-08,-2.5334895016360917e-09,-1.4179580616709957e-10,8.108382957514907e-11,7.981530632840834e-11,8.287151066312076e-11,7.279883306531024e-15
ward_left,4.0,128,4,-1.7108875919513845e-07,3.420162839230566e-08,-2.3684373677323102e-09,-1.4089444052305018e-10,8.094129099216643e-11,7.975573803498405e-11,8.280352954447994e-11,4.622051456329831e-15
ward_left,4.0,128,5,-1.7384935919062925e-07,3.145512711313613e-08,3.2778360570621694e-10,-1.4098824395407534e-10,8.220795800219367e-11,8.101593602418772e-11,8.404065704008624e-11,4.59879916329905e-15
ward_left,4.0,144,3,-1.7115673339142908e-07,3.407914241231313e-08,-2.235206309340146e-09,-1.4136346179961362e-10,8.093709530090589e-11,7.981836291439157e-11,8.287815882462713e-11,4.337736773089456e-15
ward_left,4.0,144,4,-1.7232904939222356e-07,3.264146911055432e-08,-8.491650497846659e-10,-1.4068139413200884e-10,8.169273292599789e-11,8.074504141972543e-11,8.377155695698834e-11,4.9835274069892165e-15
ward_left,4.0,144,5,-1.844722374199625e-07,1.8499833783753356e-08,1.1431462371638263e-08,-1.3957172414372499e-10,8.407615350905525e-11,8.352070993766532e-11,8.61819536421287e-11,5.008979941186421e-15
ward_left,8.0,96,3,-8.750396300681838e-06,2.1441783404362507e-06,-1.7479222536263756e-07,-9.514813505570454e-09,9.853229089758135e-09,2.415706913853873e-10,5.74433032103235e-10,5.096230359214214e-11
ward_left,8.0,96,4,-9.045682191827006e-06,2.1372866115248865e-06,-1.9545897735335422e-07,-7.941926599111946e-09,8.827265543048002e-10,1.2070423241198694e-10,1.7696532228152532e-10,6.224458685588107e-12
ward_left,8.0,96,5,-9.10078496886355e-06,2.1371464649083715e-06,-2.0695260231190813e-07,-7.550750062097118e-09,1.2207904785656882e-10,1.2023955703017148e-10,1.172238658818956e-10,5.94981614543801e-13
ward_left,8.0,128,3,-9.037491224591502e-06,2.1385093684185127e-06,-1.996858100049731e-07,-7.92737878511978e-09,4.3120130210904454e-10,1.2087675564787786e-10,1.2218051555417586e-10,2.594766421703978e-12
ward_left,8.0,128,4,-9.103735914535145e-06,2.139069425196822e-06,-2.0914184601327648e-07,-7.52643829646828e-09,1.1349309641329766e-10,1.207343690104522e-10,1.1977645006894993e-10,1.3420822319538178e-13
ward_left,8.0,128,5,-9.112905245100483e-06,2.1417760063547496e-06,-2.1286747081045926e-07,-7.458473604890446e-09,1.1931685593810647e-10,1.1901532554425302e-10,1.1741017668153573e-10,6.5952857994973014e-15
ward_left,8.0,144,3,-9.073433337092833e-06,2.13895158844549e-06,-2.049560396478196e-07,-7.70892571123006e-09,1.0474219267569997e-10,1.207029845629961e-10,1.2311151627176727e-10,4.927205239099204e-13
ward_left,8.0,144,4,-9.1097422029599e-06,2.140935501523855e-06,-2.1123475401395313e-07,-7.485141609914247e-09,1.1939600615984506e-10,1.190292371066261e-10,1.1781441817103405e-10,1.3829459821264691e-14
ward_left,8.0,144,5,-9.107769148288337e-06,2.1512114634347977e-06,-2.2161795419755422e-07,-7.4529095600595e-09,1.1910967959340747e-10,1.1753800580415407e-10,1.1630762462043169e-10,4.345515351326217e-15
ward_right,4.0,96,3,-1.7032121114114926e-07,3.4949243948247375e-08,-5.907684457994327e-09,-1.4688660426875853e-10,6.056895317119582e-11,6.466756375758501e-11,6.358043003175164e-11,1.8881146971016173e-13
ward_right,4.0,96,4,-1.705352392923077e-07,3.501893094922975e-08,-5.982300723204192e-09,-1.4152963851928813e-10,6.247379909044178e-11,6.404735095507575e-11,6.291634688415989e-11,6.151115748768986e-15
ward_right,4.0,96,5,-1.7068297560541183e-07,3.496173883936428e-08,-5.871558044913537e-09,-1.411870240861151e-10,6.281262928057584e-11,6.417851988067496e-11,6.317033293509042e-11,5.5715558846142045e-15
ward_right,4.0,128,3,-1.705645895490905e-07,3.498527756545735e-08,-5.918427933615787e-09,-1.4205326419733473e-10,6.285395097485558e-11,6.412669091260976e-11,6.311074596161314e-11,8.399583233968673e-15
ward_right,4.0,128,4,-1.7095922039875356e-07,3.46503850232107e-08,-5.459958943246538e-09,-1.4110515050914913e-10,6.242071950425471e-11,6.375904102235415e-11,6.260743205421975e-11,5.467791952188082e-15
ward_right,4.0,128,5,-1.7054964736988663e-07,3.580260379242182e-08,-5.981252521060294e-09,-1.417991778239764e-10,6.272528734473344e-11,6.461585716396091e-11,6.299507784156648e-11,5.683238646005306e-15
ward_right,4.0,144,3,-1.7073805495301277e-07,3.4909250147948034e-08,-5.722758776448867e-09,-1.4163565996906786e-10,6.265303322348567e-11,6.415921533291169e-11,6.28855746861908e-11,5.176095468177069e-15
ward_right,4.0,144,4,-1.7119939277895285e-07,3.4822447210476444e-08,-5.099001883818728e-09,-1.4129071941869268e-10,6.223264037036751e-11,6.408011638959813e-11,6.231717789538095e-11,4.842792143287291e-15
ward_right,4.0,144,5,-1.6909068234994264e-07,3.915183837904113e-08,-8.086976389719267e-09,-1.4267133583404878e-10,6.227666531969398e-11,6.417050396684487e-11,6.237955982529904e-11,4.824778359963122e-15
ward_right,8.0,96,3,-8.773605375019008e-06,2.1828640346720233e-06,-3.731793133072062e-07,-9.534583928067534e-09,9.655587655370383e-09,2.373495792799823e-10,6.191419034287408e-10,5.0540625202536316e-11
ward_right,8.0,96,4,-9.062772892107527e-06,2.1760295628788135e-06,-3.9497576324691766e-07,-7.977694555457326e-09,8.579171556090416e-10,8.511496050139522e-11,1.7332982234123534e-10,6.064501382613436e-12
ward_right,8.0,96,5,-9.116216419154216e-06,2.1758654002571635e-06,-4.063172768095987e-07,-7.59708002411877e-09,9.818579167824701e-11,8.608072348213143e-11,9.303243531197306e-11,5.708098597232157e-13
ward_right,8.0,128,3,-9.054536673846417e-06,2.17712588566811e-06,-3.988524450210651e-07,-7.967384207442914e-09,4.2332912493540645e-10,8.163644780978564e-11,1.083840016617943e-10,2.5454168354605325e-12
ward_right,8.0,128,4,-9.119460668215229e-06,2.1774674062225664e-06,-4.0808639303347007e-07,-7.574393015684584e-09,7.108229264356438e-11,8.070000845201522e-11,8.306478665815637e-11,1.2945145130772938e-13
ward_right,8.0,128,5,-9.130595905269664e-06,2.178388076961949e-06,-4.10196205351743e-07,-7.509166378320299e-09,7.557993114743657e-11,8.009497432682037e-11,8.167828831975847e-11,5.883383600010532e-15
ward_right,8.0,144,3,-9.08979785368925e-06,2.177408447488998e-06,-4.0405187905461717e-07,-7.753384361723303e-09,8.701755459069443e-11,8.062704179041135e-11,8.55009559791895e-11,4.816123250811612e-13
ward_right,8.0,144,4,-9.126939868759877e-06,2.1782724407716444e-06,-4.090411346675368e-07,-7.534914897073756e-09,7.573754864055682e-11,7.99807516419347e-11,8.176885896448413e-11,1.2907630147624959e-14
ward_right,8.0,144,5,-9.133731077121954e-06,2.1825440603756756e-06,-4.1194778718228355e-07,-7.505241736722396e-09,7.6079780670115e-11,7.976549023816473e-11,8.162238288313743e-11,5.075989976131156e-15
material_ward_left,4.0,96,3,-6.058662164722674e-07,1.4450579906854593e-07,-1.0416029514687972e-07,-2.688143645323471e-10,2.580303964724464e-10,2.4200403667953696e-10,2.4306733025454867e-10,8.047776276919438e-14
material_ward_left,4.0,96,4,-6.053642631042834e-07,1.4481893298783747e-07,-1.0323347324860585e-07,-2.666487185066863e-10,2.540068232302912e-10,2.39494008180406e-10,2.504965777265168e-10,1.2636858545984625e-14
material_ward_left,4.0,96,5,-6.044467286267554e-07,1.4554262010066065e-07,-1.0278311742942383e-07,-2.6666947913073495e-10,2.5294628207538666e-10,2.3865752738849903e-10,2.510171258827648e-10,1.2549452778850328e-14
material_ward_left,4.0,128,3,-6.044392126544759e-07,1.4554945571004912e-07,-1.0333086589570537e-07,-2.6690662010611073e-10,2.5326592617671554e-10,2.392764922223534e-10,2.52515584080379e-10,1.2633650098420159e-14
material_ward_left,4.0,128,4,-6.033236829068159e-07,1.4726249148352735e-07,-1.0298694712569722e-07,-2.6694659697831583e-10,2.552966162667548e-10,2.423948714286282e-10,2.518895205984358e-10,1.260825548537723e-14
material_ward_left,4.0,128,5,-5.922075028796934e-07,1.6111142698346862e-07,-1.1359975831010492e-07,-2.676392247297443e-10,2.6292969544372e-10,2.5190443504941157e-10,2.5917695457875673e-10,1.2874561420803883e-14
material_ward_left,4.0,144,3,-6.033161418960089e-07,1.471380672729524e-07,-1.034772376881713e-07,-2.66962979883484e-10,2.5724618351789953e-10,2.447868870757444e-10,2.535634825350632e-10,1.2650490014082015e-14
material_ward_left,4.0,144,4,-5.939961197336713e-07,1.5963257582463968e-07,-1.1325030212703311e-07,-2.677740965562235e-10,2.638502777629385e-10,2.5364039735537505e-10,2.6048859896641856e-10,1.310058466248651e-14
material_ward_left,4.0,144,5,-5.842412657522201e-07,1.70050866560788e-07,-1.2255328195787161e-07,-2.6777469617113e-10,2.626541635953207e-10,2.5236293434307186e-10,2.593478924014917e-10,1.310070629304956e-14
material_ward_left,8.0,96,3,-3.597133546609179e-05,8.986943483887137e-06,-6.094093884750513e-06,-1.7198321457891085e-08,4.45960228608825e-09,4.165991304723735e-10,1.2279970196847067e-09,4.4795248843961974e-11
material_ward_left,8.0,96,4,-3.609123167794179e-05,8.976625922169931e-06,-6.069166431631316e-06,-1.5900977124544264e-08,3.6997033941800645e-10,3.0907065684577637e-10,9.69636671581419e-10,2.3733820847888187e-12
