grid,s,l,field,reference,interpolated,relative_error
coarse,2.705151892617404,3.7961679942560433,gamma_ll,1.0,0.999999999999996,3.9968028886505635e-15
coarse,2.705151892617404,3.7961679942560433,gamma_omega,17.479256855344726,17.47925685483161,2.935564641917712e-11
coarse,0.3247617518449619,4.033831963231087,alpha,1.0000100342690974,1.0000100337853675,4.837250911611748e-10
coarse,0.3247617518449619,4.033831963231087,beta,2.3363020299110362e-61,-6.614569798523566e-35,6.614569798523566e-35
coarse,0.3247617518449619,4.033831963231087,gamma_ll,1.0000364082635935,1.000036406508509,1.755020624905699e-09
coarse,0.3247617518449619,4.033831963231087,gamma_omega,19.36926725244218,19.369267224851335,1.4244651891519112e-09
coarse,1.5160674689425364,-4.512614027649093,alpha,1.0000000460460596,1.000000046044223,1.8365308427699254e-12
coarse,1.5160674689425364,-4.512614027649093,beta,0.0,-2.4356138066530244e-60,2.4356138066530244e-60
coarse,1.5160674689425364,-4.512614027649093,gamma_ll,1.0000001670715208,1.0000001670648568,6.664001569645162e-12
coarse,1.5160674689425364,-4.512614027649093,gamma_omega,23.432879190056155,23.432879183686566,2.718227345767568e-10
coarse,2.7250655055691437,0.6621939399999821,alpha,1.0,1.0000000000004552,4.551914400963142e-13
coarse,2.7250655055691437,0.6621939399999821,beta,-4.1750647587114804e-17,-4.14217695305847e-17,3.2887805653010507e-19
coarse,2.7250655055691437,0.6621939399999821,gamma_ll,1.0,1.0000000000016218,1.6218137943724287e-12
coarse,2.7250655055691437,0.6621939399999821,gamma_omega,3.5874673596602493,3.5874673617145594,5.726351906359668e-10
coarse,2.670580210032207,1.390453696308855,alpha,1.0,0.9999999995699139,4.30086077862768e-10
coarse,2.670580210032207,1.390453696308855,beta,-1.1220364283353233e-08,-1.1216004711684883e-08,4.359571668349388e-12
coarse,2.670580210032207,1.390453696308855,gamma_ll,1.0,0.9999999984842587,1.5157413102429018e-09
coarse,2.670580210032207,1.390453696308855,gamma_omega,5.115686329731642,5.115686315410828,2.7993924852009792e-09
coarse,-1.3834883574298478,1.2368321681274441,alpha,254.09869057854831,254.0985902668527,3.9477454754217267e-07
coarse,-1.3834883574298478,1.2368321681274441,beta,1.792166720207246e-24,-5.687461157397693e-20,5.687640374069713e-20
coarse,-1.3834883574298478,1.2368321681274441,gamma_ll,89906.59284505875,89906.61043690487,1.9566803234998794e-07
coarse,-1.3834883574298478,1.2368321681274441,gamma_omega,5.959371656724861,5.959371622746567,5.701657139959622e-09
coarse,-0.9418438195713232,2.0557711432770702,alpha,4.557553033462757,4.557555527273211,5.471818835550899e-07
coarse,-0.9418438195713232,2.0557711432770702,beta,2.270466003096045e-10,-2.6264330243134226e-10,4.896899027409468e-10
coarse,-0.9418438195713232,2.0557711432770702,gamma_ll,62.81251184341594,62.81255787176747,7.327895378776692e-07
coarse,-0.9418438195713232,2.0557711432770702,gamma_omega,8.496816685429485,8.496816677242089,9.63583887172542e-10
coarse,-1.410679179736701,-2.793190482848235,alpha,1.055851508249364,1.0558513838976884,1.1777382960742385e-07
coarse,-1.410679179736701,-2.793190482848235,beta,-2.882260116255965e-05,-2.8795506000525772e-05,2.709516203387724e-08
coarse,-1.410679179736701,-2.793190482848235,gamma_ll,1.2138410372469024,1.2138407293243376,2.5367618603331477e-07
coarse,-1.410679179736701,-2.793190482848235,gamma_omega,11.42718720405356,11.427187228289796,2.120927547290882e-09
coarse,1.1005794146765688,5.9754127984452285,alpha,1.0000000000000184,1.0000000000000184,0.0
