initial_l,minimum_preload,min_source_integral
-3.42,-0.0,0.0
-3.3975,-0.0,0.0
-3.375,-0.0,0.0
-3.3525,-0.0,0.0
-3.33,-0.0,0.0
-3.3075,-0.0,0.0
-3.285,0.001178089603883746,-0.001178089603883746
-3.2625,0.01230071951856642,-0.01230071951856642
-3.24,0.029125434329801986,-0.029125434329801986
-3.2175000000000002,0.06601785339855006,-0.06601785339855006
-3.1950000000000003,0.1054937613121601,-0.1054937613121601
-3.1725000000000003,0.14604129159730042,-0.14604129159730042
-3.1500000000000004,0.1877454194069719,-0.1877454194069719
-3.1275000000000004,0.230844794489208,-0.230844794489208
-3.1050000000000004,0.2760124701906239,-0.2760124701906239
-3.0825000000000005,0.32400010517685535,-0.32400010517685535
-3.0600000000000005,0.3758066711569251,-0.3758066711569251
-3.0375000000000005,0.43176824368895367,-0.43176824368895367
-3.0150000000000006,0.4907751804097751,-0.4907751804097751
-2.9925000000000006,0.551099471179954,-0.551099471179954
-2.9700000000000006,0.6098174273662463,-0.6098174273662463
-2.9475,0.6625121164091828,-0.6625121164091828
-2.925,0.7043785759033429,-0.7043785759033429
-2.9025,0.7319881171708618,-0.7319881171708618
-2.88,0.7432921157345505,-0.7432921157345505
-2.8575,0.7388346253119722,-0.7388346253119722
-2.835,0.7222311813462771,-0.7222311813462771
-2.8125,0.7030091667059853,-0.7030091667059853
-2.79,0.7189491165688972,-0.7189491165688972
-2.7675,0.8298556899861944,-0.8298556899861944
-2.745,0.9535491361452874,-0.9535491361452874
-2.7225,1.0959992975424295,-1.0959992975424295
-2.7,1.2629045591193684,-1.2629045591193684
-2.6775,1.4594499377546994,-1.4594499377546994
-2.6550000000000002,1.6880770239224479,-1.6880770239224479
-2.6325000000000003,1.9491157644473383,-1.9491157644473383
-2.6100000000000003,2.2364641483208207,-2.2364641483208207
-2.5875000000000004,2.5430783692257157,-2.5430783692257157
-2.5650000000000004,2.8565946050817113,-2.8565946050817113
-2.5425000000000004,3.158445126569267,-3.158445126569267
-2.5200000000000005,3.424244557498663,-3.424244557498663
-2.4975000000000005,3.617038044822356,-3.617038044822356
-2.4750000000000005,3.6816033492168727,-3.6816033492168727
-2.4525000000000006,3.5265629260905413,-3.5265629260905413
-2.4300000000000006,3.048274659977704,-3.048274659977704
-2.4075000000000006,2.1314413247916177,-2.1314413247916177
-2.3850000000000007,2.7250603846658326,-2.7250603846658326
-2.3625,3.9267346076583207,-3.9267346076583207
-2.34,5.665698656727952,-5.665698656727952
-2.3175,8.219521587092169,-8.219521587092169
-2.295,11.83802445847441,-11.83802445847441
-2.2725,16.50686461982287,-16.50686461982287
-2.25,21.004626096009563,-21.004626096009563
-2.2275,19.883111912109335,-19.883111912109335
-2.205,19.975089831999394,-19.975089831999394
-2.1825,44.77969746015862,-44.77969746015862
-2.16,155.67987439732667,-155.67987439732667
-2.1375,137602.13934424875,-137602.13934424875
-2.115,43.30620947878194,-43.30620947878194
-2.0925000000000002,2.975694147178344,-2.975694147178344
-2.0700000000000003,1.0604043814653206,-1.0604043814653206
-2.0475000000000003,0.38109150763079414,-0.38109150763079414
-2.0250000000000004,0.11755626242457436,-0.11755626242457436
-2.0025000000000004,0.07606967980222519,-0.07606967980222519
-1.9800000000000004,0.07608247261070948,-0.07608247261070948
-1.9575000000000005,0.07824577359013185,-0.07824577359013185
-1.9350000000000005,0.0722400861348295,-0.0722400861348295
-1.9125000000000005,0.046387460507842156,-0.046387460507842156
-1.8900000000000006,0.015693604662327408,-0.015693604662327408
-1.8675000000000006,0.0013727581952084466,-0.0013727581952084466
-1.8450000000000006,1.919015363656461e-06,-1.919015363656461e-06
-1.8225000000000007,1.4850833223350797e-06,-1.4850833223350797e-06
-1.8000000000000007,1.1826617552594496e-06,-1.1826617552594496e-06
-1.7774999999999999,9.644543254512262e-07,-9.644543254512262e-07
-1.755,8.023486424536914e-07,-8.023486424536914e-07
-1.7325,6.788308650593936e-07,-6.788308650593936e-07
-1.71,5.826929887101098e-07,-5.826929887101098e-07
-1.6875,5.065205655585023e-07,-5.065205655585023e-07
-1.665,4.451488781826888e-07,-4.451488781826888e-07
-1.6425,3.948277439442947e-07,-3.948277439442947e-07
-1.62,3.52905421207475e-07,-3.52905421207475e-07
-1.5975000000000001,3.175479176133964e-07,-3.175479176133964e-07
-1.5750000000000002,2.8752243224854753e-07,-2.8752243224854753e-07
-1.5525000000000002,2.6190250970363e-07,-2.6190250970363e-07
-1.5300000000000002,2.399048994323257e-07,-2.399048994323257e-07
-1.5075000000000003,2.2082923169663461e-07,-2.2082923169663461e-07
-1.4850000000000003,2.0410501226281585e-07,-2.0410501226281585e-07
-1.4625000000000004,1.8919258976179016e-07,-1.8919258976179016e-07
-1.4400000000000004,1.7558199527742785e-07,-1.7558199527742785e-07
