s,l,field,reference,interpolated,relative_error
-1.5,5.875,beta,0.0,-4.4463013485308505e-129,4.4463013485308505e-129
-1.5,5.875,gamma_ll,1.0000000000004445,1.000000000000007,4.374278717021172e-13
-1.5,5.875,gamma_omega,37.57816494969429,37.57812564128199,1.046043955318803e-06
-1.5,6.0,alpha,1.0000000000000278,1.0,2.7755575615628144e-14
-1.5,6.0,beta,0.0,0.0,0.0
-1.5,6.0,gamma_ll,1.0000000000001004,1.0,1.0036416142610408e-13
-1.5,6.0,gamma_omega,39.06252265760297,39.062500000000014,5.8003429920093e-07
-1.5,6.125,alpha,1.000000000000006,1.0,5.995204332975809e-15
-1.5,6.125,beta,0.0,0.0,0.0
-1.5,6.125,gamma_ll,1.0000000000000222,1.0,2.220446049250264e-14
-1.5,6.125,gamma_omega,40.578137678907105,40.578125,3.1245660421838357e-07
-1.5,6.25,alpha,1.0000000000000013,1.0,1.332267629550186e-15
-1.5,6.25,beta,0.0,0.0,0.0
-1.5,6.25,gamma_ll,1.0000000000000053,1.0,5.329070518200723e-15
-1.5,6.25,gamma_omega,42.12500700045228,42.12500000000001,1.6618281561649495e-07
-1.5,6.375,alpha,1.0000000000000004,1.0,4.440892098500624e-16
-1.5,6.375,beta,0.0,0.0,0.0
-1.5,6.375,gamma_ll,1.0000000000000013,1.0,1.332267629550186e-15
-1.5,6.375,gamma_omega,43.7031288137787,43.703125,8.726557573356362e-08
-1.5,6.5,alpha,1.0,1.0,0.0
-1.5,6.5,beta,0.0,0.0,0.0
-1.5,6.5,gamma_ll,1.0,1.0,0.0
-1.5,6.5,gamma_omega,45.3125020501155,45.3125,4.524392618050047e-08
-1.5,6.625,alpha,1.0,1.0,0.0
-1.5,6.625,beta,0.0,0.0,0.0
-1.5,6.625,gamma_ll,1.0,1.0,0.0
-1.5,6.625,gamma_omega,46.953126087433304,46.95312500000001,2.3159976508522178e-08
-1.5,6.75,alpha,1.0,1.0,0.0
-1.5,6.75,beta,0.0,0.0,0.0
-1.5,6.75,gamma_ll,1.0,1.0,0.0
-1.5,6.75,gamma_omega,48.62500056916224,48.625000000000014,1.1705135593704338e-08
-1.5,6.875,alpha,1.0,1.0,0.0
-1.5,6.875,beta,0.0,0.0,0.0
-1.5,6.875,gamma_ll,1.0,1.0,0.0
-1.5,6.875,gamma_omega,50.328125293958536,50.328125,5.840840166772818e-09
-1.5,7.0,alpha,1.0,1.0,0.0
-1.5,7.0,beta,0.0,0.0,0.0
-1.5,7.0,gamma_ll,1.0,1.0,0.0
-1.5,7.0,gamma_omega,52.06250014981653,52.0625,2.877628399121902e-09
-1.5,7.125,alpha,1.0,1.0,0.0
-1.5,7.125,beta,0.0,0.0,0.0
-1.5,7.125,gamma_ll,1.0,1.0,0.0
-1.5,7.125,gamma_omega,53.828125075346634,53.82812500000001,1.3997631648907064e-09
-1.5,7.25,alpha,1.0,1.0,0.0
-1.5,7.25,beta,0.0,0.0,0.0
-1.5,7.25,gamma_ll,1.0,1.0,0.0
-1.5,7.25,gamma_omega,55.62500003739427,55.62499999999998,6.72256968242148e-10
-1.5,7.375,alpha,1.0,1.0,0.0
-1.5,7.375,beta,0.0,0.0,0.0
-1.5,7.375,gamma_ll,1.0,1.0,0.0
-1.5,7.375,gamma_omega,57.45312501831428,57.45312499999998,3.187694830738061e-10
-1.5,7.5,alpha,1.0,1.0,0.0
-1.5,7.5,beta,0.0,0.0,0.0
-1.5,7.5,gamma_ll,1.0,1.0,0.0
