variant,s,l,rho,p_l,j_l,p_omega,stress_algebraic_type,radial_frame_margin
jacket_broad,-1.5,-1.3,0.00602858286828126,-0.010192009011130827,0.0028847911701823797,0.02125663958401004,type_iv_flux_dominant,-0.0016061561975151918
jacket_broad,-0.578457,-0.75,0.012610357331370977,-0.002177506403442994,-0.006036661672337539,0.05058634091752508,type_iv_flux_dominant,-0.0016404724167470956
jacket_broad,0.650266,0.65,0.0075487023389333475,-0.00808724828361045,-0.002035830725744971,0.035810968053009457,type_iv_flux_dominant,-0.00353311550681284
jacket_broad,1.264628,1.65,0.008367867534950156,-0.0043175471267404494,0.003858866572684424,-0.04367844422749845,type_iv_flux_dominant,-0.003667412737159141
jacket_broad,1.615691,-2.05,-0.006039652657634438,-0.008958914329015091,-0.00890428859762011,-0.009168346204803618,type_iv_flux_dominant,-0.00281001020859069
jacket_broad,1.878989361702128,-1.8,0.0023467731686152215,-0.01598950042016279,-0.023221741170193475,-0.07804959011118087,type_iv_flux_dominant,-0.03280075508883938
jacket_broad,1.878989361702128,-0.981278,0.013627937891920608,-0.007882374708014528,-0.009048104292948944,-0.0743879450769376,type_iv_flux_dominant,-0.012350645401991808
jacket_fast,-1.5,-1.3,0.006022616262226372,-0.010182426988717134,0.0028783672107829924,0.021259217266753783,type_iv_flux_dominant,-0.0015969236950752232
jacket_fast,-0.578457,-0.75,0.01254914156964843,-0.0021817911559964963,-0.005996252295657159,0.05058067819753169,type_iv_flux_dominant,-0.0016251541776623833
jacket_fast,0.650266,0.65,0.007474118856087431,-0.007775395256376405,-0.0020358029415613243,0.035762306488402965,type_iv_flux_dominant,-0.0037703294828336743
jacket_fast,1.264628,1.65,0.007760003990424539,-0.004305958988836657,0.0034838913388923654,-0.04361955529619468,type_iv_flux_dominant,-0.003513737676196849
jacket_fast,1.615691,-2.05,-0.0046074081567732406,-0.0004625029902409896,-0.00803231961267431,-0.00570145118827114,type_iv_flux_dominant,-0.01099472807833439
jacket_fast,1.878989361702128,-1.8,0.010204120728509673,0.0028472670218558293,-0.022649797515356937,-0.07210365821813741,type_iv_flux_dominant,-0.03224820728034837
jacket_fast,1.878989361702128,-0.981278,0.02374228775685034,0.010977222406701079,-0.008622535974009762,-0.0697903565591669,type_i_boost_diagonalizable,0.017474438215531893
early_both,-1.5,-1.3,0.006023235768486937,-0.010183078471717346,0.002879252609672101,0.021259034526692727,type_iv_flux_dominant,-0.0015986625161137939
early_both,-0.578457,-0.75,0.012581408942215466,-0.0021629130600619466,-0.006024041446607457,0.05058775067342196,type_iv_flux_dominant,-0.0016295870110613932
early_both,0.650266,0.65,0.007421330699227046,-0.008652720134916865,-0.0019979069851536824,0.035969514346792714,type_iv_flux_dominant,-0.002764424534617546
early_both,1.264628,1.65,0.009577107265561487,-0.004705861534672543,0.004597134636846236,-0.043884087385792435,type_iv_flux_dominant,-0.004323023542803527
early_both,1.615691,-2.05,-0.007387161596098205,-0.014111960334451343,-0.010757340047555464,-0.010965421417747322,type_iv_flux_dominant,-1.5558164561377263e-05
early_both,1.878989361702128,-1.8,-0.0037945272731790295,-0.011303954375289218,-0.016363095892877072,-0.07257572410395136,type_iv_flux_dominant,-0.017627710137285896
early_both,1.878989361702128,-0.981278,0.0075645817713459245,-0.010174607805692593,-0.012571229912907024,-0.07130860147270784,type_iv_flux_dominant,-0.02253243379146738
late_both,-1.5,-1.3,0.00602261703867916,-0.010182427806707329,0.0028783683378663895,0.021259217033889194,type_iv_flux_dominant,-0.0015969259077046102
late_both,-0.578457,-0.75,0.012549182611228086,-0.0021817671044610477,-0.0059962876580026605,0.05058068720290172,type_iv_flux_dominant,-0.0016251598092382816
late_both,0.650266,0.65,0.007474230449784726,-0.007776723399550823,-0.0020357888928752383,0.035762267967165154,type_iv_flux_dominant,-0.0037690848359843796
late_both,1.264628,1.65,0.007708906484696076,-0.004387228154247821,0.003457344881681764,-0.04363928505689828,type_iv_flux_dominant,-0.0035930114329152723
late_both,1.615691,-2.05,-0.00592815989066644,-0.00922567279258702,-0.008005371884382537,-0.009464388156836596,type_iv_flux_dominant,-0.0008569110855116135
late_both,1.878989361702128,-1.8,-4.4630141409742936e-05,-0.005975638231394452,-0.00867838883062991,-0.07197325062647666,type_iv_flux_dominant,-0.011336509288455626
late_both,1.878989361702128,-0.981278,0.018221522205448416,-0.005870479874223337,-0.01278716056979556,-0.07680090134755535,type_iv_flux_dominant,-0.013223278808366042
