case,metric_fraction,iteration,solver_success,status,chart_and_asymptotic_mass_gap,gravity_Gv2,positive_end_clock,omega,maximum_equation_error,maximum_boundary_error,minimum_exterior_f,maximum_scalar_amplitude,adm_mass_rail_units,nodes,maximum_collocation_residual,seconds,accepted
r12_q0.85_potential_x2,0.60074685801875,15,True,0,True,7.515244307486867e-05,0.8491119840150242,0.8539804211772111,3.354414147692194e-05,6.984476105534213e-16,0.7634488675867852,2.310143175234511,1.771220471252023,1749,1.9812826765077928e-05,0.4968501767143607,True
r12_q0.85_potential_x2,0.68074685801875,16,True,0,True,7.515158495690916e-05,0.8491127575048284,0.8539811991018679,2.6154186598904958e-05,2.7937904422136854e-16,0.76345012892772,2.3105084848807373,1.7712016815832063,1754,1.9999199355482944e-05,0.43600607849657536,True
r12_q0.85_potential_x2,0.76074685801875,17,True,0,True,7.514856636624024e-05,0.8491167909486772,0.8539852556717216,2.647422239318414e-05,2.547133802015748e-16,0.7634563705846182,2.311277227541602,1.7711331422442778,1759,1.9922232972445934e-05,0.46245269756764174,True
r12_q0.85_potential_x2,0.8407468580187499,18,True,0,True,7.514537269671202e-05,0.8491211242173982,0.8539896137855123,2.9222198079539413e-05,4.190685663320528e-16,0.7634630704500798,2.312072297482654,1.7710602597437666,1775,1.9987492634468135e-05,0.620902344584465,True
r12_q0.85_potential_x2,0.9207468580187499,19,True,0,True,7.514221982490946e-05,0.8491254241120509,0.8539939383338825,2.8445902595029448e-05,5.587580884427371e-16,0.763469717348468,2.312856797169519,1.7709881316617082,1836,1.999206374928109e-05,0.5889551797881722,True
r12_q0.85_potential_x2,1.0,20,True,0,True,7.513880242269281e-05,0.8491301353800544,0.8539986766142386,2.731303650964559e-05,5.587580884427371e-16,0.7634769944117625,2.3136938179006115,1.7709097040805577,1870,1.9973341867626733e-05,0.7973200893029571,True
r20_q0.97_potential_x0,0.025,0,True,0,True,2.6431260289636258e-05,0.8877751153308752,1.0189167918790967,2.6773100169288367e-05,3.3525485306564225e-16,0.8118072829772698,2.3825777964376966,1.2141188916930903,1739,1.997686187914683e-05,0.9038396272808313,True
r20_q0.97_potential_x0,0.0575,1,True,0,True,2.6430731529635644e-05,0.8877861204978001,1.0189294227235342,2.904445391592496e-05,1.0057645591969267e-15,0.8118246636335066,2.378110874610269,1.214041387332136,1755,1.9988789646345208e-05,1.0175531227141619,True
r20_q0.97_potential_x0,0.09975,2,True,0,True,2.642820538683694e-05,0.8877999155315566,1.018945255552475,3.1469931437001977e-05,3.3525485306564225e-16,0.8118479128057993,2.3768455996132305,1.2138758580556976,1859,1.9820828757442925e-05,1.2265245206654072,True
r20_q0.97_potential_x0,0.154675,3,False,1,True,2.675680615046505e-05,0.8867673457370193,1.0177601550869715,47.46641772258747,7.681930041516887e-05,0.8100720882222153,2.2672507593921494,1.2289430200747404,12366,45.64723680579795,11.769308783113956,False
r20_q0.97_potential_x0,0.1272125,4,False,1,True,2.6412077564556283e-05,0.887832802936695,1.0189830010679306,61.07680785255856,0.0001849386010872464,0.8119093176191067,2.3980623801964445,1.2131564821560388,10439,54.52499608584879,10.30890937987715,False
r20_q0.97_potential_x0,0.11348125,5,False,1,True,2.6503542544007337e-05,0.8875927022662837,1.0187074328518377,30.84355538212386,0.00016374040893242885,0.8114782770764365,2.3294997089696095,1.2174574996413083,10441,29.893179309084125,9.759871380403638,False
r20_q0.97_potential_x0,0.106615625,6,False,1,True,2.9101842657137825e-05,0.8780069140521843,1.0077056370072872,147.18114350874416,0.012710099100591161,0.7950598562039027,6.934908140368085,1.344925016434248,10324,118.00491745929419,6.78547053784132,False
r20_q0.97_potential_x0,0.10318281250000001,7,False,1,True,2.6428275663060377e-05,0.8878008843931551,1.018946367533803,2.8637488593678486,4.9645405247258815e-06,0.8118493241376838,2.3761884985656523,1.21387437455002,15877,2.8161445041351865,11.984155411832035,False
r20_q0.97_potential_x0,0.10146640625,8,True,0,True,2.6427709693809684e-05,0.8878009804580357,1.0189464777893378,2.945233695363167e-05,3.3525485306564225e-16,0.8118499159932058,2.37740711744919,1.2138525696907077,1782,1.998826359956088e-05,0.584979385137558,True
r20_q0.97_potential_x0,0.103697734375,9,False,1,True,2.6488882864206686e-05,0.8876440357974307,1.0187663493454056,17.71114112797954,6.030585557416246e-05,0.8115682802028963,2.333962063399642,1.2166738557623036,9652,16.342706632703813,5.819308450445533,False
r20_q0.97_potential_x0,0.1025820703125,10,False,1,True,2.642721985625931e-05,0.8878019182570791,1.0189475541195663,0.05725875055114083,1.4321291008874493e-07,0.8118517175826883,2.3780264680196006,1.2138299849265046,13897,0.05586539716124821,10.086560976691544,False
r20_q0.97_potential_x0,0.10202423828125,11,True,0,True,2.6427366015852575e-05,0.8878015913414368,1.0189471789121158,3.276437892958724e-05,1.6762742653282112e-16,0.8118511103217607,2.3778641559147626,1.2138370231693683,1783,1.9985959732073587e-05,0.49804039020091295,True
r20_q0.97_potential_x0,0.102749419921875,12,False,1,True,2.6428026400759493e-05,0.8878010225319365,1.0189465260783732,2.351135053579994,3.1101764530306727e-06,0.8118497293169333,2.3766742187931587,1.2138643244611063,7565,2.1861014609457468,4.533464318141341,False
