regime,drift,time,extra_magnetic_ADM,extra_magnetic_rest
frozen_flux_cover,0.9,0.7880664062499999,579.6945658876292,579.6945658866811
frozen_flux_cover,0.9,0.7930859375,588.5798134644014,588.5798134635994
frozen_flux_cover,0.9,0.79810546875,597.6347007383381,597.6347007376602
frozen_flux_cover,0.9,0.803125,606.8625774567973,606.8625774562247
frozen_flux_cover,0.9,0.80814453125,616.2668585808262,616.2668585803428
frozen_flux_cover,0.9,0.8131640625,625.851026106184,625.8510261057763
frozen_flux_cover,0.9,0.8181835937499999,635.61863092536,635.618630925016
frozen_flux_cover,0.9,0.8232031249999999,645.5732920733147,645.5732920730248
frozen_flux_cover,0.9,0.8282226562499999,655.7187003767592,655.7187003765151
frozen_flux_cover,0.9,0.8332421874999999,666.0586179070649,666.0586179068596
frozen_flux_cover,0.9,0.83826171875,676.5968799993028,676.5968799991301
frozen_flux_cover,0.9,0.84328125,687.3373974002476,687.3373974001023
frozen_flux_cover,0.9,0.84830078125,698.2841561452431,698.2841561451212
frozen_flux_cover,0.9,0.8533203125,709.4412207475963,709.4412207474938
frozen_flux_cover,0.9,0.8583398437499999,720.8127339183741,720.8127339182884
frozen_flux_cover,0.9,0.8633593749999999,732.402918675417,732.4029186753451
frozen_flux_cover,0.9,0.8683789062499999,744.216080209329,744.2160802092686
frozen_flux_cover,0.9,0.8733984374999999,756.2566058395822,756.2566058395316
frozen_flux_cover,0.9,0.87841796875,768.5289683679364,768.5289683678941
frozen_flux_cover,0.9,0.8834375,781.0377258621141,781.0377258620788
frozen_flux_cover,0.9,0.88845703125,793.7875239405714,793.7875239405419
frozen_flux_cover,0.9,0.8934765625,806.7830976235663,806.7830976235417
frozen_flux_cover,0.9,0.89849609375,820.029271431366,820.0292714313455
frozen_flux_cover,0.9,0.9035156249999999,833.5309628290587,833.5309628290414
frozen_flux_cover,0.9,0.9085351562499999,847.2931820482204,847.2931820482061
frozen_flux_cover,0.9,0.9135546874999999,861.3210345492025,861.3210345491907
frozen_flux_cover,0.9,0.9185742187499999,875.6197228676949,875.6197228676849
frozen_flux_cover,0.9,0.92359375,890.1945468631344,890.1945468631261
frozen_flux_cover,0.9,0.92861328125,905.0509072397589,905.0509072397521
frozen_flux_cover,0.9,0.9336328125,920.1943054071204,920.1943054071146
frozen_flux_cover,0.9,0.93865234375,935.6303461142529,935.630346114248
frozen_flux_cover,0.9,0.9436718749999999,951.3647392872606,951.3647392872568
frozen_flux_cover,0.9,0.9486914062499999,967.4033004296735,967.4033004296703
frozen_flux_cover,0.9,0.9537109374999999,983.7519542072621,983.7519542072596
frozen_flux_cover,0.9,0.9587304687499999,1000.4167343483266,1000.4167343483244
frozen_flux_cover,0.9,0.9637499999999999,1017.4037864409185,1017.4037864409167
frozen_flux_cover,0.9,0.96876953125,1034.719369754108,1034.7193697541063
frozen_flux_cover,0.9,0.9737890625,1052.3698577886375,1052.3698577886364
frozen_flux_cover,0.9,0.97880859375,1070.3617419111765,1070.3617419111754
frozen_flux_cover,0.9,0.9838281249999999,1088.7016312927556,1088.7016312927547
frozen_flux_cover,0.9,0.9888476562499999,1107.396255857017,1107.3962558570163
frozen_flux_cover,0.9,0.9938671874999999,1126.4524680754782,1126.452468075478
frozen_flux_cover,0.9,0.9988867187499999,1145.8772436629677,1145.8772436629672
frozen_flux_cover,0.9,1.00390625,1165.6776852447126,1165.6776852447124
frozen_flux_cover,0.9,1.0089257812499999,1185.8610223275516,1185.8610223275514
frozen_flux_cover,0.9,1.0139453125,1206.4346143839346,1206.4346143839343
frozen_flux_cover,0.9,1.0189648437499998,1227.4059526084602,1227.4059526084598
frozen_flux_cover,0.9,1.023984375,1248.7826607480795,1248.7826607480793
frozen_flux_cover,0.9,1.02900390625,1270.5724987829012,1270.5724987829012
frozen_flux_cover,0.9,1.0340234375,1292.7833629199406,1292.7833629199406
frozen_flux_cover,0.9,1.03904296875,1315.423288794218,1315.4232887942178
frozen_flux_cover,0.9,1.0440625,1338.500453169969,1338.5004531699688
frozen_flux_cover,0.9,1.04908203125,1362.0231748903425,1362.0231748903425
frozen_flux_cover,0.9,1.0541015624999999,1385.9999185501215,1385.9999185501215
frozen_flux_cover,0.9,1.05912109375,1410.439294495537,1410.439294495537
frozen_flux_cover,0.9,1.0641406249999998,1435.3500621204585,1435.350062120458
frozen_flux_cover,0.9,1.06916015625,1460.7411314906933,1460.7411314906933
frozen_flux_cover,0.9,1.0741796875,1486.621564391895,1486.621564391895
frozen_flux_cover,0.9,1.07919921875,1513.0005779695678,1513.0005779695675
frozen_flux_cover,0.9,1.08421875,1539.8875447105422,1539.8875447105422
frozen_flux_cover,0.9,1.0892382812499999,1567.291995809193,1567.291995809193
frozen_flux_cover,0.9,1.0942578125,1595.2236226867608,1595.2236226867608
frozen_flux_cover,0.9,1.0992773437499999,1623.6922781095589,1623.6922781095589
frozen_flux_cover,0.9,1.104296875,1652.707979768542,1652.707979768542
frozen_flux_cover,0.9,1.1093164062499998,1682.280910208227,1682.280910208227
frozen_flux_cover,0.9,1.1143359375,1712.4214202351743,1712.4214202351743
frozen_flux_cover,0.9,1.11935546875,1743.1400302961501,1743.1400302961501
frozen_flux_cover,0.9,1.124375,1774.4474316313522,1774.4474316313522
frozen_flux_cover,0.9,1.12939453125,1806.3544897625577,1806.3544897625575
frozen_flux_cover,0.9,1.1344140624999999,1838.8722443232198,1838.8722443232195
frozen_flux_cover,0.9,1.13943359375,1872.0119124794999,1872.0119124794999
frozen_flux_cover,0.9,1.1444531249999998,1905.784890120694,1905.784890120694
frozen_flux_cover,0.9,1.14947265625,1940.2027530044961,1940.2027530044961
frozen_flux_cover,0.9,1.1544921874999998,1975.2772601190445,1975.2772601190445
frozen_flux_cover,0.9,1.15951171875,2011.0203533534263,2011.0203533534266
frozen_flux_cover,0.9,1.16453125,2047.4441609005657,2047.4441609005657
frozen_flux_cover,0.9,1.16955078125,2084.560998200362,2084.5609982003625
frozen_flux_cover,0.9,1.1745703125,2122.383369025948,2122.383369025948
frozen_flux_cover,0.9,1.1795898437499999,2160.923968681002,2160.923968681002
frozen_flux_cover,0.9,1.184609375,2200.1956834323582,2200.1956834323582
frozen_flux_cover,0.9,1.1896289062499998,2240.2115938646903,2240.2115938646903
frozen_flux_cover,0.9,1.1946484375,2280.9849755004375,2280.984975500437
frozen_flux_cover,0.9,1.19966796875,2322.529299768205,2322.5292997682054
frozen_flux_cover,0.9,1.2046875,2364.858236992015,2364.858236992015
frozen_flux_cover,0.9,1.20970703125,2407.9856554871913,2407.9856554871913
frozen_flux_cover,0.9,1.2147265624999999,2451.925624839208,2451.9256248392076
frozen_flux_cover,0.9,1.21974609375,2496.692416104285,2496.692416104285
frozen_flux_cover,0.9,1.2247656249999999,2542.300502593749,2542.300502593749
frozen_flux_cover,0.9,1.22978515625,2588.7645626064227,2588.7645626064227
frozen_flux_cover,0.9,1.2348046874999998,2636.09947806509,2636.09947806509
frozen_flux_cover,0.9,1.23982421875,2684.3203376966717,2684.3203376966717
frozen_flux_cover,0.9,1.24484375,2733.442436692501,2733.4424366925005
frozen_flux_cover,0.9,1.24986328125,2783.4812772364385,2783.4812772364385
frozen_flux_cover,0.9,1.2548828125,2834.452570924835,2834.452570924835
frozen_flux_cover,0.9,1.2599023437499999,2886.3722367936107,2886.3722367936107
frozen_flux_cover,0.9,1.264921875,2939.2564043846114,2939.2564043846114
frozen_flux_cover,0.9,1.2699414062499998,2993.1214127143285,2993.1214127143285
frozen_flux_cover,0.9,1.2749609375,3047.9838104694495,3047.9838104694495
frozen_flux_cover,0.9,1.2799804687499998,3103.860358050431,3103.860358050431
frozen_flux_cover,0.9,1.285,3160.7680248086317,3160.7680248086317
controlled_minimum,0.7,0.0,207.25735389074913,205.72873584249268
controlled_minimum,0.7,0.00501953125,208.0342270269566,206.57194345579785
controlled_minimum,0.7,0.0100390625,208.81586843912422,207.41722029352206
controlled_minimum,0.7,0.015058593749999998,209.00369712791084,207.69100493766499
controlled_minimum,0.7,0.020078125,210.8465850228002,209.54638246092054
controlled_minimum,0.7,0.02509765625,209.44615728273305,208.29061816919662
controlled_minimum,0.7,0.030117187499999996,212.42820309930846,211.23686152569402
controlled_minimum,0.7,0.03513671875,210.53984447813394,209.50007255604874
controlled_minimum,0.7,0.04015625,213.0060612436257,211.95098602427848
controlled_minimum,0.7,0.04517578125,212.01445196005318,211.0659597301033
controlled_minimum,0.7,0.0501953125,213.34362912081076,212.418566506122
controlled_minimum,0.7,0.05521484375,213.1686138104479,212.31366677094005
controlled_minimum,0.7,0.06023437499999999,213.81717686473067,213.00365943794895
