q,bvp_tolerance,analytic_cloud_stiffness_ratio,bvp_cloud_stiffness_ratio,energy_cloud_stiffness_ratio,bvp_absolute_error,energy_absolute_error,bvp_nodes,bvp_maximum_residual,quadrature_error_estimate,seconds,peak_rss_kib
0.2,1e-08,-0.9890109890109888,-0.989010990183514,-0.9890109890109892,1.1725251880534415e-09,3.3306690738754696e-16,799,9.96273808434105e-09,9.844486605337575e-13,0.010783597826957703,155624
0.2,1e-10,-0.9890109890109888,-0.9890109890133167,-0.9890109890109892,2.3279156380340282e-12,3.3306690738754696e-16,3220,9.999890465099686e-11,9.844486605337575e-13,0.02574023697525263,153596
0.5,1e-06,-0.9473684210526315,-0.947368464405745,-0.9473684210526314,4.335311343250936e-08,1.1102230246251565e-16,344,9.990218825111252e-07,2.181793635731657e-12,0.005682852119207382,155624
0.5,1e-08,-0.9473684210526315,-0.9473684212217126,-0.9473684210526314,1.6908108246838083e-10,1.1102230246251565e-16,769,9.979499298413524e-09,2.181793635731657e-12,0.011685602366924286,155272
0.5,1e-10,-0.9473684210526315,-0.9473684210528557,-0.9473684210526314,2.241540286718191e-13,1.1102230246251565e-16,3328,9.994113224630697e-11,2.181793635731657e-12,0.026575163006782532,155144
1.0,1e-06,-0.8571428571428571,-0.8571428814390871,-0.8571428571428568,2.429623002786485e-08,3.3306690738754696e-16,324,9.951026006583764e-07,2.011694674382791e-11,0.005193219520151615,155624
1.0,1e-08,-0.8571428571428571,-0.8571428571651882,-0.8571428571428568,2.233113693961286e-11,3.3306690738754696e-16,807,9.968426465301365e-09,2.011694674382791e-11,0.009587646462023258,155624
1.0,1e-10,-0.8571428571428571,-0.8571428571428967,-0.8571428571428568,3.963496197911809e-14,3.3306690738754696e-16,3325,9.99077859847114e-11,2.011694674382791e-11,0.025784379802644253,155272
2.0,1e-06,-0.6923076923076923,-0.6923076945020622,-0.6923076923076923,2.1943699080040346e-09,0.0,342,9.980879378332193e-07,2.382997471013327e-14,0.005067761056125164,153596
2.0,1e-08,-0.6923076923076923,-0.6923076923145547,-0.6923076923076923,6.862399537510555e-12,0.0,826,9.999103542124127e-09,2.382997471013327e-14,0.010393848642706871,155624
2.0,1e-10,-0.6923076923076923,-0.6923076923076985,-0.6923076923076923,6.217248937900877e-15,0.0,3448,9.994841742226827e-11,2.382997471013327e-14,0.025761445984244347,154924
3.0,1e-06,-0.5714285714285714,-0.5714285717786056,-0.5714285714285714,3.500342238282883e-10,0.0,374,9.923270806989053e-07,7.916622955088208e-13,0.004615496844053268,155624
3.0,1e-08,-0.5714285714285714,-0.5714285714327398,-0.5714285714285714,4.168443368257613e-12,0.0,795,9.99207092887906e-09,7.916622955088208e-13,0.010730283334851265,155144
3.0,1e-10,-0.5714285714285714,-0.5714285714285747,-0.5714285714285714,3.3306690738754696e-15,0.0,3494,9.98386795220422e-11,7.916622955088208e-13,0.025290770456194878,155624
5.0,1e-06,-0.4186046511627907,-0.41860465135611574,-0.4186046511627909,1.9332502265712037e-10,1.6653345369377348e-16,383,9.403624122149611e-07,6.92158024500727e-12,0.004797914065420628,155272
5.0,1e-08,-0.4186046511627907,-0.4186046511629404,-0.4186046511627909,1.496580637194711e-13,1.6653345369377348e-16,1048,9.972738285738156e-09,6.92158024500727e-12,0.010407136753201485,155144
5.0,1e-10,-0.4186046511627907,-0.4186046511627925,-0.4186046511627909,1.7763568394002505e-15,1.6653345369377348e-16,3206,9.996016622310486e-11,6.92158024500727e-12,0.022988222539424896,156328
10.0,1e-06,-0.24812030075187969,-0.24812030075934488,-0.24812030075187969,7.465195128730784e-12,0.0,452,9.74119347990975e-07,8.114566670663976e-15,0.0074273450300097466,154924
10.0,1e-08,-0.24812030075187969,-0.24812030075196415,-0.24812030075187969,8.446021659835878e-14,0.0,1164,9.999275564280555e-09,8.114566670663976e-15,0.014598095789551735,155144
10.0,1e-10,-0.24812030075187969,-0.24812030075187985,-0.24812030075187969,1.6653345369377348e-16,0.0,4835,9.987681181078652e-11,8.114566670663976e-15,0.035819344222545624,155680
30.0,1e-06,-0.09365558912386707,-0.09365558912393278,-0.09365558912386705,6.571132527000145e-14,1.3877787807814457e-17,559,9.83404036507278e-07,1.3913352046000805e-11,0.00883483700454235,155624
30.0,1e-08,-0.09365558912386707,-0.09365558912386789,-0.09365558912386705,8.187894806610529e-16,1.3877787807814457e-17,1242,9.954019386146949e-09,1.3913352046000805e-11,0.014340418390929699,156328
30.0,1e-10,-0.09365558912386707,-0.09365558912386707,-0.09365558912386705,0.0,1.3877787807814457e-17,4672,9.996116800788711e-11,1.3913352046000805e-11,0.044656784273684025,157720
