beta,tension_factor_B,yukawa,gauge_coupling,role,required_radius_sqrt_mu,scalar_core_radius_sqrt_mu,core_over_loop_radius,fermi_momentum_over_sqrt_mu,bulk_mass_over_sqrt_mu,fermi_over_bulk_mass,exterior_mass_fraction,semiclassical_mode_number,radial_speed_bound,radial_lorentz_factor,exterior_channel_energetically_open,exterior_wkb_exponent,target_exponent,minimum_mode_number,yukawa_loop_size,quartic_loop_to_tree_diagnostic,minimum_node_action_for_six_rotors,geometric_and_exponent_diagnostics_met,local_string_decay_rate_proved
1e-10,0.10098980584149425,0.3,0.3,relaxed_stationary_string,40278528.58016032,402785.2858016032,0.01,2.5066282746310002,0.5326078335918422,4.706330092305637,0.99,100963298.59956269,0.0,1.0,True,270757.9959406129,100.0,100.0,0.0005699316579881499,5699316.5798814995,2.1278613226183635e+17,True,False
1e-10,0.10098980584149425,0.3,1.0,rotor_forward_branch,12083558.574048096,120835.58574048096,0.01,3.5658079220099768,0.5326078335918422,6.694997138819014,0.99,43085884.36020013,0.00905,1.000040953765679,True,2814.9153599087276,100.0,100.0,0.0005699316579881499,512938.4921893349,1.915075190356527e+16,True,False
1e-10,0.10098980584149425,0.3,1.0,relaxed_stationary_string,12083558.574048096,120835.58574048096,0.01,2.5066282746310002,0.5326078335918422,4.706330092305637,0.99,30288989.57986881,0.0,1.0,True,81227.39878218388,100.0,100.0,0.0005699316579881499,512938.4921893349,1.915075190356527e+16,True,False
1e-10,0.10098980584149425,1.0,0.3,rotor_forward_branch,40278528.58016032,402785.2858016032,0.01,3.5658079220099768,1.7753594453061408,2.008499141645704,0.99,143619614.5340004,0.00905,1.000040953765679,True,12103905.306724029,100.0,100.0,0.006332573977646111,703619330.8495679,2.1278613226183635e+17,True,False
1e-10,0.10098980584149425,1.0,0.3,relaxed_stationary_string,40278528.58016032,402785.2858016032,0.01,2.5066282746310002,1.7753594453061408,1.4118990276916912,0.99,100963298.59956269,0.0,1.0,True,32611233.933540795,100.0,100.0,0.006332573977646111,703619330.8495679,2.1278613226183635e+17,True,False
1e-10,0.10098980584149425,1.0,1.0,rotor_forward_branch,12083558.574048096,120835.58574048096,0.01,3.5658079220099768,1.7753594453061408,2.008499141645704,0.99,43085884.36020013,0.00905,1.000040953765679,True,3631171.592017209,100.0,100.0,0.006332573977646111,63325739.7764611,1.915075190356527e+16,True,False
1e-10,0.10098980584149425,1.0,1.0,relaxed_stationary_string,12083558.574048096,120835.58574048096,0.01,2.5066282746310002,1.7753594453061408,1.4118990276916912,0.99,30288989.57986881,0.0,1.0,True,9783370.180062238,100.0,100.0,0.006332573977646111,63325739.7764611,1.915075190356527e+16,True,False
1e-10,0.10098980584149425,2.0,0.3,rotor_forward_branch,40278528.58016032,402785.2858016032,0.01,3.5658079220099768,3.5507188906122815,1.004249570822852,0.99,143619614.5340004,0.00905,1.000040953765679,True,423674804.2428379,100.0,100.0,0.025330295910584444,11257909293.593086,2.1278613226183635e+17,True,False
1e-10,0.10098980584149425,2.0,0.3,relaxed_stationary_string,40278528.58016032,402785.2858016032,0.01,2.5066282746310002,3.5507188906122815,0.7059495138458456,0.99,100963298.59956269,0.0,1.0,False,,100.0,100.0,0.025330295910584444,11257909293.593086,2.1278613226183635e+17,True,False
1e-10,0.10098980584149425,2.0,1.0,rotor_forward_branch,12083558.574048096,120835.58574048096,0.01,3.5658079220099768,3.5507188906122815,1.004249570822852,0.99,43085884.36020013,0.00905,1.000040953765679,True,127102441.27285141,100.0,100.0,0.025330295910584444,1013211836.4233776,1.915075190356527e+16,True,False
