s,x,model,baseline_required_negative_null,required_negative_null,worst_direction,auxiliary_rho,endpoint_rho,geometry_rho,endpoint_remainder_required_negative_null
0.5,-0.6000000000000001,benchmark_bank_mass_only,0.06637174217410198,17317896245.732357,1.0,17313361315.97418,-8.078746157416216e-11,0.0086265649256738,17317896245.73027
0.5,-0.575,benchmark_bank_mass_only,0.06747119584405065,17357574745.05993,1.0,17350756811.28784,-7.385110842254066e-09,0.0086935274879229,17357574745.057816
0.5,-0.55,benchmark_bank_mass_only,0.06855339291681233,17541948072.94679,1.0,17531718574.865067,-7.636637945840863e-09,0.0087587859323246,17541948072.944656
0.5,-0.5249999999999999,benchmark_bank_mass_only,0.06961530129453779,18094942007.627007,1.0,18079436731.917526,-4.108521023538112e-09,0.0088222174328513,18094942007.62486
0.5,-0.5,benchmark_bank_mass_only,0.07065375379886116,19475640116.770844,1.0,19451368472.174187,-7.391232654938386e-11,0.0088836994800032,19475640116.768673
0.5,-2.1,any_recovery_bank_mass_lower_bound,0.0410082223127089,28225583459.19655,-1.0,28225583459.15554,0.0,0.0014439174778941,28225583459.15554
0.5,-2.075,any_recovery_bank_mass_lower_bound,0.026009302098695286,21683951622.19798,-1.0,21683951622.171932,-1.537154848965202e-05,0.002059189493953,21683951622.17197
0.5,-2.0500000000000003,any_recovery_bank_mass_lower_bound,0.016736942048487326,17853520263.982834,-1.0,17853520263.96585,-9.852505645018189e-05,0.0025934477534419,17853520263.9661
0.5,-2.025,any_recovery_bank_mass_lower_bound,0.011036015880302126,15565060390.852062,-1.0,15565060390.840372,-0.0002580671234533,0.0030522386303904,15565060390.841024
0.5,-2.0,any_recovery_bank_mass_lower_bound,0.009186896824290691,15370026170.655403,-1.0,15370026170.645058,-0.00045799040334,0.0034426933716991,15370026170.646215
0.5,-1.975,any_recovery_bank_mass_lower_bound,0.007962854719652784,14873921032.855331,-1.0,14873921032.846132,-0.0006430181614006,0.0037728039372008,14873921032.847761
0.5,-1.9500000000000002,any_recovery_bank_mass_lower_bound,0.009007491533409974,13923782079.01403,-1.0,13923782079.006071,-0.0007637161550914,0.0040508130889895,13923782079.008009
0.5,-1.925,any_recovery_bank_mass_lower_bound,0.009950632697249362,12997671955.47687,-0.1334992955320854,12997671955.468596,-0.0007977422053556,0.00428474175619,12997671955.470625
0.5,-1.9000000000000001,any_recovery_bank_mass_lower_bound,0.011801224828635873,13002138260.706472,-0.05101671657302235,13002138260.696302,-0.0007643405741519,0.0044820572721766,13002138260.698256
0.5,-1.875,any_recovery_bank_mass_lower_bound,0.013549961000177512,13321509548.147867,-0.0276087868075957,13321509548.135849,-0.000713296254046,0.0046494692947605,13321509548.13768
0.5,-1.85,any_recovery_bank_mass_lower_bound,0.014535620180018121,13235349697.738249,-0.017643768717626296,13235349697.725136,-0.0006584451910525,0.0047928328396852,13235349697.726835
0.5,-1.8250000000000002,any_recovery_bank_mass_lower_bound,0.015508750727828969,13185958563.983818,-0.011931371482353818,13185958563.969616,-0.0006006534107904,0.0049171326563712,13185958563.971176
0.5,-1.8,any_recovery_bank_mass_lower_bound,0.01652940680130463,13212318345.424356,-0.008379853296072753,13212318345.409008,-0.0005407869388786,0.0050265245284284,13212318345.410425
0.5,-1.7750000000000001,any_recovery_bank_mass_lower_bound,0.01759834504316016,13310104577.644564,-0.005966143796570743,13310104577.628021,-0.0004796905482643,0.0051244117204724,13310104577.629288
0.5,-1.75,any_recovery_bank_mass_lower_bound,0.018617686911706014,13399256903.184353,-0.004265786735307807,13399256903.16666,-0.0004181240012075,0.0052135389638092,13399256903.167778
0.5,-1.725,any_recovery_bank_mass_lower_bound,0.019447158390520518,13349692203.241846,-0.002968900082304299,13349692203.223194,-0.0003568258072962,0.0052960913376012,13349692203.224157
0.5,-1.7000000000000002,any_recovery_bank_mass_lower_bound,0.019964529424344374,13028610208.303123,-0.001821249900356673,13028610208.283823,-0.0002965344761184,0.0053737894713438,13028610208.284628
0.5,-1.675,any_recovery_bank_mass_lower_bound,0.020146443858039875,12378785364.642572,-0.0006061104397325877,12378785364.622961,-0.0002379675143222,0.0054479758495852,12378785364.623602
0.5,-1.6500000000000001,any_recovery_bank_mass_lower_bound,0.020942406288466133,12248430021.81365,0.0011611902323146524,12248430021.793121,-0.0001817584167949,0.0055196900053148,12248430021.793573
0.5,-1.625,any_recovery_bank_mass_lower_bound,0.021758355808304566,12155010344.452917,0.004104139754985609,12155010344.43145,-0.0001285196754838,0.0055897318133627,12155010344.431765
0.5,-1.6,any_recovery_bank_mass_lower_bound,0.022601489460226408,12103267582.037119,0.009433425094492829,12103267582.01469,-7.886378233623993e-05,0.0056587134439764,12103267582.01516
0.5,-1.5750000000000002,any_recovery_bank_mass_lower_bound,0.02354487708465583,12189417677.657331,0.01963791249290139,12189417677.633844,-3.334607819553868e-05,0.0057271013019221,12189417677.634705
0.5,-1.55,any_recovery_bank_mass_lower_bound,0.024543409010599204,12500005729.14944,0.039854312766888514,12500005729.124825,7.706700509901439e-06,0.0057952491021662,12500005729.126572
0.5,-1.525,any_recovery_bank_mass_lower_bound,0.025555696625379574,12877885246.728453,0.07959641349840554,12877885246.702621,4.402496845554056e-05,0.0058634238320173,12877885246.706263
0.5,-1.5,any_recovery_bank_mass_lower_bound,0.026623878234682475,13385903083.365238,0.1583112883580463,13385903083.337793,7.533914031683898e-05,0.0059318257296971,13385903083.34543
0.5,-1.475,any_recovery_bank_mass_lower_bound,0.027642492172734304,13742170918.472261,0.30835752702188957,13742170918.441914,0.0001014786002315,0.0060006037617128,13742170918.457556
0.5,-1.4500000000000002,any_recovery_bank_mass_lower_bound,0.028561593682878347,13713823708.914879,0.5800961399851303,13713823708.877008,0.0001226686101867,0.006069867244111,13713823708.907803
0.5,-1.425,any_recovery_bank_mass_lower_bound,0.029441139845466004,13498387230.826027,1.0,13498387230.764627,0.0001392334016316,0.0061396946956016,13498387230.82378
0.5,-1.4,any_recovery_bank_mass_lower_bound,0.030347206932176164,13307271524.69299,1.0,13307271524.578186,0.0001514972060155,0.0062101406149584,13307271524.690853
0.5,-1.375,any_recovery_bank_mass_lower_bound,0.031306898131686356,13269611335.439184,1.0,13269611335.222143,0.0001592327708595,0.0062812404962774,13269611335.437128
0.5,-1.35,any_recovery_bank_mass_lower_bound,0.03228875661158956,13327880362.067547,1.0,13327880361.65614,0.0001600069079713,0.0063530145112222,13327880362.065565
