case,s,model,required_negative_null,baseline_required_negative_null,auxiliary_slice_energy,required_negative_null_of_endpoint_remainder
coarse_eta100_recovery000_voltage050,0.5,inventory_only,0.07633579722491371,0.07065375379886116,58.30692683053263,0.008314942432551244
coarse_eta100_recovery000_voltage050,0.5,isotropic_wall_bound,0.07965059587667313,0.07065375379886116,92.31328470104323,0.013165325518206138
coarse_eta100_recovery000_voltage050,0.5,benchmark_bank_mass_only,28508483330.850487,0.07065375379886116,200463405925108.25,28508483330.80948
coarse_eta100_recovery000_voltage050,0.5,any_recovery_bank_mass_lower_bound,27661071790.013443,0.07065375379886116,196723217239928.6,27661071789.972435
coarse_eta100_recovery000_voltage050,1.285,inventory_only,0.16157300064910587,0.10407907145903474,57.751594481372216,0.07696154983537229
coarse_eta100_recovery000_voltage050,1.285,isotropic_wall_bound,0.20638545060792904,0.10407907145903474,91.757952058257,0.12177399979330863
coarse_eta100_recovery000_voltage050,1.285,benchmark_bank_mass_only,263366199579.38992,0.10407907145903474,200463404199456.9,263366199579.38577
coarse_eta100_recovery000_voltage050,1.285,any_recovery_bank_mass_lower_bound,257468463773.43414,0.10407907145903474,196723215554769.62,257468463773.43
coarse_eta100_recovery100_voltage050,0.0,inventory_only,0.08129608834372903,0.0731271696096231,57.72508088304248,0.01160825245893364
coarse_eta100_recovery100_voltage050,0.0,isotropic_wall_bound,0.08610095719096679,0.0731271696096231,91.24367306870607,0.018380318794486036
coarse_eta100_recovery100_voltage050,0.0,benchmark_bank_mass_only,39799875274.21686,0.0731271696096231,197374964738561.28,39799875274.20372
coarse_eta100_recovery100_voltage050,0.0,any_recovery_bank_mass_lower_bound,39799875274.21686,0.0731271696096231,197303053003983.4,39799875274.20372
coarse_eta100_recovery100_voltage050,0.5,inventory_only,0.07620855568848281,0.07065375379886116,57.347880199451524,0.008067781680540115
coarse_eta100_recovery100_voltage050,0.5,isotropic_wall_bound,0.07944913010315603,0.07065375379886116,90.76772141347115,0.012773987660855184
coarse_eta100_recovery100_voltage050,0.5,benchmark_bank_mass_only,27661071790.013443,0.07065375379886116,196794605597122.56,27661071789.972435
coarse_eta100_recovery100_voltage050,0.5,any_recovery_bank_mass_lower_bound,27661071790.013443,0.07065375379886116,196723217239928.6,27661071789.972435
coarse_eta100_recovery100_voltage050,1.285,inventory_only,0.15985283429980263,0.10407907145903474,56.79254786204897,0.07524138348610307
coarse_eta100_recovery100_voltage050,1.285,isotropic_wall_bound,0.2036618538881989,0.10407907145903474,90.21238878930154,0.11905040307363236
coarse_eta100_recovery100_voltage050,1.285,benchmark_bank_mass_only,257468463773.43414,0.10407907145903474,196794603911784.03,257468463773.43
coarse_eta100_recovery100_voltage050,1.285,any_recovery_bank_mass_lower_bound,257468463773.43414,0.10407907145903474,196723215554769.62,257468463773.43
coarse_eta098_recovery000_voltage050,0.0,inventory_only,0.08165567880353487,0.0731271696096231,59.88069828535846,0.012116488210895343
coarse_eta098_recovery000_voltage050,0.0,isotropic_wall_bound,0.08667384628852462,0.0731271696096231,94.6843720837855,0.019185025401758732
coarse_eta098_recovery000_voltage050,0.0,benchmark_bank_mass_only,41542404531.68952,0.0731271696096231,205160915046094.62,41542404531.676384
coarse_eta098_recovery000_voltage050,0.0,any_recovery_bank_mass_lower_bound,40648956988.18715,0.0731271696096231,201467605858961.12,40648956988.17401
coarse_eta098_recovery000_voltage050,0.5,inventory_only,0.07645175704901037,0.07065375379886116,59.49589677720437,0.008484635135256364
coarse_eta098_recovery000_voltage050,0.5,isotropic_wall_bound,0.0798341989384772,0.07065375379886116,94.19638579020466,0.013434005630822577
coarse_eta098_recovery000_voltage050,0.5,benchmark_bank_mass_only,29090289113.11188,0.07065375379886116,204554495841947.2,29090289113.070873
coarse_eta098_recovery000_voltage050,0.5,any_recovery_bank_mass_lower_bound,28225583459.19655,0.07065375379886116,200875352609808.94,28225583459.15554
coarse_eta098_recovery000_voltage050,1.285,inventory_only,0.16314065058954041,0.10407907145903474,58.94056441777227,0.0785291997757758
coarse_eta098_recovery000_voltage050,1.285,isotropic_wall_bound,0.208867563013617,0.10407907145903474,93.6410531311549,0.12425611219894749
coarse_eta098_recovery000_voltage050,1.285,benchmark_bank_mass_only,268741019978.96912,0.10407907145903474,204554494081078.47,268741019978.96497
coarse_eta098_recovery000_voltage050,1.285,any_recovery_bank_mass_lower_bound,262961238889.1324,0.10407907145903474,200875350888622.75,262961238889.12823
coarse_eta098_recovery100_voltage050,0.0,inventory_only,0.08147128547815097,0.0731271696096231,58.92954214540484,0.01185590034290806
coarse_eta098_recovery100_voltage050,0.0,isotropic_wall_bound,0.08638005706700315,0.0731271696096231,93.15287498878119,0.018772427944112203
coarse_eta098_recovery100_voltage050,0.0,benchmark_bank_mass_only,40648956988.18715,0.0731271696096231,201538079358847.44,40648956988.17401
coarse_eta098_recovery100_voltage050,0.0,any_recovery_bank_mass_lower_bound,40648956988.18715,0.0731271696096231,201467605858961.12,40648956988.17401
coarse_eta098_recovery100_voltage050,0.5,inventory_only,0.07632706034314203,0.07065375379886116,58.54872276223284,0.008232430286265422
coarse_eta098_recovery100_voltage050,0.5,isotropic_wall_bound,0.07963676248001414,0.07065375379886116,92.67119372587165,0.01303468128658692
coarse_eta098_recovery100_voltage050,0.5,benchmark_bank_mass_only,28225583459.19655,0.07065375379886116,200945313199859.03,28225583459.15554
