s,charging_work_worldtube_rate,endpoint_heat_return_worldtube_rate,endpoint_heat_input_worldtube_rate,endpoint_net_worldtube_rate,endpoint_net_input_worldtube_rate,endpoint_net_output_worldtube_rate,heat_return_during_net_endpoint_input_worldtube_rate
0.76798828125,0.0028467344206991605,1.5777451871558352,0.4428309762644701,-1.1320674764706657,0.44567076778354064,1.5777382442542065,6.94290162864724e-06
0.7780273437499999,0.0025623036784711713,1.460911151896914,0.44435048672493205,-1.0139983614935109,0.4469051887636709,1.4609035502571817,7.6016397322569186e-06
0.78806640625,0.0022832496226024663,1.3201591315130572,0.45425484311551945,-0.8636210387749355,0.4565369584828277,1.320157997257763,1.1342552941754357e-06
0.79810546875,0.001987614290999885,1.1905673928353107,0.47209153028629713,-0.7164882482580134,0.47407914457729705,1.1905673928353107,0.0
0.80814453125,0.0016608244124867839,1.0726134096552549,0.49522003376201074,-0.5757325514807574,0.49688085817449756,1.0726134096552549,0.0
0.8181835937499999,0.0013070890094821987,0.9724196375338802,0.5300777665659202,-0.4410347819584777,0.5313848555754025,0.9724196375338802,0.0
0.8282226562499999,0.0009302904129752363,0.885039599897935,0.572024040667643,-0.31208526881731674,0.5729543310806182,0.885039599897935,0.0
0.8382617187499999,0.0006524737859769927,0.8177990471010246,0.6285609540892575,-0.18858561922579,0.6292134278752345,0.8177990471010246,0.0
0.84830078125,0.0005808200595061965,0.7629782589186587,0.6921478671407727,-0.0702495717183799,0.6927286872002789,0.7629782589186587,0.0
0.8583398437499999,0.0005073293194503004,0.7310561689567009,0.7737453160283497,0.04319647639109914,0.7742526453478,0.7310561689567009,0.0
0.8683789062499999,0.0004368033730261431,0.7160812589902961,0.8676601174982234,0.15201566188095345,0.8680969208712496,0.7160812589902961,0.0
0.87841796875,0.00040465137863160796,0.7029237036045266,0.9689127015834383,0.2663936493575433,0.96931735296207,0.7029237036045266,0.0
0.88845703125,0.00041488343657348353,0.6677120118854187,1.0676270936315984,0.4003299651827532,1.0680253394270802,0.6676953742443271,1.6637641091628562e-05
0.89849609375,0.0004615110718176965,0.6059024216588403,1.155935312152333,0.5504944015653106,1.156362195856874,0.6058677942915635,3.46273672768251e-05
0.9085351562499999,0.0005389682934040449,0.5173349281223536,1.2303677368964427,0.7135717770674934,1.2308562612543832,0.5172844841868898,5.044393546388845e-05
0.9185742187499999,0.00064210103289057,0.4094873421601285,1.2953318894957369,0.886486648368499,1.2959097792785725,0.4094231309100736,6.421125005486883e-05
0.92861328125,0.0007661554668695809,0.29572548652593167,1.3613515798293419,1.0663922487702797,1.3620416834650224,0.29564943469474264,7.60518311889866e-05
0.93865234375,0.0009067653290915217,0.2344249079558412,1.4841781572460147,1.250660014619265,1.4849988361858744,0.23433882156660943,8.608638923179514e-05
0.9486914062499999,0.0010599384386460666,0.2299479561080333,1.6657569848860954,1.4368689672167083,1.666722489841748,0.22985352262503989,9.443348299342541e-05
0.9587304687499999,0.0011951229452947065,0.23785480130667566,1.8585593810375585,1.6218997026761777,1.8596790859161987,0.23777938324002101,7.541806665465014e-05
0.96876953125,0.0012186869851358328,0.2477989453593648,1.9864802666112045,1.7399000082369755,1.98768048636975,0.24778047813277443,1.8467226590399128e-05
0.97880859375,0.0011389502886030758,0.259015625660541,2.0178700133526664,1.7599933379807287,2.0190089636412694,0.259015625660541,0.0
0.9888476562499999,0.0009727504391140038,0.27101144612703876,1.9641529010087155,1.694114205320791,1.9651256514478297,0.27101144612703876,0.0
0.9988867187499999,0.0007355101431094364,0.28550944039022585,1.838204752097143,1.5534308218500266,1.8389402622402522,0.28550944039022585,0.0
1.0089257812499999,0.00044129887826648885,0.30627817164814514,1.6542062839357299,1.3483694111658513,1.6546475828139964,0.30627817164814514,0.0
1.01896484375,0.00010289542519447063,0.3363816221505828,1.424918373196932,1.0886396464715435,1.4250212686221264,0.3363816221505828,0.0
1.0290039062499998,0.007086937744765962,0.4545808352623443,1.2307533150185757,0.7832594175009975,1.2308742368462726,0.44761481934527514,0.0
1.03904296875,3.152004663386232,3.883988917664758,1.172564513267247,0.440580258988722,1.1726814315366447,0.7321011725479227,0.0
1.0490820312499998,4.807815278972045,5.846635726454451,1.115002735187167,0.0761822877047616,1.1235206542729126,1.047338366568151,0.00018975247570392773
1.05912109375,4.990736026718415,6.288341193835567,1.068002362921494,-0.22960280419565762,1.0767097855826429,1.3063125897783003,0.000407248151054442
1.06916015625,3.531400902625845,5.0228597045545795,1.0275493659451742,-0.4639094359835606,1.0275493659451742,1.4914588019287347,0.0
1.07919921875,4.9759734364025355e-05,1.6096396916149103,0.9752134467233481,-0.6343764851571982,0.9752134467233481,1.6095899318805462,0.0
1.08923828125,0.0008079735894751651,1.673676514774901,0.9246992616723091,-0.748169279513117,0.9250998958420731,1.67326917535519,0.00040733941971105893
1.0992773437499999,0.00224254043151777,1.6998682289830538,0.8856300101722043,-0.8119956783793316,0.8873054849360308,1.6993011633153623,0.0005670656676912391
1.10931640625,0.0031430714993540996,1.6956714314810448,0.8604069127250724,-0.8321214472566183,0.8630357329732483,1.6951571802298666,0.0005142512511782091
1.1193554687499998,0.004270561883591046,1.6648263758204729,0.8461702339288188,-0.814385580008063,0.8498721193330925,1.6642576993411555,0.0005686764793174648
1.12939453125,0.0055796629479628705,1.607059971231612,0.8372658373715182,-0.7642144709121312,0.8422439728536126,1.6064584437657436,0.0006015274658684
1.1394335937499998,0.007727807751052342,1.5092097445145929,0.8260273554701559,-0.6754545812933845,0.8335179046576328,1.5089724859510174,0.00023725856357546652
1.14947265625,0.009195859337098803,1.3260198889540535,0.8014562256085689,-0.5153678040083859,0.8106520849456677,1.3260198889540535,0.0
1.15951171875,0.006206429892017509,1.082632758696217,0.7871677458526233,-0.28925858295157625,0.7933741757446408,1.082632758696217,0.0
1.16955078125,0.0027355892220054957,0.8136075675939645,0.8053457739133986,-0.005526204458560419,0.808081363135404,0.8136075675939645,0.0
1.17958984375,0.0006971468726754452,0.6381087293777413,0.9652974474788845,0.3278858649738185,0.9659945943515598,0.6381087293777413,0.0
1.1896289062499998,2.7179353290421604,3.2997857619410857,1.285345071975633,0.7034946390767075,1.2909752733653979,0.5874806342886902,0.0
1.19966796875,2.556153320263475,3.190997894578018,1.7491276465904875,1.1142830722759445,1.7534133182492744,0.6391302459733299,0.0
