speed,arrival,arrival_direction_deg,origin,origin_offset,origin_r,energy_ratio_at_origin,status
2.1,7.0,337.5,alongside,-0.22957476555581374,3.0772585888299573,0.7107267056290149,0
2.1,12.75,0.0,behind,-8.823261403853351,0.0,2.682362886237641e+34,0
2.1,12.75,22.5,alongside,0.2552134794640016,0.5669075469083421,0.999635965711182,0
2.1,12.75,45.0,alongside,0.7467413435079474,0.21840815050888837,0.9999999972530647,0
2.1,12.75,67.5,alongside,-0.22330647956563143,1.710434716913518,0.9999999979939597,0
2.1,12.75,90.0,side,15.087436698137662,22.8403811989956,5.257642042280734,0
2.1,12.75,112.5,alongside,0.223306478828602,1.7104347171188148,0.9999999974399262,0
2.1,12.75,135.0,alongside,-0.7467413436215494,0.21840815052030368,0.9999999972527843,0
2.1,12.75,157.5,alongside,-0.2552134798773202,0.5669075469929761,0.999635965662884,0
2.1,12.75,180.0,ahead,66.48549418249058,5.0924746065299624e-14,0.3225807839031738,0
2.1,12.75,202.5,alongside,-0.2552134795136843,0.5669075469180859,0.9996359657189368,0
2.1,12.75,225.0,alongside,-0.7467413435870168,0.21840815051675005,0.9999999972455561,0
2.1,12.75,247.49999999999997,alongside,0.22330647784848473,1.7104347174094043,0.9999999974635548,0
2.1,12.75,270.0,side,15.087436697597647,22.84038119876372,5.257638057995557,0
2.1,12.75,292.5,alongside,-0.2233064780214697,1.710434717371005,0.9999999979998762,0
2.1,12.75,315.0,alongside,0.7467413434721384,0.21840815050540138,0.9999999972231012,0
2.1,12.75,337.5,alongside,0.25521347911157993,0.5669075468358731,0.9996359656445206,0
10.0,0.75,0.0,behind,-7.535557283458359,0.0,1.0000000280394434,0
10.0,0.75,22.5,alongside,0.8105865076950767,1.6714853726256897,1.0000000000086768,0
10.0,0.75,45.0,alongside,0.38908479224848286,2.3773524005189994,0.7371748369107421,0
10.0,0.75,67.5,alongside,-0.32155567355248865,1.1958470164172843,0.8456237548454096,0
10.0,0.75,90.0,alongside,-6.465969465282962e-14,11.663372017476977,0.9450132677866453,0
10.0,0.75,112.5,alongside,0.32155567355033754,1.1958470164199906,0.8456237548259685,0
10.0,0.75,135.0,alongside,-0.38908479224532727,2.377352400529733,0.7371748368765149,0
10.0,0.75,157.5,alongside,-0.8105865076914635,1.6714853726344288,0.9999999999961217,0
10.0,0.75,180.0,ahead,7.535557283462025,5.799032364983466e-14,1.00000006300236,0
10.0,0.75,202.5,alongside,-0.810586507684513,1.6714853726512304,0.999999999976903,0
10.0,0.75,225.0,alongside,-0.38908479224644155,2.377352400525943,0.7371748368925964,0
10.0,0.75,247.49999999999997,alongside,0.32155567354500675,1.1958470164267296,0.845623754845712,0
10.0,0.75,270.0,alongside,2.021743269078663e-13,11.663372017476977,0.9450132677866453,0
10.0,0.75,292.5,alongside,-0.3215556735469874,1.195847016424242,0.8456237548060838,0
10.0,0.75,315.0,alongside,0.38908479224710635,2.3773524005236797,0.737174836905927,0
10.0,0.75,337.5,alongside,0.8105865076877226,1.6714853726434464,0.9999999999872506,0
10.0,3.0,0.0,behind,-8.610165095190414,0.0,7.733530051067611e+21,0
