lambda1,lambda2,nodes,energy,pressure,opacity_scaling_derivative,effective_exponent,minimum_dec_holding_energy,zero_wall_mass_held_energy_floor,zero_wall_mass_released_energy,virial_identity_error,measured_mass_025_released_energy,measured_mass_025_held_floor,measured_mass_1_released_energy,measured_mass_1_held_floor,released_zero_energy_mass_per_wall
0.0001,10000.0,128,-3.16541657853042e-07,-6.330437551489339e-07,3.1658121841019245e-07,1.999875022588122,6.330437551489339e-07,3.1650209729589195e-07,-3.16541657853042e-07,4.235164736271502e-22,0.49999968345834217,0.5000003165020973,1.9999996834583422,2.0000003165020974,1.58270828926521e-07
0.0001,10000.0,256,-3.165416578530438e-07,-6.330437551489354e-07,3.1658121841019425e-07,1.9998750225881152,6.330437551489354e-07,3.1650209729589163e-07,-3.165416578530438e-07,-1.6940658945086007e-21,0.49999968345834217,0.5000003165020973,1.9999996834583422,2.0000003165020974,1.582708289265219e-07
0.0001,10000.0,512,-3.1654165785304193e-07,-6.330437551489331e-07,3.1658121841019235e-07,1.9998750225881197,6.330437551489331e-07,3.1650209729589115e-07,-3.1654165785304193e-07,-4.235164736271502e-22,0.49999968345834217,0.5000003165020973,1.9999996834583422,2.0000003165020974,1.5827082892652097e-07
0.000125892541179,0.000125892541179,128,-5.008353397304552e-11,-5.016965577876734e-11,1.0008094614036922e-10,1.0017195632753906,5.016965577876734e-11,8.612180572182183e-14,-5.008353397304552e-11,2.5849394142282115e-26,0.49999999994991645,0.5000000000000862,1.9999999999499165,2.000000000000086,2.504176698652276e-11
0.000125892541179,0.000125892541179,256,-5.0083533973045894e-11,-5.0169655778767645e-11,1.0008094614036997e-10,1.001719563275389,5.0169655778767645e-11,8.612180572175074e-14,-5.0083533973045894e-11,-7.754818242684634e-26,0.49999999994991645,0.5000000000000862,1.9999999999499165,2.000000000000086,2.5041766986522947e-11
0.000125892541179,0.000125892541179,512,-5.0083533973045616e-11,-5.016965577876734e-11,1.0008094614036943e-10,1.0017195632753886,5.016965577876734e-11,8.612180572172489e-14,-5.0083533973045616e-11,-5.169878828456423e-26,0.49999999994991645,0.5000000000000862,1.9999999999499165,2.000000000000086,2.5041766986522808e-11
0.000158489319246,0.000158489319246,128,-7.934232780857718e-11,-7.950838123840411e-11,1.5851860218732745e-10,1.0020928731789613,7.950838123840411e-11,1.6605342982693173e-13,-7.934232780857718e-11,0.0,0.4999999999206577,0.5000000000001661,1.9999999999206577,2.000000000000166,3.967116390428859e-11
0.000158489319246,0.000158489319246,256,-7.934232780857775e-11,-7.950838123840452e-11,1.5851860218732861e-10,1.0020928731789593,7.950838123840452e-11,1.6605342982677663e-13,-7.934232780857775e-11,-1.0339757656912846e-25,0.4999999999206577,0.5000000000001661,1.9999999999206577,2.000000000000166,3.9671163904288874e-11
0.000158489319246,0.000158489319246,512,-7.934232780857731e-11,-7.950838123840405e-11,1.5851860218732774e-10,1.002092873178959,7.950838123840405e-11,1.6605342982673786e-13,-7.934232780857731e-11,-1.550963648536927e-25,0.4999999999206577,0.5000000000001661,1.9999999999206577,2.000000000000166,3.9671163904288654e-11
0.000199526231497,0.000199526231497,128,-1.2568220305102726e-10,-1.260019961309106e-10,2.510446130221711e-10,1.0025444579432898,1.260019961309106e-10,3.1979307988334754e-13,-1.2568220305102726e-10,-5.169878828456423e-26,0.4999999998743178,0.5000000000003197,1.9999999998743179,2.0000000000003197,6.284110152551363e-11
0.000199526231497,0.000199526231497,256,-1.2568220305102821e-10,-1.2600199613091143e-10,2.510446130221731e-10,1.0025444579432887,1.2600199613091143e-10,3.197930798832183e-13,-1.2568220305102821e-10,-1.550963648536927e-25,0.4999999998743178,0.5000000000003197,1.9999999998743179,2.0000000000003197,6.284110152551411e-11
0.000199526231497,0.000199526231497,512,-1.2568220305102752e-10,-1.2600199613091063e-10,2.5104461302217163e-10,1.0025444579432878,1.2600199613091063e-10,3.197930798831149e-13,-1.2568220305102752e-10,-2.5849394142282115e-25,0.4999999998743178,0.5000000000003197,1.9999999998743179,2.0000000000003197,6.284110152551376e-11
