lambda1,lambda2,energy,pressure,relative_energy_error,relative_pressure_error,canonical_surface_binding,held_floor,passed
0.199526231497,0.199526231497,-6.990846406311765e-05,-9.571636190378468e-05,6.203553100560871e-15,7.645886783320984e-15,-0.00011400903028556826,2.5807897840667026e-05,True
0.251188643151,0.251188643151,-0.00010121078915114549,-0.00014348248733612274,6.2934869066577646e-15,7.74524645780839e-15,-0.0001601498801173138,4.2271698184977256e-05,True
0.316227766017,0.316227766017,-0.00014482428571910977,-0.00021301362244411704,6.550537406169559e-15,7.88922956227086e-15,-0.00022145923471321224,6.818933672500727e-05,True
0.398107170553,0.398107170553,-0.0002045964642297325,-0.0003127932727592682,6.226586356057544e-15,7.7989365518415e-15,-0.00030099611992992926,0.00010819680852953569,True
0.501187233627,0.501187233627,-0.00028504533560187934,-0.00045369438529312204,6.275961614399726e-15,7.88607328012354e-15,-0.00040144162151251614,0.0001686490496912427,True
0.63095734448,0.63095734448,-0.0003912082223550454,-0.0006491090557662434,6.789978254032543e-15,7.683346810723518e-15,-0.0005245156112988925,0.00025790083341119805,True
0.794328234724,0.794328234724,-0.0005283406719097551,-0.0009147516289113081,6.771894270924676e-15,8.296694936122798e-15,-0.0006702703868179577,0.000386410957001553,True
1.0,0.0001,-1.2779352807426927e-07,-1.8881056854621534e-07,6.421007229534503e-15,7.850766348029929e-15,-1.945700156765924e-07,6.101704047194607e-08,True
1.0,0.001,-1.276638473042561e-06,-1.887195436631635e-06,6.303125880060788e-15,7.854552999241698e-15,-1.9427199824960482e-06,6.105569635890741e-07,True
1.0,0.01,-1.2640977632614904e-05,-1.8781547241042966e-05,6.566677929778933e-15,7.937460998473007e-15,-1.9141385656801736e-05,6.1405696084280625e-06,True
1.0,0.1,-0.0001160564286847686,-0.000179344806564686,6.305867539794137e-15,7.85895533430343e-15,-0.00016882447948961992,6.32883778799174e-05,True
1.0,1.0,-0.0007014483623612988,-0.0012679744902811178,6.955479601892297e-15,7.86660935477905e-15,-0.0008363705968027787,0.0005665261279198191,True
1.0,10.0,-0.001638710147236597,-0.0035738595316074898,7.5424594075881e-15,7.523578819995322e-15,-0.0013422709101023013,0.0019351493843708927,True
1.0,100.0,-0.0019521111676081913,-0.004520197676636184,7.55343742224949e-15,7.67543191725077e-15,-0.0013361358261883894,0.0025680865090279923,True
1.0,1000.0,-0.0019926783649626234,-0.004650900465404388,7.617300755449197e-15,7.459731675104665e-15,-0.0013271346294834823,0.0026582221004417647,True
1.0,10000.0,-0.0019968629815370555,-0.004664503219846969,7.60133797618572e-15,7.437977397446064e-15,-0.0013260857247641964,0.0026676402383099137,True
1.25892541179,1.25892541179,-0.0009146680532618945,-0.001726467830924703,7.112102594721767e-15,8.038254498134181e-15,-0.0010175363288609804,0.0008117997776628085,True
1.58489319246,1.58489319246,-0.001170559829076798,-0.002306313298544805,7.409802698188251e-15,7.897711255989889e-15,-0.0012053661886855878,0.0011357534694680072,True
1.99526231497,1.99526231497,-0.0014694217263023675,-0.003019530371885641,7.525996084990871e-15,8.043015195276562e-15,-0.0013887348070214611,0.0015501086455832736,True
2.51188643151,2.51188643151,-0.001808771928491057,-0.00387146386462411,7.552609125636869e-15,7.841390722251161e-15,-0.001554851920849061,0.002062691936133053,True
3.16227766017,3.16227766017,-0.002183143945653059,-0.004858543052935667,7.747337927236126e-15,7.676489500482194e-15,-0.0016908887840235104,0.002675399107282608,True
3.98107170553,3.98107170553,-0.002584294954715259,-0.0059670084486755535,8.055071915742409e-15,8.140135504271286e-15,-0.001785876415470224,0.0033827134939602944,True
5.01187233627,5.01187233627,-0.003001841510658258,-0.007173082433807477,7.656995206136788e-15,7.738814065432742e-15,-0.0018324420981672975,0.004171240923149218,True
6.3095734448,6.3095734448,-0.003424233692373667,-0.008444752927788308,7.852330271010707e-15,7.80597048259446e-15,-0.0018279481493326932,0.00502051923541464,True
7.94328234724,7.94328234724,-0.0038398931711901303,-0.009744930443207282,7.905860782107415e-15,7.476542435642723e-15,-0.0017747490703631072,0.005905037272017152,True
8.0,8.0,-0.0038525120755279483,-0.00978514404570154,7.879965132992844e-15,7.268535055065704e-15,-0.0017723921808823024,0.005932631970173592,True
10.0,0.0001,-2.6710730232053645e-07,-4.949762951547717e-07,7.135050651049338e-15,7.914575747160149e-15,-3.063456118068375e-07,2.2786899283423522e-07,True
10.0,0.001,-2.669121789080586e-06,-4.947955174805475e-06,7.457611841433691e-15,8.045858766802032e-15,-3.0594101924362813e-06,2.278833385724889e-06,True
10.0,0.01,-2.6500778132282594e-05,-4.929963450700597e-05,6.903914884825687e-15,7.697232731329885e-15,-3.0202699889841815e-05,2.2798856374723374e-05,True
10.0,0.1,-0.0002485327916076365,-0.00047582003871473645,7.197978073755781e-15,7.747230226805806e-15,-0.0002697783361081731,0.00022728724710709993,True
10.0,1.0,-0.001638710147236597,-0.0035738595316074898,7.5424594075881e-15,7.766274910962912e-15,-0.0013422709101023013,0.0019351493843708927,True
10.0,10.0,-0.0042383034611730395,-0.011035373503872221,7.571988320224879e-15,7.702634649659772e-15,-0.0016795368796468993,0.0067970700426991815,True
10.0,100.0,-0.0052054242823396015,-0.014395890698495784,7.831446482424389e-15,7.230077717211623e-15,-0.0012203821485230189,0.009190466416156182,True
10.0,1000.0,-0.005334615493529145,-0.014873949773323817,7.47919695353177e-15,7.46421119840221e-15,-0.0011298967072636205,0.009539334279794674,True
10.0,10000.0,-0.005347998157689505,-0.014923908415341174,7.622665618693313e-15,7.555462202018259e-15,-0.0011200860577273424,0.009575910257651669,True
12.5892541179,12.5892541179,-0.004610863958183745,-0.012280593270593379,7.900730389335255e-15,7.345379719300432e-15,-0.001551998603957854,0.007669729312409634,True
15.8489319246,15.8489319246,-0.004951391597948839,-0.013451007522956866,7.707715238540114e-15,7.35106555861489e-15,-0.0014031672708896524,0.008499615925008027,True
19.9526231497,19.9526231497,-0.005256246237286321,-0.014524876069492357,7.755725254321708e-15,7.40473481467171e-15,-0.0012438626423666055,0.009268629832206037,True
25.1188643151,25.1188643151,-0.005524136603198316,-0.015488898705195132,7.536628149155264e-15,7.503856478282897e-15,-0.0010835111043998144,0.009964762101996816,True
31.6227766017,31.6227766017,-0.005755711822543692,-0.016337665015403333,7.836182867728105e-15,7.644916831907921e-15,-0.0009294704522277454,0.01058195319285964,True
39.8107170553,39.8107170553,-0.005953054328629868,-0.017072328687758875,7.722115333687153e-15,7.519158022907952e-15,-0.0007868342981307316,0.011119274359129006,True
50.1187233627,50.1187233627,-0.006119171910093802,-0.017698919946765288,7.654227490179436e-15,7.252958802480202e-15,-0.0006585957835161158,0.011579748036671486,True
63.095734448,63.095734448,-0.006257554294681836,-0.018226643295826413,7.762179126217274e-15,7.233311259480576e-15,-0.0005460195882190917,0.011969089001144576,True
79.4328234724,79.4328234724,-0.006371826186724959,-0.018666390138623087,7.486848227082907e-15,7.248773336533932e-15,-0.0004490884215517901,0.012294563951898128,True
100.0,0.0001,-3.104553574927446e-07,-6.14960435163996e-07,7.161936274829791e-15,7.747751002932147e-15,-3.1640563731423775e-07,3.0450507767125143e-07,True
100.0,0.001,-3.102445208630551e-06,-6.147509554635129e-06,7.371569210068692e-15,7.991514369214395e-15,-3.1598260712565235e-06,3.0450643460045777e-06,True
100.0,0.01,-3.081837273579914e-05,-6.12665417954373e-05,7.036076705153722e-15,7.742210292302374e-15,-3.1188576411960094e-05,3.044816905963816e-05,True
100.0,0.1,-0.00029021463176235576,-0.0005926909725925913,6.911346981087518e-15,7.683007393414853e-15,-0.0002779529226944762,0.00030247634083023554,True
100.0,1.0,-0.0019521111676081913,-0.004520197676636184,7.997757270617107e-15,7.867317715182039e-15,-0.0013361358261883894,0.0025680865090279923,True
100.0,10.0,-0.0052054242823396015,-0.014395890698495784,7.998073003327034e-15,7.230077717211623e-15,-0.0012203821485230189,0.009190466416156182,True
100.0,100.0,-0.00646550228269488,-0.01902957642388347,7.646678773537162e-15,7.292746563920807e-15,-0.0003669304242011708,0.01256407414118859,True
100.0,1000.0,-0.0066362539051486235,-0.019699272018420432,7.580629301163055e-15,7.57318436917385e-15,-0.00020948969702544042,0.013063018113271808,True
100.0,10000.0,-0.006653977852901794,-0.01976942252915466,7.69078943041548e-15,7.370815802391707e-15,-0.00019251102955072108,0.013115444676252867,True
125.892541179,125.892541179,-0.006541833253174168,-0.019327323184826606,7.557456320267773e-15,7.359908233012472e-15,-0.0002981765746959023,0.012785489931652438,True
158.489319246,158.489319246,-0.006603724052953533,-0.019569941392482415,7.74931570897908e-15,7.268663823630099e-15,-0.00024123076637818568,0.012966217339528883,True
199.526231497,199.526231497,-0.006653704600305436,-0.019766657414087365,7.430389840731656e-15,7.371846889914827e-15,-0.0001944563868289483,0.013112952813781928,True
251.188643151,251.188643151,-0.006693935117481013,-0.019925511771005367,7.774456036091363e-15,7.487196346499562e-15,-0.00015629358143767213,0.013231576653524355,True
316.227766017,316.227766017,-0.006726232134932889,-0.02005337210009929,7.737125813577568e-15,7.612468622431994e-15,-0.00012532430469937956,0.0133271399651664,True
398.107170553,398.107170553,-0.006752105011523467,-0.020156014002468782,7.707478510847704e-15,7.401573491451859e-15,-0.0001003010321016181,0.013403908990945314,True
501.187233627,501.187233627,-0.006772796150295926,-0.02023823643767678,7.683931883440835e-15,7.542933217331407e-15,-8.015201321100446e-05,0.013465440287380854,True
630.95734448,630.95734448,-0.006789320670695233,-0.02030398938315087,7.665229969757062e-15,7.518505994326381e-15,-6.397262893483186e-05,0.013514668712455637,True
794.328234724,794.328234724,-0.0068025031510347694,-0.02035649997504193,7.650375622595314e-15,7.158242927846522e-15,-5.1009478062376685e-05,0.01355399682400716,True
1000.0,0.0001,-3.159736207365196e-07,-6.313414881335526e-07,7.371946428691557e-15,7.882134563705934e-15,-3.165793740760059e-07,3.1536786739703297e-07,True
1000.0,0.001,-3.157609059223872e-06,-6.311282941568623e-06,7.108661231088624e-15,7.918349462491824e-15,-3.1615442361029946e-06,3.153673882344751e-06,True
1000.0,0.01,-3.1368141345045696e-05,-6.290056959843302e-05,7.128783806964496e-15,7.75654307637035e-15,-3.120385443670408e-05,3.1532428253387324e-05,True
1000.0,0.1,-0.0002955332139219447,-0.0006086688331178201,7.153829541829867e-15,7.837578169560714e-15,-0.0002779308086480141,0.0003131356191958754,True
1000.0,1.0,-0.001992678364962624,-0.004650900465404388,7.834937919890601e-15,7.459731675104665e-15,-0.0013271346294834823,0.0026582221004417643,True
1000.0,10.0,-0.005334615493529145,-0.014873949773323817,7.47919695353177e-15,7.46421119840221e-15,-0.0011298967072636205,0.009539334279794674,True
1000.0,100.0,-0.0066362539051486235,-0.019699272018420432,7.580629301163055e-15,7.57318436917385e-15,-0.00020948969702544042,0.013063018113271808,True
1000.0,1000.0,-0.00681301030169632,-0.020398389399031436,7.638577071628196e-15,7.483711723495555e-15,-4.064150605752644e-05,0.013585379097335116,True
1000.0,10000.0,-0.006831363217068577,-0.020471649604434757,7.871990706176674e-15,7.456930381071457e-15,-2.2440046770969962e-05,0.01364028638736618,True
1258.92541179,1258.92541179,-0.006821379217544351,-0.020431776847060372,7.502052137740293e-15,7.301676210087897e-15,-3.236080557268305e-05,0.01361039762951602,True
1584.89319246,1584.89319246,-0.00682804132158109,-0.020458369401584037,7.875820491201808e-15,7.292185217970222e-15,-2.5754563159227653e-05,0.013630328080002948,True
1995.26231497,1995.26231497,-0.006833342358211639,-0.020479538200324512,7.615849104467246e-15,7.454058015992767e-15,-2.0488874310408964e-05,0.013646195842112872,True
2511.88643151,2511.88643151,-0.006837558902685558,-0.020496382024218773,7.611152608698409e-15,7.44793230852056e-15,-1.6294683837899955e-05,0.013658823121533215,True
3162.27766017,3162.27766017,-0.006840911878328995,-0.020509779796701745,7.861002847535114e-15,7.78138826315099e-15,-1.2955838285244641e-05,0.01366886791837275,True
3981.07170553,3981.07170553,-0.006843577551667468,-0.02052043356167418,7.857940872194568e-15,7.270129965121161e-15,-1.0299093328222203e-05,0.013676856010006712,True
5011.87233627,5011.87233627,-0.006845696430740631,-0.020528903438062563,7.475403424480991e-15,7.267130433153083e-15,-8.185854159331082e-06,0.013683207007321932,True
6309.5734448,6309.5734448,-0.006847380438031372,-0.020535635905435543,7.98024733513705e-15,7.602643207975271e-15,-6.5054086585693945e-06,0.01368825546740417,True
7943.28234724,7943.28234724,-0.006848718674673845,-0.020540986603036538,7.852042157045092e-15,7.262855568580696e-15,-5.169420984993915e-06,0.013692267928362693,True
10000.0,0.0001,-3.1654165785304426e-07,-6.330437551489381e-07,7.525960975596782e-15,8.028193378718504e-15,-3.1658121841019446e-07,3.165020972958938e-07,True
10000.0,0.001,-3.1632875123777207e-06,-6.328301779314946e-06,6.962015479920155e-15,7.227812570702603e-15,-3.1615607578182162e-06,3.1650142669372255e-06,True
10000.0,0.01,-3.1424734915720256e-05,-6.307037557884128e-05,7.115945406536137e-15,7.520780494948222e-15,-3.120382916831948e-05,3.1645640663121024e-05,True
10000.0,0.1,-0.00029608085331370306,-0.0006103294945417257,7.140597619484386e-15,7.816252698910131e-15,-0.0002779130653993837,0.0003142486412280226,True
10000.0,1.0,-0.0019968629815370555,-0.004664503219846969,7.60133797618572e-15,7.437977397446064e-15,-0.0013260857247641964,0.0026676402383099137,True
10000.0,10.0,-0.005347998157689505,-0.014923908415341174,7.622665618693313e-15,7.555462202018259e-15,-0.0011200860577273424,0.009575910257651669,True
10000.0,100.0,-0.006653977852901794,-0.01976942252915466,7.69078943041548e-15,7.370815802391707e-15,-0.00019251102955072108,0.013115444676252867,True
10000.0,1000.0,-0.006831363217068577,-0.020471649604434757,7.871990706176674e-15,7.456930381071457e-15,-2.2440046770969962e-05,0.01364028638736618,True
10000.0,10000.0,-0.006849782041345693,-0.02054523864990208,7.597570837316776e-15,7.261352446481144e-15,-4.107474135003472e-06,0.013695456608556388,True
