harmonics,nodes,cutoff,separation,interaction_energy,force,force_energy_derivative_error,single_wall_dressing,two_wall_free_subtracted_energy,interaction_inertia,center_energy,center_radial_enthalpy,min_frequency,potential_overlap,joint_uv_log_interaction_coefficient,isolated_mass_only_held_floor,isolated_mass_only_released_energy_with_mass_1
32,16,8.0,0.7,-0.036837290108678644,-0.21028375321222686,1.5380566265044138e-10,5.93649179635554,11.836146302602401,2.7856704012344506,2.053994661199795,0.7120871371475772,0.2817297750503882,0.9425146402332235,-0.005968543684291398,0.11036133713988014,1.9631627098913214
32,16,8.0,1.0,-0.009181460696254362,-0.032687978922361194,-4.4610350136142785e-11,5.93649179635554,11.863802132014825,2.795270740052657,-0.1373268556434084,-0.2512012472248841,0.2892507286361134,0.0064758683234712976,-4.1008915227877085e-05,0.02350651822610683,1.9908185393037456
32,16,8.0,1.2,-0.004952056021465978,-0.013386521453074174,-5.0593307321378234e-11,5.93649179635554,11.868031536689614,2.796413438161478,-0.14676260907819483,-0.15014172274476323,0.29450011267491877,8.814321912318055e-05,-5.581734557254122e-07,0.011111769722223028,1.995047943978534
32,16,12.0,0.7,-0.04073971634898044,-0.24913354558172604,8.836961717939573e-11,11.084406143556407,22.128072570763834,5.305579556057684,4.066934136357247,2.2272317865257776,0.2856894638081128,0.9425146402332235,-0.005968543684291398,0.13365376555822778,1.9592602836510196
32,16,12.0,1.0,-0.009613273403374478,-0.03426861770709766,-4.654470142639866e-10,11.084406143556407,22.15919901370944,5.316873386589207,-0.05254094709283663,-0.12058986984223452,0.29310883234311985,0.0064758683234712976,-4.1008915227877085e-05,0.02465534430372318,1.9903867265966255
32,16,12.0,1.2,-0.005211793188209413,-0.013884336988545843,-4.201856397545445e-11,11.084406143556407,22.163600493924605,5.318100915244557,-0.1513799159211544,-0.09948918054817568,0.2982903282819684,8.814321912318055e-05,-5.581734557254122e-07,0.011449411198045597,1.9947882068117906
48,24,8.0,0.7,-0.036188240060710086,-0.2087609105122955,4.543784792865324e-11,7.175953652067619,14.315719064074528,3.399599733244661,2.617634299635995,0.6632269985097992,0.27918596377666915,0.9425146402332235,-0.005968543684291398,0.10994439729789676,1.96381175993929
48,24,8.0,1.0,-0.00890303465530451,-0.03201089436584756,1.251234602039908e-10,7.175953652067619,14.343004269479934,3.4090194378183662,-0.08887149110586279,-0.2678031061757622,0.2867736565994145,0.0064758683234712976,-4.1008915227877085e-05,0.02310785971054305,1.9910969653446955
48,24,8.0,1.2,-0.0047689288453511836,-0.013048359046220119,4.270213002643963e-11,7.175953652067619,14.347138375289887,3.410115683836369,-0.1446684249548298,-0.16944381797463848,0.29206753384864953,8.814321912318055e-05,-5.581734557254122e-07,0.010889102010112957,1.9952310711546488
48,24,12.0,0.7,-0.03954863232502248,-0.2467100954571374,3.230075096283258e-10,13.766884002008737,27.494219371692452,6.63545274933899,5.2726799241658,2.090248672341488,0.28001439141060064,0.9425146402332235,-0.005968543684291398,0.13314843449497368,1.9604513676749775
