interval,incoming,outgoing,geometric,balance_residual
23,1.6091101606431204e-05,0.0014329012976130125,0.0016468213872676092,8.998878031629687e-18
24,1.6164020739329318e-05,0.0014354528402526815,0.0016535273447642494,-8.673617379884035e-19
25,1.6244758378628165e-05,0.0014380451650469156,0.0016602783092393844,4.933119884809045e-18
26,1.6332755418502497e-05,0.001440678492867085,0.0016670751482782105,1.702197410802242e-17
27,1.6427367592657523e-05,0.0014433530425239463,0.0016739199108878053,-1.2034644114589099e-17
28,1.6527879450464807e-05,0.001446069032870578,0.0016808142939261942,8.348356728138384e-18
29,1.663344908797404e-05,0.0014488266808614315,0.0016877603016832443,-1.620882247865829e-17
30,1.6743176738677013e-05,0.0014516262054733425,0.0016947603259444576,1.1546753136970622e-17
31,1.6856112500095563e-05,0.001454467824918941,0.0017018164906298923,-5.312590645178972e-18
32,1.6971263429108426e-05,0.0014573517570749088,0.0017089313806097322,7.48099499014998e-18
33,1.7087687396488903e-05,0.001460278219985075,0.001716107623284701,-1.0842021724855044e-19
34,1.7204601061041955e-05,0.001463247428878807,0.0017233477287540615,-6.342582709040201e-18
35,1.7321271033480123e-05,0.0014662595996485644,0.001730654188743723,-1.610040226140974e-17
36,1.7437109220860277e-05,0.0014693149465690647,0.0017380293975976541,3.4531839193663316e-17
37,1.755164241185987e-05,0.001472413683826458,0.0017454755724634315,-3.604972223514302e-17
38,1.7664481172400256e-05,0.0014755560266312365,0.0017529946550538813,2.905661822261152e-17
39,1.7775407399786373e-05,0.0014787421886018081,0.0017605884525223193,7.15573433840433e-18
40,1.788426985780743e-05,0.0014819723847671277,0.0017682587236213813,-2.0057740190981832e-18
41,1.7991050111243857e-05,0.0014852468285966496,0.001776006923584424,-6.0173220572945496e-18
42,1.8095833883056863e-05,0.0014885657331165638,0.001783834464358041,-7.15573433840433e-18
43,1.819877515869237e-05,0.001491929311706727,0.0017917422994047406,-1.826880660638075e-17
44,1.830014044084494e-05,0.0014953377758891127,0.001799731292227126,2.233456475320139e-17
45,1.8400246222970035e-05,0.0014987913386770777,0.001807802214021135,6.179952383167375e-18
46,1.8499478357104304e-05,0.0015022902119404037,0.0018159553740102708,-1.4365678785432934e-17
47,1.8598277966955447e-05,0.0015058346077419045,0.001824191237593894,1.441988889405721e-17
48,1.8697117887475058e-05,0.0015094247388158794,0.0018325096232197557,9.378348791999613e-18
49,1.8796507848922665e-05,0.001513060816224883,0.0018409104227942008,-2.314771638256552e-17
50,1.8896980289231286e-05,0.001516743052369771,0.0018493935107439902,9.812029660993815e-18
51,1.8999075103723217e-05,0.0015204716582383432,0.0018579582907319542,1.111307226797642e-17
52,1.910334292660217e-05,0.00152424684491954,0.0018666045540898049,-4.7704895589362195e-18
53,1.9210334653139487e-05,0.001528068824093859,0.0018753314267689152,-1.5178830414797062e-18
54,1.9320583880334427e-05,0.0015319378060117256,0.0018841382557204754,1.9244588561617704e-17
55,1.943462703935817e-05,0.0015358540025026497,0.0018930244523613924,-2.7538735181131813e-17
56,1.9552968738407748e-05,0.0015398176241853434,0.001901989064212905,9.974659986866641e-18
57,1.967609820781834e-05,0.0015438288819752935,0.0019110315800414286,-2.439454888092385e-17
58,1.9804486339917623e-05,0.0015478879872902005,0.0019201509568964068,-1.3335686721571705e-17
59,1.9938558319072186e-05,0.001551995150088083,0.0019293464610736564,3.3285006695304986e-17
60,2.007873146544522e-05,0.0015561505817757878,0.0019386175425786386,-7.48099499014998e-18
61,2.0225371827005367e-05,0.0015603544924670692,0.0019479635443963295,1.0299920638612292e-17
62,2.0378817823885348e-05,0.0015646070926745984,0.0019573841556754174,-1.1926223897340549e-18
63,2.0539379891046766e-05,0.0015689085934392612,0.0019668788382319257,-6.396792817664476e-18
64,2.0707310898699577e-05,0.0015732592045355485,0.0019764473403729114,2.3635607360183997e-17
65,2.0882849451893243e-05,0.0015776591372591788,0.00198608969775784,-3.583288180064592e-17
66,2.1066175428835698e-05,0.0015821086016084953,0.0019958061142264184,1.7889335846010823e-17
67,2.1257435404494384e-05,0.0015866078079954885,0.002005596850141776,-1.3986208025063007e-17
68,2.145674311428938e-05,0.0015911569671908548,0.002015462249323167,1.0842021724855044e-17
69,2.1664152909945056e-05,0.0015957562886792379,0.002025402770929813,2.5478751053409354e-17
70,2.187969986138718e-05,0.0016004059834065015,0.002035419188125121,-2.6075062248276382e-17
71,2.210336295333395e-05,0.0016051062610140823,0.002045512609788764,8.239936510889834e-18
72,2.2335086793518907e-05,0.001609857331671469,0.0020556838475663626,-4.4994390158148434e-18
73,2.2574784829025205e-05,0.0016146594058744058,0.0020659340114197633,-1.2468324983583301e-17
74,2.2822321688597844e-05,0.0016195126928983704,0.0020762641295951605,1.8973538018496328e-17
75,2.3077541978476377e-05,0.0016244174034048707,0.0020866755309234914,-1.111307226797642e-17
76,2.3340254869809922e-05,0.0016293737466352935,0.002097169933128394,2.5261910618912253e-17
77,2.361024440489467e-05,0.0016343819323194882,0.002107748529347056,-5.659535340374333e-17
78,2.3887294595449567e-05,0.0016394420513965043,0.0021184124667973855,4.5536491244391186e-17
79,2.417113741042681e-05,0.0016445545481217447,0.002129163917185344,-1.0191500421363742e-17
80,2.4461537529719546e-05,0.0016497195159250857,0.0021400040753739294,1.1275702593849246e-17
81,2.475826784656512e-05,0.0016549371633969255,0.0021509348359802644,-3.3285006695304986e-17
