interval,incoming,outgoing,geometric,balance_residual
103,0.0017769746951386593,0.0,-0.0007930490626849019,9.324138683375338e-18
104,0.0017834023513832685,0.0,-0.0007937017553133504,-1.973247953923618e-17
105,0.0017898873715490667,0.0,-0.0007942350673832466,1.0842021724855044e-17
106,0.0017964299505071567,0.0,-0.0007946487104883438,-9.107298248878237e-18
107,0.001803030274953572,0.0,-0.0007949424175824665,-9.974659986866641e-18
108,0.0018096885470867139,0.0,-0.0007951156915478004,9.107298248878237e-18
109,0.0018164049821993878,0.0,-0.000795168253594749,4.7704895589362195e-18
110,0.0018231797780930245,0.0,-0.0007950995604207519,2.47198095326695e-17
111,0.0018300131212168457,0.0,-0.0007949091352089873,-1.8214596497756474e-17
112,0.001836905199751166,0.0,-0.000794596509872282,-1.951563910473908e-18
113,0.00184385620491549,0.0,-0.0007941609866714165,5.421010862427522e-18
114,0.0018508663258107831,0.0,-0.0007936020857734256,-1.7997756063259374e-17
115,0.0018579357421477018,0.0,-0.0007929190493512047,1.951563910473908e-17
116,0.0018650646392588891,0.0,-0.0007921111982190675,2.3418766925686896e-17
117,0.001872253219923616,0.0,-0.000791177849252297,-1.8865117801247777e-17
118,0.0018795016817249454,0.0,-0.000790118094406442,-4.553649124439119e-18
119,0.0018868102043475266,0.0,-0.0007889312495795189,-2.42861286636753e-17
120,0.0018941789631566341,0.0,-0.0007876163402113259,3.165870343657673e-17
121,0.0019016081373467615,0.0,-0.0007861724821696993,-1.235990476633475e-17
122,0.0019090979044350885,0.0,-0.0007845987713560665,-2.8189256484623115e-17
123,0.0019166484337175796,0.0,-0.0007828940815613265,1.0191500421363742e-17
124,0.0019242598969349328,0.0,-0.0007810575089413203,6.5052130349130266e-18
125,0.0019319324819911349,0.0,-0.0007790878460258425,1.951563910473908e-18
126,0.001939666375127432,0.0,-0.000776983989339887,2.211772431870429e-17
127,0.0019474617443196412,0.0,-0.0007747448034955938,-2.710505431213761e-17
128,0.001955318750829547,0.0,-0.0007723689373512712,5.2909066017292616e-17
129,0.0019632375580108546,0.0,-0.0007698552637706167,-2.927345865710862e-17
130,0.0019712183266344333,0.0,-0.0007672023395324382,-9.324138683375338e-18
131,0.001979261209987377,0.0,-0.0007644088372113332,4.7704895589362195e-18
132,0.0019873663663359754,0.0,-0.0007614733789435362,-1.5395670849294163e-17
133,0.001995533968044104,0.0,-0.0007583943744586733,2.5804011705155006e-17
134,0.002003764180843228,0.0,-0.000755170455735595,0.0
135,0.0020120571531697835,0.0,-0.0007517999281947521,-6.071532165918825e-18
136,0.002020413027922494,0.0,-0.0007482812272418072,1.1275702593849246e-17
137,0.0020288319481753434,0.0,-0.0007446127233501727,-3.664603343001005e-17
138,0.0020373140629295454,0.0,-0.0007407924886798519,4.7704895589362195e-18
139,0.002045859483667002,0.0,-0.0007368190966563113,-5.637851296924623e-18
140,0.0020544683655799854,1.9e-322,-0.0007326905014793955,2.8189256484623115e-18
141,0.002063140859593603,2.2307e-320,-0.0007284048901589525,2.45029690981724e-17
142,0.002071877101444688,2.45745e-318,-0.0007239603656796711,-3.5561831257524545e-17
143,0.002080677213128938,2.5532196e-316,-0.0007193548324275344,3.729655473350135e-17
144,0.0020895413136107796,2.5049680946e-314,-0.0007145864131080631,-4.553649124439119e-18
145,0.002098469519028244,2.32300237611e-312,-0.000709652881518105,3.686287386450715e-18
146,0.002107461939485481,2.03818279794324e-310,-0.0007045521651752781,-2.3418766925686896e-17
147,0.0021165186887001424,1.6934992243615045e-308,-0.0006992820916821327,2.5370330836160804e-17
148,0.00212563989063493,1.3337302694527354e-306,-0.0006938402974327748,-4.4885969940899884e-17
149,0.0021348256614082775,9.964963305620643e-305,-0.0006882246327784929,2.7972416050126014e-17
150,0.002144076099332706,7.069404152415028e-303,-0.000682432585963901,-6.505213034913027e-19
151,0.00215339129481168,4.766015945220023e-301,-0.000676461809740262,-3.0140820395097023e-17
152,0.0021627713355950235,3.055987393975676e-299,-0.0006703098364750848,2.927345865710862e-17
153,0.0021722163038391,1.86517972317449e-297,-0.0006639740149468145,-2.168404344971009e-17
154,0.002181726278736887,1.0844376279233029e-295,-0.000657451904506079,2.5370330836160804e-17
155,0.0021913013479529283,6.010867674343113e-294,-0.0006507406940950498,2.6020852139652106e-18
156,0.002200941600401283,3.1786653040308478e-292,-0.0006438377505453394,-3.144186300207963e-17
157,0.0022106471078116472,1.604894302737743e-290,-0.0006367403012928079,2.6020852139652106e-17
158,0.0022204179272792115,7.742011853067595e-289,-0.0006294453978084506,8.023096076392733e-18
159,0.00223025410971749,3.5708511269177353e-287,-0.0006219502958680663,1.3444106938820255e-17
160,0.002240155700593656,1.5757891353855855e-285,-0.0006142518675335804,-2.667137344314341e-17
161,0.0022501227421139083,6.657699530260719e-284,-0.000606347173347998,-8.673617379884035e-19
162,0.002260155281667928,2.6948514618719074e-282,-0.0005982331133934049,-7.589415207398531e-18
163,0.002270253370165153,1.0457035236028587e-280,-0.0005899064229184644,8.239936510889834e-18
164,0.002280417043357657,3.8924036722428125e-279,-0.0005813640363675421,-6.288372600415926e-18
165,0.0022906463182880616,1.3906868599666263e-277,-0.0005726024953487994,-1.5612511283791264e-17
166,0.0023009412025217927,4.772039387152375e-276,-0.000563618541912288,2.0599841277224584e-17
167,0.002311301696185023,1.5736116907009567e-274,-0.0005544087373113331,2.2985086056692694e-17
168,0.0023217277977907957,4.989542132100464e-273,-0.0005449694857346735,-2.168404344971009e-18
169,0.002332219510932405,1.522086608509498e-271,-0.0005352973812839168,-5.095750210681871e-17
170,0.0023427768397043863,4.46966706552968e-270,-0.0005253886130023393,2.992397996059992e-17
171,0.0023533997724861674,1.2641703309099455e-268,-0.0005152395831591492,1.3227266504323154e-17
172,0.0023640882763301474,3.4455948133707145e-267,-0.0005048464915170045,-2.7972416050126014e-17
173,0.002374842306584971,9.054842157399101e-266,-0.000494205392590361,1.1492543028346347e-17
174,0.0023856618106950717,2.295524376569793e-264,-0.00048331252329452095,2.233456475320139e-17
175,0.0023965467366418203,5.6168135315581475e-263,-0.0004721637062252023,2.5370330836160804e-17
176,0.0024074970384018756,1.327163206457473e-261,-0.0004607549890770591,-4.83554168928535e-17
177,0.002418512663219709,3.0297054223520287e-260,-0.00044908219304773427,3.903127820947816e-18
178,0.0024295935387988543,6.685439768289375e-259,-0.0004371410035278849,2.168404344971009e-18
179,0.0024407395708947966,1.426661460950997e-257,-0.00042492727799138866,-5.637851296924623e-18
180,0.0024519506522284154,2.9456224373150527e-256,-0.0004124364492569718,2.168404344971009e-17
181,0.0024632266717021308,5.887054696322503e-255,-0.00039966418791237033,-1.0842021724855044e-17
182,0.0024745675214383426,1.1394079006836023e-253,-0.00038660591513535984,-3.0791341698588326e-17
183,0.002485973095146281,2.1365419988298786e-252,-0.00037325692883203015,3.122502256758253e-17
184,0.002497443269449587,3.883122140420972e-251,-0.0003596126905220405,-2.211772431870429e-17
185,0.0025089778963143577,6.843366910580564e-250,-0.00034566822650440067,2.168404344971009e-18
186,0.002520576808497023,1.1699164162219192e-248,-0.00033141881292529163,2.168404344971009e-18
187,0.002532239829024143,1.9409235838856375e-247,-0.000316859450040835,-2.992397996059992e-17
188,0.002543966784544482,3.1260666571565005e-246,-0.00030198502719707836,7.37257477290143e-18
189,0.002555757502615899,4.889754483077269e-245,-0.0002867905856490202,5.160802341031001e-17
190,0.0025676117976709298,7.430755130764053e-244,-0.0002712707218454971,-5.160802341031001e-17
191,0.0025795294581787967,1.0974613647403016e-242,-0.0002554202962878892,2.8189256484623115e-17
192,0.0025915102472778974,1.575812633142021e-241,-0.00023923386799361136,-2.862293735361732e-17
193,0.002603553917844549,2.2005086693868315e-240,-0.00022270589996249704,2.42861286636753e-17
194,0.0026156602229313003,2.989403491361984e-239,-0.00020583099535961266,-1.3010426069826053e-18
195,0.0026278289175205105,3.952070074294804e-238,-0.00018860330215042574,2.0383000842727483e-17
196,0.0026400597427004135,5.085987956301153e-237,-0.0001710172450344701,-3.122502256758253e-17
197,0.002652352409913451,6.373312279942874e-236,-0.0001530669203314376,-3.729655473350135e-17
198,0.002664706605282059,7.778931168820352e-235,-0.00013474634290615205,1.0061396160665481e-16
199,0.0026771220009916526,9.250448136265732e-234,-0.000116049655164369,-3.0357660829594124e-17
200,0.0026895982709228233,1.072050065459823e-232,-9.697053514812102e-05,-2.47198095326695e-17
201,0.0027021350891346632,1.2111466668233742e-231,-7.750295283274566e-05,-4.380176776841438e-17
202,0.0027147321112219527,1.3342179447691085e-230,-5.76405226697647e-05,1.9081958235744878e-17
203,0.0027273889632855996,1.4335857904533283e-229,-3.737679429672616e-05,2.42861286636753e-17
