stress_algebraic_type,classification_radial_scale,radial_discriminant_normalized,radial_type_margin_normalized,radial_block_discriminant,rho_plus_p_l,radial_flux_ratio,boost_velocity_to_flux_frame,rest_frame_energy_density,rest_frame_radial_pressure,rest_frame_angular_pressure,type_i_heat_flux_compatible,minimal_type_i_regulator,nec_margin,wec_margin,dec_margin,classification_resolved,exact_vacuum,eigenbasis_rank,eigen_equation_relative_error,spherical_block_relative_error,jordan_chain_error,full_eigensystem_certified,s,l,holding,h_s,h_l,h_theta,rho,p_l,j_l,p_omega,alpha,beta,gamma_ll,gamma_omega,source_frame_frobenius,imaginary_eigenvalue_scale,raw_imaginary_eigenvalue_scale,legacy_j_l,spherical_projection_absolute_error,spherical_projection_relative_error,study,level,h,width_factor,W_raw,support_shell_window,support_edge_receiver_radial_cap_window,support_edge_receiver_angular_flange_window,standing_support_packet_beta_rematch_window,transverse_to_density,analytic_magnitude,analytic_channel_max_relative_error,analytic_both_ends_norm_volume_beyond_L
type_i_boost_diagonalizable,7.985752147283727e-05,3.999999402506952,1.9999998506267325,2.550889113279182e-08,-0.00015971503101709563,0.0,0.0,-7.985752147283727e-05,-7.985750954425837e-05,7.985751550854784e-05,True,0.0,-0.00015971503101709563,-0.00015971503101709563,-0.00015971503698138513,True,False,4,0.0,0.0,,True,15.0,-6.0,False,0.0025,0.0025,5e-05,-7.985752147283727e-05,-7.985750954425837e-05,-0.0,7.985751550854784e-05,1.0,0.0,1.0,39.0625,0.00015971503101709587,0.0,0.0,-0.0,1.2732394213390771e-12,1.5943888538691455e-08,exterior_tail,0,0.0025,1.0,4.3298697960381105e-15,0.0,0.0,0.0,0.0,0.9999999253133666,7.985758424578941e-05,9.354343954305468e-07,0.9932793822291476
type_i_boost_diagonalizable,5.634192124921197e-06,3.999999068444107,1.9999997671110132,1.2697645403067325e-10,-1.1268382937701098e-05,0.0,0.0,-5.634192124921197e-06,-5.634190812779901e-06,5.634191468850549e-06,True,0.0,-1.1268382937701098e-05,-1.1268382937701098e-05,-1.1268383593771745e-05,True,False,4,1.1102230246251565e-16,0.0,,True,15.0,-12.0,False,0.0025,0.0025,5e-05,-5.634192124921197e-06,-5.634190812779901e-06,-0.0,5.634191468850549e-06,1.0,0.0,1.0,147.0625,1.1268382937701137e-05,0.0,0.0,-0.0,3.38195768116137e-13,6.00256009411229e-08,exterior_tail,0,0.0025,1.0,0.0,0.0,0.0,0.0,0.0,0.9999998835555066,5.634201159231487e-06,1.8363653149648244e-06,0.5068437438362867
type_i_boost_diagonalizable,3.6340005505813973e-07,3.9999941768136207,1.9999985442028754,5.28237631057372e-13,-7.267995810795243e-07,0.0,0.0,-3.6340005505813973e-07,-3.633995260213845e-07,3.633997905397622e-07,True,0.0,-7.267995810795243e-07,-7.267995810795243e-07,-7.267998455979019e-07,True,False,4,1.1102230246251565e-16,0.0,,True,15.0,-24.0,False,0.0025,0.0025,5e-05,-3.6340005505813973e-07,-3.633995260213845e-07,-0.0,3.633997905397622e-07,1.0,0.0,1.0,579.0625,7.267995810796205e-07,0.0,0.0,-0.0,8.589041674790242e-14,2.3635223922616345e-07,exterior_tail,0,0.0025,1.0,0.0,0.0,0.0,0.0,0.0,0.9999992721014379,3.6340036207979985e-07,2.3006537762915274e-06,0.25475747011373795
type_i_boost_diagonalizable,2.289379165960994e-08,3.9999373865260237,1.9999843465702485,2.096469968883841e-15,-4.578722495286039e-08,0.0,0.0,-2.2893433293250447e-08,-2.289379165960994e-08,2.289361247643019e-08,True,0.0,-4.578722495286039e-08,-4.578722495286039e-08,-4.578722495286039e-08,True,False,4,0.0,0.0,,True,15.0,-48.0,False,0.0025,0.0025,5e-05,-2.2893433293250447e-08,-2.289379165960994e-08,-0.0,2.289361247643019e-08,1.0,0.0,1.0,2307.0625,4.57872249535616e-08,0.0,0.0,-0.0,2.155811531621342e-14,9.416577051431385e-07,exterior_tail,0,0.0025,1.0,0.0,0.0,0.0,0.0,0.0,1.0000078268373924,2.2893780659511767e-08,1.5172953147651375e-05,0.1275476741330151
type_i_boost_diagonalizable,1.4337103323569757e-09,3.9993994232076333,1.9998498501656652,8.220866767627023e-18,-2.867205393345064e-09,0.0,0.0,-1.4334950609880881e-09,-1.4337103323569757e-09,1.4336026966725321e-09,True,0.0,-2.867205393345064e-09,-2.867205393345064e-09,-2.867205393345064e-09,True,False,4,1.1102230246251565e-16,0.0,,True,15.0,-96.0,False,0.0025,0.0025,5e-05,-1.4334950609880881e-09,-1.4337103323569757e-09,-0.0,1.4336026966725321e-09,1.0,0.0,1.0,9219.0625,2.8672053973857373e-09,0.0,0.0,-0.0,5.394899905917335e-15,3.7628939292418193e-06,exterior_tail,0,0.0025,1.0,0.0,0.0,0.0,0.0,0.0,1.0000750861913468,1.4337146374526115e-09,0.00015315213975460973,0.06379501754443266
type_i_boost_diagonalizable,7.985752147283727e-05,3.999999402506952,1.9999998506267325,2.550889113279182e-08,-0.00015971503101709563,0.0,0.0,-7.985752147283727e-05,-7.985750954425837e-05,7.985751550854784e-05,True,0.0,-0.00015971503101709563,-0.00015971503101709563,-0.00015971503698138513,True,False,4,0.0,0.0,,True,15.0,6.0,False,0.0025,0.0025,5e-05,-7.985752147283727e-05,-7.985750954425837e-05,-0.0,7.985751550854784e-05,1.0,0.0,1.0,39.0625,0.00015971503101709587,0.0,0.0,-0.0,1.2732394213390771e-12,1.5943888538691455e-08,exterior_tail,0,0.0025,1.0,4.3298697960381105e-15,0.0,0.0,0.0,0.0,0.9999999253133666,7.985758424578941e-05,9.354343954305468e-07,0.9932793822291476
type_i_boost_diagonalizable,5.634192124921197e-06,3.999999068444107,1.9999997671110132,1.2697645403067325e-10,-1.1268382937701098e-05,0.0,0.0,-5.634192124921197e-06,-5.634190812779901e-06,5.634191468850549e-06,True,0.0,-1.1268382937701098e-05,-1.1268382937701098e-05,-1.1268383593771745e-05,True,False,4,1.1102230246251565e-16,0.0,,True,15.0,12.0,False,0.0025,0.0025,5e-05,-5.634192124921197e-06,-5.634190812779901e-06,-0.0,5.634191468850549e-06,1.0,0.0,1.0,147.0625,1.1268382937701137e-05,0.0,0.0,-0.0,3.38195768116137e-13,6.00256009411229e-08,exterior_tail,0,0.0025,1.0,0.0,0.0,0.0,0.0,0.0,0.9999998835555066,5.634201159231487e-06,1.8363653149648244e-06,0.5068437438362867
type_i_boost_diagonalizable,3.6340005505813973e-07,3.9999941768136207,1.9999985442028754,5.28237631057372e-13,-7.267995810795243e-07,0.0,0.0,-3.6340005505813973e-07,-3.633995260213845e-07,3.633997905397622e-07,True,0.0,-7.267995810795243e-07,-7.267995810795243e-07,-7.267998455979019e-07,True,False,4,1.1102230246251565e-16,0.0,,True,15.0,24.0,False,0.0025,0.0025,5e-05,-3.6340005505813973e-07,-3.633995260213845e-07,-0.0,3.633997905397622e-07,1.0,0.0,1.0,579.0625,7.267995810796205e-07,0.0,0.0,-0.0,8.589041674790242e-14,2.3635223922616345e-07,exterior_tail,0,0.0025,1.0,0.0,0.0,0.0,0.0,0.0,0.9999992721014379,3.6340036207979985e-07,2.3006537762915274e-06,0.25475747011373795
type_i_boost_diagonalizable,2.289379165960994e-08,3.9999373865260237,1.9999843465702485,2.096469968883841e-15,-4.578722495286039e-08,0.0,0.0,-2.2893433293250447e-08,-2.289379165960994e-08,2.289361247643019e-08,True,0.0,-4.578722495286039e-08,-4.578722495286039e-08,-4.578722495286039e-08,True,False,4,0.0,0.0,,True,15.0,48.0,False,0.0025,0.0025,5e-05,-2.2893433293250447e-08,-2.289379165960994e-08,-0.0,2.289361247643019e-08,1.0,0.0,1.0,2307.0625,4.57872249535616e-08,0.0,0.0,-0.0,2.155811531621342e-14,9.416577051431385e-07,exterior_tail,0,0.0025,1.0,0.0,0.0,0.0,0.0,0.0,1.0000078268373924,2.2893780659511767e-08,1.5172953147651375e-05,0.1275476741330151
type_i_boost_diagonalizable,1.4337103323569757e-09,3.9993994232076333,1.9998498501656652,8.220866767627023e-18,-2.867205393345064e-09,0.0,0.0,-1.4334950609880881e-09,-1.4337103323569757e-09,1.4336026966725321e-09,True,0.0,-2.867205393345064e-09,-2.867205393345064e-09,-2.867205393345064e-09,True,False,4,1.1102230246251565e-16,0.0,,True,15.0,96.0,False,0.0025,0.0025,5e-05,-1.4334950609880881e-09,-1.4337103323569757e-09,-0.0,1.4336026966725321e-09,1.0,0.0,1.0,9219.0625,2.8672053973857373e-09,0.0,0.0,-0.0,5.394899905917335e-15,3.7628939292418193e-06,exterior_tail,0,0.0025,1.0,0.0,0.0,0.0,0.0,0.0,1.0000750861913468,1.4337146374526115e-09,0.00015315213975460973,0.06379501754443266
type_i_boost_diagonalizable,7.985757791652391e-05,3.9999988861063858,1.999999721526577,2.5508923899215906e-08,-0.00015971513359483474,0.0,0.0,-7.985757791652391e-05,-7.985755567831084e-05,7.985756679741738e-05,True,0.0,-0.00015971513359483474,-0.00015971513359483474,-0.0001597151447139413,True,False,4,1.1102230246251565e-16,0.0,,True,15.0,-6.0,False,0.00125,0.00125,0.0001,-7.985757791652391e-05,-7.985755567831084e-05,-0.0,7.985756679741738e-05,1.0,0.0,1.0,39.0625,0.00015971513359483552,0.0,0.0,-0.0,5.092958146142232e-12,6.377551484802059e-08,exterior_tail,1,0.00125,1.0,4.3298697960381105e-15,0.0,0.0,0.0,0.0,0.9999998607632886,7.985758424578941e-05,3.577303125201567e-07,0.9932793822291476
type_i_boost_diagonalizable,5.634203478867587e-06,3.999994067241384,1.999998516809796,1.2697680703416867e-10,-1.1268398601139767e-05,0.0,0.0,-5.634203478867587e-06,-5.63419512227218e-06,5.6341993005698835e-06,True,0.0,-1.1268398601139767e-05,-1.1268398601139767e-05,-1.1268402779437471e-05,True,False,4,1.1102230246251565e-16,0.0,,True,15.0,-12.0,False,0.00125,0.00125,0.0001,-5.634203478867587e-06,-5.63419512227218e-06,-0.0,5.6341993005698835e-06,1.0,0.0,1.0,147.0625,1.1268398601141315e-05,0.0,0.0,-0.0,1.3527831588619086e-12,2.401019352488496e-07,exterior_tail,1,0.00125,1.0,0.0,0.0,0.0,0.0,0.0,0.999999258404898,5.634201159231487e-06,1.0714845169433166e-06,0.5068437438362867
type_i_boost_diagonalizable,3.6340009230800124e-07,3.9999913334233628,1.999997833354667,5.282373638529765e-13,-7.267993972568886e-07,0.0,0.0,-3.6340009230800124e-07,-3.633993049488873e-07,3.633996986284443e-07,True,0.0,-7.267993972568886e-07,-7.267993972568886e-07,-7.267997909364456e-07,True,False,4,1.1102230246251565e-16,0.0,,True,15.0,-24.0,False,0.00125,0.00125,0.0001,-3.6340009230800124e-07,-3.633993049488873e-07,-0.0,3.633996986284443e-07,1.0,0.0,1.0,579.0625,7.267993972571018e-07,0.0,0.0,-0.0,3.435616591565549e-13,9.45408838436309e-07,exterior_tail,1,0.00125,1.0,0.0,0.0,0.0,0.0,0.0,0.9999989166773336,3.6340036207979985e-07,2.908997961681621e-06,0.25475747011373795
type_i_boost_diagonalizable,2.2893551109762664e-08,3.9999239537610367,1.9999809883498985,2.096418872710878e-15,-4.5786666975342045e-08,0.0,0.0,-2.2893115865579384e-08,-2.2893551109762664e-08,2.2893333487671023e-08,True,0.0,-4.5786666975342045e-08,-4.5786666975342045e-08,-4.5786666975342045e-08,True,False,4,1.1102230246251565e-16,0.0,,True,15.0,-48.0,False,0.00125,0.00125,0.0001,-2.2893115865579384e-08,-2.2893551109762664e-08,-0.0,2.2893333487671023e-08,1.0,0.0,1.0,2307.0625,4.57866669763764e-08,0.0,0.0,-0.0,8.623246126154496e-14,3.766670397620063e-06,exterior_tail,1,0.00125,1.0,0.0,0.0,0.0,0.0,0.0,1.0000095060057754,2.2893780659511767e-08,2.9038189116484312e-05,0.1275476741330151
