distance,angular_window,window_over_sqrt_distance,delta_gamma_omega,delta_gamma_omega_over_sqrt_distance
0.00031622776601683794,0.0021879176778740014,0.12303565263830572,0.0002985708380984775,0.0167898720759491
0.00039810717055349773,0.0024566294303362303,0.12312313082375563,0.0003352531278082438,0.016802458769110393
0.0005011872336272725,0.002758849012454613,0.12323325870853634,0.00037651476296041153,0.016818296681702496
0.0006309573444801943,0.0030989620227406,0.12337190025260018,0.00042295714550810715,0.016838227246361623
0.0007943282347242822,0.0034820116960956144,0.1235464371242635,0.00047527265079505554,0.016863310003861917
0.001,0.003913829661944805,0.12376616105672418,0.0005342629919402597,0.016894879240674024
0.0012589254117941688,0.0044012034633687264,0.12404276718180411,0.0006008628270475214,0.016934615357820388
0.001584893192461114,0.004952093865217512,0.12439097387601696,0.0006761704899442833,0.0169846347907823
0.001995262314968883,0.00557592004238315,0.12482930065850019,0.0007614884660620547,0.017047603257491002
0.002511886431509582,0.006283937790842165,0.1253810426367616,0.0008583772738024464,0.017126878264437446
0.0031622776601683794,0.007089745674480338,0.126075487553409,0.0009687278635492902,0.01722668813680698
0.003981071705534978,0.008009967436201861,0.12694942861471517,0.0010948596631434881,0.01735235626816381
0.005011872336272725,0.009065177135213225,0.1280490305214442,0.0012396541686152673,0.017510580555171712
0.006309573444801942,0.010281157317795086,0.12943210210025785,0.001406737707877248,0.017709778481757463
0.00794328234724282,0.011690610342913342,0.1311708054680217,0.0016007318446735752,0.01796050670112575
0.01,0.013335476625103437,0.13335476625103435,0.0018275957414406463,0.018275957414406463
