s,l,material_label,n,velocity,thermal,electric_flux,electric_field,endpoint_heat_rate,ohmic_heat_rate,heat_rate,packet_edge_distance,integrated_endpoint_heat_rate,integrated_ohmic_heat_rate,integrated_heat_rate,heat_from_material_balance
0.14,-0.5076861791811358,1.5788064048570865,0.005492691187118094,0.022676268565135688,0.5687524765997927,0.0,0.0,1.159145097015067e-05,0.0,1.159145097015067e-05,0.2976861791811358,2.6088288724023407e-06,0.0,2.6088288724023407e-06,0.5525281025289006
0.145,-0.5075385770240728,1.5788064048570865,0.005649232126924697,0.021121665992925743,0.5694933858371702,0.0,0.0,8.974716486548191e-06,0.0,8.974716486548191e-06,0.30253857702407283,2.6602442910440874e-06,0.0,2.6602442910440874e-06,0.5525281539443193
0.15,-0.5074020924004737,1.5788064048570865,0.005797426064411109,0.019812705125807403,0.570170882950655,0.0,0.0,6.493740116587638e-06,0.0,6.493740116587638e-06,0.3074020924004738,2.698915432551927e-06,0.0,2.698915432551927e-06,0.5525281926154608
0.155,-0.5072755409700584,1.5788064048570865,0.00593805154215145,0.018763843917567885,0.5707953872040343,0.0,0.0,4.1441300621192816e-06,0.0,4.1441300621192816e-06,0.3122755409700585,2.725510107998694e-06,0.0,2.725510107998694e-06,0.5525282192101363
0.16,-0.507157826018924,1.5788064048570865,0.006071923281943534,0.01798428270784629,0.5713637064110604,0.0,0.0,1.922894960485456e-06,0.0,1.922894960485456e-06,0.31715782601892406,2.740677670555206e-06,0.0,2.740677670555206e-06,0.5525282343776988
0.165,-0.5070479344251294,1.5788064048570865,0.0061998908881359185,0.01747722725594428,0.5718820466414068,0.0,0.0,-1.7676387004775994e-07,0.0,-1.7676387004775994e-07,0.32204793442512947,2.7450429982813004e-06,0.0,2.7450429982813004e-06,0.5525282387430265
0.17,-0.5069449312386912,1.5788064048570865,0.006322837453569834,0.01724078358467058,0.5723569995538782,0.0,0.0,-2.158598096221568e-06,0.0,-2.158598096221568e-06,0.3269449312386913,2.739204593365627e-06,0.0,2.739204593365627e-06,0.5525282329046216
0.17500000000000002,-0.5068479569165256,1.5788064048570865,0.00644165792542079,0.01726862847908206,0.5727960427282673,0.0,0.0,-4.002886870070495e-06,0.0,-4.002886870070495e-06,0.3318479569165257,2.7238008809498965e-06,0.0,2.7238008809498965e-06,0.5525282175009092
0.18,-0.5067562241370306,1.5788064048570865,0.006557238116354611,0.017550670931250744,0.5732024929507323,0.0,0.0,-5.717213089831823e-06,0.0,-5.717213089831823e-06,0.33675622413703066,2.699500631050141e-06,0.0,2.699500631050141e-06,0.5525281932006593
0.185,-0.5066690144252873,1.5788064048570865,0.00667045394512887,0.018073482104010646,0.5735830556046759,0.0,0.0,-7.3131416139748625e-06,0.0,-7.3131416139748625e-06,0.3416690144252873,2.6669247442906244e-06,0.0,2.6669247442906244e-06,0.5525281606247725
