s,steps,minimum_heat,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_stretch,maximum_stretch,minimum_relative_cell_width,minimum_packet_gap,canonical_energy,slice_energy,field_slice_energy,thermal_inventory,canonical_balance_residual,momentum_balance_residual,thermal_balance_residual,maximum_anchor_force,canonical_geometry_integral,canonical_endpoint_integral,heat_endpoint_integral,heat_electrical_integral,momentum_free_integral,anchor_left_integral,anchor_right_integral,receiver_velocity,receiver_heat,receiver_l,receiver_effective_n,maximum_gamma,minimum_sound2,minimum_rest_dec_margin,maximum_density,maximum_abs_radial_stress,backbone_slice_energy,maximum_backbone_inverse_stretch,minimum_backbone_inverse_stretch
0.6099999999999879,1220,0.24999999999999967,-2.1,0.25596002960680103,0.9995048426023541,0.004159774197243151,0.21932573287690044,0.6126366572792974,0.7599999999999879,18725.92039552105,1534.188903817539,0.0,26.776732086023245,5.138830124330029e-10,-1.2789769243681803e-12,-5.929376446614674e-15,108.44470497225166,-566.5758494149732,4.141985820781917,0.03772107712692299,0.0,-384.47873890566666,827.5583610251887,-98.39391532708268,0.1436142948561333,3.2914829305317435,-1.2814267722214383,0.009224060881442434,1.0344606077970573,0.4685917864748751,0.014037338438876713,12.82599279241472,12.813251023930619,1499.0044820536616,743.9103764758505,5.288078866627577
0.6149999999999873,1230,0.24999999999999967,-2.1,0.25704735173964643,0.9995066222238994,0.004202780563103085,0.22011723622914126,0.6128841591779843,0.7649999999999874,18675.135290523413,1542.8732218417422,0.0,26.788650685230945,5.83026517537526e-10,-1.1937117960769683e-12,-2.179917811255395e-15,109.2264055766416,-570.657649809434,4.182435967329741,0.03866952911624084,0.0,-385.5995872853119,834.3598288308402,-99.70953712196734,0.14648491559042678,3.2997970430558756,-1.2809287743415054,0.009305672739042608,1.0347694866661408,0.47091484111213183,0.014199061297266079,12.918989594527797,12.906201710749913,1507.6655275623789,746.5950024384493,5.342750356869785
0.6199999999999868,1240,0.24999999999999967,-2.1,0.25743541479920984,0.9995084030277106,0.004249272690770905,0.2209150017316996,0.6134804450696207,0.7699999999999868,18624.831584833624,1551.6525741042162,0.0,26.800154724331716,6.531187228735076e-10,-1.1226575225009583e-12,0.0,110.01713406044095,-574.6990912669315,4.2208357166368655,0.039584991460445806,0.0,-386.68712870394666,841.1602217110211,-101.02189411758083,0.14935667803379973,3.3079065455575667,-1.280421512019134,0.009388474442973015,1.0348801092044009,0.47336807722810936,0.014375740427795752,13.013066913795397,13.000232545113986,1516.4217892502163,749.3008684012032,5.4018530932509305
0.6249999999999862,1250,0.24999999999999967,-2.1,0.2570475871291681,0.9995101848765977,0.004299692173079531,0.2217190413318379,0.6144139287931716,0.7749999999999863,18575.01028937497,1560.5277822968642,0.0,26.811180442789148,7.131658669352241e-10,-1.0516032489249483e-12,-4.098245485160143e-15,110.8169697586305,-578.6999148600241,4.257006587981414,0.04046239025726616,0.0,-387.74148780617304,847.9594889250139,-102.32946771486147,0.15222804256288144,3.3157918812307585,-1.279905004770496,0.009472500452747376,1.0347695537057295,0.47596774086974136,0.014568616961093652,13.108234414689917,13.095353190643213,1525.274160226303,752.0280148869102,5.4659484470418285
0.6299999999999857,1260,0.24999999999999967,-2.1,0.2558018028108692,0.9995119676346251,0.004354524520542419,0.2225293669037181,0.6156424198609511,0.7799999999999857,18525.672535668025,1569.4996835187974,0.0,26.82166783664544,7.511696820895262e-10,-1.1084466677857563e-12,3.6622619229090635e-15,111.62599264660504,-582.6598739978731,4.290792034071979,0.041296950543455654,0.0,-388.76278850197855,854.757579181675,-103.63088420373063,0.15509756521806692,3.3234342237561667,-1.2793792770769692,0.009557785152387935,1.0344157919530288,0.4787316112834596,0.014777610062888753,13.20450184275948,13.191573392035263,1534.2235275357448,754.7764821704267,5.5356536195048545
0.6349999999999851,1270,0.24999999999999967,-2.1,0.2536110357386145,0.9995137511663215,0.004414302185080423,0.22334598987653212,0.6170958081545508,0.7849999999999852,18476.819610497914,1578.5691268988544,0.0,26.83156054891662,7.696302724757862e-10,-1.3642420526593924e-12,-3.4878684980086318e-15,112.44428297174865,-586.5787300830792,4.322055856615666,0.042084187572728304,0.0,-389.7511553704573,861.5544406470665,-104.92504608553304,0.15796390218030656,3.3308154899441864,-1.278844358026997,0.009644362754993979,1.033798724305927,0.48167914395435596,0.0150012162014167,13.30187898228866,13.288902932745755,1543.2707677515903,757.5463090173561,5.61164548578194
0.6399999999999846,1280,0.24999999999999967,-2.1,0.2534427344174355,0.9995155353374596,0.004479607156069028,0.22416892157434712,0.6186817348440488,0.7899999999999846,18428.452942532418,1587.7369775445943,0.0,26.840805805897244,7.480668742736977e-10,-1.3358203432289883e-12,7.847704120519421e-16,113.27192158875265,-590.4562525119015,4.350681141643278,0.04281990174703847,0.0,-390.70671376666945,868.3500209516534,-106.21123582848216,0.16082581288231895,3.33791835347788,-1.2783002809470705,0.009732267294354011,1.0337515842801388,0.4848316072517237,0.015236519692958778,13.40037569496142,13.387351673632995,1552.4167541528475,760.3375338367393,5.6946638950983495
0.644999999999984,1290,0.24999999999999967,-2.1,0.2573418397712363,0.9995173200145656,0.004551072753595738,0.22499817297814742,0.6202938089213039,0.794999999999984,18380.574119454683,1597.0041146312703,0.0,26.849354355666026,7.069156065867927e-10,-1.1510792319313623e-12,3.1390816482077686e-15,114.10898972188767,-594.2922162819972,4.376569230620155,0.0435001737230227,0.0,-391.62958992762555,875.144267197358,-107.48918028720173,0.16368216156711807,3.344726257199034,-1.2777470830272077,0.00982153256356038,1.0348534158817986,0.4882121941380781,0.015479342841437108,13.500001892626427,13.486929525736043,1561.662362229069,763.1501938739474,5.78551395042644
0.6499999999999835,1300,0.24999999999999967,-2.1,0.2609018817389785,0.9995191050648943,0.004629384451768805,0.22583375469708777,0.621821659895827,0.7999999999999835,18333.184877029773,1606.3714315068246,0.0,26.857160403575566,6.483417381786349e-10,-1.2363443602225743e-12,1.6567375365541e-15,114.95556893283383,-598.0864018577952,4.399638715770627,0.04412135927843051,0.0,-392.51991122724047,881.9371259625328,-108.75906958124416,0.16653191741505013,3.3512234253224173,-1.2771848049451595,0.009912192086083677,1.0358772741281839,0.49184609725417194,0.0157245605842799,13.600767533633396,13.587646446612705,1571.0084802220515,765.9843251131766,5.8850670551101425
0.6549999999999829,1310,0.24999999999999967,-2.1,0.2640721890710656,0.9995208903568691,0.004715279478617031,0.22667567715850098,0.6231618903165592,0.804999999999983,18286.28705764406,1615.8398379225048,0.0,26.8641815436936,6.165323774767962e-10,-1.3642420526593924e-12,8.71967124502158e-17,115.81174130898115,-601.8385974780545,4.419824448298692,0.044680083856393875,0.0,-393.3778065196084,888.7285433068915,-110.02153022258165,0.1693741533113939,3.357394875321794,-1.2766134904951514,0.010004279121780014,1.036803498743615,0.4957605259977572,0.015966584287666265,13.70268264452638,13.689512462022645,1580.4560226865142,768.8399629219188,5.994260404240857
