id,layout,module,compartment_count,compartment,domain,boundary,angular_index,geometry_stride,nodes,control,lowest_squared_frequency
63,broad,0,32,8,"[np.float64(-1.6544248432915611), np.float64(-1.5309748386135889)]",dirichlet,0,1,257,mesh,214.10443990048245
64,broad,0,32,8,"[np.float64(-1.6544248432915611), np.float64(-1.5309748386135889)]",dirichlet,0,1,513,mesh,214.10257622354092
65,broad,0,32,8,"[np.float64(-1.6544248432915611), np.float64(-1.5309748386135889)]",dirichlet,0,1,1025,mesh,214.10211030652337
66,broad,0,32,9,"[np.float64(-1.5309748386135889), np.float64(-1.4011402088733105)]",dirichlet,0,1,257,mesh,237.43789095418396
67,broad,0,32,9,"[np.float64(-1.5309748386135889), np.float64(-1.4011402088733105)]",dirichlet,0,1,513,mesh,237.4360172268432
68,broad,0,32,9,"[np.float64(-1.5309748386135889), np.float64(-1.4011402088733105)]",dirichlet,0,1,1025,mesh,237.4355487973477
69,broad,0,32,10,"[np.float64(-1.4011402088733105), np.float64(-1.2594197171284232)]",dirichlet,0,1,257,mesh,289.96016671669645
70,broad,0,32,10,"[np.float64(-1.4011402088733105), np.float64(-1.2594197171284232)]",dirichlet,0,1,513,mesh,289.95826100932175
71,broad,0,32,10,"[np.float64(-1.4011402088733105), np.float64(-1.2594197171284232)]",dirichlet,0,1,1025,mesh,289.9577845847479
72,broad,0,32,11,"[np.float64(-1.2594197171284232), np.float64(-1.102566052474787)]",dirichlet,0,1,257,mesh,394.0035822207157
73,broad,0,32,11,"[np.float64(-1.2594197171284232), np.float64(-1.102566052474787)]",dirichlet,0,1,513,mesh,394.0016306551206
74,broad,0,32,11,"[np.float64(-1.2594197171284232), np.float64(-1.102566052474787)]",dirichlet,0,1,1025,mesh,394.0011427653529
75,broad,0,32,12,"[np.float64(-1.102566052474787), np.float64(-0.93860697487875)]",dirichlet,0,1,257,mesh,526.5475981130555
76,broad,0,32,12,"[np.float64(-1.102566052474787), np.float64(-0.93860697487875)]",dirichlet,0,1,513,mesh,526.5456909601132
77,broad,0,32,12,"[np.float64(-1.102566052474787), np.float64(-0.93860697487875)]",dirichlet,0,1,1025,mesh,526.5452141741822
78,broad,0,32,13,"[np.float64(-0.93860697487875), np.float64(-0.7826828815718551)]",dirichlet,0,1,257,mesh,596.5039249232235
79,broad,0,32,13,"[np.float64(-0.93860697487875), np.float64(-0.7826828815718551)]",dirichlet,0,1,513,mesh,596.5020564277853
80,broad,0,32,13,"[np.float64(-0.93860697487875), np.float64(-0.7826828815718551)]",dirichlet,0,1,1025,mesh,596.5015893059593
81,broad,0,32,14,"[np.float64(-0.7826828815718551), np.float64(-0.6390281040981289)]",dirichlet,0,1,257,mesh,609.7191247946147
82,broad,0,32,14,"[np.float64(-0.7826828815718551), np.float64(-0.6390281040981289)]",dirichlet,0,1,513,mesh,609.7172602239981
83,broad,0,32,14,"[np.float64(-0.7826828815718551), np.float64(-0.6390281040981289)]",dirichlet,0,1,1025,mesh,609.7167940836016
84,broad,0,32,15,"[np.float64(-0.6390281040981289), np.float64(-0.5032312166214433)]",dirichlet,0,1,257,mesh,620.1338758324719
85,broad,0,32,15,"[np.float64(-0.6390281040981289), np.float64(-0.5032312166214433)]",dirichlet,0,1,513,mesh,620.1320143430772
86,broad,0,32,15,"[np.float64(-0.6390281040981289), np.float64(-0.5032312166214433)]",dirichlet,0,1,1025,mesh,620.1315489727717
87,broad,0,32,16,"[np.float64(-0.5032312166214433), np.float64(-0.37081784530898554)]",dirichlet,0,1,257,mesh,640.6307639117045
88,broad,0,32,16,"[np.float64(-0.5032312166214433), np.float64(-0.37081784530898554)]",dirichlet,0,1,513,mesh,640.628900542916
89,broad,0,32,16,"[np.float64(-0.5032312166214433), np.float64(-0.37081784530898554)]",dirichlet,0,1,1025,mesh,640.6284347030942
90,broad,0,32,16,"[np.float64(-0.5032312166214433), np.float64(-0.37081784530898554)]",dirichlet,0,2,1025,metric,640.6284347025594
91,broad,0,32,16,"[np.float64(-0.5032312166214433), np.float64(-0.37081784530898554)]",dirichlet,0,4,1025,metric,640.6284346990312
92,broad,0,32,17,"[np.float64(-0.37081784530898554), np.float64(-0.2394498731556319)]",dirichlet,0,1,257,mesh,664.3821517970581
93,broad,0,32,17,"[np.float64(-0.37081784530898554), np.float64(-0.2394498731556319)]",dirichlet,0,1,513,mesh,664.380287026464
94,broad,0,32,17,"[np.float64(-0.37081784530898554), np.float64(-0.2394498731556319)]",dirichlet,0,1,1025,mesh,664.3798208359905
95,broad,0,32,18,"[np.float64(-0.2394498731556319), np.float64(-0.1081824537080788)]",dirichlet,0,1,257,mesh,684.1107032609399
96,broad,0,32,18,"[np.float64(-0.2394498731556319), np.float64(-0.1081824537080788)]",dirichlet,0,1,513,mesh,684.1088393237235
97,broad,0,32,18,"[np.float64(-0.2394498731556319), np.float64(-0.1081824537080788)]",dirichlet,0,1,1025,mesh,684.1083733412655
98,broad,0,32,19,"[np.float64(-0.1081824537080788), np.float64(0.026802364033525306)]",dirichlet,0,1,257,mesh,709.7367349735813
99,broad,0,32,19,"[np.float64(-0.1081824537080788), np.float64(0.026802364033525306)]",dirichlet,0,1,513,mesh,709.7348633617947
