s,l,material_label,n,velocity,thermal,endpoint_power,endpoint_force,heat_power_part,heat_force_work_part,heat_rate,packet_edge_distance,integrated_heat_rate,heat_from_material_balance
0.17500000000000002,-1.0882001596048112,1.0335860842980813,0.0027493728172886043,-0.28683537362835443,0.42658948226339277,3.1154798576440076e-07,6.0667745033511e-07,-0.4292739162881403,-0.23977291036422504,-0.6690468266523654,0.9132001596048113,-0.024202579399814673,0.42572317618590777
0.18,-1.0895247234318248,1.0335860842980813,0.0027114629494401025,-0.2992893916988563,0.42289989102636205,3.163550785507752e-07,7.83474575476033e-07,-0.4380907796785285,-0.3247173794362116,-0.7628081591147401,0.9195247234318248,-0.02778221686423242,0.42214353872149
0.185,-1.090907575124721,1.0335860842980813,0.00266807964698502,-0.31279376555905614,0.420010234225984,3.199033507806295e-07,9.91903622275053e-07,-0.44615346174480913,-0.4327061248623103,-0.8788595866071195,0.9259075751247211,-0.031886386228537074,0.4180393693571854
0.19,-1.0923480230898752,1.0335860842980813,0.002618137122262903,-0.32737122239164185,0.4139757043126735,3.225676872494216e-07,1.235317497487219e-06,-0.45423980220212545,-0.5694864807614649,-1.0237262829635905,0.9323480230898752,-0.03664285090246385,0.4132829046832586
0.195,-1.0938583830480415,1.0335860842980813,0.002563644107384492,-0.3433685472782142,0.41046479470001906,3.249053174361797e-07,1.5189692541590923e-06,-0.46287264306260956,-0.7430434135557178,-1.2059160566183273,0.9388583830480416,-0.04221695675141865,0.4077087988343038
0.2,-1.095436974828028,1.0335860842980813,0.002500093151648778,-0.36086009540205777,0.4027914040334849,3.2771451841505185e-07,1.846712280719736e-06,-0.4741556352604288,-0.9641915728775546,-1.4383472081379833,0.9454369748280279,-0.04882761491330943,0.401098140672413
0.20500000000000002,-1.0970992903305075,1.0335860842980813,0.0024322141813382897,-0.3802183971444445,0.3968374241387451,3.320866326117017e-07,2.225338378507177e-06,-0.48904988810585637,-1.2460370445653055,-1.735086932671162,0.9520992903305076,-0.0567612002653323,0.39316455532039013
0.21,-1.0988462512635635,1.0335860842980813,0.0023537317154960825,-0.4016489594028011,0.38732533686468384,3.395397207066873e-07,2.659940826225323e-06,-0.511517750016073,-1.6094917057815352,-2.121009455797608,0.9588462512635635,-0.06640144123650418,0.3835243143492183
0.215,-1.1006937882937082,1.0335860842980813,0.002270576506987612,-0.42560041999140835,0.3766306747463657,3.5165343291514044e-07,3.1552653846898223e-06,-0.5435252095461601,-2.0755957441611668,-2.619120953707327,0.9656937882937083,-0.07825176726026653,0.37167398832545595
0.22,-1.1026482988833028,1.0335860842980813,0.0021802756807047974,-0.45208740869388186,0.3634439991829736,3.657102883420957e-07,3.6750676167831413e-06,-0.5824590724441321,-2.646159275939036,-3.2286183483831685,0.9726482988833028,-0.09287111551549278,0.3570546400702297
0.225,-1.1047252928777844,1.0335860842980813,0.0020806388411118587,-0.4817867059585508,0.34582231618105885,3.8193841879085504e-07,4.202244823066065e-06,-0.6305336822933697,-3.3423437078311085,-3.972877390124478,0.9797252928777845,-0.1108748548617619,0.33905090072396055
0.23,-1.1069324408286045,1.0335860842980813,0.0019861705161613387,-0.5138709538416516,0.32521134072325947,4.021668605127082e-07,4.7253447182480435e-06,-0.6877642282182823,-4.152607358734747,-4.8403715869530295,0.9869324408286045,-0.1329079773044557,0.31701777828126676
0.23500000000000001,-1.1092808222717134,1.0335860842980813,0.001882699207469036,-0.5489442310162312,0.2991631745037202,4.286058685370502e-07,5.230887385029413e-06,-0.7644018464705814,-5.1211466187428085,-5.88554846521339,0.9942808222717135,-0.15972277743487176,0.2902029781508507
0.24,-1.1117877779241878,1.0335860842980813,0.0017782279111037663,-0.5870394380759413,0.2669046831307752,4.6379957755178025e-07,5.7030205319211165e-06,-0.865415295378755,-6.246927012115737,-7.112342307494493,1.001787777924188,-0.1922175043666413,0.25770825121908114
0.245,-1.1144620301324955,1.0335860842980813,0.0016697770264391739,-0.6277963314918583,0.2278785892375577,5.107408678294806e-07,6.1211089034587695e-06,-1.0025218315708484,-7.542965279993918,-8.545487111564766,1.0094620301324952,-0.23136207791428948,0.21856367767143298
0.25,-1.1173098003081077,1.0335860842980813,0.0015585849998506812,-0.6704052624489162,0.18146161674476974,5.727309034768533e-07,6.4608913487503795e-06,-1.1892320163275634,-8.99385388333896,-10.183085899666525,1.0173098003081078,-0.2781835104423677,0.17174224514335473
0.255,-1.1203394216165408,1.0335860842980813,0.00144119911406633,-0.7138571425221734,0.1269562571966083,6.531197420055344e-07,6.694824931462962e-06,-1.4475198594628549,-10.592104415218778,-12.039624274681632,1.0253394216165406,-0.3337402858782382,0.11618546970748428
0.26,-1.1235484658405224,1.0335860842980813,0.0013225420308736002,-0.7590255163485683,0.06399153437531435,7.530935283630994e-07,6.7920957535929645e-06,-1.794383749730701,-12.283626079213501,-14.078009828944202,1.0335484658405223,-0.3990343711373028,0.050891384448419674
0.26445889897766006,-1.1265625,1.0335860842980813,0.001216760074629429,-0.80155694099642,1.512698761807485e-07,8.57400814118857e-07,6.737245504229558e-06,-2.1930415906629146,-13.812736562430587,-16.0057781530935,1.04102139897766,-0.4661046568759276,-0.01617890129020516
