s,l,endpoint_speed,timelike_margin,packet_edge_distance
0.8,-2.1,5.8798788843812065e-40,1.0,2.5500000000000003
0.8,-0.5,-4.737299052730017e-06,0.999999999977558,0.9500000000000001
0.81,-2.1,1.2553052388584265e-40,1.0,2.56
0.81,-0.5,-3.95336773276807e-06,0.9999999999843708,0.9600000000000001
0.8200000000000001,-2.1,2.718878782901923e-41,1.0,2.57
0.8200000000000001,-0.5,-3.2945681397464363e-06,0.9999999999891458,0.9700000000000001
0.8300000000000001,-2.1,5.912941718552441e-42,1.0,2.58
0.8300000000000001,-0.5,-2.741735511104427e-06,0.9999999999924829,0.9800000000000001
0.84,-2.1,1.2910277072833363e-42,1.0,2.59
0.84,-0.5,-2.278493051657566e-06,0.9999999999948085,0.9899999999999999
0.85,-2.1,2.754710988117107e-43,1.0,2.6
0.85,-0.5,-1.890874057501396e-06,0.9999999999964246,1.0
0.86,-2.1,5.604393789592578e-44,1.0,2.61
0.86,-0.5,-1.5669951317168897e-06,0.9999999999975445,1.0099999999999998
0.87,-2.1,1.0732375429758772e-44,1.0,2.62
0.87,-0.5,-1.2967737242020635e-06,0.9999999999983183,1.02
0.88,-2.1,2.0193338355834568e-45,1.0,2.63
0.88,-0.5,-1.0716504486724725e-06,0.9999999999988516,1.0299999999999998
0.89,-2.1,8.791291525042681e-46,1.0,2.64
0.89,-0.5,-8.843688266815195e-07,0.9999999999992178,1.04
0.9,-2.1,3.82542472555056e-46,1.0,2.65
0.9,-0.5,-7.287893520301829e-07,0.9999999999994689,1.0499999999999998
0.91,-2.1,9.711387015174084e-48,1.0,2.66
0.91,-0.5,-5.99729857604908e-07,0.9999999999996403,1.06
0.92,-2.1,-9.621981355669017e-47,1.0,2.67
0.92,-0.5,-4.92828441607904e-07,0.9999999999997571,1.0699999999999998
0.93,-2.1,-3.3880373229719173e-47,1.0,2.68
0.93,-0.5,-4.044111131816702e-07,0.9999999999998365,1.08
0.9400000000000001,-2.1,2.3897006213231693e-47,1.0,2.69
0.9400000000000001,-0.5,-3.3138749783630006e-07,0.9999999999998902,1.0899999999999999
0.9500000000000001,-2.1,1.940130668844073e-47,1.0,2.7
0.9500000000000001,-0.5,-2.711634316043394e-07,0.9999999999999265,1.1
0.96,-2.1,-8.477186713151145e-49,1.0,2.71
0.96,-0.5,-2.215664876605668e-07,0.9999999999999509,1.1099999999999999
0.97,-2.1,-7.178398856642693e-48,1.0,2.72
0.97,-0.5,-1.8078248805456208e-07,0.9999999999999674,1.12
0.98,-2.1,-2.424263717664628e-48,1.0,2.73
0.98,-0.5,-1.472952100854968e-07,0.9999999999999784,1.13
0.99,-2.1,1.7011444085963477e-48,1.0,2.7399999999999998
0.99,-0.5,-1.19839181586444e-07,0.9999999999999857,1.1400000000000001
1.0,-2.1,1.4048718956694905e-48,1.0,2.75
1.0,-0.5,-9.736040126983615e-08,0.9999999999999906,1.15
1.01,-2.1,-3.4661096032777097e-50,1.0,2.7600000000000002
1.01,-0.5,-7.898312023630415e-08,0.9999999999999938,1.1600000000000001
1.02,-2.1,-5.0490121909707946e-49,1.0,2.77
1.02,-0.5,-6.398172695725677e-08,0.9999999999999959,1.17
1.03,-2.1,-1.722381013291908e-49,1.0,2.78
1.03,-0.5,-5.1754460995700976e-08,0.9999999999999973,1.1800000000000002
1.04,-2.1,1.1983252799405107e-49,1.0,2.79
1.04,-0.5,-4.180296448503699e-08,0.9999999999999982,1.19
1.05,-2.1,1.000671936173914e-49,1.0,2.8000000000000003
1.05,-0.5,-3.371538599746844e-08,0.9999999999999989,1.2000000000000002
1.06,-2.1,-3.571378511699456e-51,1.0,2.81
1.06,-0.5,-2.7152197144725248e-08,0.9999999999999992,1.21
1.07,-2.1,-3.682315805514531e-50,1.0,2.82
1.07,-0.5,-2.1834275082439083e-08,0.9999999999999996,1.2200000000000002
1.08,-2.1,-1.2194541756182198e-50,1.0,2.83
1.08,-0.5,-1.7531924503494268e-08,0.9999999999999997,1.23
1.09,-2.1,8.813353659854278e-51,1.0,2.8400000000000003
1.09,-0.5,-1.4056391810036552e-08,0.9999999999999998,1.2400000000000002
1.1,-2.1,7.208589020162436e-51,1.0,2.85
1.1,-0.5,-1.1252902481037566e-08,0.9999999999999999,1.25
1.11,-2.1,-2.958322268757358e-52,1.0,2.86
1.11,-0.5,-8.994859462564789e-09,0.9999999999999999,1.2600000000000002
1.12,-2.1,-2.6667735213822955e-51,1.0,2.87
1.12,-0.5,-7.179003780261834e-09,1.0,1.27
1.1300000000000001,-2.1,-8.997620834124375e-52,1.0,2.8800000000000003
1.1300000000000001,-0.5,-5.721019735293901e-09,1.0,1.2800000000000002
1.1400000000000001,-2.1,6.4499705300460036e-52,1.0,2.89
1.1400000000000001,-0.5,-4.552159482792068e-09,1.0,1.29
1.1500000000000001,-2.1,5.354131682299556e-52,1.0,2.9
1.1500000000000001,-0.5,-3.6164927395436937e-09,1.0,1.3000000000000003
1.16,-2.1,-1.8785041862162657e-53,1.0,2.9099999999999997
1.16,-0.5,-2.8686319793164353e-09,1.0,1.31
1.17,-2.1,-1.9420609432208373e-52,1.0,2.92
1.17,-0.5,-2.2718490701930867e-09,1.0,1.3199999999999998
1.18,-2.1,-6.5560280261033445e-53,1.0,2.93
1.18,-0.5,-1.7963880842545668e-09,1.0,1.33
1.19,-2.1,4.468229620803658e-53,1.0,2.94
1.19,-0.5,-1.418177879523936e-09,1.0,1.3399999999999999
1.2,-2.1,3.7624794667437127e-53,1.0,2.9499999999999997
1.2,-0.5,-1.1177904178273354e-09,1.0,1.35
1.21,-2.1,-1.2579070618320155e-54,1.0,2.96
1.21,-0.5,-8.795855195740339e-10,1.0,1.3599999999999999
1.22,-2.1,-1.360983272292576e-53,1.0,2.97
1.22,-0.5,-6.910082337271439e-10,1.0,1.37
1.23,-2.1,-4.672083525784654e-54,1.0,2.98
1.23,-0.5,-5.419675965423533e-10,1.0,1.38
1.24,-2.1,3.1314616199280964e-54,1.0,2.9899999999999998
1.24,-0.5,-4.243656508135436e-10,1.0,1.3900000000000001
1.25,-2.1,2.647588826945646e-54,1.0,3.0
1.25,-0.5,-3.317191938037114e-10,1.0,1.4
1.26,-2.1,-1.492738840997533e-55,1.0,3.0100000000000002
1.26,-0.5,-2.588515690155261e-10,1.0,1.4100000000000001
1.27,-2.1,-1.0162291280166895e-54,1.0,3.02
1.27,-0.5,-2.0164108111539388e-10,1.0,1.42
