front,side,r,zeta,alpha,d_zeta_alpha,d_r_alpha,kappa,transverse_over_along,normal_norm
cone,front,6.5,38.43009010187925,2.1000000000000005,-0.5625612751392062,-2.093753917313812,0.5625612751392062,3.721823754746914,77.33032842494873
cone,rear,6.5,-6.180391794288319,2.0999999999999983,9.449861650079328,0.11080877768243624,9.449861650079328,0.011725968250710428,0.21659424313042888
cone,front,8.0,32.8427591764574,2.100000000000003,-0.5621600625516088,-2.0958498520107227,0.5621600625516088,3.728208372714692,77.48522766233846
cone,rear,8.0,-6.192095818232842,2.1000000000000005,9.641685670132016,0.02793312226190281,9.641685670132016,0.00289712019428656,0.013763774392423964
cone,front,9.0,29.11128486686292,2.099999999999999,-0.5612741729299486,-2.0967061542020993,0.5612741729299486,3.7356184469649283,77.54855693629634
cone,rear,9.0,-6.192884348972007,2.1000000000000005,9.654519571606901,0.0,9.654519571606901,0.0,0.0
cone,front,10.0,25.36837920057122,2.099999999999999,-0.5588689258284596,-2.0973193063933415,0.5588689258284596,3.752792845449949,77.5939195351951
cone,rear,10.0,-6.184702311909733,2.0999999999999983,9.389047752992319,-0.2851090980771076,9.389047752992319,0.03036613569104944,1.4339061693038664
cone,front,11.0,21.59668752757486,2.100000000000003,-0.5523372410287664,-2.0977733160587597,0.5523372410287664,3.7979936173623052,77.62751690142267
cone,rear,11.0,-6.10239346786402,2.1000000000000183,7.1956181498178395,-1.1489142608334113,7.1956181498178395,0.159668597876125,23.284870185086618
cone,front,11.5,19.68696087482556,2.099999999999999,-0.5456379986368276,-2.0979573088597547,0.5456379986368276,3.8449618870040223,77.6411347032378
cone,rear,11.5,-5.980753115488798,2.1000000000001786,5.0831048138211266,-1.8428358593403082,5.0831048138211266,0.3625413850073636,59.90621623887037
cone,front,12.0,17.746331521495517,2.100000000000003,-0.5345971100401137,-2.0981188251334437,0.5345971100401137,3.9246729653589236,77.65308994125184
cone,rear,12.0,-5.644416209142357,2.100000000000106,2.4072995126789287,-2.996444199145909,2.4072995126789287,1.2447326073735459,158.3838770728347
cone,front,13.0,13.664724199880204,2.099999999999999,-0.4864089319789322,-2.0983878305846915,0.4864089319789322,4.314040496845931,77.67300344031011
cone,rear,13.0,,,,,,,
