x,fixed_impedance,incident_energy,reflected_energy,reflection_energy_fraction,useful_work,impedance_q005,impedance_q500,impedance_q995,impedance_central99_ratio
-1.8265625,27.582708075975916,0.4434512375676638,0.035183126269911186,0.07933933494670377,0.4082681112977526,11.897458591142803,24.718988368380046,169.69135388913605,14.262823660127273
-1.8234375000000003,29.61232138295054,0.4510092654772595,0.03706162409734404,0.08217486188033256,0.41394764137991547,12.624052530731234,26.202467711586586,187.0981116457716,14.820764662560713
-1.8203125,30.7758658036149,0.4574078324175156,0.03763400627886838,0.082276698411488,0.4197738261386473,13.117454395091366,27.15780015063397,194.34414778821005,14.81569075330156
-1.8171875000000002,31.14660248797136,0.46273658413667995,0.037069132501305536,0.08010849751692922,0.42566745163537445,13.397103612226864,27.53886224267804,192.3387255850127,14.35673942309999
-1.8140625,32.36977060594954,0.4692825289433433,0.0376538588771202,0.08023707799628349,0.4316286700662233,13.921744685909252,28.393142556862276,199.81594481722914,14.352794805917592
-1.8109375,34.697964393309285,0.4774248574730066,0.03966446082871529,0.08308000768677593,0.43776039664429134,14.763848405405925,30.229553594474954,219.5487200602652,14.870697262095655
-1.8078125000000003,36.04824604624158,0.4844003838213661,0.040332442346147135,0.08326261434388264,0.4440679414752189,15.339899024591986,31.132107132835564,227.97465457726764,14.861548580717034
-1.8046875,36.503922093090694,0.4902796957910214,0.03982922437802125,0.08123776024165236,0.45045047141300015,15.672005278000173,31.67480420111168,226.10890663826277,14.427567029706578
-1.8015625000000002,37.92292620486863,0.49742297670045865,0.04051476821511611,0.08144933007289197,0.45690820848534247,16.284423906796576,32.85700923442792,234.813739755151,14.419530042886416
-1.7984375,40.588635409230065,0.5062225915599914,0.04267525974750822,0.08430137346497872,0.4635473318124832,17.259551464070064,34.78393284714345,257.1664139943556,14.899947691555587
-1.7953125,42.1470053844437,0.5138204178037276,0.043447057101607636,0.08455689107746556,0.47037336070212,17.929749233414608,36.0666721746585,266.8942442827873,14.88555365768264
-1.7921875000000003,42.69392907878703,0.5202887775790719,0.0430063687296877,0.08265865147005161,0.4772824088493842,18.32073034715194,36.703205774332794,265.1407607080761,14.472171997733358
-1.7890625,44.33036113586948,0.5280757479653592,0.04380094893604646,0.08294444330156917,0.4842747990293127,19.03287486961409,38.06234292641857,275.19444172063163,14.45890038188495
-1.7859375000000002,47.37304978088518,0.5375478173645528,0.046124690599149,0.08580574436202812,0.4914231267654037,20.15909682293521,40.297326695978974,300.4665906135168,14.904764496774126
-1.7828125,49.16164042987256,0.5457343152659032,0.04700300909261858,0.08612800730648001,0.4987313061732846,20.934926817475265,41.74383456062042,311.63217590029274,14.885754252561334
-1.7796875,49.80744324200206,0.5527503238077172,0.04662172474143399,0.08434499761171028,0.5061285990662832,21.391099512697377,42.34738343842726,309.98418302933135,14.491269270442608
-1.7765625000000003,51.68364530393699,0.5611422735298288,0.047526928835883844,0.08469675352904496,0.5136153446939451,22.214767692169396,43.908759975414256,321.52049527576395,14.473277404071098
-1.7734375,55.143430365718196,0.5712107336069632,0.05001627533654829,0.08756186183812736,0.5211944582704149,23.50986089977544,46.40995557549949,350.02848156514864,14.88858156402329
-1.7703125000000002,57.1901183895566,0.5798638604199458,0.050997394593015485,0.08794718566541194,0.5288664658269302,24.4035749474815,48.06435878290521,362.83922079636454,14.868281453730628
-1.7671875,57.952287147028386,0.5873005773421528,0.05067142350699362,0.08627851812492461,0.5366291538351592,24.933089527690008,48.81634865356243,361.4029163066147,14.494911106192857
-1.7640625,60.15861554667994,0.5965069359376954,0.052002103694212966,0.08717770165147674,0.5445048322434825,25.88090287120643,49.93143862102888,374.88549498864705,14.485023836078092
-1.7609375000000003,64.14257027294259,0.6074566181487714,0.05485792808193961,0.09030756508854831,0.5525986900668318,27.362625191430293,52.48148091616714,409.79251085375495,14.976359467954046
-1.7578125,66.53063285736924,0.6168218959100349,0.05602594232644096,0.09083001543546453,0.5607959535835938,28.38886542350114,53.91664615177135,422.95159481894797,14.898502934492624
-1.7546875000000002,67.4511445202717,0.6248320124149629,0.05567499971238238,0.08910394891132362,0.5691570127025805,29.00409850463663,55.24528761420529,421.43938839200325,14.530339163088673
-1.7515625,69.89588487936166,0.6342632203818053,0.05663764297767941,0.08929674803401881,0.5776255774041259,30.091392035971914,56.920152743164806,435.7515611640089,14.480937294064091
-1.7484375,74.32970363124518,0.645328277761429,0.05935614340773523,0.09197821551170049,0.5859721343536939,31.778058008781063,59.83587806878429,472.142422890729,14.857497672144232
