case,s,z,crossings,width
one_space__staged_first_draft,1.8,1.5,7,1.000000000139778e-06
one_space__staged_first_draft,1.7,1.9,6,0.0001070000000003013
one_space__staged_first_draft,1.8,2.0,5,1.000000000139778e-06
one_space__staged_first_draft,0.6,0.6,5,2.9999999999752447e-05
one_space__staged_first_draft,-0.6,-0.6,5,2.9999999999752447e-05
one_space__staged_first_draft,0.4,0.3,5,1.9999999998354667e-06
one_space__staged_first_draft,-0.4,-0.3,5,1.6000000000016e-05
one_space__staged_first_draft,1.6,2.1,5,5.699999999997374e-05
one_space__staged_first_draft,-1.4,-2.1,7,9.000000000014552e-05
one_space__staged_first_draft,-1.2,-1.6,5,7.999999999785956e-06
one_space__staged_first_draft,0.3,0.2,5,2.9999999999752447e-06
one_space__staged_first_draft,-0.3,-0.2,5,1.4999999999876223e-05
one_space__staged_first_draft,1.8,1.8,7,1.000000000139778e-06
one_space__staged_first_draft,0.2,0.1,5,5.000000000254801e-06
one_space__staged_first_draft,-0.2,-0.1,5,1.3000000000484846e-05
one_space__staged_first_draft,0.1,-0.0,5,7.000000000090267e-06
one_space__staged_first_draft,-0.1,-0.0,5,1.100000000020529e-05
one_space__staged_first_draft,0.0,-0.1,5,8.999999999925734e-06
one_space__staged_first_draft,0.0,0.1,5,8.999999999925734e-06
one_space__staged_first_draft,-0.1,-0.2,5,1.100000000020529e-05
one_space__staged_first_draft,0.1,0.2,5,7.000000000090267e-06
one_space__staged_first_draft,-0.2,-0.3,5,1.3000000000484846e-05
one_space__staged_first_draft,0.2,0.3,5,5.000000000254801e-06
one_space__staged,1.6,1.4,6,0.0
one_space__staged,-1.0,-1.2,4,1.000000000139778e-06
one_space__staged,1.0,1.2,4,1.000000000139778e-06
one_space__staged,-1.1,-1.5,4,0.0
one_space__staged,1.1,1.5,6,0.0
one_space__staged,-1.0,-1.3,4,0.0
one_space__staged,1.0,1.3,4,0.0
one_space__staged,0.6,0.5,4,2.200000000041058e-05
one_space__staged,-0.6,-0.5,4,2.200000000041058e-05
one_space__staged,-1.1,-1.3,4,1.000000000139778e-06
one_space__staged,1.1,1.3,4,0.0
one_space__staged,1.7,1.5,6,0.0
one_space__staged,1.8,1.7,6,0.0
one_space__staged,0.6,0.4,2,0.0
one_space__staged,-0.6,-0.4,2,0.0
one_space__staged,-1.1,-1.4,4,0.0
one_space__staged,1.1,1.4,4,0.0
one_space__staged,-1.2,-1.4,4,1.000000000139778e-06
one_space__staged,1.6,1.5,5,2.000000000279556e-06
one_space__staged,-1.3,-1.5,4,1.000000000139778e-06
one_space__staged,1.2,1.4,4,1.000000000139778e-06
one_space__staged,1.8,1.8,6,0.0
one_space__staged,1.7,1.4,6,0.0
one_space__staged,1.7,1.3,6,0.0
one_space__staged,1.7,1.8,5,0.0
one_space__staged,0.6,0.6,4,9.999999999621423e-06
one_space__staged,0.7,0.6,4,9.999999999621423e-06
one_space__staged,-0.6,-0.6,4,9.999999999621423e-06
one_space__staged,1.7,1.6,7,0.0
one_space__staged,-0.7,-0.6,4,1.0000000000509601e-05
one_space__staged,0.6,0.7,4,1.000000000139778e-06
one_space__staged,1.6,1.6,5,1.000000000139778e-06
one_space__staged,1.7,1.7,7,0.0
one_space__staged,-1.2,-1.5,4,0.0
one_space__staged,0.5,0.3,2,0.0
one_space__staged,-0.5,-0.3,2,0.0
one_space__staged,-0.6,-0.7,4,1.000000000139778e-06
one_space__staged,1.5,1.4,4,1.000000000139778e-06
one_space__staged,1.6,1.7,5,2.000000000279556e-06
one_space__staged,1.2,1.5,4,0.0
one_space__staged,1.7,1.9,5,1.000000000139778e-06
one_space__staged,1.3,1.5,4,1.000000000139778e-06
one_space__staged,-1.2,-1.6,4,0.0
one_space__staged,0.4,0.2,2,0.0
one_space__staged,-0.4,-0.2,2,0.0
one_space__staged,0.0,-0.2,2,0.0
one_space__staged,0.0,0.2,2,0.0
one_space__staged,0.1,-0.1,2,0.0
one_space__staged,-0.1,0.1,2,0.0
one_space__staged,-0.1,-0.3,2,0.0
one_space__staged,0.1,0.3,2,0.0
one_space__staged,0.2,-0.0,2,0.0
one_space__staged,-0.2,-0.0,2,0.0
one_space__staged,0.3,0.1,2,0.0
one_space__staged,-0.3,-0.1,2,0.0
one_space__staged,1.2,1.6,4,0.0
one_space__staged,-1.4,-1.6,4,1.000000000139778e-06
one_space__staged,0.5,0.4,4,7.000000000090267e-06
one_space__staged,-0.2,-0.4,2,0.0
one_space__staged,0.2,0.4,2,0.0
one_space__staged__refined,1.6,1.4,6,0.0
one_space__staged__refined,-1.0,-1.2,4,1.000000000139778e-06
one_space__staged__refined,-1.0,-1.3,4,0.0
one_space__staged__refined,1.0,1.2,4,1.000000000139778e-06
one_space__staged__refined,-1.1,-1.5,4,0.0
one_space__staged__refined,1.0,1.3,4,0.0
one_space__staged__refined,-1.1,-1.3,4,1.000000000139778e-06
one_space__staged__refined,0.6,0.5,4,2.1000000000270802e-05
one_space__staged__refined,1.1,1.5,6,0.0
one_space__staged__refined,-0.6,-0.5,4,2.1000000000270802e-05
one_space__staged__refined,1.1,1.3,4,1.000000000139778e-06
one_space__staged__refined,1.8,1.7,6,0.0
one_space__staged__refined,-1.1,-1.4,4,0.0
one_space__staged__refined,0.5,0.3,2,0.0
one_space__staged__refined,-1.2,-1.4,4,1.000000000139778e-06
one_space__staged__refined,1.1,1.4,4,0.0
one_space__staged__refined,-0.5,-0.3,2,0.0
one_space__staged__refined,1.2,1.4,4,1.000000000139778e-06
one_space__staged__refined,1.7,1.5,6,0.0
one_space__staged__refined,0.4,0.2,2,0.0
one_space__staged__refined,-0.4,-0.2,2,0.0
one_space__staged__refined,0.0,-0.2,2,0.0
one_space__staged__refined,0.0,0.2,2,0.0
one_space__staged__refined,0.1,-0.1,2,0.0
one_space__staged__refined,-0.1,0.1,2,0.0
one_space__staged__refined,-0.1,-0.3,2,0.0
one_space__staged__refined,0.1,0.3,2,0.0
one_space__staged__refined,0.2,-0.0,2,0.0
one_space__staged__refined,-0.2,-0.0,2,0.0
one_space__staged__refined,0.3,0.1,2,0.0
one_space__staged__refined,-0.3,-0.1,2,0.0
one_space__staged__refined,1.7,1.7,7,0.0
one_space__staged__refined,-0.2,-0.4,2,0.0
one_space__staged__refined,0.2,0.4,2,0.0
one_space__staged__refined,1.7,1.4,6,0.0
one_space__staged__refined,1.6,1.5,5,2.000000000279556e-06
one_space__staged__refined,-0.3,-0.5,2,0.0
one_space__staged__refined,0.3,0.5,2,0.0
one_space__staged__refined,-1.3,-1.5,4,1.000000000139778e-06
one_space__staged__refined,-1.2,-1.5,4,0.0
one_space__staged__refined,0.7,0.6,4,9.999999999621423e-06
one_space__staged__refined,1.7,1.8,5,0.0
one_space__staged__refined,1.7,1.3,6,0.0
one_space__staged__refined,-0.7,-0.6,4,1.0000000000509601e-05
one_space__staged__refined,0.6,0.7,4,1.000000000139778e-06
one_space__staged__refined,1.7,1.6,7,0.0
one_space__staged__refined,-0.4,-0.6,2,0.0
one_space__staged__refined,0.4,0.6,2,0.0
one_space__staged__refined,-0.6,-0.7,4,1.000000000139778e-06
one_space__staged__refined,1.6,1.6,5,1.000000000139778e-06
one_space__staged__refined,0.6,0.6,4,9.999999999621423e-06
one_space__staged__refined,1.5,1.4,4,1.000000000139778e-06
one_space__staged__refined,-0.6,-0.6,4,9.999999999621423e-06
one_space__staged__refined,1.2,1.5,4,0.0
one_space__staged__refined,1.6,1.7,5,2.000000000279556e-06
one_space__staged__refined,1.7,1.9,5,1.000000000139778e-06
one_space__staged__refined,-1.2,-1.6,4,0.0
one_space__staged__refined,1.8,1.9,4,0.0
one_space__staged__refined,1.2,1.6,4,0.0
one_space__staged__refined,0.5,0.4,4,7.000000000090267e-06
one_space__staged_wide,1.7,1.8,5,0.0
one_space__staged_wide,1.6,1.8,5,0.0
one_space__staged_wide,1.5,1.6,4,0.0
one_space__staged_wide,1.7,1.7,7,0.0
one_space__staged_wide,-1.3,-1.7,7,0.0
one_space__staged_wide,1.6,1.7,5,0.0
one_space__staged_wide,1.4,1.4,4,0.0
one_space__staged_wide,1.5,1.5,4,0.0
one_space__staged_wide,1.6,1.6,5,0.0
one_space__staged_wide,1.3,1.7,7,0.0
one_space__staged_wide,1.7,2.0,5,0.0
one_space__staged_wide,-1.4,-1.7,7,0.0
one_space__staged_wide,1.9,1.5,6,0.0
one_space__staged_wide,1.9,2.3,4,0.0
one_space__staged_wide,1.4,1.7,7,0.0
one_space__staged_wide,2.0,1.6,8,0.0
one_space__staged_wide,-1.5,-1.8,6,0.0
one_space__staged_wide,-1.4,-1.8,6,0.0
one_space__staged_wide,1.8,1.6,4,0.0
one_space__staged_wide,1.8,1.7,4,0.0
one_space__staged_wide,1.4,1.8,6,0.0
one_space__staged_wide,-1.5,-1.9,4,0.0
one_space__staged_wide,1.9,1.7,4,0.0
one_space__staged_wide,1.3,1.3,4,0.0
one_space__staged_wide,1.5,1.9,4,0.0
one_space__staged_wide,1.9,1.8,4,0.0
one_space__staged_wide,1.8,1.5,4,0.0
one_space__staged_wide,1.9,2.1,2,0.0
one_space__staged_wide,1.8,1.8,4,0.0
one_space__staged_wide,1.9,1.9,4,0.0
one_space__staged_wide,1.7,1.5,2,0.0
one_space__staged_wide,1.9,2.0,2,0.0
one_space__staged_wide,1.9,1.6,4,0.0
one_space__staged_wide,1.7,1.6,5,0.0
one_space__staged_wide,1.6,2.0,6,0.0
one_space__staged_wide,1.3,1.2,2,0.0
one_space__staged_wide,1.5,1.8,6,1.999999998503199e-06
one_space__staged_wide,1.6,1.5,3,0.0
one_space__staged_wide,1.6,2.2,7,0.0
one_space__staged_wide,1.7,1.4,2,0.0
one_space__staged_wide,0.6,0.6,2,6.9999999983139105e-06
one_space__staged_wide,1.6,1.9,6,0.0
one_space__staged_wide,-0.6,-0.6,2,7.999999999341867e-06
one_space__staged_wide,1.0,0.9,2,0.0
one_space__staged_wide,-1.0,-0.9,2,0.0
one_space__staged_wide,-1.3,-1.6,2,0.0
one_space__staged_wide,1.5,2.1,7,0.0
one_space__staged_wide,2.0,1.7,6,0.0
one_space__staged_wide,1.8,2.0,2,0.0
one_space__staged_wide,1.7,2.2,7,0.0
one_space__staged_wide,1.7,2.3,4,0.0
one_space__staged_wide,1.8,1.9,2,0.0
one_space__staged_wide,0.4,0.4,4,0.0
one_space__staged_wide,-0.4,-0.4,4,0.0
one_space__staged_wide,1.8,1.4,4,0.0
one_space__staged_wide,1.7,1.9,3,0.0
one_space__staged_wide,-1.5,-2.1,6,0.0
one_space__staged_wide,1.3,1.6,2,0.0
one_space__staged_wide,2.0,1.8,4,0.0
one_space__staged_wide,1.6,2.1,4,0.0
static_one_space__staged,-1.5,-4.9,0,0.0
static_one_space__staged,-1.5,-4.8,0,0.0
static_one_space__staged,-1.5,-4.7,0,0.0
static_one_space__staged,-1.5,-4.6,0,0.0
static_one_space__staged,-1.5,-4.5,0,0.0
static_one_space__staged,-1.5,-4.4,0,0.0
static_one_space__staged,-1.5,-4.3,0,0.0
static_one_space__staged,-1.5,-4.2,0,0.0
static_one_space__staged,-1.5,-4.1,0,0.0
static_one_space__staged,-1.5,-4.0,0,0.0
static_one_space__staged,-1.5,-3.9,0,0.0
static_one_space__staged,-1.5,-3.8,0,0.0
static_one_space__staged,-1.5,-3.7,0,0.0
static_one_space__staged,-1.5,-3.6,0,0.0
static_one_space__staged,-1.5,-3.5,0,0.0
static_one_space__staged,-1.5,-3.4,0,0.0
static_one_space__staged,-1.5,-3.3,0,0.0
static_one_space__staged,-1.5,-3.2,0,0.0
static_one_space__staged,-1.5,-3.1,0,0.0
static_one_space__staged,-1.5,-3.0,0,0.0
static_one_space__staged,-1.5,-2.9,0,0.0
static_one_space__staged,-1.5,-2.8,0,0.0
static_one_space__staged,-1.5,-2.7,0,0.0
static_one_space__staged,-1.5,-2.6,0,0.0
static_one_space__staged,-1.5,-2.5,0,0.0
static_one_space__staged,-1.5,-2.4,0,0.0
static_one_space__staged,-1.5,-2.3,1,0.0
static_one_space__staged,-1.5,-2.2,1,0.0
static_one_space__staged,-1.5,-2.1,0,0.0
static_one_space__staged,-1.5,-2.0,0,0.0
static_one_space__staged,-1.5,-1.9,0,0.0
static_one_space__staged,-1.5,-1.8,0,0.0
static_one_space__staged,-1.5,-1.7,1,0.0
static_one_space__staged,-1.5,-1.6,1,0.0
static_one_space__staged,-1.5,-1.5,1,0.0
static_one_space__staged,-1.5,-1.4,1,0.0
static_one_space__staged,-1.5,-1.3,1,0.0
static_one_space__staged,-1.5,-1.2,1,0.0
static_one_space__staged,-1.5,-1.1,1,0.0
static_one_space__staged,-1.5,-1.0,1,0.0
static_one_space__staged,-1.5,-0.9,1,0.0
static_one_space__staged,-1.5,-0.8,1,0.0
static_one_space__staged,-1.5,-0.7,1,0.0
static_one_space__staged,-1.5,-0.6,0,0.0
static_one_space__staged,-1.5,-0.5,0,0.0
static_one_space__staged,-1.5,-0.4,0,0.0
static_one_space__staged,-1.5,-0.3,0,0.0
static_one_space__staged,-1.5,-0.2,1,0.0
static_one_space__staged,-1.5,-0.1,0,0.0
static_one_space__staged,-1.5,-0.0,0,0.0
static_one_space__staged,-1.5,0.1,0,0.0
static_one_space__staged,-1.5,0.2,0,0.0
static_one_space__staged,-1.5,0.3,0,0.0
static_one_space__staged,-1.5,0.4,0,0.0
static_one_space__staged,-1.5,0.5,0,0.0
static_one_space__staged,-1.5,0.6,0,0.0
static_one_space__staged,-1.5,0.7,0,0.0
static_one_space__staged,-1.5,0.8,0,0.0
static_one_space__staged,-1.5,0.9,0,0.0
static_one_space__staged,-1.5,1.0,0,0.0
