half_angle,layer,rounding,kind,r0,kept_energy,status,time,exit_angle_deg
45.0,5.0,2.0,light,10.0,34.124366564912066,left sideways,30.084230795381682,60.55811605780853
45.0,5.0,2.0,light,12.5,2.427618457922195,left sideways,32.2425163962881,46.21442656585029
45.0,5.0,2.0,matter,0.05,274709725.67142135,left sideways,31.38583869519392,61.563109968284365
45.0,5.0,2.0,matter,0.2,21178807.488308743,left sideways,29.352773247266985,61.56311131455689
45.0,5.0,2.0,matter,0.5,3852093.88492912,left sideways,28.016515123003746,61.56311790694829
45.0,5.0,2.0,matter,1.0,1001162.5857381212,left sideways,27.019031559539528,61.56314083952052
45.0,5.0,2.0,matter,2.0,200410.3541239914,left sideways,25.999995045737904,61.56326466938414
45.0,5.0,2.0,matter,4.0,16991.91885408372,left sideways,24.74047765453698,61.564935790335255
45.0,5.0,2.0,matter,7.0,548.5342048213911,left sideways,23.17638234512775,61.61960752050206
45.0,5.0,2.0,matter,10.0,18.749466847509794,left sideways,21.581658271541553,63.16418081197743
