half_angle,layer,rounding,kind,r0,kept_energy,status,time,exit_angle_deg
22.0,5.0,0.5,matter,12.5,1.0206980215696044,passed,38.257813479546925,87.23760797165754
22.0,5.0,2.0,light,0.05,83.64512985773818,left sideways,38.89300624276514,61.15428147460552
22.0,5.0,2.0,light,0.2,34.508061554678434,left sideways,37.50878787670546,60.56934470342643
22.0,5.0,2.0,light,0.5,17.42134526709064,left sideways,36.789275856364505,59.58513055739043
22.0,5.0,2.0,light,1.0,9.481614803096583,left sideways,36.659935579151245,57.89752073802241
22.0,5.0,2.0,light,2.0,5.128617888774038,left sideways,37.4820496222139,54.66717398880704
22.0,5.0,2.0,light,4.0,3.4174109585387096,left sideways,39.67326633063647,50.98917623967256
22.0,5.0,2.0,light,7.0,2.9088692745069507,left sideways,42.628184804229896,48.984458568446236
22.0,5.0,2.0,light,10.0,2.3656789747864764,left sideways,46.00794030483133,45.76436490662726
22.0,5.0,2.0,light,12.5,1.3847871210426106,left sideways,53.36018281422022,31.30092550278715
22.0,5.0,2.0,matter,0.05,49.18136661421959,left sideways,32.35108798998469,62.185881186052164
22.0,5.0,2.0,matter,0.2,25.111798790269233,left sideways,30.85528809673414,62.76825629950392
22.0,5.0,2.0,matter,0.5,15.923616841825057,left sideways,29.929740106234174,63.437840484544736
22.0,5.0,2.0,matter,1.0,10.853477289559018,left sideways,29.300530958239328,64.26796841982379
22.0,5.0,2.0,matter,2.0,7.242175382129726,left sideways,28.799558417178748,65.51798114371039
22.0,5.0,2.0,matter,4.0,5.301430679129229,left sideways,28.554288313019242,66.83190040704258
22.0,5.0,2.0,matter,7.0,4.439307219356195,left sideways,28.59979130790795,67.74956707045993
22.0,5.0,2.0,matter,10.0,3.0354586879669885,left sideways,29.006040689414192,70.23314276212768
22.0,5.0,2.0,matter,12.5,1.4296839413744642,left sideways,32.39043585404252,78.44820958334373
30.0,2.0,0.5,light,0.05,166309.89761816783,left sideways,29.95544571576326,61.56290464656736
30.0,2.0,0.5,light,0.2,57625.98981398291,left sideways,29.527259619295894,61.56251759560126
30.0,2.0,0.5,light,0.5,24560.173963152578,left sideways,29.398773461009828,61.5617202055568
30.0,2.0,0.5,light,1.0,11468.634295401642,left sideways,29.51167835293333,61.56013386952853
30.0,2.0,0.5,light,2.0,4230.813639589006,left sideways,29.921863135402127,61.55504251912715
30.0,2.0,0.5,light,4.0,833.602267623972,left sideways,30.84272691347391,61.5221589793853
30.0,2.0,0.5,light,7.0,84.82304822241564,left sideways,32.290614070944564,61.15996974489855
30.0,2.0,0.5,light,10.0,8.550336834814997,left sideways,34.114816101098235,57.48962395955496
30.0,2.0,0.5,light,12.5,1.2799033787168683,left sideways,42.3768196227427,27.693351463183802
