front,decel,launch,z,signal_arrival,pattern_arrival,element_arrival,lead_over_pattern,lead_over_element,packet_arrival
shelf_static,18.0,3.0,27.0,9.206209594655105,10.392857142857142,-2.5,1.1866475482020373,-11.706209594655105,19.5
shelf_static,18.0,3.0,29.0,9.941968476997983,11.345238095238095,-2.5,1.4032696182401114,-12.441968476997983,19.5
shelf_static,18.0,3.0,31.0,10.67772735934086,12.297619047619047,-2.5,1.6198916882781873,-13.17772735934086,19.5
shelf_static,18.0,3.0,33.0,11.41348624168374,13.25,-2.5,1.8365137583162596,-13.91348624168374,19.5
shelf_static,18.0,3.0,35.0,12.149245124026617,14.20238095238095,-2.5,2.0531358283543337,-14.649245124026617,19.5
shelf_static,18.0,3.0,37.0,12.885004006369495,15.154761904761905,-2.5,2.2697578983924096,-15.385004006369495,19.5
shelf_static,18.0,3.0,39.0,13.620762888712374,16.107142857142858,-2.5,2.4863799684304837,-16.120762888712374,19.5
shelf_static,18.0,3.0,41.0,14.35652177105525,17.05952380952381,-2.5,2.7030020384685596,-16.85652177105525,19.5
shelf_static,18.0,3.0,43.0,15.092280653398129,18.01190476190476,-2.5,2.91962410850663,-17.592280653398127,19.5
shelf_static,18.0,3.0,45.0,15.828039535741008,,-2.5,,-18.328039535741006,19.5
shelf_static,18.0,3.0,47.0,16.564883456783605,,-2.5,,-19.064883456783605,19.5
cone,6.0,0.0,8.0,1.4890470344656108,1.3452355934243163,0.6228218825186015,-0.1438114410412945,-0.8662251519470093,7.5
cone,6.0,0.0,10.0,1.9348432859350253,2.2976190476190474,0.6269377810272847,0.36277576168402215,-1.3079055049077406,7.5
cone,6.0,0.0,12.0,2.381103606231888,3.2499999999999996,0.6304017573546404,0.8688963937681113,-1.750701848877248,7.5
cone,6.0,0.0,14.0,2.827363926528751,4.2023809523809526,0.6335020935169184,1.3750170258522014,-2.193861833011833,7.5
cone,6.0,0.0,16.0,3.2736242468256136,5.154761904761904,0.6363724649739221,1.8811376579362906,-2.6372517818516914,7.5
cone,6.0,0.0,18.0,3.719884567122477,6.107142873529439,0.6390868475699375,2.3872583064069617,-3.0807977195525393,7.5
cone,6.0,0.0,20.0,4.166144887419336,,0.6416907982561715,,-3.524454089163165,7.5
cone,6.0,0.0,22.0,4.61240520771619,,0.6442144577885127,,-3.968190749927677,7.5
cone,6.0,0.0,24.0,5.058665528013043,,0.6466788213038414,,-4.411986706709201,7.5
cone,6.0,0.0,26.0,5.504925848309895,,0.649099103592187,,-4.855826744717708,7.5
cone,6.0,0.0,28.0,5.951186168606749,,0.6514867035046886,,-5.29969946510206,7.5
cone,6.0,0.0,30.0,6.397446488903602,,0.65385043734597,,-5.743596051557631,7.5
cone,6.0,0.0,32.0,6.843706809200455,,0.6561973683605103,,-6.1875094408399445,7.5
cone,6.0,0.0,34.0,8.818788651501848,,0.6585334056490904,,-8.160255245852758,7.5
cone,6.0,0.0,36.0,10.818788651501492,,0.6608637707658525,,-10.15792488073564,7.5
cone,6.0,0.0,38.0,,,0.6631933930375347,,,7.5
cone,6.0,0.0,40.0,,,0.6655272761024951,,,7.5
cone,6.0,0.0,42.0,,,0.6678708712874366,,,7.5
cone,6.0,0.0,44.0,,,0.6702304952270837,,,7.5
cone,6.0,0.0,46.0,,,0.672613840827341,,,7.5
cone,6.0,0.0,48.0,,,0.6750306555851637,,,7.5
cone,6.0,0.0,50.0,,,0.6774937129927137,,,7.5
cone,6.0,0.0,52.0,,,0.6800203050564944,,,7.5
cone,6.0,0.0,54.0,,,0.6826347043930723,,,7.5
cone,6.0,0.0,56.0,,,0.6853725541530428,,,7.5
cone,6.0,0.0,58.0,,,0.6882894681586019,,,7.5
cone,6.0,0.0,60.0,,,0.6914801166253322,,,7.5
cone,6.0,0.0,62.0,,,0.6951290823943748,,,7.5
cone,6.0,0.0,64.0,,,0.699695805996427,,,7.5
cone,6.0,0.0,66.0,,,0.7073788218772471,,,7.5
cone,6.0,0.0,68.0,,,1.481993847094266,,,7.5
cone,6.0,0.0,70.0,,,2.4343747994752194,,,7.5
cone,6.0,0.0,72.0,,,3.3867557518561684,,,7.5
cone,6.0,0.0,74.0,,,4.339136704237123,,,7.5
cone,6.0,0.0,76.0,,,5.291517656618078,,,7.5
cone,6.0,0.0,78.0,,,6.244110568530235,,,7.5
cone,6.0,3.0,13.0,4.386676610278834,3.726190476190476,0.6319870322027249,-0.6604861340883583,-3.754689578076109,7.5
cone,6.0,3.0,15.0,4.644774080769073,4.678571428571429,0.6349605060051466,0.03379734780235566,-4.0098135747639265,7.5
cone,6.0,3.0,17.0,5.09103440106593,5.630952380952381,0.6377458416119322,0.5399179798864511,-4.453288559453998,7.5
cone,6.0,3.0,19.0,5.537294721362784,6.639537385739497,0.6404004750053665,1.1022426643767131,-4.896894246357418,7.5
cone,6.0,3.0,21.0,5.983555041659637,,0.6429611865023979,,-5.3405938551572385,7.5
