family,unload_fraction,route,time,required_negative_null,peak_x,peak_null_cosine,auxiliary_ADM
directional,0.05,guide_omitted_tensor_bound,0.0,0.1160704022482692,-0.50078125,1.0,-335.9378417934815
directional,0.05,guide_omitted_tensor_bound,0.5,0.049764210845910435,-2.0992187500000004,-1.0,-87.16171932451628
directional,0.05,guide_omitted_tensor_bound,1.285,0.48561686473681714,-0.51328125,-1.0,230.39264403829648
directional,0.1,delivery_drift050,0.0,0.19565265268782356,-0.50078125,0.17527836142315062,831.685035297045
directional,0.1,delivery_drift050,0.5,0.1675912841103844,-0.50078125,0.0024303312938009267,565.1493303445433
directional,0.1,delivery_drift050,1.285,0.6044343731751028,-0.51171875,-0.20870048741372588,287.93015459220834
directional,0.1,delivery_drift090,0.0,0.12703576313699486,-0.50078125,0.46946087170756934,211.60672521112602
directional,0.1,delivery_drift090,0.5,0.09257633499319087,-0.50078125,0.005604840666743246,216.26402627514258
directional,0.1,delivery_drift090,1.285,0.5369108781843943,-0.51171875,-0.6524632113034978,255.1069941232186
directional,0.1,guide_omitted_tensor_bound,0.0,0.11449655470149886,-0.50078125,1.0,-339.0659668264084
directional,0.1,guide_omitted_tensor_bound,0.5,0.04960868835144769,-2.0992187500000004,-1.0,-93.57040347230337
directional,0.1,guide_omitted_tensor_bound,1.285,0.532470698593124,-0.51171875,-1.0,225.9577433872364
directional,0.25,delivery_drift050,0.0,1.0182352073076057,-0.50078125,0.02260220904716648,7692.865462011088
directional,0.25,delivery_drift050,0.5,0.9979849114378779,-0.50078125,-0.0010424317567918747,4416.542692592769
directional,0.25,delivery_drift050,1.285,1.5779090801153373,-0.50078125,-0.19532892639448962,656.1615611043468
directional,0.25,delivery_drift090,0.0,0.13274952786638985,-0.50078125,0.404688908415895,281.5556865412492
directional,0.25,delivery_drift090,0.5,0.1013920227438731,-0.50078125,-0.015176426372146603,246.5902486683243
directional,0.25,delivery_drift090,1.285,1.030266158744671,-0.50078125,-1.0,263.8520639185281
directional,0.25,guide_omitted_tensor_bound,0.0,0.11401472320530467,-0.50078125,1.0,-347.08219619949585
directional,0.25,guide_omitted_tensor_bound,0.5,0.04914212086805946,-2.0992187500000004,-1.0,-107.11107470026677
directional,0.25,guide_omitted_tensor_bound,1.285,1.030266158744671,-0.50078125,-1.0,230.57581192508806
directional,0.5,delivery_drift050,0.0,3.75731607689173,-0.50078125,0.0070603836143903875,30411.050771445938
directional,0.5,delivery_drift050,0.5,3.7496576068806458,-0.50078125,-0.0016489893489918506,17200.274628314586
directional,0.5,delivery_drift050,1.285,4.906778745132238,-0.50078125,-0.19364117252909221,1909.811519122189
directional,0.5,delivery_drift090,0.0,0.34048041158014886,-0.50078125,0.09938411629521948,2054.6143699343656
directional,0.5,delivery_drift090,0.5,0.3192716623947598,-0.50078125,-0.022148409590278913,1245.6060399306773
directional,0.5,delivery_drift090,1.285,2.786277827535277,-0.50078125,-1.0,408.7948778425562
