s,drift_comparison,x,required_negative_null,worst_direction
0.0,0.2,-1.7281250000000001,0.16606357488045004,0.0015333095833735743
0.0,0.2,-1.721875,0.16710871552083642,0.0015196406769898362
0.0,0.2,-1.7156250000000002,0.16814573269782995,0.0015063414824356108
0.0,0.2,-1.709375,0.16917063594038872,0.0014933575187214667
0.0,0.2,-1.703125,0.17018746917660352,0.0014999972066496703
0.0,0.2,-1.6968750000000001,0.24507297045926907,0.0010216521416462573
0.0,0.2,-1.690625,0.24646291574091503,0.0010102412436299908
0.0,0.2,-1.6843750000000002,0.24784778767662743,0.0010007359811345603
0.0,0.2,-1.678125,0.24922774707513398,0.00099171511253672
0.0,0.2,-1.671875,0.2506708592301766,0.000982758976414416
0.0,0.2,-1.6656250000000001,0.25217421992528094,0.0009738843331112357
0.0,0.2,-1.659375,0.2536882046528835,0.0009651733323666221
0.0,0.2,-1.6531250000000002,0.25521270969432397,0.0009566480813345228
0.0,0.2,-1.646875,0.25674611494125527,0.0009483334784784243
0.0,0.2,-1.640625,0.2582884175973142,0.000940244153175446
0.0,0.2,-1.6343750000000001,0.2598411868550086,0.0009323943125059274
0.0,0.2,-1.628125,0.2614043468772665,0.0009247913480048202
0.0,0.2,-1.6218750000000002,0.2629766312090962,0.0009174394826710606
0.0,0.2,-1.615625,0.26455804350726114,0.0009103332467857225
0.0,0.2,-1.609375,0.26614716180366604,0.0009034655490142445
0.0,0.2,-1.6031250000000001,0.26774406230182585,0.0008968234989758643
0.0,0.2,-1.596875,0.2693556413885317,0.0008904025449916989
0.0,0.2,-1.590625,0.2709816481974911,0.0008842051493048355
0.0,0.2,-1.584375,0.2726215100250994,0.0008782342286218264
0.0,0.2,-1.578125,0.2742750382214513,0.0008724872028836143
0.0,0.2,-1.5718750000000001,0.27593948941717056,0.0008669544367674652
0.0,0.2,-1.565625,0.27761482373402674,0.0008616101218932398
0.0,0.2,-1.559375,0.2793002573494913,0.0008564105585650701
0.0,0.2,-1.553125,0.2809957997860759,0.000851350300061705
0.0,0.2,-1.546875,0.2827005349888598,0.0008465965345539366
0.0,0.2,-1.5406250000000001,0.2844145204300539,0.0008421493263056974
0.0,0.2,-1.534375,0.2861368134122461,0.000837943652915704
0.0,0.2,-1.528125,0.28786748156060454,0.0008338922994716253
0.0,0.2,-1.521875,0.28960716928595753,0.0008299206585587293
0.0,0.2,-1.515625,0.2913559153171311,0.0008259871383784657
