s,minimum_integrated_heat,minimum_evolved_heat,maximum_absolute_heat_discrepancy,mean_absolute_heat_discrepancy
0.355,0.25272252099596537,0.39082671398322993,0.21225333380611766,0.009766599302862288
0.36,0.25272269209657455,0.39442714662855916,0.21536968099055787,0.010208134923221522
0.365,0.2527228577176599,0.4061310009336067,0.21974887673357946,0.01076953523779673
0.37,0.2527230178487044,0.41508432803263506,0.22607577312573174,0.011270587462567976
0.375,0.2527231726175932,0.42221890215293056,0.2333663661688507,0.011858886947243913
0.38,0.25272332227458316,0.42820434096605486,0.2413042466733485,0.012418237933322909
0.385,0.25272346716397226,0.43598467224792603,0.24963658972956865,0.013023749572622756
0.39,0.2527236076908716,0.4394010940835915,0.25898463322269477,0.013662005084556216
0.395,0.2527237442880941,0.44279128018946295,0.26997215683870407,0.01433121866297585
0.4,0.25272387738671576,0.44616232827063673,0.28329398401728834,0.015021855331771672
0.405,0.25272400739228135,0.4495273688001125,0.29793811716250473,0.015664179803364296
0.41000000000000003,0.2527241346673116,0.4529450397712331,0.31073853099681076,0.016438925777328164
0.41500000000000004,0.2527242595196079,0.45644071798459884,0.3259003694232314,0.017179539979043583
0.42,0.2527243821959359,0.4600288613695566,0.341748499584285,0.018027433017246255
0.425,0.2527245028869211,0.4637232632927922,0.3530832412158369,0.018832401616629683
0.43,0.25272462175969296,0.4675397766094488,0.36946786080958127,0.01964781085187047
0.435,0.25272473894634334,0.4714884405594852,0.37982259003020885,0.020557718379648638
0.44,0.2527248544989731,0.47558044288788553,0.39668126427045525,0.02150993783781696
0.445,0.252724968389106,0.47982863839113843,0.406039868816354,0.022483456289127166
0.45,0.25272508052417153,0.4842468950513067,0.42316896250316205,0.0234495962756763
0.455,0.25272519076780164,0.48884943717267937,0.44069255920770467,0.02448654696947328
0.46,0.25272529896069995,0.4936502993337055,0.4487841168384896,0.025559080369581547
0.465,0.25272540493943335,0.49866296393112053,0.4664338452548349,0.02671037837355316
0.47000000000000003,0.25272550855128284,0.5039001520128569,0.48451969273014106,0.027928460876809478
0.47500000000000003,0.2527256096641629,0.5093738367907827,0.4916223617611645,0.029092208564403328
0.48,0.25272570818140694,0.5150994837092326,0.510076034914824,0.030374866938521188
0.485,0.2527258040452888,0.5210892278076636,0.5290978005207886,0.031770804672953415
0.49,0.252725897211252,0.5273530979549624,0.5357178093700572,0.033162362793721846
0.495,0.25272598762684645,0.5339030298882528,0.5556218158615781,0.03460252968505396
0.5,0.25272607523023705,0.5407514185175354,0.5765514535452335,0.03617764737423262
