s,l,material_label,n,velocity,thermal,electric_flux,electric_field,endpoint_heat_rate,ohmic_heat_rate,heat_rate,packet_edge_distance,integrated_endpoint_heat_rate,integrated_ohmic_heat_rate,integrated_heat_rate,heat_from_material_balance
0.12,-0.6588294995175186,1.5148020312879809,0.0003891847721215128,-0.9806528657696143,0.5369761259828877,0.14613428030425196,0.031039417951890375,-0.00953788519144835,0.0,-0.00953788519144835,0.4288294995175186,-0.00017403138073954287,0.0,-0.00017403138073954287,0.5690648990774868
0.125,-0.6623194930356262,1.5148020312879809,0.00037098101381945756,-0.9823948829708482,0.5290469268141564,0.146116628803502,0.030999515348066803,-0.011556351456414761,0.0,-0.011556351456414761,0.43731949303562623,-0.0002267669723592007,0.0,-0.0002267669723592007,0.5690121634858671
0.13,-0.665816678773593,1.5148020312879809,0.00035437050281516267,-0.9841915526614945,0.5141469355894039,0.14610737866805337,0.030961239166138334,-0.013912188599492711,0.0,-0.013912188599492711,0.445816678773593,-0.00029043832249896944,0.0,-0.00029043832249896944,0.5689484921357274
0.135,-0.6693149047961223,1.5148020312879809,0.0003394962814749453,-0.9860146902969515,0.48806234367693807,0.14611386836500595,0.030926201755449568,-0.0166541662354871,0.0,-0.0166541662354871,0.45431490479612235,-0.00036685420958641903,0.0,-0.00036685420958641903,0.56887207624864
0.14,-0.6728096850452913,1.5148020312879809,0.0003265949086871397,-0.9877651522420606,0.4494659567751783,0.14611950828054032,0.030890932583980606,-0.019824233646386892,0.0,-0.019824233646386892,0.4628096850452913,-0.0004580502092911041,0.0,-0.0004580502092911041,0.5687808802489352
0.145,-0.6762956470273486,1.5148020312879809,0.00031585441017123456,-0.989369836014998,0.39772933938400507,0.14612696561732913,0.03085605373051252,-0.02345498155511685,0.0,-0.02345498155511685,0.4712956470273486,-0.000566248247294863,0.0,-0.000566248247294863,0.5686726822109315
0.15,-0.6797445627467926,1.5148020312879809,0.0003112033179852446,-0.9906953316860477,0.33255811141772085,0.14607853789971945,0.030809694396527885,-0.027206800474300227,0.0,-0.027206800474300227,0.47974456274679267,-0.0006929027023684057,0.0,-0.0006929027023684057,0.5685460277558579
0.155,-0.6830816261042111,1.5148020312879809,0.0003242985554553895,-0.9914742285368248,0.2727553406449987,0.145782733024254,0.03071235032400654,-0.02974014107159972,0.0,-0.02974014107159972,0.48808162610421113,-0.0008352700562331558,0.0,-0.0008352700562331558,0.5684036604019932
0.16,-0.6863663281309168,1.5148020312879809,0.00035029440848226143,-0.991990943359184,0.22128447924648625,0.14539874520556578,0.03059707319289425,-0.031326127355985896,0.0,-0.031326127355985896,0.49636632813091686,-0.00098793572730212,0.0,-0.00098793572730212,0.5682509947309242
0.165,-0.6895954298825426,1.5148020312879809,0.00038029899924275993,-0.9925342666441728,0.16622335743767375,0.1449097287713674,0.030460419529249255,-0.032791832627661305,0.0,-0.032791832627661305,0.5045954298825427,-0.001148230627261238,0.0,-0.001148230627261238,0.5680906998309652
0.17,-0.6927623559919994,1.5148020312879809,0.00041550191623083207,-0.9933781314951236,0.09184445401238434,0.1442822624035428,0.03029551377875156,-0.03406662676115209,0.0,-0.03406662676115209,0.5127623559919995,-0.0013153767757332717,0.0,-0.0013153767757332717,0.5679235536824931
0.17345740579434404,-0.6953125,1.5148020312879809,0.0003498277618567863,-0.9943265847363136,1.8708291493751972e-07,0.14541737200088056,0.030506982855520743,-0.0446307635197203,0.0,-0.0446307635197203,0.5187699057943441,-0.0014514211823116927,0.0,-0.0014514211823116927,0.5677875092759147
