s,x,velocity,gamma,heat,effective_n,momentum,alpha,b,coordinate_fixed_velocity,momentum_rate,decomposition_residual,traction,lapse,radial_metric,shift,endpoint
0.165,-1.327038300628337,-0.4194770289195719,1.1016055390128578,3.12273689800625,0.004417943107263744,-3.636292683855855,143.87207710612964,195.58853406651878,-2.2917216862785738e-07,-19.08011100538338,-7.105427357601002e-15,88.44274584989546,-74.98584383971827,-33.2275943319446,1.3037388065031633e-05,0.6905682789959611
0.17,-1.328599761679229,-0.43070935342779104,1.108044666364727,3.133370454498372,0.004420683342451167,-3.7312776906471803,142.20107949213815,193.81574942476593,-1.9617352717611138e-07,-18.913997429544654,7.105427357601002e-15,87.01691920928909,-74.05744860391769,-32.529423179096355,1.1475154487692329e-05,0.655943669025827
0.17500000000000002,-1.3301982268630064,-0.44189127743726136,1.114741931618244,3.1436312531143407,0.004423196439551103,-3.8254330244366064,140.5194332318643,192.02650808021605,-1.6768209497318186e-07,-18.7481396768389,0.0,85.58720144482646,-73.12487586684061,-31.82666837322813,1.0074878999785987e-05,0.616193043524381
0.18,-1.3318332439468314,-0.4530263036535776,1.1217085777152083,3.1534777498687063,0.0044254777725671254,-3.918758851891703,138.82817719700802,190.22163895334117,-1.431108095895977e-07,-18.58214035313328,7.105427357601002e-15,84.15407534563445,-72.18840758771229,-31.119531696342403,8.823273352684648e-06,0.5717147620136165
0.185,-1.3335043719619144,-0.4641176059612306,1.1289566706607366,3.162868628703433,0.004427521061354688,-4.011253641143582,137.1283351087921,188.40196549867943,-1.219628146966008e-07,-18.41566879707435,1.4210854715202004e-14,82.7180432106046,-71.24834887967138,-30.408222940046496,7.7085919776595e-06,0.5228521034469615
0.19,-1.3352111802457847,-0.4751680560357872,1.136499162486487,3.1717623285366385,0.0044293182218231196,-4.10291419465483,135.42091397719122,186.56830423580877,-1.0378652901829035e-07,-18.248390138941623,-1.7763568394002505e-14,81.27962588230918,-70.3050248884516,-29.692959883316846,6.71873759283913e-06,0.4699620317800368
0.195,-1.3369532474421053,-0.4861802023460476,1.144349929686224,3.1801170397816887,0.0044308592699154525,-4.1937356395169,133.7069049484013,184.7214658632219,-8.818800762942188e-08,-18.079969780840848,-3.552713678800501e-15,79.83936461333684,-69.35878172773073,-28.973969757063557,5.842357294559175e-06,0.4134112482593002
0.2,-1.3387301604438218,-0.4971562540785884,1.1525238175367756,3.187890700483694,0.004432132240615232,-4.283711437791392,131.98728326449506,182.8622554148974,-7.482706706901622e-08,-17.910076872338543,-7.105427357601002e-15,78.39782159407491,-68.4099864529258,-28.25149012695664,5.069038188179692e-06,0.3535730444307951
0.20500000000000002,-1.3405415133022165,-0.5080980698316497,1.1610366912779082,3.1950409914274136,0.004433123121082422,-4.372833414852071,130.2630073926922,180.99147150035802,-6.339524152147677e-08,-17.73838832404031,-3.552713678800501e-15,76.95557922542059,-67.45902614625295,-27.525769231400098,4.388363779437931e-06,0.29082343982836134
0.21,-1.3423869061076612,-0.5190071449480361,1.169905490286228,3.2015253241137653,0.004433815734306945,-4.461091808212858,128.53502038148258,179.10990794877614,-5.363336572841633e-08,-17.564592577899077,3.552713678800501e-15,75.51324180092223,-66.50630874790089,-26.79706729738488,3.791266521103361e-06,0.2255378751979446
0.215,-1.3442659438565776,-0.5298846069600451,1.1791482932889854,3.2073008302884047,0.0044341916746507585,-4.548475332890333,126.80424848027324,177.21835249175462,-4.530849631528895e-08,-17.38839281632753,-1.4210854715202004e-14,74.0714336574772,-65.55226137818109,-26.065656361081327,3.2689033036055857e-06,0.158087996554365
0.22,-1.3461782353181886,-0.5407312093884542,1.1887843881065672,3.2123243435313014,0.004434230194926216,-4.634971264681397,125.0716019196598,175.31758776837097,-3.821925114076431e-08,-17.209510734641356,-3.552713678800501e-15,72.63079965014265,-64.59733035625634,-25.331821017122255,2.8132126875506608e-06,0.08883817538189301
0.225,-1.3481233919047655,-0.5515473296393678,1.1988343513265693,3.216552377826401,0.004433908105313792,-4.720565539979915,123.33797485346933,173.40839142935113,-3.219326426135061e-08,-17.0276893050051,0.0,71.19200438753734,-63.64198035523939,-24.595858615388977,2.4169711911237537e-06,0.018142861114737674
0.23,-1.3501010265627318,-0.5623329708280492,1.2093201393766555,3.2199411024023483,0.004433199682489455,-4.805242868873751,121.6042445251318,171.49153538612646,-2.707595940981973e-08,-16.84269557299796,7.105427357601002e-15,69.7557308803519,-62.68669305919148,-23.858078936621023,2.07323776349595e-06,-0.05365653077512091
0.23500000000000001,-1.3521107526976721,-0.5730877766514381,1.2202652023700362,3.2224463055323773,0.0044320764668441944,-4.888987055130531,119.87127182224111,169.56778731897882,-2.273868572961843e-08,-16.654433623789416,3.552713678800501e-15,68.32268273988791,-61.732086392506204,-23.118795997848476,1.7750440408442623e-06,-0.12623574836668353
0.24,-1.3541521832242165,-0.5838110737627309,1.2316946418775814,3.2240233537221505,0.004430507008912639,-4.9717816069482845,118.13989841652501,167.6379096082768,-1.9067653670992718e-08,-16.462813951091494,7.105427357601002e-15,66.89357937909614,-60.77877014796778,-22.378336747941155,1.5162560282397812e-06,-0.19928795053471354
0.245,-1.3562249296263145,-0.5945018308943919,1.2436352978864618,3.224627148519946,0.0044284568940964174,-5.05360934786972,116.41094889600755,165.70265980465166,-1.5965346020679445e-08,-16.267687298737805,-7.105427357601002e-15,65.46915187093998,-59.827268167686825,-21.63704717574482,1.2922511988246646e-06,-0.27252511849734723
