s,peak_velocity,peak_velocity_fraction,peak_velocity_l,material_fraction_above_09,material_fraction_above_099,maximum_density,maximum_radial_stress,reference_maximum_speed,density_peak_over_reference,radial_peak_over_reference
0.32,-0.12053755351076277,0.8125,-0.813246700202349,0.0,0.0,6.968933438904144,6.958265855496345,0.7997566350376911,106.24003727282151,468.58198491114825
0.325,-0.12313748557871748,0.8125,-0.8137326738159277,0.0,0.0,7.003803546726601,6.99310935502667,0.8074523702610187,108.67931266108421,568.8030316999277
0.33,-0.12576914190866664,0.8125,-0.8142285818769467,0.0,0.0,7.039160480671341,7.0284393762436,0.8149576048962365,123.99881449747465,646.617560164237
0.335,-0.1284328894157632,0.8125,-0.8147345182282161,0.0,0.0,7.075008907301737,7.064260584437509,0.8222698150018997,125.47297187533619,496.1675741927965
0.34,-0.13112908765457135,0.8125,-0.815250578015028,0.0,0.0,7.111353548904995,7.100577700618626,0.8293868833462197,126.29893143957686,465.4492726178686
0.34500000000000003,-0.1338580862480301,0.8125,-0.8157768576326158,0.0,0.0,7.1481991653426125,7.137395483381396,0.8363070838855726,91.82517062359278,502.9784049220757
0.35000000000000003,-0.13662022417365494,0.8125,-0.8163134546343249,0.0,0.0,7.185550554523661,7.174718729377619,0.8430283744534957,60.16211877531261,308.8309187376479
0.355,-0.1394158311091589,0.8125,-0.8168604676754989,0.0,0.0,7.223412572526078,7.212552293423034,0.849548251348514,44.477095704131976,182.19481161903767
0.36,-0.14224522308818283,0.8125,-0.8174179964365746,0.0,0.0,7.261790103012274,7.2509010579359074,0.85586475068409,54.16033883305048,264.4535093379563
0.365,-0.14510870440009274,0.8125,-0.8179861415415379,0.0,0.0,7.300688089235151,7.289769964919569,0.8619765164799958,82.8582830098496,559.7678435796362
0.37,-0.14800656453607286,0.8125,-0.8185650044940943,0.0,0.0,7.340111516087527,7.329163998025396,0.8678827881700492,119.00756169495489,504.10010591395417
0.375,-0.15093907659890746,0.8125,-0.8191546875810084,0.0,0.0,7.380065410621599,7.369088183072133,0.8735833853585224,126.67992069401731,400.2089892167512
0.38,-0.15390649758814265,0.8125,-0.8197552937978752,0.0,0.0,7.42055486208215,7.409547608064658,0.8790786898513063,119.79914919026584,375.5632096164565
0.385,-0.15690906359193407,0.8125,-0.8203669267555456,0.0,0.0,7.461584991444435,7.450547392754462,0.884428872081479,84.40658062382617,404.51187743736716
0.39,-0.15994699056703834,0.8125,-0.8209896905789623,0.0,0.0,7.503160983213681,7.492092720416171,0.8896016395612077,60.291483894854366,256.7175824628785
0.395,-0.16302047039552303,0.8125,-0.821623689814511,0.0,0.0,7.545288067457659,7.534188819893503,0.894570205391581,54.79412581018832,212.41733071893518
0.4,-0.16612966814026905,0.8125,-0.8222690293073497,0.0,0.0,7.587971520182211,7.576840965974772,0.8993366839176683,69.4627651623236,266.9406004640477
0.405,-0.169274720862509,0.8125,-0.8229258140894834,0.0,0.0,7.631216683116232,7.620054499163864,0.903903658940722,97.51039689349055,381.7884096699557
0.41000000000000003,-0.17245573157159252,0.8125,-0.8235941492464989,0.0,0.0,7.675028933146004,7.663834795136871,0.9082741510750287,97.27889025140102,279.173266180491
0.41500000000000004,-0.17567276804445792,0.8125,-0.8242741397708109,0.0,0.0,7.719413713761926,7.708187296166491,0.9124515845826497,84.2211675400659,237.65367227962503
0.42,-0.17892585705858968,0.8125,-0.8249658904124019,0.0,0.0,7.764376516871562,7.753117492948415,0.916439751793332,44.32865834885428,191.32248294945066
0.425,-0.18221497995977878,0.8125,-0.825669505497352,0.0,0.0,7.809922882863197,7.798630924665084,0.9202427775617631,28.587584043067633,93.81972022042659
0.43,-0.18554007079326354,0.8125,-0.8263850887487934,0.0,0.0,7.856058420006656,7.844733198373003,0.9238650839910861,51.78118279443044,196.6335059064965
0.435,-0.1889010049579494,0.8125,-0.8271127430791337,0.0,0.0,7.9027887736054305,7.891429958177022,0.9273116479570875,62.34137019801966,202.48888699345258
0.44,-0.19229758937744382,0.8125,-0.8278525703393907,0.0,0.0,7.950119657020754,7.938726916232723,0.9305895222764476,74.70425981487254,399.5186356464082
0.445,-0.1957295582289076,0.8125,-0.828604671048437,0.0,0.0,7.998056833188706,7.9866298342768625,0.9337063461786502,96.77088315614898,282.9817746177563
0.45,-0.19919656588952236,0.8125,-0.8293691440972591,0.0,0.0,8.046606114313136,8.035144523320742,0.9366694703348871,101.41445237595168,231.39781388522812
0.455,-0.20269817733738885,0.8125,-0.8301460864303779,0.0,0.0,8.095773380863845,8.084276862635365,0.9394859601880375,95.41728133661137,219.56465551542266
0.46,-0.2062338533954966,0.8125,-0.8309355926807529,0.0,0.0,8.145564550380954,8.134032768577821,0.9421625990444518,80.0178761440075,172.40372369826514
0.465,-0.2098029370843855,0.8125,-0.8317377547521932,0.0,0.0,8.195985608055937,8.184418225151301,0.9447354100804585,87.57575737773234,160.60743924256394
0.47000000000000003,-0.21340463531506343,0.8125,-0.832552661346925,0.0,0.0,8.247042587830327,8.235439265117154,0.9472031563165709,83.79922949174525,198.78689012071465
0.47500000000000003,-0.21703799810003932,0.8125,-0.8333803974187869,0.0,0.0,8.298741571670048,8.287101969269916,0.9495486507242824,53.268136698299635,152.68034656921765
0.48,-0.22070189415272845,0.8125,-0.8342210435455064,0.0,0.0,8.351088708162054,8.339412485021406,0.9517777649837129,46.086712251136454,88.93399684159357
0.485,-0.2243949785419272,0.8125,-0.8350746751857159,0.0,0.0,8.40409018093445,8.392376994842708,0.9538960761615028,14.041741839140464,34.029864588741454
0.49,-0.2281156620914332,0.8125,-0.8359413618200551,0.0,0.0,8.457752238870324,8.446001746457526,0.9559088785208516,36.02671873133995,95.89113259702648
0.495,-0.2318620699752592,0.8125,-0.8368211659696564,0.0,0.0,8.512081176853117,8.50029303360088,0.9578211992137486,52.459498624944814,125.42853821851507
0.5,-0.23563199328384105,0.8125,-0.8377141420430003,0.0,0.0,8.56708333470814,8.555257194961483,0.9596378111697725,81.63774958211117,196.57315311575175
0.5049999999999994,-0.23942283237382667,0.8125,-0.8386203349966017,0.0,0.0,8.622765115518147,8.610900632485137,0.9613632459701796,70.38103175049325,141.12810396897908
0.5099999999999989,-0.24323152457673974,0.8125,-0.8395397787567921,0.0,0.0,8.679132953728972,8.667229779501938,0.9630343941767752,38.561494278206936,83.93973028133239
0.5149999999999983,-0.2470544606400476,0.8125,-0.8404724943557249,0.0,0.0,8.73619334515818,8.724251130714938,0.9646510058999227,35.67809569886025,64.31949897141267
0.5199999999999978,-0.25088737915216747,0.8125,-0.8414184877243712,0.0,0.0,8.79395282749514,8.781971222713398,0.9661881814567649,73.10135997217512,166.56907781966012
0.5249999999999972,-0.25472523737429376,0.8125,-0.8423777470526187,0.0,0.0,8.852417979056217,8.840396632728842,0.9676497206238505,75.47856091851622,119.33866561171018
