s,peak_velocity,peak_velocity_fraction,peak_velocity_l,material_fraction_above_09,material_fraction_above_099,maximum_density,maximum_radial_stress,reference_maximum_speed,density_peak_over_reference,radial_peak_over_reference
0.135,-0.23212106736678884,0.59375,-1.1638444704386561,0.0,0.0,0.725448290602952,0.7155462459457987,0.4116453912987041,36.48883389777617,160.70539198163033
0.14,-0.2408053867053135,0.59375,-1.1648761240926329,0.0,0.0,0.7279944738034648,0.7180750053940134,0.4247171412513001,34.72519954715078,161.26116730605818
0.145,-0.24948855420511384,0.59375,-1.165943684310798,0.0,0.0,0.7305853913476645,0.7206482242035424,0.43761706037518333,32.9555248283424,161.82689102765312
0.15,-0.2581673867484385,0.59375,-1.167046951056332,0.0,0.0,0.7332212874980133,0.7232661464228649,0.4503491821056989,31.19880176328915,162.40256570230144
0.155,-0.26683849422893496,0.59375,-1.1681857056152103,0.0,0.0,0.7359024307657379,0.7259290402084769,0.46291781218993344,29.47782822757698,162.98822161114103
0.16,-0.2754983167687996,0.59375,-1.1693597099491282,0.0,0.0,0.738629111288355,0.7286371952214061,0.4753274587112888,27.819485852736115,163.5839031625667
0.165,-0.28414316961919694,0.59375,-1.1705687062457018,0.0,0.0,0.7414016462771333,0.7313909280391774,0.48758273700170024,26.254735086641507,164.1896798459346
0.17,-0.29276926895115174,0.59375,-1.171812416672493,0.0,0.0,0.7442203788313876,0.7341905809796408,0.49968819291546257,24.818118326327735,164.8056441601794
0.17500000000000002,-0.3013723991335087,0.59375,-1.1730905426437017,0.0,0.0,0.7470856790460869,0.7370365232026909,0.5116473461246144,23.546517727363337,165.43190920376185
0.18,-0.309947952998793,0.59375,-1.1744027628727367,0.0,0.0,0.7499979475057136,0.739929154182405,0.5234626245866759,22.476931872108928,166.0686076077369
0.185,-0.3184913599359701,0.59375,-1.175748733078517,0.0,0.0,0.7529576121125697,0.742868900558465,0.5351363304500103,21.64317801022598,166.7158920090503
0.19,-0.3269981390269519,0.59375,-1.177128086590445,0.0,0.0,0.75596513285719,0.7458562208765636,0.5466706668967634,21.071732211546045,167.37393051530805
0.195,-0.33546393917096473,0.59375,-1.1785404351289372,0.0,0.0,0.7590210000153083,0.7488916037995046,0.5580677157199251,20.77732609356836,168.0429056329855
0.2,-0.34388458787621345,0.59375,-1.1799853697879759,0.0,0.0,0.7621257345944484,0.7519755685529136,0.569329419406887,20.759217091632447,168.7230088647852
0.20500000000000002,-0.352256133694989,0.59375,-1.1814624622164316,0.0,0.0,0.7652798911420859,0.7551086677169699,0.5804575676062119,20.99895969441837,169.41443609265158
0.21,-0.36057488271568405,0.59375,-1.1829712659647624,0.0,0.0,0.7684840539527137,0.7582914834609356,0.591453781825789,21.45991035762156,170.11738642973376
0.215,-0.3688374396925334,0.59375,-1.1845113179938684,0.0,0.0,0.7717388411177551,0.7615246315685783,0.6023195080574838,22.087815094742457,170.83205666953066
0.22,-0.37704074290674044,0.59375,-1.1860821403420578,0.0,0.0,0.7750449020798285,0.7648087590110485,0.6130560073851461,22.811084033741956,171.55864190378722
0.225,-0.3851820988278021,0.59375,-1.187683241925103,0.0,0.0,0.7784029174179967,0.7681445437359562,0.6236643505026245,23.53911007598668,172.29733352547365
0.23,-0.3951039809643762,0.625,-1.1381298857261715,0.0,0.0,0.7818136009839307,0.771532696791999,0.6341454159666052,23.40316674772114,173.0483187843297
0.23500000000000001,-0.4052725573930423,0.625,-1.1398689448346109,0.0,0.0,0.7852776955245483,0.7749739579828376,0.644499885706703,21.970197218551238,173.811783094752
0.24,-0.4154518348938451,0.625,-1.1416478003515456,0.0,0.0,0.7887959760897183,0.7784690992549879,0.6547282370801867,20.70625121284625,174.5879098481356
0.245,-0.42563388854476514,0.625,-1.1434661810396622,0.0,0.0,0.7923692470399821,0.7820189217276591,0.6648307446160864,19.689255424660463,175.3768838660501
0.25,-0.43581079689162816,0.625,-1.1453237755252266,0.0,0.0,0.795998341294716,0.7856242549483,0.6748074973868674,18.98919192683017,176.1788937561829
0.255,-0.4459747156631105,0.625,-1.1472202329323922,0.0,0.0,0.7996841219477427,0.7892859585002491,0.684658406476539,18.632678520086696,147.10537959033178
0.26,-0.4561175160623711,0.625,-1.1491551634186854,0.0,0.0,0.8034274774700585,0.7930049172390528,0.6943824329260293,18.181769258519367,135.50506002571976
0.265,-0.46622917269468506,0.625,-1.151128133706726,0.0,0.0,0.8072293246507811,0.7967820442168235,0.7039746874867419,15.649283437187158,138.26200498116432
0.27,-0.4762992015953159,0.625,-1.1531386619261856,0.0,0.0,0.8110906052238592,0.8006182773331739,0.7134292191963459,13.252453631733129,114.77379019822466
0.275,-0.48631732333692607,0.625,-1.1551862184360986,0.0,0.0,0.815012284770989,0.8045145782475195,0.7227402094116361,11.342892117037078,80.45776096391288
0.28,-0.49627351057778174,0.625,-1.1572702275862783,0.0,0.0,0.8189953540278591,0.8084719336792793,0.7319020055328772,10.287776953776046,66.0864749224938
0.28500000000000003,-0.5061580068437707,0.625,-1.1593900696157822,0.0,0.0,0.8230408238847167,0.8124913504427,0.740909149395234,10.343538143955868,68.15289395485905
0.29,-0.5159613485354342,0.625,-1.161545082652968,0.0,0.0,0.8271497281392441,0.8165738581843107,0.7497722153856149,11.50852854361248,88.29502298998902
0.295,-0.5256743793762935,0.625,-1.1637345648072706,0.0,0.0,0.8313231200628832,0.8207205059732736,0.7585362619918169,13.535775052567914,135.0640844479946
0.3,-0.535288265312824,0.625,-1.1659577763287259,0.0,0.0,0.8355620712751982,0.8249323611848915,0.767132977593081,16.091182758752158,181.6423815676373
0.305,-0.5447945123627502,0.625,-1.1682139418449262,0.0,0.0,0.8398676730624965,0.8292105108128673,0.7755576125978657,18.81235757906931,147.437449327548
0.31,-0.5541849752573562,0.625,-1.17050225265626,0.0,0.0,0.8442410314901839,0.8335560566144199,0.7838057492851436,16.05717114434053,88.70687423379077
0.315,-0.5634518684896459,0.625,-1.1728218690691854,0.0,0.0,0.8486832702724881,0.8379701179636981,0.7918733225900569,14.050723154324604,63.11039957520829
0.32,-0.5725877709487077,0.625,-1.17517192275765,0.0,0.0,0.8531955275504938,0.8424538286518346,0.7997566350376911,13.006800171451006,56.732337542672724
0.325,-0.5815856230554596,0.625,-1.1775515191307808,0.0,0.0,0.8577789550154868,0.8470083360173817,0.8074523702610187,13.310314406205205,68.89366159496592
0.33,-0.5904387153294064,0.625,-1.1799597396865071,0.0,0.0,0.8624347195147705,0.8516348025436965,0.8149576048962365,15.192277984702859,78.35053967073878
0.335,-0.5991407114281837,0.625,-1.1823956443790435,0.0,0.0,0.8671639985319857,0.8563344013689153,0.8222698150018997,15.37887024945162,60.14576579480565
0.34,-0.6076856602860097,0.625,-1.184858274014286,0.0,0.0,0.8719679834291009,0.8611083195092055,0.8293868833462197,15.486309856381096,56.44642701759825
0.34500000000000003,-0.6160679938541946,0.625,-1.1873466526402907,0.0,0.0,0.8768478766692958,0.8659577551002675,0.8363070838855726,11.263914732044817,61.02478858070578
0.35000000000000003,-0.6242823490206489,0.625,-1.1898597896477632,0.0,0.0,0.8818048914121502,0.8708839169962839,0.8430283744534957,7.383046046540028,37.4866096281289
0.355,-0.632323497788611,0.625,-1.1923966810255462,0.0,0.0,0.886840253620751,0.8758880268653564,0.849548251348514,5.460587836916665,22.125628704227726
