s,steps,minimum_heat,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_stretch,maximum_stretch,minimum_relative_cell_width,minimum_packet_gap,canonical_energy,slice_energy,field_slice_energy,thermal_inventory,canonical_balance_residual,momentum_balance_residual,thermal_balance_residual,maximum_anchor_force,canonical_geometry_integral,canonical_endpoint_integral,heat_endpoint_integral,heat_electrical_integral,momentum_free_integral,anchor_left_integral,anchor_right_integral,receiver_velocity,receiver_heat,receiver_l,receiver_effective_n,maximum_gamma,minimum_rest_dec_margin,maximum_density,maximum_abs_radial_stress,backbone_slice_energy,maximum_backbone_inverse_stretch,minimum_backbone_inverse_stretch
0.17,340,0.2500000000000001,-2.1,0.29276926895115174,0.9932471139998317,0.0021806719328430167,0.17266147126540404,0.844499437917056,0.32000000000000006,9396.762979502,130.45303306140886,0.0,26.724990497324193,2.8929776469882794e-11,-5.54611911951497e-13,-1.0202015356675248e-14,6.127465259535758,-97.3505641624059,4.848380410391599,0.03868181092120785,0.0,-86.16573043241699,20.913027584171175,-0.498892002683419,-0.2495967214796462,3.117748150464769,-1.3167778570010602,0.004970241803010721,1.0458247810172556,0.004329281307215563,0.7442203788313876,0.7341905809796408,95.27117340848032,178.17085823385926,5.428431308875441e-07
0.17500000000000002,350,0.2500000000000001,-2.1,0.3013723991335087,0.9932600574295889,0.0021814851845082537,0.17299530582991202,0.8419246048064136,0.32500000000000007,9347.410383361306,130.82743152222835,0.0,26.746898693595604,3.300360687555688e-11,-5.840883332552949e-13,-3.749458635359279e-15,6.151014491325895,-101.47502515690735,5.045486589787958,0.04042520978661853,0.0,-88.90927964780217,21.53205857794324,-0.4498727094804934,-0.2559451317489333,3.1272374959783904,-1.3177165044079735,0.005007796920766523,1.0487605303975918,0.004310126510657231,0.7470856790460869,0.7370365232026909,95.59754267675126,178.51534499416888,5.450047608063361e-07
0.18,360,0.2500000000000001,-2.1,0.309947952998793,0.9932731369065568,0.0021837172053006506,0.1733339543141626,0.8394273076281947,0.32999999999999996,9297.312293043424,131.20847216828062,0.0,26.767819375094348,3.3282636355397565e-11,-5.807576641814194e-13,-5.667786309264026e-15,6.17494908612449,-105.64779383972035,5.231575915823351,0.042090024723306925,0.0,-91.65601199638203,22.151348538974023,-0.40047652864847383,-0.26225280990983124,3.1363429380162082,-1.3186767930269216,0.005046477254115463,1.0517973092699122,0.004294293223105976,0.7499979475057136,0.739929154182405,95.93058402659297,178.8647992796926,5.471663993149687e-07
0.185,370,0.2500000000000001,-2.1,0.3184913599359701,0.9932863513813958,0.002187336505883942,0.17367743811170264,0.8369937452280111,0.3350000000000001,9246.4886829044,131.5961848493896,0.0,26.78768100857257,4.4611233236929604e-11,-6.236677840831817e-13,-7.673310695618989e-15,6.199272525502713,-109.86677519124412,5.406142877645737,0.04367056329627611,0.0,-94.40489546990368,22.770898500800076,-0.3509845854448537,-0.2685208829056586,3.145035651974987,-1.3196584572038297,0.005086320878915479,1.0549349307774492,0.004281662583385904,0.7529576121125697,0.742868900558465,96.27038308033725,179.21924316661548,5.493280379493884e-07
0.19,380,0.2500000000000001,-2.1,0.3269981390269519,0.9932996999044001,0.002192314614876317,0.17402578176010747,0.8346112241438434,0.33999999999999997,9194.959590905635,131.99060435850933,0.0,26.806413727435785,5.457816625683907e-11,-6.145084441300241e-13,-4.098245485160143e-15,6.223988559429618,-114.12990456629821,5.568717400378821,0.045161265698591684,0.0,-97.1549379282061,23.3907094320253,-0.3016357698864952,-0.2747502998585043,3.1532876500736977,-1.3206612348607536,0.0051273678862438455,1.0581730840820562,0.004272125928648741,0.75596513285719,0.7458562208765636,96.61702813617364,179.5787019754727,5.514896917416504e-07
0.195,390,0.2500000000000001,-2.1,0.33546393917096473,0.9933131816139696,0.002198624895049551,0.1743790126929867,0.8322682403059926,0.3450000000000001,9142.746686655792,132.39177027479906,0.0,26.823949375999533,5.0738720614231166e-11,-6.230571614196379e-13,-8.2836876827705e-15,6.249101191753296,-118.4350227901047,5.718864721912366,0.04655670827321345,0.0,-99.90518554862783,24.010782257753775,-0.2526290424557822,-0.2809418184850616,3.161071810489056,-1.321684866876375,0.005169660478056455,1.0615113469151354,0.004265587333257521,0.7590210000153083,0.7488916037995046,96.97060999301038,179.94320401524217,5.536513906893091e-07
0.2,400,0.2500000000000001,-2.1,0.34388458787621345,0.9933267957352361,0.0022062425838777567,0.17473716125495034,0.8299545291523361,0.35,9089.873200599366,132.79972701130532,0.0,26.840221548591067,4.851764595469927e-11,-5.973554983995655e-13,-1.1248375906077837e-14,6.27461468397016,-122.77988162502197,5.856185224639607,0.047851606624607086,0.0,-102.65469917468235,24.631117881081583,-0.20412958463659286,-0.2870959934701478,3.168361907744404,-1.3227290964252614,0.005213243092023864,1.0649492048522733,0.0042619636466506355,0.7621257345944484,0.7519755685529136,97.33122196823402,180.31278059878812,5.558131792603206e-07
0.20500000000000002,410,0.2500000000000001,-2.1,0.352256133694989,0.9933405415889144,0.002215145528167264,0.17510026098872725,0.8276610953155964,0.3550000000000001,9036.36306273995,133.2145241398612,0.0,26.855165621994463,5.782606940218471e-11,-6.198097590726093e-13,-1.3166703579982584e-14,6.300533578191924,-127.16221209462938,5.980314221318937,0.0490408182006467,0.0,-105.40254480143848,25.25171720443209,-0.1562697195189157,-0.29321316679911735,3.175132644067887,-1.323793668284978,0.005258162557675617,1.0684860719718534,0.0042611810799908926,0.7652798911420859,0.7551086677169699,97.69896017106386,180.68746633914114,5.579751213974258e-07
0.21,420,0.2500000000000001,-2.1,0.36057488271568405,0.9933544185709501,0.0022253119447440154,0.17546834815431608,0.8253802288114002,0.36,8982.241966005444,133.63621606707346,0.0,26.86871879066558,5.199993386311109e-11,-6.366435156834882e-13,-8.806867957471795e-15,6.326862666278418,-131.57963963631522,6.090921727579496,0.05011934509492936,0.0,-108.14775961263078,25.872581150674105,-0.10915459057944972,-0.299293457214038,3.1813596776011495,-1.3248783281132637,0.005304468192358658,1.0721213127409284,0.004263177868289876,0.7684840539527137,0.7582914834609356,98.07392312958854,181.06729865330593,5.601372855916636e-07
0.215,430,0.2500000000000001,-2.1,0.3688374396925334,0.9933684261666619,0.0022367225849708474,0.17584146215789634,0.8231054977597033,0.365,8927.536115763616,134.06486251090857,0.0,26.880820087732783,4.245712565255947e-11,-5.853373341579982e-13,-5.057409322112516e-15,6.3536070228348756,-136.02978331062153,6.187712160870607,0.05108233571796368,0.0,-110.88931497499333,26.49371068386947,-0.06286524528076229,-0.30533675469123034,3.1870196539757716,-1.3259828217024787,0.005352211982229675,1.0758542696561726,0.0042679015017016795,0.7717388411177551,0.7615246315685783,98.45621220691282,181.4523182048582,5.622997589652676e-07
